순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,066590,스모트로닉,KOSDAQ,30.00,3185,45228869801,15239744,123189229345,Y
2,270660,에브리봇,KOSDAQ,30.00,12610,4580565860,386611,160028251630,Y
3,439960,코스모로보틱스,KOSDAQ,30.00,13520,31986910180,2610783,438732463520,Y
4,354200,엔젠바이오,KOSDAQ,29.99,1825,225674811,124555,16309263975,Y
5,187790,나노,KOSDAQ,29.97,3730,4107036409,1105187,115036295900,Y
6,290660,다이나믹솔루션,KOSDAQ,29.97,1765,2802313012,1666439,75608872320,Y
7,050090,비케이홀딩스,KOSDAQ,29.97,373,176939175,497693,8778456155,Y
8,264850,이랜시스,KOSDAQ,29.97,4705,7103755904,1649873,142536149460,Y
9,208640,썸에이지,KOSDAQ,29.95,1228,1245539733,1068321,17098702700,Y
10,025870,신라에스지,KOSDAQ,29.94,2170,606141518,288776,8680000000,Y
11,069920,엑시온그룹,KOSDAQ,29.93,1602,887771518,554913,14893026642,Y
12,023790,동일스틸럭스,KOSDAQ,29.90,2220,13634868033,6931408,29014973760,Y
13,332570,PS일렉트로닉스,KOSDAQ,29.88,6650,42026067075,6964868,310631893950,Y
14,304840,피플바이오,KOSDAQ,29.87,874,850557326,997299,21256256840,Y
15,303030,지니틱스,KOSDAQ,29.86,2405,2507461906,1166482,22023729780,Y
16,015260,에이엔피,KOSPI,29.85,509,4004353960,8334567,23982499046,Y
17,008290,원풍물산,KOSDAQ,29.84,570,35475090,62237,11597698230,Y
18,034940,조아제약,KOSDAQ,29.83,679,4625397750,7078035,21035302533,Y
19,405000,플라즈맵,KOSDAQ,29.79,5010,2486345326,523208,19230604440,Y
20,065420,에스아이리소스,KOSDAQ,29.59,127,1034029315,9019653,9090316973,Y
21,484810,티엑스알로보틱스,KOSDAQ,23.72,9650,4163001900,444609,149101329750,
22,059120,아진엑스텍,KOSDAQ,23.06,5310,16172228795,3005440,97226450460,
23,065170,비엘팜텍,KOSDAQ,20.67,3240,14054823228,4565536,90440689320,
24,002630,오리엔트바이오,KOSPI,17.52,1060,4589697197,4344034,62848992120,
25,215090,솔디펜스,KOSDAQ,16.92,1513,4783777893,3018449,35034515093,
26,291810,핀텔,KOSDAQ,16.58,1645,4250810922,2543276,18701531240,
27,459510,나우로보틱스,KOSDAQ,16.41,13050,2468261690,194401,169367885100,
28,065690,파커스,KOSDAQ,15.97,1300,366526570,285696,18264130300,
