순위,종목코드,종목명,시장,업종,등락률(%),종가(원),거래대금(원),거래량,시가총액(원),상한가
706,017250,인터엠,KOSDAQ,일반전기전자,0.40,996,10922908,11099,20961285132,
707,089600,KT나스미디어,KOSDAQ,기타서비스,0.40,10010,78302480,7840,115797311630,
708,403490,우듬지팜,KOSDAQ,음식료·담배,0.40,502,49988995,98757,23058096928,
709,039570,HDC랩스,KOSPI,건설업,0.40,7610,142479305,18829,197537343610,
710,088980,맥쿼리인프라,KOSPI,금융업,0.39,10190,11543256525,1130057,4880215108670,
711,054780,키이스트,KOSDAQ,오락·문화,0.39,1284,34751565,27245,25240606212,
712,128940,한미약품,KOSPI,의약품,0.39,386000,32751502500,85669,4945042526000,
713,003610,방림,KOSPI,"섬유,의복",0.39,5180,402533700,77770,166333830040,
714,214390,경보제약,KOSPI,의약품,0.39,5200,121032650,23168,124315672000,
715,031440,신세계푸드,KOSPI,서비스업,0.39,39100,214337650,5402,151413968000,
716,222040,코스맥스엔비티,KOSDAQ,음식료·담배,0.38,7830,1489243685,188114,161517240000,
717,154030,아시아종묘,KOSDAQ,코스닥 소형주,0.38,1569,12410000,8010,18925069323,
718,060850,영림원소프트랩,KOSDAQ,IT S/W & SVC,0.38,5250,19310070,3719,42687750000,
719,039420,케이엘넷,KOSDAQ,기타서비스,0.38,2630,112030382,42277,60350594220,
720,453450,그리드위즈,KOSDAQ,기타서비스,0.38,15920,2366378375,147124,126448580000,
721,139480,이마트,KOSPI,유통업,0.38,79700,9693679800,121455,2199386774300,
722,002795,아모레퍼시픽홀딩스우,KOSPI,제조업,0.38,10640,133028620,12549,67895670080,
723,161890,한국콜마,KOSPI,제조업,0.37,107600,25979445400,242340,2539906285200,
724,124560,태웅로직스,KOSDAQ,운송,0.37,1897,84691285,44646,73453378467,
725,189690,포시에스,KOSDAQ,IT S/W & SVC,0.37,1628,23163315,14256,44480165532,
726,027970,한국제지,KOSPI,제조업,0.37,543,44311349,82457,103251840960,
727,376290,씨유테크,KOSDAQ,IT H/W,0.37,2725,24128545,8937,48116687500,
728,011300,우성머티리얼스,KOSPI,"섬유,의복",0.36,2765,660017001,224720,46496441845,
729,009180,한솔로지스틱스,KOSPI,운수창고,0.36,2765,94784205,34499,77850856125,
730,029530,신도리코,KOSPI,"전기,전자",0.36,41900,205161600,4899,407089045100,
731,022220,티케이지애강,KOSDAQ,제조,0.36,560,2804421,4984,29004964240,
