순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
138,177830,파버나인,KOSDAQ,1.90,2410,29812360,12341,27295643130,
139,219550,디와이디,KOSDAQ,1.86,1202,323586822,270575,46485253712,
140,061250,화일약품,KOSDAQ,1.86,8780,121785650,13945,73906387520,
141,049120,파인디앤씨,KOSDAQ,1.84,1995,73316409,36251,21150317685,
142,155660,DSR,KOSPI,1.81,4510,143700745,31970,72160000000,
143,001130,대한제분,KOSPI,1.81,11250,342632725,30656,190125000000,
144,081660,미스토홀딩스,KOSPI,1.81,47800,6579609000,137804,2537789952000,
145,029780,삼성카드,KOSPI,1.81,47900,4081182250,85938,5549640878900,
146,900100,파이온엑스,KOSDAQ,1.81,1965,18087851,9190,10367438250,
147,002960,한국쉘석유,KOSPI,1.80,510000,1113106000,2182,663000000000,
148,002420,세기상사,KOSPI,1.75,5220,44250315,8424,31163128560,
149,344860,이노진,KOSDAQ,1.74,1346,14512822,11389,16192380000,
150,036530,SNT홀딩스,KOSPI,1.73,52900,3642864900,69074,862475569400,
151,440110,파두,KOSDAQ,1.70,71600,70892624700,968473,3587262173200,
152,019685,대교우B,KOSPI,1.65,741,13486810,18473,14395399590,
153,002870,신풍,KOSPI,1.65,987,230520080,236421,34504236900,
154,214320,이노션,KOSPI,1.64,18600,2107416680,113018,744000000000,
155,383930,디티앤씨알오,KOSDAQ,1.58,1736,27554477,15996,22193246208,
156,038110,에코플라스틱,KOSDAQ,1.53,1990,4104961090,1978419,81927046300,
157,027710,팜스토리,KOSDAQ,1.52,1071,9693166675,8605289,119327178600,
158,080010,이상네트웍스,KOSDAQ,1.51,7410,34224980,4634,72877876110,
159,008355,남선알미우,KOSPI,1.50,6780,2910070,427,2087494200,
160,448730,삼성FN리츠,KOSPI,1.50,5410,171412995,31566,492580500000,
161,039200,오스코텍,KOSDAQ,1.49,30600,5572073750,182016,1170700185600,
162,330590,롯데리츠,KOSPI,1.46,3485,616116040,176535,1007056560740,
163,037230,한국팩키지,KOSDAQ,1.44,1411,2248682569,1519203,42048261397,
164,219130,타이거일렉,KOSDAQ,1.40,79500,17922834550,223366,501986055000,
165,067920,이글루,KOSDAQ,1.39,5100,73080150,14688,56080206900,
166,298000,효성화학,KOSPI,1.38,58900,7143735350,115249,223337667900,
