code,시가,고가,저가,종가,거래량,거래대금,등락률,시가총액,BPS,PER,PBR,EPS,DIV,DPS,상장주식수,date,mkt,종목명
036010,5060,5220,4360,4565,238226,1110170337,-9.06,60682243710,8782.0,6.38,0.52,716.0,0.66,30.0,13292934,20260729,KOSDAQ,아비코전자
036540,4535,4685,3735,4030,2664200,11006331486,-10.84,662775021090,2884.0,0.0,1.4,0.0,0.0,0.0,164460303,20260729,KOSDAQ,SFA반도체
036930,129500,136600,106800,116100,2213725,260994034500,-9.86,5396458148100,12922.0,148.66,8.98,781.0,0.05,53.0,46481121,20260729,KOSDAQ,주성엔지니어링
039030,272500,283000,230000,249000,213679,53424105000,-7.78,3067567950000,55838.0,53.1,4.46,4689.0,0.48,1200.0,12319550,20260729,KOSDAQ,이오테크닉스
039440,20900,21450,17340,18610,237019,4464747000,-10.74,288586144670,18772.0,17.81,0.99,1045.0,0.81,150.0,15507047,20260729,KOSDAQ,에스티아이
043090,0,0,0,1140,0,0,0.0,4718944500,3780.0,0.0,0.3,0.0,0.0,0.0,4139425,20260729,KOSDAQ,더테크놀로지
043260,15020,15300,12200,13100,1556028,20701648480,-12.78,937386822600,3536.0,9.75,3.7,1343.0,0.0,0.0,71556246,20260729,KOSDAQ,성호전자
044490,23800,24800,19980,20950,186158,3993316305,-11.97,419154631950,30459.0,77.31,0.69,271.0,0.0,0.0,20007381,20260729,KOSDAQ,태웅
045970,2435,2520,2035,2165,191906,427752914,-11.63,56971706540,3100.0,0.0,0.7,0.0,0.0,0.0,26314876,20260729,KOSDAQ,코아시아
052710,12500,13390,9850,10440,470403,5114744320,-15.74,152554980240,10486.0,19.62,1.0,532.0,0.0,0.0,14612546,20260729,KOSDAQ,아모텍
058610,75900,82800,68700,81800,2022473,156131827450,20.29,1814108048000,11633.0,198.54,7.03,412.0,0.31,250.0,22177360,20260729,KOSDAQ,에스피지
059090,13720,14150,11300,12370,358104,4626771755,-7.55,413365543860,3658.0,13.2,3.38,937.0,0.0,0.0,33416778,20260729,KOSDAQ,미코
064290,27350,27750,21900,23500,616328,14611669625,-13.28,302623083000,3765.0,0.0,6.24,0.0,0.0,0.0,12877578,20260729,KOSDAQ,인텍플러스
067310,30300,31200,24600,26650,2244351,60474275650,-11.31,1771981658850,6007.0,41.84,4.44,637.0,0.26,70.0,66490869,20260729,KOSDAQ,하나마이크론
077360,8010,8270,6780,7300,863099,6355132455,-6.17,331690114600,4544.0,0.0,1.61,0.0,0.0,0.0,45437002,20260729,KOSDAQ,덕산하이메탈
078350,17370,17880,13720,15000,358863,5453811730,-13.54,228665730000,11658.0,14.63,1.29,1025.0,0.0,0.0,15244382,20260729,KOSDAQ,한양디지텍
079370,7900,8210,6750,7060,531672,3857152080,-10.97,218979949400,10867.0,0.0,0.65,0.0,0.71,50.0,31016990,20260729,KOSDAQ,제우스
080220,63800,64700,50900,55100,2920015,164425901800,-11.7,1897800098300,6742.0,46.97,8.17,1173.0,0.0,0.0,34442833,20260729,KOSDAQ,제주반도체
080580,10160,10430,8020,8770,338082,2989446225,-12.91,184967675350,2506.0,20.68,3.5,424.0,0.0,0.0,21090955,20260729,KOSDAQ,오킨스전자
081180,5160,5310,4380,4470,124831,587869453,-13.54,39450141450,4016.0,0.0,1.11,0.0,0.0,0.0,8825535,20260729,KOSDAQ,쎄크
084370,100300,105900,87000,96800,338378,32341558800,-3.3,2218272865600,20320.0,50.79,4.76,1906.0,0.24,230.0,22916042,20260729,KOSDAQ,유진테크
085910,14320,15310,12900,13270,389078,5429770360,-7.2,183057234860,4154.0,40.21,3.19,330.0,1.51,200.0,13794818,20260729,KOSDAQ,네오티스
086390,7530,7750,6130,6580,740113,4857865055,-12.5,139062549080,4773.0,0.0,1.38,0.0,0.0,0.0,21134126,20260729,KOSDAQ,유니테스트
089030,39300,40600,33000,34400,1267167,45064286950,-11.68,1274645388000,6018.0,130.8,5.72,263.0,0.38,130.0,37053645,20260729,KOSDAQ,테크윙
089890,19490,20100,16000,17050,284428,5123332390,-9.93,282773602100,4635.0,20.62,3.68,827.0,0.0,0.0,16584962,20260729,KOSDAQ,코세스
089970,63200,64900,51700,57100,1049521,59528388900,-9.22,1503258281500,6824.0,50.31,8.37,1135.0,0.0,0.0,26326765,20260729,KOSDAQ,브이엠
095340,121500,125300,103100,110900,290817,32465228850,-8.35,2350753732200,26223.0,40.43,4.23,2743.0,0.77,850.0,21197058,20260729,KOSDAQ,ISC
095610,122400,131300,103000,114300,777083,89077903100,-6.39,2212848000000,22090.0,35.23,5.17,3244.0,0.74,850.0,19360000,20260729,KOSDAQ,테스
098120,20100,20750,15500,17520,151358,2630032090,-13.27,145639660320,9781.0,8.63,1.79,2031.0,0.57,100.0,8312766,20260729,KOSDAQ,마이크로컨텍솔
098460,26500,27950,21100,22750,3174702,75483514500,-6.19,1551645845750,5079.0,101.56,4.48,224.0,0.62,140.0,68204213,20260729,KOSDAQ,고영
119850,32000,32100,27500,28600,1055662,30987878900,-10.63,470438797400,13535.0,11.15,2.11,2565.0,0.52,150.0,16448909,20260729,KOSDAQ,지엔씨에너지
122640,19350,21000,16400,17700,655510,11778962495,-8.34,382400977500,6379.0,0.0,2.77,0.0,0.0,0.0,21604575,20260729,KOSDAQ,예스티
126340,54600,55000,43200,47250,148211,7076318700,-8.43,339274561500,11841.0,0.0,3.99,0.0,0.0,0.0,7180414,20260729,KOSDAQ,비나텍
129920,4045,4045,3415,3630,284396,1006024210,-4.85,58982766480,4260.0,0.0,0.85,0.0,0.0,0.0,16248696,20260729,KOSDAQ,대성하이텍
131290,177000,187500,146800,157500,133137,21245747350,-10.71,1742175067500,35375.0,44.67,4.45,3526.0,0.29,450.0,11061429,20260729,KOSDAQ,티에스이
131970,67000,67400,51000,55900,662357,37687686850,-15.81,1080392604200,22719.0,716.67,2.46,78.0,0.29,160.0,19327238,20260729,KOSDAQ,두산테스나
144960,8520,9150,7150,7880,1984462,15661184090,-5.63,344297877120,7057.0,37.35,1.12,211.0,0.63,50.0,43692624,20260729,KOSDAQ,뉴파워프라즈마
159010,12160,12860,9500,10940,183098,1987034530,-10.03,145882044660,3589.0,0.0,3.05,0.0,0.0,0.0,13334739,20260729,KOSDAQ,아스플로
160980,26000,26550,20200,22200,376379,8468474325,-11.55,242518194600,17779.0,15.58,1.25,1425.0,1.8,400.0,10924243,20260729,KOSDAQ,싸이맥스
166090,48250,51900,40200,45450,265226,12240567075,-5.61,898895283300,24038.0,22.91,1.89,1984.0,0.66,300.0,19777674,20260729,KOSDAQ,하나머티리얼즈
168360,11180,11460,8670,9840,438773,4249313730,-12.06,220342760880,1216.0,0.0,8.09,0.0,0.51,50.0,22392557,20260729,KOSDAQ,펨트론
170920,34000,34900,26600,29600,621726,18406071925,-10.84,312698129600,12514.0,59.08,2.37,501.0,0.34,100.0,10564126,20260729,KOSDAQ,엘티씨
172670,8300,8850,6970,7510,95679,713309910,-7.4,67291545090,10470.0,0.0,0.72,0.0,0.0,0.0,8960259,20260729,KOSDAQ,에이엘티
187870,10340,10590,8370,9110,346799,3150217420,-10.25,125445246600,12226.0,6.99,0.75,1304.0,7.14,650.0,13770060,20260729,KOSDAQ,디바이스
194480,16830,17230,15060,15930,117306,1851438735,-5.23,193217359500,15161.0,16.72,1.05,953.0,0.0,0.0,12129150,20260729,KOSDAQ,데브시스터즈
200470,4145,4685,3790,4140,1727765,7282880893,3.37,175379065020,1657.0,33.66,2.5,123.0,0.0,0.0,42362093,20260729,KOSDAQ,에이팩트
200710,26900,27150,20750,21950,369459,8467731000,-17.48,295491053650,10456.0,78.96,2.1,278.0,0.0,0.0,13462007,20260729,KOSDAQ,에이디테크놀로지
212710,7120,7400,5590,6100,343508,2103430450,-14.33,59261365800,2184.0,0.0,2.79,0.0,0.0,0.0,9714978,20260729,KOSDAQ,아이에스티이
218410,40100,41400,34700,37050,401668,14804502525,-7.38,984620126100,13376.0,32.76,2.77,1131.0,1.08,400.0,26575442,20260729,KOSDAQ,RFHIC
222800,75500,78000,61500,68600,935981,64050484550,-9.14,2570025666600,15419.0,0.0,4.45,0.0,0.15,100.0,37463931,20260729,KOSDAQ,심텍
226340,1410,1440,1224,1224,53721,69427748,-13.19,10269952416,4135.0,0.0,0.3,0.0,0.0,0.0,8390484,20260729,KOSDAQ,본느
226590,9990,10280,8010,8820,111548,991112890,-11.45,94522034880,4452.0,8.52,1.98,1035.0,0.0,0.0,10716784,20260729,KOSDAQ,엠디바이스
232140,8250,8470,6820,7350,1278157,9451807860,-10.15,603033322500,4490.0,30.75,1.64,239.0,0.0,0.0,82045350,20260729,KOSDAQ,와이씨
240810,90000,92200,74100,83200,1862217,153572828450,-7.04,4083780563200,19936.0,48.18,4.17,1727.0,0.24,200.0,49083901,20260729,KOSDAQ,원익IPS
252990,11310,11590,9200,9930,870573,8858043005,-11.42,597963637770,2862.0,37.61,3.47,264.0,0.0,0.0,60217889,20260729,KOSDAQ,샘씨엔에스
272110,23350,24400,19320,20600,203844,4257099130,-10.82,165323137000,12376.0,6.3,1.66,3271.0,0.0,0.0,8025395,20260729,KOSDAQ,케이엔제이
290550,18810,18900,14180,15400,583306,9441812425,-15.75,308018942000,10140.0,13.29,1.52,1159.0,0.0,0.0,20001230,20260729,KOSDAQ,디케이티
301300,1656,1760,1410,1527,99646,157182498,-7.79,20087245224,3275.0,0.0,0.47,0.0,0.0,0.0,13154712,20260729,KOSDAQ,바이브컴퍼니
309930,821,859,780,835,139191,113362774,-2.0,16078667315,1029.0,0.0,0.81,0.0,0.0,0.0,19255889,20260729,KOSDAQ,조이웍스앤코
319660,126400,130900,102000,114900,856324,96317664550,-8.45,3328275438600,18606.0,42.37,6.18,2712.0,0.59,680.0,28966714,20260729,KOSDAQ,피에스케이
322310,14220,14580,11490,12120,263971,3324010510,-14.77,113522489040,6873.0,0.0,1.76,0.0,0.0,0.0,9366542,20260729,KOSDAQ,오로스테크놀로지
323280,29400,31100,24000,25900,474351,12660853350,-11.45,790933682000,4199.0,0.0,6.17,0.0,0.0,0.0,30537980,20260729,KOSDAQ,태성
327260,21100,21600,16500,18150,280113,5156953815,-13.16,163261700250,3087.0,42.81,5.88,424.0,0.0,0.0,8995135,20260729,KOSDAQ,RF머트리얼즈
330860,23600,24000,18320,19860,484251,9859497455,-15.85,241975133700,13841.0,70.93,1.43,280.0,0.0,0.0,12184045,20260729,KOSDAQ,네패스아크
356860,24100,25300,20300,21400,335489,7466289500,-11.02,254780482000,6185.0,22.91,3.46,934.0,2.1,450.0,11905630,20260729,KOSDAQ,티엘비
376900,32900,34450,28150,29500,941880,29050436375,-24.65,468276775500,740.0,0.0,39.86,0.0,0.0,0.0,15873789,20260729,KOSDAQ,로킷헬스케어
388210,69800,71500,56500,62000,111231,6977735100,-10.66,598575156000,19207.0,0.0,3.23,0.0,0.0,0.0,9654438,20260729,KOSDAQ,씨엠티엑스
389020,17150,17740,14450,15200,73176,1140427370,-11.11,104957246400,5756.0,0.0,2.64,0.0,0.0,0.0,6905082,20260729,KOSDAQ,자람테크놀로지
389500,30100,31200,24750,26600,162361,4466028375,-6.67,177248355200,1974.0,0.0,13.48,0.0,0.0,0.0,6663472,20260729,KOSDAQ,에스비비테크
403870,32850,33950,27450,29650,3302849,99090010959,-9.33,2440195000000,3811.0,32.91,7.78,901.0,1.69,500.0,82300000,20260729,KOSDAQ,HPSP
412350,3295,3445,2750,2975,335497,1013489691,-9.71,43444052925,1467.0,0.0,2.03,0.0,0.0,0.0,14603043,20260729,KOSDAQ,레이저쎌
416180,16440,16660,13800,14500,36825,545050110,-10.77,131076781000,11704.0,233.87,1.24,62.0,1.38,200.0,9039778,20260729,KOSDAQ,신성에스티
417840,8630,9080,7110,7580,1044861,8282901065,-10.93,173349907980,2503.0,46.5,3.03,163.0,0.0,0.0,22869381,20260729,KOSDAQ,저스템
420770,100000,102100,83500,92000,237039,21326486700,-8.0,1166169736000,16646.0,75.47,5.53,1219.0,0.87,800.0,12675758,20260729,KOSDAQ,기가비스
424980,5670,6100,4840,5450,53812,286615290,-4.05,32257950500,4366.0,0.0,1.25,0.0,0.0,0.0,5918890,20260729,KOSDAQ,마이크로투나노
425040,7920,8090,6680,6820,399470,2814193185,-12.0,149514164360,9438.0,8.99,0.72,759.0,2.2,150.0,21922898,20260729,KOSDAQ,티이엠씨
440110,56600,57200,46950,50300,893736,45586423200,-10.66,2520101778100,391.0,0.0,128.64,0.0,0.0,0.0,50101427,20260729,KOSDAQ,파두
446540,5490,5730,4700,5300,302490,1599665145,-3.46,154119288300,2519.0,0.0,2.1,0.0,0.0,0.0,29079111,20260729,KOSDAQ,메가터치
452430,23700,24350,19510,21150,58533,1226942210,-11.32,174602154150,1566.0,0.0,13.51,0.0,0.0,0.0,8255421,20260729,KOSDAQ,사피엔반도체
482630,10750,11400,9270,9790,411845,4203042470,-8.93,214286261200,5448.0,14.17,1.8,691.0,0.0,0.0,21888280,20260729,KOSDAQ,삼양엔씨켐
490470,15230,15700,12700,13140,411928,5637346885,-13.32,447094281600,6513.0,0.0,2.02,0.0,0.0,0.0,34025440,20260729,KOSDAQ,세미파이브
491000,34550,36450,30700,32150,237434,7799661000,-6.81,811956962650,7328.0,0.0,4.39,0.0,0.0,0.0,25255271,20260729,KOSDAQ,리브스메드
900290,2950,3215,2785,3035,1312387,3969516527,2.53,248263000000,,,,,,,81800000,20260729,KOSDAQ,GRT
000150,966000,1027000,889000,900000,107720,101967854500,-9.91,14574451500000,87399.0,212.77,10.3,4230.0,0.44,4000.0,16193835,20260730,KOSPI,두산
000155,381500,386500,355000,365000,26114,9615667500,-6.17,1458708630000,0.0,0.0,0.0,0.0,1.11,4050.0,3996462,20260730,KOSPI,두산우
000157,298500,298500,254000,255000,695,188290750,-11.61,227724690000,0.0,0.0,0.0,0.0,1.57,4000.0,893038,20260730,KOSPI,두산2우B
000500,114100,123300,106400,107600,268559,30634235850,-12.09,3204070513200,16250.0,62.3,6.62,1727.0,0.09,100.0,29777607,20260730,KOSPI,가온전선
000660,1361000,1459000,1287000,1322000,9543189,12945505619452,-5.64,965710906530000,171751.0,21.31,7.7,62044.0,0.23,3000.0,730492365,20260730,KOSPI,SK하이닉스
001820,58600,63700,56500,57800,487678,29046758600,-8.11,600831000000,26701.0,47.34,2.16,1221.0,0.87,500.0,10395000,20260730,KOSPI,삼화콘덴서
002070,7930,8630,7250,7800,89426,718604000,-6.59,18753883200,54750.0,0.0,0.14,0.0,0.0,0.0,2404344,20260730,KOSPI,비비안
003160,15550,17380,15550,16470,265006,4384036455,-0.18,466101000000,6287.0,84.03,2.62,196.0,1.52,250.0,28300000,20260730,KOSPI,디아이
004710,5600,6150,5400,5640,653141,3669684550,-3.59,229580807880,9050.0,0.0,0.62,0.0,1.77,100.0,40705817,20260730,KOSPI,한솔테크닉스
005930,214000,226000,202000,207000,46694193,9915591555814,-0.72,1210179671856000,63997.0,31.34,3.23,6605.0,0.81,1668.0,5846278608,20260730,KOSPI,삼성전자
005935,153900,165400,147600,151000,5680457,873993516550,-1.56,121158051653000,0.0,0.0,0.0,0.0,1.11,1669.0,802371203,20260730,KOSPI,삼성전자우
006340,10510,11370,10090,10320,7151056,76576238855,-6.61,809236773120,1527.0,91.33,6.76,113.0,0.0,0.0,78414416,20260730,KOSPI,대원전선
007660,60400,65400,57900,59200,1233486,74867757400,-7.5,4345825764800,10292.0,25.99,5.75,2278.0,0.39,230.0,73409219,20260730,KOSPI,이수페타시스
007810,39050,42400,37900,38500,384264,15138225675,-9.73,923330870000,16070.0,22.31,2.4,1726.0,0.26,100.0,23982620,20260730,KOSPI,코리아써키트
007815,12000,12000,10450,10730,1542,16864840,-5.79,31811123700,0.0,0.0,0.0,0.0,0.98,105.0,2964690,20260730,KOSPI,코리아써우
008060,11120,12330,11120,11490,168093,1967682600,-2.05,359488756020,17702.0,111.55,0.65,103.0,10.05,1155.0,31287098,20260730,KOSPI,대덕
009150,1005000,1075000,865000,879000,1400040,1332741555000,-14.58,65655758784000,126302.0,94.06,6.96,9345.0,0.27,2350.0,74693696,20260730,KOSPI,삼성전기
009155,345500,370500,315000,320000,82736,28028159000,-12.57,930234880000,0.0,0.0,0.0,0.0,0.75,2400.0,2906984,20260730,KOSPI,삼성전기우
010120,158600,167900,148000,150300,1272590,198922766050,-8.24,22545000000000,13920.0,77.92,10.8,1929.0,0.4,600.0,150000000,20260730,KOSPI,LSELECTRIC
011070,437000,470000,416000,424000,385246,167800911000,-7.42,10034853368000,243532.0,29.4,1.74,14421.0,0.44,1880.0,23667107,20260730,KOSPI,LG이노텍
011090,1339,1545,1336,1490,374204,561166286,8.05,17667010460,3455.0,0.0,0.43,0.0,0.0,0.0,11857054,20260730,KOSPI,에넥스
03473K,286000,301000,280000,281500,2251,643424500,-2.93,159367002500,0.0,0.0,0.0,0.0,2.86,8050.0,566135,20260730,KOSPI,SK우
042700,160200,179800,157700,167600,1398060,234204593250,0.0,15974324720000,7278.0,74.29,23.03,2256.0,0.48,800.0,95312200,20260730,KOSPI,한미반도체
071950,1384,1456,1373,1422,66735,93117649,0.49,17716975290,2919.0,0.0,0.49,0.0,0.0,0.0,12459195,20260730,KOSPI,코아스
093370,7050,7370,6780,6930,3264421,23015376075,-3.35,743279436900,3118.0,138.6,2.22,50.0,0.0,0.0,107255330,20260730,KOSPI,후성
195870,38150,40950,37500,38150,213749,8305642825,-4.98,648550000000,33198.0,27.23,1.15,1401.0,2.36,900.0,17000000,20260730,KOSPI,해성디에스
281820,55100,60600,54300,55100,247809,14087228150,-5.65,1090906221100,26877.0,20.51,2.05,2686.0,0.82,450.0,19798661,20260730,KOSPI,케이씨텍
298040,1956000,2082000,1834000,1894000,116554,225525685500,-5.58,17660693912000,252555.0,33.92,7.5,55832.0,0.4,7500.0,9324548,20260730,KOSPI,효성중공업
336260,18620,20350,18230,18900,1248576,23933230255,-5.97,1237831421400,4491.0,0.0,4.21,0.0,0.0,0.0,65493726,20260730,KOSPI,두산퓨얼셀
353200,79100,82100,72100,74500,1329255,100945278500,-7.91,3681560912500,17419.0,80.63,4.28,924.0,0.67,500.0,49416925,20260730,KOSPI,대덕전자
35320K,17750,17930,16620,16730,6010,103301440,-5.8,35058032870,0.0,0.0,0.0,0.0,3.02,505.0,2095519,20260730,KOSPI,대덕전자1우
402340,826000,872000,770000,799000,1364135,1099450260960,-6.0,105434750414000,209564.0,11.98,3.81,66713.0,0.0,0.0,131958386,20260730,KOSPI,SK스퀘어
45226K,3270,3700,3270,3415,54670,187102230,-4.21,9918765050,0.0,0.0,0.0,0.0,0.0,0.0,2904470,20260730,KOSPI,한화갤러리아우
489790,31650,37350,31650,35000,662110,22970459650,4.95,1767093650000,17188.0,38.8,2.04,902.0,0.0,0.0,50488390,20260730,KOSPI,한화비전
019210,15530,16270,13850,13940,1265207,18707904290,-13.47,518480568320,11486.0,18.94,1.21,736.0,1.36,190.0,37193728,20260730,KOSDAQ,와이지-원
031980,76000,85100,75100,77200,151408,11908248800,-5.97,1664616894000,23484.0,18.16,3.29,4252.0,1.4,1080.0,21562395,20260730,KOSDAQ,피에스케이홀딩스
032580,3005,3120,2780,2840,716975,2112956309,-7.49,94095061760,1353.0,0.0,2.1,0.0,0.0,0.0,33132064,20260730,KOSDAQ,피델릭스
033160,11530,12470,11150,11150,573317,6670842385,-8.91,269768295900,17572.0,176.98,0.63,63.0,1.08,120.0,24194466,20260730,KOSDAQ,엠케이전자
033640,11400,13150,11400,11980,201930,2490171860,-4.39,276249239960,5360.0,16.66,2.24,719.0,0.0,0.0,23059202,20260730,KOSDAQ,네패스
036010,4390,4795,4390,4450,113494,513243825,-2.52,59153556300,8782.0,6.22,0.51,716.0,0.67,30.0,13292934,20260730,KOSDAQ,아비코전자
036540,3765,4205,3765,3885,1848605,7374473352,-3.6,638928277155,2884.0,0.0,1.35,0.0,0.0,0.0,164460303,20260730,KOSDAQ,SFA반도체
036930,104500,112500,96800,98300,2761232,284405617600,-15.33,4569094194300,12922.0,125.86,7.61,781.0,0.05,53.0,46481121,20260730,KOSDAQ,주성엔지니어링
039030,237500,255000,233500,240000,179556,43637840250,-3.61,2956692000000,55838.0,51.18,4.3,4689.0,0.5,1200.0,12319550,20260730,KOSDAQ,이오테크닉스
039440,17320,19350,17320,17980,128318,2344185275,-3.39,278816705060,18772.0,17.21,0.96,1045.0,0.83,150.0,15507047,20260730,KOSDAQ,에스티아이
043090,250,271,195,228,2118063,490517112,-80.0,943788900,3780.0,0.0,0.06,0.0,0.0,0.0,4139425,20260730,KOSDAQ,더테크놀로지
043260,12600,13200,11790,11850,1210653,14897089625,-9.54,850140010050,3536.0,8.82,3.35,1343.0,0.0,0.0,71741773,20260730,KOSDAQ,성호전자
044490,21100,23850,21000,21150,170437,3794063350,0.95,423156108150,30459.0,78.04,0.69,271.0,0.0,0.0,20007381,20260730,KOSDAQ,태웅
045970,1706,2335,1706,2165,188629,405570731,0.0,56971706540,3100.0,0.0,0.7,0.0,0.0,0.0,26314876,20260730,KOSDAQ,코아시아
052710,10010,11700,9710,11230,661652,7209346530,7.57,164098891580,10486.0,21.11,1.07,532.0,0.0,0.0,14612546,20260730,KOSDAQ,아모텍
058610,85400,88500,74000,76800,1295659,106083253400,-6.11,1703221248000,11633.0,186.41,6.6,412.0,0.33,250.0,22177360,20260730,KOSDAQ,에스피지
