date,code,name,시장,신호,미달,cum2,gap240,top5,mcap,카드,ex_how,ex_bars,이단,fwd40
2002-07-31,009840,009840,KOSPI,A,,-0.21089385474860334,-0.09513132607303021,-0.9642157065596422,441561749300.0,-0.015646017699115,트레일,3,-0.015646017699115,-0.4601769911504424
2002-07-30,009840,009840,KOSPI,S2,시총,-0.2767220902612827,-0.022282277862881505,-0.9614289651235789,296286827760.0,-0.050000000000000155,손절,1,-0.050000000000000155,-0.45320197044334976
2002-08-05,009840,009840,KOSPI,S2,2일누적,-0.11677631578947367,-0.14634873323397912,-0.9659890874735007,441561749300.0,-0.05707635009310985,손절,1,-0.05707635009310985,-0.4692737430167597
2018-06-27,004870,티웨이홀딩스,KOSPI,A,,-0.1799645390070922,0.02157266970991012,-0.35763888888888895,464074894560.0,-0.07362162162162156,손절,3,-0.07362162162162156,-0.2097297297297297
2018-06-28,004870,티웨이홀딩스,KOSPI,S2,2일누적,-0.10410410410410409,-0.01155486836837527,-0.3784722222222222,464074894560.0,0.058100558659217816,목표,8,0.029050279329608908,-0.18547486033519567
2021-08-19,000860,강남제비스코,KOSPI,S2,"2일누적,MA240,시총",-0.10517241379310349,0.08041530414870457,-0.4102272727272728,205725000000.0,0.05876685934489401,목표,11,0.029383429672447003,-0.00578034682080919
2020-01-30,003060,에이프로젠바이오로직스,KOSPI,A,,-0.129129129129129,-0.04716531681753211,-0.9066471755563298,327447034440.0,-0.09166896551724124,손절,1,-0.09166896551724124,-0.08965517241379306
2020-01-31,003060,에이프로젠바이오로직스,KOSPI,A,,-0.14657980456026054,-0.13620678286480414,-0.9156605517095118,316572409680.0,-0.05877480916030542,손절,1,-0.05877480916030542,0.16412213740458026
2020-02-03,003060,에이프로젠바이오로직스,KOSPI,A,,-0.1344827586206897,-0.16958680602463116,-0.9192015209125475,316572409680.0,0.07768924302788838,목표,2,0.23127490039840637,0.2709163346613548
2020-03-13,003060,에이프로젠바이오로직스,KOSPI,A,,-0.1447811447811448,-0.08496221866641052,-0.9182358020389924,370945533480.0,-0.05417322834645666,트레일,2,-0.05417322834645666,0.6614173228346456
2020-04-21,003060,에이프로젠바이오로직스,KOSPI,A,,-0.19877675840978593,0.01948500442619916,-0.9156605517095118,404777699400.0,0.12404580152671763,목표,3,0.3345419847328245,0.47709923664122145
2015-12-10,003060,에이프로젠바이오로직스,KOSPI,S2,2일누적,-0.11265646731571621,0.07622583298227337,-0.7946237862239256,301640426250.0,0.06347962382445149,목표,8,0.039326018808777397,0.32288401253918475
2017-12-07,003060,에이프로젠바이오로직스,KOSPI,S2,2일누적,-0.1071428571428572,0.06694831228176068,-0.7344273097723175,378097451050.0,0.06000000000000005,목표,16,0.030000000000000027,0.018181818181818077
2023-03-10,001390,KG케미칼,KOSPI,A,,-0.1504424778761062,0.046535395516794864,-0.4524714828897338,336252828000.0,0.08854166666666652,목표,4,0.06295138888888885,0.2465277777777779
2026-03-04,001390,KG케미칼,KOSPI,A,,-0.15992647058823528,-0.04485722496538391,-0.6273748943945616,365747683200.0,0.09518599562363228,목표,1,0.13393873085339159,0.39168490153172875
2015-08-19,001390,KG케미칼,KOSPI,S2,"5년고점,시총",-0.13333333333333341,0.05749567850323678,-0.2599620493358634,248660527800.0,-0.09482051282051285,손절,3,-0.09482051282051285,-0.1564102564102564
2022-05-17,001390,KG케미칼,KOSPI,S2,2일누적,-0.10193548387096774,0.03834749581963193,-0.33840304182509495,582376032000.0,-0.0850847102490423,손절,4,-0.0850847102490423,-0.2974137931034483
2023-10-20,001390,KG케미칼,KOSPI,S2,2일누적,-0.10924369747899154,-0.001086817340886559,-0.48142326659724544,489553636000.0,-0.051493710691823846,손절,2,-0.051493710691823846,0.08647798742138368
2007-11-23,000800,000800,KOSPI,A,,-0.125,0.06623340356934326,-0.41666666666666663,820100348800.0,0.07142857142857162,목표,1,0.09828571428571431,-0.028571428571428692
2007-12-10,000800,000800,KOSPI,S2,MA240,-0.1465116279069768,0.08196419248840692,-0.3883333333333334,624769968000.0,-0.06423705722070838,손절,2,-0.06423705722070838,-0.10899182561307896
2011-08-19,000800,000800,KOSPI,S2,시총,-0.16535433070866146,-0.02878892575045533,-0.8233333333333334,222762812100.0,-0.04943396226415098,트레일,12,-0.04943396226415098,-0.15094339622641506
2011-08-22,000800,000800,KOSPI,S2,시총,-0.14225941422594146,-0.06179205345496985,-0.8291666666666667,222762812100.0,0.08292682926829276,목표,2,0.04146341463414638,-0.16390243902439028
1999-07-26,006610,006610,KOSPI,S2,시총,-0.2093023255813954,0.02052479668707341,-0.8507595534657871,217360000000.0,0.13235294117647056,목표,1,0.07670588235294118,-0.002941176470588225
1999-11-17,006610,006610,KOSPI,S2,"2일누적,시총",-0.10206896551724143,-0.12850919516507786,-0.8571242195679816,254080000000.0,-0.051459293394777283,손절,4,-0.051459293394777283,-0.3302611367127496
2019-10-07,002100,경농,KOSPI,A,,-0.15335463258785942,-0.08426490661229846,-0.45585215605749485,335137537500.0,-0.06433962264150939,손절,32,-0.06433962264150939,-0.12075471698113205
2018-10-10,002100,경농,KOSPI,S2,"MA240,시총",-0.16476190476190478,0.0860008668193919,-0.4586419753086419,228847962500.0,0.09863169897377433,목표,1,0.056043329532497244,0.23717217787913336
2018-10-11,002100,경농,KOSPI,S2,"MA240,시총",-0.13399014778325125,0.08689044024833192,-0.4574074074074074,228847962500.0,0.07736063708759944,목표,4,0.054266211604095504,0.21160409556313997
2018-10-29,002100,경농,KOSPI,S2,시총,-0.2681034482758621,0.027140379884663446,-0.475925925925926,228847962500.0,-0.06264428739693761,손절,1,-0.06264428739693761,0.23674911660777376
2019-07-09,002100,경농,KOSPI,S2,MA240,-0.13994169096209907,0.08781827903460737,-0.39425051334702255,379605625000.0,0.08135593220338988,목표,2,0.04067796610169494,-0.06779661016949157
2019-10-08,002100,경농,KOSPI,S2,2일누적,-0.10666666666666669,-0.07493966685171705,-0.4496919917864476,335137537500.0,-0.06772388059701495,손절,30,-0.06772388059701495,-0.16044776119402981
2017-02-08,009450,경동나비엔,KOSPI,A,,-0.12303149606299213,-0.08373396405892486,-0.31461538461538463,612133455500.0,-0.09478114478114474,손절,8,-0.09478114478114474,-0.2581369248035915
2024-08-05,009450,경동나비엔,KOSPI,A,,-0.12816188870151768,0.02161714880881327,-0.34390862944162437,836237180800.0,0.07350096711798848,목표,1,0.18100580270793043,0.3713733075435204
2016-02-12,009450,경동나비엔,KOSPI,S2,2일누적,-0.10077519379844957,-0.08659619283844167,-0.31198102016607354,373267643000.0,0.056034482758620774,목표,1,0.036293103448275854,0.3413793103448275
2016-11-09,009450,경동나비엔,KOSPI,S2,5년고점,-0.19877408056042034,0.028451001053740876,-0.2961538461538461,747809237000.0,0.12404371584699447,목표,5,0.06501639344262289,0.009836065573770592
2018-08-31,009450,경동나비엔,KOSPI,S2,2일누적,-0.11749116607773846,-0.08198428621751186,-0.31855388813096863,636338524500.0,0.06656656656656668,목표,17,0.03328328328328334,-0.20120120120120122
2024-05-03,009450,경동나비엔,KOSPI,S2,2일누적,-0.11872909698996659,0.06726071437612324,-0.33121827411167515,871201801600.0,0.06736242884250476,목표,4,0.03368121442125238,-0.04174573055028463
2025-04-07,009450,경동나비엔,KOSPI,S2,2일누적,-0.10084033613445376,-0.10040985999369445,-0.403899721448468,1046024905600.0,0.05607476635514019,목표,3,0.08317757009345794,0.15576323987538943
2016-11-02,000050,경방,KOSPI,S2,2일누적,-0.10497237569060769,-0.021541322147587194,-0.334410562096655,496216387000.0,0.058641975308642014,목표,1,0.029320987654321007,-0.04012345679012341
2026-05-27,000050,경방,KOSPI,S2,"2일누적,시총",-0.11365902293120633,0.06246514221974331,-0.49915492957746477,276894227000.0,-0.10585301837270333,손절,4,-0.10585301837270333,-0.055118110236220486
2014-10-07,012610,경인양행,KOSPI,S2,"2일누적,MA240,5년고점,시총",-0.11428571428571432,0.11549069043476212,-0.2728395061728395,271867536450.0,-0.10655348047538205,트레일,8,-0.10655348047538205,-0.26655348047538197
2018-07-03,012610,경인양행,KOSPI,S2,시총,-0.12286158631415245,0.0731104028920706,-0.3037037037037037,259748626950.0,-0.08537234042553188,손절,16,-0.08537234042553188,0.1028368794326242
2018-10-11,012610,경인양행,KOSPI,S2,시총,-0.12541254125412538,-0.08277058087591083,-0.345679012345679,260152590600.0,0.07169811320754715,목표,1,0.03584905660377358,0.04716981132075482
2020-08-18,012610,경인양행,KOSPI,S2,5년고점,-0.12253829321663023,0.025687481848774008,-0.2709090909090909,368295503100.0,-0.06294264339152122,트레일,25,-0.06294264339152122,-0.1433915211970075
2026-06-04,012610,경인양행,KOSPI,S2,"2일누적,MA240,시총",-0.10721868365180465,0.0953729933899905,-0.4560155239327296,206625252225.0,-0.09518430439952441,손절,2,-0.09518430439952441,-0.32580261593341264
2006-02-03,004200,004200,KOSPI,A,,-0.12086092715231789,-0.01906601907371641,-0.3738207547169812,384000000000.0,0.06873822975517907,목표,8,0.034369114877589535,0.20527306967984948
