순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,035290,골드앤에스,KOSDAQ,30.00,1716,300143496,187460,8181283968,Y,저유동주의
2,002680,한탑,KOSDAQ,30.00,2795,488814755,174889,18065088405,Y,저유동주의
3,105550,엣지파운드리,KOSDAQ,29.97,2580,364980146,148119,40406437800,Y,저유동주의
4,002990,금호건설,KOSPI,29.94,14930,293375604290,21100558,556291411820,Y,실체급등
5,121850,코이즈,KOSDAQ,29.94,1597,659134086,429952,8076027403,Y,저유동주의
6,091590,남화토건,KOSDAQ,29.93,7380,44895514550,6585830,86641200000,Y,실체급등
7,007820,엠엑스로보틱스,KOSDAQ,29.93,4580,17972434528,4075362,91755472680,Y,실체급등
8,001210,금호전기,KOSPI,29.90,5300,17346279093,3497390,65592884800,Y,실체급등
9,002995,금호건설우,KOSPI,29.84,28500,2432272500,92736,8329581000,Y,저유동주의
10,378800,샤페론,KOSDAQ,29.81,614,1973501214,3447778,28393221034,Y,동전주
11,900300,오가닉티코스메틱,KOSDAQ,29.80,2940,4901093464,1747918,60505485180,Y,저유동주의
12,007120,미래아이앤지,KOSPI,27.54,1417,2883476763,2111604,38716852538,,저유동주의
13,204270,제이앤티씨,KOSDAQ,22.93,18870,19422075245,1106031,1091600553420,,실체급등
14,161890,한국콜마,KOSPI,22.80,132500,329351657700,2512264,3127672702500,,실체급등
15,079650,서산,KOSDAQ,19.85,6280,91148023770,14737574,125600000000,,실체급등
16,153890,져스텍,KOSDAQ,19.85,12680,83587633405,6809271,152797867400,,실체급등
17,192820,코스맥스,KOSPI,18.81,249500,149058716500,604965,2831702495500,,실체급등
18,103590,일진전기,KOSPI,17.31,72500,102029392100,1415007,3457190775000,,실체급등
19,109740,디에스케이,KOSDAQ,17.02,5190,455114610,91044,133436924100,,저유동주의
20,077500,유니퀘스트,KOSPI,16.61,7300,8101132610,1123097,157680744600,,실체급등
21,085910,네오티스,KOSDAQ,16.27,22150,9214109935,428341,305555218700,,실체급등
22,072950,빛샘전자,KOSDAQ,16.21,10110,27025683255,2759439,81411887100,,실체급등
23,081000,일진다이아,KOSPI,15.94,10620,2726722530,268194,150835594500,,저유동주의
24,131970,두산테스나,KOSDAQ,15.14,84400,49917906050,616837,1631218887200,,실체급등
25,251970,펌텍코리아,KOSDAQ,15.04,58900,15940213000,281830,730360000000,,실체급등
