순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,208640,썸에이지,KOSDAQ,30.00,1157,771214461,700262,16110096925,Y,저유동주의
2,052460,아이크래프트,KOSDAQ,30.00,4420,13686510110,3204963,64567077120,Y,실체급등
3,417860,오브젠,KOSDAQ,30.00,7930,908683595,117528,37325764580,Y,저유동주의
4,199430,케이엔알시스템,KOSDAQ,29.96,14270,3365023030,243199,159781803610,Y,저유동주의
5,299660,셀리드,KOSDAQ,29.94,1367,895954654,716614,40330569559,Y,저유동주의
6,368600,아이씨에이치,KOSDAQ,29.94,1033,2066701407,2000679,26646663695,Y,저유동주의
7,032685,소프트센우,KOSDAQ,29.90,11730,415855890,39439,837076260,Y,저유동주의
8,900100,파이온엑스,KOSDAQ,29.90,2715,1001835571,392269,14324475750,Y,저유동주의
9,413630,씨피시스템,KOSDAQ,29.87,4065,67356095881,18399195,148114799325,Y,실체급등
10,199730,바이오인프라,KOSDAQ,29.70,2035,103388175,50805,9898986845,Y,저유동주의
11,399720,가온칩스,KOSDAQ,27.25,50900,34041507575,710403,603615159600,,실체급등
12,025560,미래산업,KOSPI,22.28,10210,35725035115,3801587,259886769400,,실체급등
13,402030,코난테크놀로지,KOSDAQ,19.65,13030,6091290385,450041,163102868640,,실체급등
14,059120,아진엑스텍,KOSDAQ,19.34,6540,29160754525,4521092,119747831640,,실체급등
15,463020,뉴엔AI,KOSDAQ,18.36,7350,8638441785,1128548,65262120000,,실체급등
16,073190,듀오백,KOSDAQ,17.86,990,223872203,235970,11848359600,,동전주
17,108860,셀바스AI,KOSDAQ,17.66,8060,25515571820,3120247,216933207400,,실체급등
18,264850,이랜시스,KOSDAQ,17.52,5300,21458716406,4165922,160561443600,,실체급등
19,098660,에스티오,KOSDAQ,16.67,1715,391679376,236337,21439173840,,저유동주의
20,304100,솔트룩스,KOSDAQ,16.62,12910,10993963535,817306,162586668050,,실체급등
21,025870,신라에스지,KOSDAQ,15.80,2455,485888845,203847,9820000000,,저유동주의
