ym,n_pool,pool,G1_30,G1_30_bot,G2_50,G2_50_bot,G3_100,G3_100_bot,q1,q2,q3,q4,q5
2003-06,398,0.05857615416434874,0.1258124371671815,0.07000104737748922,0.1038080006706943,0.006174052834984662,0.09412353521507662,0.012415836359939791,-0.019164432707411243,0.06618176104903267,0.047553423426737323,0.08179894721376087,0.11689642683880028
2004-06,427,0.7320947343885087,0.7924145345996682,0.7585573707081755,0.7910953543808347,0.6477688550565543,0.7540580692856858,0.698259008052372,0.6627438088817322,0.6924060115762303,0.7780858147204263,0.7608964142982932,0.7667498089475991
2005-06,434,0.2621415603787902,0.24557422255906225,0.19004866708594412,0.2130304026897989,0.34031710056712533,0.1864560453763779,0.3380205228390906,0.31914379809671634,0.3489039431470976,0.2085860365016924,0.24321475735731726,0.190243686056908
2006-06,442,0.5978641094060823,0.4933610988538522,0.6411751463822294,0.5282333328958272,0.6593006146320713,0.5697453377807485,0.6503380957932726,0.6633581261112369,0.6284146449034542,0.535698154859142,0.6064578933685323,0.5551330577308875
2007-06,1076,-0.18376754213212732,-0.25715077469054476,-0.21975529281968326,-0.2562862280426979,-0.26477677194640575,-0.2352266476493723,-0.23681397094030912,-0.1879798715088917,-0.175434575342556,-0.27290034187504075,-0.15696285166052054,-0.12554047804396837
2008-06,1108,-0.16240719860533587,-0.06253477887028006,-0.26235755051955234,-0.13448165024299785,-0.16191930910519325,-0.09257765122883414,-0.16965814928625322,-0.15097172115237,-0.1892223902426612,-0.23033368054716216,-0.1123578629114949,-0.12904567986643015
2009-06,1114,0.09903386345150478,-0.06794793087177857,0.0871493021669966,-0.010164503367416226,0.15977862244118565,0.09999588254673651,0.12585463704365113,0.11732574593252186,0.13397216950538798,0.09212287726628253,0.058787119658271915,0.09293041392561915
2010-06,1098,0.06829926053015226,0.12556401408708545,0.010763172949201141,0.1414144718240974,-0.009713408095038156,0.12413746220685284,0.04507220719135634,0.06069403956210149,0.1014417638736759,-0.009480997923844662,0.06483404361022975,0.12414235028506973
2011-06,1109,0.002669361518704635,-0.1806408807112467,-0.015347799556337855,-0.08683329468616642,-0.02911360838359834,-0.08300304969163007,-0.025221716270150442,0.013227243385889648,0.053587077679449056,-0.002651980380291798,0.046337384094057174,-0.09717688719413493
2012-06,1126,0.10887725475684751,0.09121335328771643,0.047075394931957545,0.1516830808770939,0.01309722833184024,0.1636637094731432,0.045029602669937385,0.040367798231850244,0.1256481854495579,0.08277160678743439,0.16226157765280705,0.1336415921360325
2013-06,1143,0.09952100121353666,-0.02166357222736754,0.08803749505327188,-0.06148459433465119,0.028000327605051,-0.03281108545249048,0.06417121061058835,0.07432309932693416,0.14394474240092314,0.08828983064226996,0.13882630008808708,0.05258666260537259
2014-06,1142,0.3667843095425575,0.350926910712208,0.3992730959313165,0.1925778584427592,0.3266456282574761,0.2585327914701455,0.3845240736708028,0.30171748178725766,0.31005392646148566,0.4149630778261817,0.47557602407671357,0.3320487672543223
2015-06,1153,-0.06928983162669529,-0.23001155527694098,-0.019601250565042812,-0.1942010435894992,-0.06428996038669123,-0.13537994113224489,-0.017134555585819305,-0.04426022973060064,-0.06878193065243308,-0.018598988867048197,-0.0924173608861966,-0.12248856846596522
