code,name,sector,mcap,adtv
021240,코웨이,그외 기타 개인 서비스업,6694598499600,32760389550
005385,현대차우,,6582150720000,82796775750
128940,한미약품,의약품 제조업,6495172437000,225252400000
000100,유한양행,의약품 제조업,6491279481500,26125344152
090430,아모레퍼시픽,기타 화학제품 제조업,6393258558700,27301663350
000500,가온전선,절연선 및 케이블 제조업,6385642390000,69264257500
377300,카카오페이,금융 지원 서비스업,6302942415000,11617910575
241560,두산밥캣,특수 목적용 기계 제조업,6249815438000,20510761850
066970,엘앤에프,일차전지 및 이차전지 제조업,6068323050000,118234658800
010060,OCI홀딩스,기타 금융업,5909128428000,108520048500
336260,두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",5422880512800,64205197850
029780,삼성카드,기타 금융업,5416403154250,7351735375
004170,신세계,종합 소매업,5374307989000,81775416000
022100,포스코DX,"건축기술, 엔지니어링 및 관련 기술 서비스업",5366825933700,77010094075
138930,BNK금융지주,기타 금융업,5328315156610,21564473495
011790,SKC,기타 화학제품 제조업,5309135379600,147469904650
001040,CJ,기타 금융업,5295625137000,40601406350
088980,맥쿼리인프라,신탁업 및 집합투자업,5248985043280,34844648690
018880,한온시스템,일반 목적용 기계 제조업,5131312760000,100363403331
271560,오리온,기타 식품 제조업,5076439348800,13987816800
004020,현대제철,1차 철강 제조업,5050922962250,37049049100
052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",4876872000000,22179505150
082740,한화엔진,일반 목적용 기계 제조업,4873313092800,52884275800
002380,KCC,기타 화학제품 제조업,4812021760000,19410240000
175330,JB금융지주,기타 금융업,4489847978400,20778394300
023530,롯데쇼핑,종합 소매업,4359297145500,26215530350
088350,한화생명,보험업,4216713150000,32905375498
450080,에코프로머티,일차전지 및 이차전지 제조업,4079713523900,46853771750
103590,일진전기,절연선 및 케이블 제조업,4077100845000,35894226850
051900,LG생활건강,기타 화학제품 제조업,3731067928000,14190837000
251270,넷마블,소프트웨어 개발 및 공급업,3678862237900,20322231875
020150,롯데에너지머티리얼즈,전자부품 제조업,3524195659900,80328797200
012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3494865960000,10006678800
111770,영원무역,상품 종합 도매업,3478450238000,4910376600
489790,한화비전,통신 및 방송 장비 제조업,3418064003000,39590844750
011170,롯데케미칼,기초 화학물질 제조업,3310817430600,10971202450
302440,SK바이오사이언스,기초 의약물질 제조업,3240255638900,9618317050
011780,금호석유화학,기초 화학물질 제조업,3222653332500,9851236350
035250,강원랜드,유원지 및 기타 오락관련 서비스업,3217665120000,9249608135
005850,에스엘,자동차 신품 부품 제조업,3204947880000,18566645400
004800,효성,기타 금융업,3168959045100,9117373450
036460,한국가스공사,연료용 가스 제조 및 배관공급업,3129410700000,8902337975
097950,CJ제일제당,기타 식품 제조업,3025891386000,22842553650
031210,서울보증보험,보험업,3023275193400,4306346775
017800,현대엘리베이터,일반 목적용 기계 제조업,2990567452500,24096717650
001450,현대해상,보험업,2966639100000,18858664050
009420,한올바이오파마,의약품 제조업,2962044174600,36329632100
001720,신영증권,금융 지원 서비스업,2957556000000,5243120300
014680,한솔케미칼,기초 화학물질 제조업,2842548750000,32861569250
204320,HL만도,자동차 신품 부품 제조업,2817427200000,40576948900
012750,에스원,"경비, 경호 및 탐정업",2815739089800,7656938800
139130,iM금융지주,기타 금융업,2801292727520,7995918785
000155,두산우,,2757558780000,24806983000
383220,F&F,봉제의복 제조업,2723633032500,5462462750
375500,DL이앤씨,토목 건설업,2720161696900,37673114450
457190,이수스페셜티케미컬,기초 화학물질 제조업,2689479608000,22333270600
028670,팬오션,해상 운송업,2672847560000,12235242504
069960,현대백화점,종합 소매업,2626606281600,25695773950
007810,코리아써키트,전자부품 제조업,2614105580000,63124508300
001740,SK네트웍스,기타 전문 도매업,2575625534760,66241371390
004990,롯데지주,기타 금융업,2511527155200,7112353175
009970,영원무역홀딩스,기타 금융업,2447411668100,2977505500
139480,이마트,종합 소매업,2439470399600,14375561500
007340,DN오토모티브,일차전지 및 이차전지 제조업,2416498724500,11854320900
006360,GS건설,건물 건설업,2413398018000,25936812350
026960,동서,음·식료품 및 담배 도매업,2402770000000,2896968425
000240,한국앤컴퍼니,기타 금융업,2363887476000,6516395700
439260,대한조선,선박 및 보트 건조업,2338648022000,5446153500
483650,달바글로벌,기타 화학제품 제조업,2336721521000,55959021700
004370,농심,기타 식품 제조업,2329651886000,8231364500
085620,미래에셋생명,보험업,2325096000000,21501373560
003690,코리안리,재 보험업,2315045506100,14158218280
011210,현대위아,자동차 신품 부품 제조업,2297984513500,26375891000
282330,BGF리테일,종합 소매업,2290117545000,9274131700
279570,케이뱅크,은행 및 저축기관,2267835894090,8782056350
051600,한전KPS,전기 및 통신 공사업,2247750000000,9856419050
008930,한미사이언스,기타 금융업,2229564530000,4480598800
071970,HD현대마린엔진,일반 목적용 기계 제조업,2211681474000,18271958800
030000,제일기획,광고업,2117908952250,8208032675
007070,GS리테일,종합 소매업,2111087228750,3711515100
081660,미스토홀딩스,생활용품 도매업,2105091456000,12713541350
103140,풍산,1차 비철금속 제조업,2090611138800,16330543950
00680K,미래에셋증권2우B,,2074800000000,7597597160
018670,SK가스,기타 전문 도매업,2064365412000,1944138000
008770,호텔신라,기타 상품 전문 소매업,2044827104100,15667160150
066575,LG전자우,,2015366372700,269789475150
229640,LS에코에너지,기타 금융업,1984492159200,13982344100
120110,코오롱인더,화학섬유 제조업,1982427318400,23622054750
005440,현대지에프홀딩스,기타 금융업,1972189407650,3241471780
161890,한국콜마,기타 화학제품 제조업,1968663421800,11775216800
097230,HJ중공업,토목 건설업,1941349896000,23091060300
192820,코스맥스,기타 화학제품 제조업,1929416530000,12189049750
000120,CJ대한통운,도로 화물 운송업,1913955661600,5216020000
112610,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업",1910364555900,12456630275
009155,삼성전기우,,1831399920000,84583744000
322000,HD현대에너지솔루션,반도체 제조업,1826720000000,48761251450
001430,세아베스틸지주,1차 철강 제조업,1796692161900,11480798875
462870,시프트업,소프트웨어 개발 및 공급업,1786024653000,4234656800
181710,NHN,소프트웨어 개발 및 공급업,1745742308700,29695877425
023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1688205168000,2810209575
002790,아모레퍼시픽홀딩스,기타 화학제품 제조업,1678257051000,3323375325
001800,오리온홀딩스,기타 금융업,1647574598600,4461021675
017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업",1612306363200,11013732775
005070,코스모신소재,기타 화학제품 제조업,1602603050750,12280593875
006280,녹십자,의약품 제조업,1541454362200,9559807250
298020,효성티앤씨,화학섬유 제조업,1540654792000,6846143750
395400,SK리츠,부동산 임대 및 공급업,1529169509600,2629912820
006040,동원산업,기타 금융업,1514030091700,1893132900
001120,LX인터내셔널,상품 중개업,1507764000000,8007541425
361610,SK아이이테크놀로지,일차전지 및 이차전지 제조업,1493432446000,3661556170
003540,대신증권,금융 지원 서비스업,1486436842600,3420494600
077970,STX엔진,일반 목적용 기계 제조업,1481463524700,16738409425
192080,더블유게임즈,소프트웨어 개발 및 공급업,1480025413200,7148640100
032350,롯데관광개발,여행사 및 기타 여행보조 서비스업,1436806605700,19027212265
020560,아시아나항공,항공 여객 운송업,1425455720120,848936705
069620,대웅제약,의약품 제조업,1425148725000,4858551350
073240,금호타이어,고무제품 제조업,1378849377600,5358420159
003570,SNT다이내믹스,자동차 신품 부품 제조업,1353384767900,7116135975
007310,오뚜기,기타 식품 제조업,1324587815000,7057934250
294870,IPARK현대산업개발,건물 건설업,1301010694200,4984887305
195870,해성디에스,전자부품 제조업,1293700000000,26926790200
475150,SK이터닉스,건물 건설업,1279216000200,17369872975
030610,교보증권,금융 지원 서비스업,1269547385540,1278820795
034230,파라다이스,유원지 및 기타 오락관련 서비스업,1267169945760,8853350360
004000,롯데정밀화학,기초 화학물질 제조업,1255170000000,5764814650
003530,한화투자증권,금융 지원 서비스업,1244377095000,11736264000
051915,LG화학우,,1242510080000,6578265950
012630,HDC,기타 금융업,1224705280500,2537237070
415640,KB발해인프라,신탁업 및 집합투자업,1199720914920,972877525
006110,삼아알미늄,1차 비철금속 제조업,1197777636000,49982767650
281820,케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1181980061700,6964628400
082640,동양생명,보험업,1170469357500,2822694860
000815,삼성화재우,,1162213230000,8464555250
000080,하이트진로,알코올음료 제조업,1155100573170,6222938760
093370,후성,기초 화학물질 제조업,1134761391400,12869848900
089860,롯데렌탈,운송장비 임대업,1121960089200,2900676375
001820,삼화콘덴서,전자부품 제조업,1119541500000,177890276250
456040,OCI,기초 화학물질 제조업,1075194649500,8112759300
300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업",1064199174230,2144012525
000210,DL,기초 화학물질 제조업,1060367730400,4867274250
185750,종근당,의약품 제조업,1057292948000,3301300700
003090,대웅,의약품 제조업,1047137059800,1366984165
003240,태광산업,화학섬유 제조업,1035462000000,2647475000
330590,롯데리츠,부동산 임대 및 공급업,1012835938420,1681291983
100090,SK오션플랜트,1차 철강 제조업,1012145689800,6887547675
003470,유안타증권,금융 지원 서비스업,1007962708800,5164864187
280360,롯데웰푸드,기타 식품 제조업,1001457651200,1906685850
009450,경동나비엔,가정용 기기 제조업,999405411200,2831936000
005300,롯데칠성,비알코올음료 및 얼음 제조업,996552141600,3622490300
090460,비에이치,전자부품 제조업,986062486500,18552707800
071055,한국금융지주우,,981257042500,2498841800
365550,ESR켄달스퀘어리츠,부동산 임대 및 공급업,926525085000,1409239222
057050,현대홈쇼핑,무점포 소매업,926400000000,1300493450
000670,영풍,1차 비철금속 제조업,926057354900,1455619650
137310,에스디바이오센서,의료용 기기 제조업,900788300920,1115498240
248070,솔루엠,전자부품 제조업,896076262640,5904409110
298050,HS효성첨단소재,화학섬유 제조업,886581709200,5193508100
192400,쿠쿠홀딩스,기타 금융업,880164078750,831112600
108320,LX세미콘,반도체 제조업,873392910000,5797200850
006340,대원전선,절연선 및 케이블 제조업,871184161760,48761435435
033240,자화전자,전자부품 제조업,865300355100,16770974475
499790,GS피앤엘,기타 금융업,858675415300,2986782350
00088K,한화3우B,,855735848100,4180151625
005690,파미셀,전자부품 제조업,837055995300,12726328660
030190,NICE평가정보,기타 정보 서비스업,835365452860,2313621885
010780,아이에스동서,"시멘트, 석회, 플라스터 및 그 제품 제조업",821085747200,3365647075
006120,SK디스커버리,기타 금융업,820187672100,1026697300
079900,전진건설로봇,특수 목적용 기계 제조업,815723265500,2647261900
214320,이노션,광고업,810000000000,4650155855
451800,한화리츠,부동산 임대 및 공급업,809098000000,905367166
036530,SNT홀딩스,기타 금융업,807857551300,1252713425
075580,세진중공업,선박 및 보트 건조업,804419802400,3777275230
