순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,011330,유니켐,KOSPI,30.00,4550,273627900,60138,41035462650,Y,저유동주의
2,148780,비큐AI,KOSDAQ,29.99,5050,1605896870,325514,31760182250,Y,저유동주의
3,239340,이스트에이드,KOSDAQ,29.97,928,2228457170,2620963,25037100352,Y,동전주
4,0039P0,매드업,KOSDAQ,29.93,9940,119088026370,13030204,186945556000,Y,실체급등
5,226340,본느,KOSDAQ,29.93,4775,14837480788,3261755,40064561100,Y,실체급등
6,348080,큐라티스,KOSDAQ,29.93,3885,241965570,62282,49835820405,Y,저유동주의
7,0015N0,아로마티카,KOSDAQ,29.90,8950,30518085390,3672327,112563451900,Y,실체급등
8,001290,상상인증권,KOSPI,29.87,926,1229470134,1364067,100320173120,Y,동전주
9,210980,SK디앤디,KOSPI,29.84,5940,7864825215,1354324,110587249080,Y,실체급등
10,900100,파이온엑스,KOSDAQ,29.77,2550,1790318377,730416,13453927500,Y,저유동주의
11,041830,인바디,KOSDAQ,23.46,70000,44805309000,654579,943661740000,,실체급등
12,476060,온코닉테라퓨틱스,KOSDAQ,22.33,15940,71518064900,4611291,723800969600,,실체급등
13,067290,JW신약,KOSDAQ,16.21,2330,75508675188,31630225,130566449990,,실체급등
14,222040,코스맥스엔비티,KOSDAQ,15.83,9000,7983817540,913355,185652000000,,실체급등
15,153890,져스텍,KOSDAQ,15.47,9780,40180268315,4069552,117851982900,,실체급등
16,040160,누리플렉스,KOSDAQ,15.30,5540,1049073830,190544,66787663900,,저유동주의
17,159010,아스플로,KOSDAQ,15.15,19000,8203016800,447905,253360041000,,실체급등
