date,code,market,name,mcap,shares,sect
2026-08-21,033780,KOSPI,KT&G,17886541568800,103810456,
2026-08-21,058850,KOSPI,KTcs,90675745500,41404450,
2026-08-21,058860,KOSPI,KTis,87701040000,34802000,
2026-08-21,093050,KOSPI,LF,657900000000,29240000,
2026-08-21,003550,KOSPI,LG,16283378830800,151192004,
2026-08-21,034220,KOSPI,LG디스플레이,4750000000000,500000000,
2026-08-21,051900,KOSPI,LG생활건강,4687338699000,14975523,
2026-08-21,051905,KOSPI,LG생활건강우,228911482800,2096259,
2026-08-21,064400,KOSPI,LG씨엔에스,6937033876800,96885948,
2026-08-21,373220,KOSPI,LG에너지솔루션,80379000000000,234000000,
2026-08-21,003555,KOSPI,LG우,204460412100,3011199,
2026-08-21,032640,KOSPI,LG유플러스,6311240374840,424427732,
2026-08-21,011070,KOSPI,LG이노텍,13016908850000,23667107,
2026-08-21,066570,KOSPI,LG전자,31681062091000,162884638,
2026-08-21,066575,KOSPI,LG전자우,1154583292800,17181299,
2026-08-21,037560,KOSPI,LG헬로비전,123914984000,77446865,
2026-08-21,051910,KOSPI,LG화학,17824566607500,70592343,
2026-08-21,051915,KOSPI,LG화학우,909585040000,7688800,
2026-08-21,079550,KOSPI,LIG디펜스앤에어로스페이스,15290000000000,22000000,
2026-08-21,006260,KOSPI,LS,9157200000000,31200000,
2026-08-21,010120,KOSPI,LS ELECTRIC,28050000000000,150000000,
2026-08-21,000680,KOSPI,LS네트웍스,236015032920,78803016,
2026-08-21,229640,KOSPI,LS에코에너지,1306151089350,30624879,
2026-08-21,108320,KOSPI,LX세미콘,600965885000,16264300,
2026-08-21,001120,KOSPI,LX인터내셔널,1469004000000,38760000,
2026-08-21,108670,KOSPI,LX하우시스,302658862500,8967670,
2026-08-21,108675,KOSPI,LX하우시스우,19180691400,1032330,
2026-08-21,383800,KOSPI,LX홀딩스,616347975200,76280690,
2026-08-21,38380K,KOSPI,LX홀딩스1우,10989637500,1465285,
2026-08-21,023150,KOSPI,MH에탄올,30030600820,7378526,
2026-08-21,035420,KOSPI,NAVER,34849023870000,156977585,
2026-08-21,036570,KOSPI,NC,4836632939000,21544022,
2026-08-21,181710,KOSPI,NHN,2463036052800,32753139,
2026-08-21,400760,KOSPI,NH올원리츠,155999141000,54929275,
2026-08-21,005940,KOSPI,NH투자증권,9636279340500,369206105,
2026-08-21,005945,KOSPI,NH투자증권우,451959683600,18870968,
2026-08-21,338100,KOSPI,NH프라임리츠,68762100000,18660000,
2026-08-21,034310,KOSPI,NICE,484091757690,36757157,
2026-08-21,030190,KOSPI,NICE평가정보,883083789730,58911527,
2026-08-21,008260,KOSPI,NI스틸,102817420615,28600117,
2026-08-21,004250,KOSPI,NPC,106855200000,36720000,
2026-08-21,004255,KOSPI,NPC우,9709920000,5280000,
2026-08-21,456040,KOSPI,OCI,717094849500,8952495,
2026-08-21,010060,KOSPI,OCI홀딩스,4947611480000,18670232,
2026-08-21,178920,KOSPI,PI첨단소재,542395967340,29366322,
2026-08-21,001340,KOSPI,PKC,218836512540,45028089,
2026-08-21,005490,KOSPI,POSCO홀딩스,24564873370000,79241527,
2026-08-21,010950,KOSPI,S-Oil,15885431951200,112582792,
2026-08-21,010955,KOSPI,S-Oil우,272686650600,4021927,
2026-08-21,034120,KOSPI,SBS,232632524520,18551238,
2026-08-21,003080,KOSPI,SB성보,44744700000,20020000,
2026-08-21,005090,KOSPI,SGC에너지,904906112400,14409333,
2026-08-21,001380,KOSPI,SG글로벌,29563923365,22482071,
2026-08-21,004060,KOSPI,SG세계물산,44432278720,20242496,
2026-08-21,001770,KOSPI,SHD,14785065260,1214878,
