code,fiscal_year,revenue,cogs,assets
000210,2015,9513673300027.0,8736535496540.0,12064893869855.0
000210,2016,9853769999134.0,8877857221491.0,12391509195461.0
000210,2017,12335536232606.0,11139469104954.0,13402454876273.0
000210,2018,10984485292300.0,9564323684890.0,12833716731566.0
000210,2019,9700078891564.0,8042507694614.0,13445224177772.0
000210,2020,1566148811684.0,1251799225891.0,13901859840255.0
000210,2021,2358774796779.0,1937318660208.0,8180715293855.0
000210,2022,5174950425108.0,4165858495253.0,12018993889708.0
000210,2023,5017815821242.0,4091724341065.0,12119563559885.0
000210,2024,5615368498981.0,4375120120273.0,12535315407584.0
000210,2025,5326721292281.0,4200388355877.0,12182144221519.0
000220,2015,62816222711.0,31717190268.0,101400549721.0
000220,2016,69743374563.0,38870768362.0,104327188394.0
000220,2017,62852074313.0,32866391015.0,121491152534.0
000220,2018,83096445246.0,42459508013.0,135226314806.0
000220,2019,90877644152.0,44267328889.0,137718626620.0
000220,2020,98119846404.0,52850891789.0,154901006984.0
000220,2021,115655484997.0,70320099672.0,192985287597.0
000220,2022,138881056346.0,85567912708.0,195205072788.0
000220,2023,137209588673.0,88312980289.0,198213526767.0
000220,2024,133147218082.0,81442571798.0,207687399005.0
000220,2025,140884666972.0,86943568207.0,207223189486.0
000230,2015,476385096749.0,239740439023.0,705637923227.0
000230,2016,40771268801.0,44506893937.0,204087848033.0
000230,2017,41070663187.0,42897265595.0,274838717939.0
000230,2018,47050030688.0,47031134659.0,265468274381.0
000230,2019,292221432211.0,318106419792.0,805625164013.0
000230,2020,596468913499.0,605683629509.0,799396993023.0
000230,2021,592374545924.0,675218248325.0,920762518312.0
000230,2022,675539717333.0,773950700477.0,862553166894.0
000230,2023,638447517670.0,718009293497.0,876999054796.0
000230,2024,657566885958.0,424773487606.0,854701442970.0
000230,2025,590889546403.0,365737775672.0,802861393964.0
000240,2015,223646645298.0,42086346871.0,2666933000908.0
000240,2017,824846243568.0,527886796278.0,3252509953437.0
000240,2018,847957280682.0,563849070337.0,3498590607824.0
000240,2019,847609750228.0,588370003873.0,3607086237555.0
000240,2020,820942186292.0,578284902708.0,3792451107167.0
000240,2021,963300354498.0,636114877937.0,4081229754648.0
000240,2022,1095895770449.0,753658210800.0,4301818675789.0
000240,2023,1089668057103.0,730918971064.0,4640995961705.0
000240,2024,1390995724547.0,859698056997.0,5136426181879.0
000240,2025,1457551700261.0,916629331908.0,5259624597652.0
000250,2015,132062478625.0,60052352592.0,184260203377.0
000250,2016,147372999944.0,68299073263.0,205113463321.0
000250,2017,161111597304.0,75822850617.0,235143416817.0
000250,2018,159960312377.0,76762385445.0,261158440164.0
000250,2019,186602477367.0,75946715852.0,290150966088.0
000250,2020,166862333786.0,72862414444.0,317078865822.0
000250,2021,167274903875.0,84196690194.0,343947668188.0
000250,2022,177335410013.0,87340758054.0,373275926268.0
000250,2023,192668515628.0,95702222190.0,408021822012.0
000250,2024,210923804522.0,111261375855.0,519772210839.0
000250,2025,231805277738.0,122429341329.0,561231384431.0
000270,2015,49521447000000.0,39653769000000.0,45980113000000.0
000270,2016,52712906000000.0,42281590000000.0,50889260000000.0
000270,2017,53535680000000.0,44618696000000.0,52294438000000.0
000270,2018,54169813000000.0,46177283000000.0,51786605000000.0
000270,2019,58145959000000.0,48766570000000.0,55344798000000.0
000270,2020,59168096000000.0,49222564000000.0,60490443000000.0
000270,2021,69862366000000.0,56937165000000.0,66849997000000.0
000270,2022,86559029000000.0,68536010000000.0,73710965000000.0
000270,2023,99808420000000.0,77179573000000.0,80627826000000.0
000270,2024,107448752000000.0,82677981000000.0,92755874000000.0
000270,2025,114140919000000.0,91632842000000.0,98979055000000.0
000300,2015,495781661306.0,452762754080.0,784472055577.0
000300,2016,434112970778.0,388266396982.0,945163529405.0
000300,2017,457742056155.0,415974211019.0,945974763233.0
000300,2018,503410183525.0,429582179133.0,1000928258677.0
000300,2019,457263303244.0,412868752645.0,1087246344837.0
000300,2020,452928402735.0,402193558546.0,473214226600.0
000300,2021,511973797943.0,461164961725.0,594393688298.0
000300,2022,536676753422.0,470175042726.0,543210276853.0
000300,2023,32790275265.0,40930167561.0,74273121353.0
000300,2024,32380378302.0,31250720297.0,66061636175.0
000300,2025,40170942353.0,31512587077.0,51227285240.0
000320,2015,683481222317.0,494360225048.0,986460689330.0
000320,2016,690144457883.0,496197972063.0,970205088618.0
000320,2017,771302006322.0,576119198094.0,988648436860.0
000320,2018,835993399357.0,652800939187.0,987142342109.0
000320,2019,884292309439.0,674244549456.0,1007372302316.0
000320,2020,848027490769.0,642585277444.0,1051083864532.0
000320,2021,955214023609.0,766606951377.0,1055537182156.0
000320,2022,1037899570197.0,827162910248.0,1171989377978.0
000320,2023,1214616529837.0,923480126122.0,1188823571530.0
000320,2024,1247877697168.0,940057781259.0,1214838948245.0
000320,2025,1239267844107.0,939624931101.0,1279356692133.0
000360,2015,466166683218.0,451533904020.0,550095122026.0
000360,2018,167878905279.0,164640930931.0,132998226843.0
000390,2015,507187889565.0,393268960913.0,511933171523.0
000390,2016,482191529811.0,381185385272.0,526308222878.0
000390,2017,488121070614.0,400110042991.0,542305991676.0
000390,2018,524223806795.0,436878421069.0,557979479722.0
000390,2019,540276699849.0,442879735306.0,560640699578.0
000390,2020,551718832662.0,445916544012.0,594292973764.0
000390,2021,631605900694.0,536116745169.0,612097736166.0
000390,2022,646039531651.0,525919037953.0,587186274133.0
000390,2023,631381875774.0,498952300520.0,590613614037.0
000390,2024,628348259134.0,504445700281.0,619315087530.0
000390,2025,617067546154.0,477886641825.0,620525370677.0
000420,2015,20525305034.0,22824618947.0,19574558060.0
000430,2015,1013035744301.0,885506549916.0,1157468858936.0
000430,2016,1076116262240.0,940424111910.0,1288363972010.0
000430,2017,1028166497789.0,914425221073.0,1166363519610.0
000430,2018,995413421022.0,881252163894.0,1085767330274.0
000430,2019,960215102441.0,864259276659.0,1047989108475.0
000430,2020,861230959669.0,788703283413.0,1017866946915.0
000430,2021,862222796887.0,798062768421.0,983029517334.0
000430,2022,1024450498787.0,936372146303.0,1010418825338.0
000430,2023,1106756862193.0,976320112945.0,1026303658490.0
000430,2024,1367585047000.0,1219183385000.0,1302349327000.0
000430,2025,1599072177000.0,1437560646000.0,1449297103000.0
000440,2015,90446909719.0,69261773755.0,77370623681.0
000440,2016,91628325947.0,69986695061.0,77535141052.0
000440,2017,70818896796.0,58635726266.0,60493561837.0
000440,2018,76133493867.0,63437336497.0,58743738214.0
000440,2019,65702344320.0,53921816113.0,61575390254.0
000440,2020,53564699255.0,42974238393.0,71325526765.0
000440,2021,60712577714.0,50307025679.0,64464477812.0
000440,2022,71620870966.0,59858678506.0,63421752822.0
000440,2023,55473865404.0,45125616197.0,61533132670.0
000440,2024,49810930913.0,40865807588.0,58475728545.0
000440,2025,49592330053.0,40727860893.0,54994657695.0
000480,2015,728337552033.0,637513139718.0,903697171205.0
000480,2016,714499501575.0,611295492768.0,970226074870.0
000480,2017,694333852105.0,625210734153.0,999226221711.0
000480,2018,789176793334.0,672408133835.0,1030622204784.0
000480,2019,757153217374.0,652065008440.0,1069059371954.0
000480,2020,705226744013.0,604140692506.0,1246277915624.0
000480,2021,746291404630.0,631047378009.0,1349335977271.0
000480,2022,798039613255.0,678382456931.0,1620442052683.0
000480,2023,816904445534.0,673199955330.0,1621801858956.0
000480,2024,810831515000.0,690510398000.0,1697695581000.0
000480,2025,827752427000.0,697700578000.0,1565188415000.0
000490,2015,583473475411.0,452143421376.0,688285313104.0
000490,2016,585413995108.0,464168025009.0,667215742122.0
000490,2017,610103128049.0,484103436372.0,730626224000.0
000490,2018,654760355625.0,529711488165.0,772716727753.0
000490,2019,832931372725.0,638150434820.0,816997551816.0
000490,2020,895751424440.0,717193492942.0,938726122031.0
000490,2021,1179193321819.0,962806271916.0,1260639075992.0
000490,2022,1463737929724.0,1150026567244.0,1713773205581.0
000490,2023,1433390777280.0,1121155128717.0,1956376110942.0
000490,2024,1415582422216.0,1107095111930.0,2132627316122.0
000490,2025,1484722098136.0,1147174818512.0,2275000906820.0
0004V0,2025,63094455574.0,62292137841.0,86307585555.0
000500,2015,780951401009.0,-741377857567.0,520474258725.0
000500,2016,749444962711.0,-706983887104.0,519225688902.0
000500,2017,836979323369.0,799439594719.0,538955918306.0
000500,2018,840654318393.0,805160771493.0,526494275213.0
000500,2019,830264391828.0,791228734171.0,512573535099.0
000500,2020,857415249064.0,809450188770.0,542461377882.0
000500,2021,1070383204799.0,1008608967466.0,658966428816.0
000500,2022,1416454404337.0,1327920806471.0,752332445010.0
000500,2023,1498606544413.0,1385917013494.0,801805532215.0
000500,2024,1727103680000.0,1610473643000.0,1042884426000.0
000500,2025,2545698074000.0,2340192100000.0,1377927912000.0
000520,2015,88136458798.0,50788187235.0,99311888103.0
000520,2016,96758065722.0,55307895227.0,100995488961.0
000520,2017,92037814986.0,51132624145.0,135477088917.0
000520,2018,94599866210.0,59808844916.0,147948619245.0
000520,2019,121107085914.0,74382890128.0,183874717250.0
000520,2020,122998992149.0,73966763476.0,191660926981.0
000520,2021,134246777887.0,85258534740.0,226404983052.0
000520,2022,179676108240.0,112190588624.0,356700496639.0
000520,2023,196345807846.0,122275013264.0,370680097036.0
000520,2024,219699586442.0,138785401909.0,395071163939.0
000520,2025,210253472993.0,133134996475.0,371601555822.0
000590,2015,138970754855.0,101942744722.0,284933124402.0
000590,2016,123144962095.0,89665704207.0,293927435342.0
000590,2017,120959821888.0,89757286748.0,302433875442.0
000590,2018,122550868578.0,94019832445.0,304418192853.0
000590,2019,134971514129.0,101877574480.0,314291512839.0
000590,2020,131637084502.0,98462604425.0,323725567844.0
000590,2021,159017955309.0,118076364740.0,353716995747.0
000590,2022,175266452048.0,141658049341.0,364121570785.0
000590,2023,171965239524.0,134650387494.0,383909710687.0
000590,2024,141950747269.0,106093767727.0,412586797943.0
