date,value,yoy
2000-01-01,21.98,
2000-02-01,20.52,
2000-03-01,22.63,
2000-04-01,22.86,
2000-05-01,26.2,
2000-06-01,28.66,
2000-07-01,28.93,
2000-08-01,31.34,
2000-09-01,31.77,
2000-10-01,28.33,
2000-11-01,25.77,
2000-12-01,23.48,
2001-01-01,21.44,-0.02456778889899902
2001-02-01,18.66,-0.09064327485380119
2001-03-01,18.25,-0.19354838709677413
2001-04-01,15.07,-0.34076990376202976
2001-05-01,14.93,-0.43015267175572514
2001-06-01,13.92,-0.5143056524773203
2001-07-01,10.35,-0.6422398893881784
2001-08-01,10.67,-0.6595405232929163
2001-09-01,11.89,-0.6257475605917532
2001-10-01,11.47,-0.5951288386869042
2001-11-01,12.77,-0.5044625533566163
2001-12-01,10.92,-0.534923339011925
2002-01-01,13.79,-0.35680970149253743
2002-02-01,13.75,-0.26312968917470525
2002-03-01,17.21,-0.056986301369862935
2002-04-01,16.57,0.09953550099535491
2002-05-01,16.1,0.07836570663094444
2002-06-01,16.18,0.16235632183908044
2002-07-01,17.06,0.6483091787439612
2002-08-01,17.79,0.6672914714151827
2002-09-01,16.69,0.40370058873002534
2002-10-01,19.17,0.6713164777680907
2002-11-01,19.74,0.5458104933437744
2002-12-01,17.75,0.6254578754578755
2003-01-01,19.61,0.4220449601160261
2003-02-01,14.14,0.02836363636363637
2003-03-01,16.26,-0.0552004648460197
2003-04-01,16.67,0.0060350030175015945
2003-05-01,17.06,0.05962732919254643
2003-06-01,17.82,0.10135970333745359
2003-07-01,19.86,0.164126611957796
2003-08-01,21.5,0.20854412591343463
2003-09-01,23.2,0.390053924505692
2003-10-01,25.54,0.33229003651538846
2003-11-01,24.56,0.24417426545086118
2003-12-01,24.54,0.3825352112676055
2004-01-01,22.94,0.16981132075471717
2004-02-01,23.65,0.6725601131541723
2004-03-01,26.63,0.6377613776137758
2004-04-01,27.72,0.6628674265146968
2004-05-01,28.61,0.6770222743259087
2004-06-01,27.51,0.5437710437710439
2004-07-01,26.7,0.34441087613293053
2004-08-01,27.37,0.2730232558139536
2004-09-01,27.15,0.17025862068965525
2004-10-01,29.37,0.14996084573218482
2004-11-01,28.8,0.17263843648208477
2004-12-01,25.38,0.03422982885085579
2005-01-01,29.0,0.2641673931996511
2005-02-01,27.14,0.1475687103594081
2005-03-01,30.62,0.14983101764926787
2005-04-01,29.11,0.05014430014430027
2005-05-01,30.15,0.05382733310031451
2005-06-01,30.71,0.11632133769538355
2005-07-01,31.85,0.19288389513108628
2005-08-01,31.66,0.15674095725246606
2005-09-01,31.42,0.15727440147329652
2005-10-01,31.9,0.08614232209737827
2005-11-01,30.68,0.06527777777777777
2005-12-01,28.96,0.14105594956658796
2006-01-01,29.03,0.001034482758620836
2006-02-01,27.7,0.020633750921149607
2006-03-01,31.26,0.020901371652514822
2006-04-01,30.32,0.04156647200274821
2006-05-01,32.07,0.06368159203980106
2006-06-01,31.28,0.018560729404102805
2006-07-01,31.88,0.0009419152276295417
2006-08-01,34.04,0.07517372078332274
2006-09-01,36.24,0.15340547422024198
2006-10-01,37.25,0.16771159874608155
2006-11-01,41.85,0.3640808344198174
2006-12-01,40.69,0.4050414364640882
2007-01-01,43.46,0.4970719944884603
2007-02-01,37.36,0.3487364620938629
2007-03-01,38.6,0.234804862444018
2007-04-01,34.58,0.14050131926121368
2007-05-01,35.2,0.09759900218272533
2007-06-01,38.5,0.2308184143222507
2007-07-01,41.1,0.2892095357590967
2007-08-01,43.0,0.263219741480611
2007-09-01,39.6,0.0927152317880795
2007-10-01,41.09,0.10308724832214766
2007-11-01,41.99,0.003345280764635694
2007-12-01,36.5,-0.10297370361268121
2008-01-01,34.01,-0.21744132535664984
2008-02-01,31.1,-0.1675588865096359
2008-03-01,35.21,-0.08782383419689122
2008-04-01,34.3,-0.00809716599190291
2008-05-01,37.04,0.05227272727272725
2008-06-01,39.11,0.01584415584415577
2008-07-01,38.53,-0.0625304136253041
2008-08-01,37.35,-0.13139534883720927
2008-09-01,35.4,-0.10606060606060608
2008-10-01,30.1,-0.2674616695059625
2008-11-01,23.31,-0.44486782567277927
2008-12-01,18.14,-0.503013698630137
2009-01-01,18.08,-0.4683916495148486
2009-02-01,18.37,-0.4093247588424437
2009-03-01,21.77,-0.3817097415506958
2009-04-01,25.44,-0.25830903790087456
2009-05-01,28.94,-0.21868250539956802
2009-06-01,30.23,-0.22705190488366145
2009-07-01,32.46,-0.1575395795484038
2009-08-01,34.59,-0.07389558232931726
2009-09-01,38.64,0.09152542372881367
2009-10-01,41.29,0.3717607973421926
2009-11-01,42.22,0.8112398112398114
2009-12-01,41.36,1.2800441014332966
2010-01-01,39.8,1.2013274336283186
2010-02-01,40.34,1.1959716929776811
2010-03-01,48.67,1.2356453835553514
2010-04-01,50.31,0.9775943396226414
2010-05-01,52.84,0.8258465791292329
2010-06-01,52.66,0.7419781673833938
2010-07-01,55.38,0.7060998151571165
2010-08-01,56.92,0.6455623012431337
2010-09-01,57.31,0.4831780538302277
2010-10-01,54.57,0.32162751271494305
2010-11-01,49.37,0.1693510184746565
2010-12-01,50.81,0.22848162475822065
2011-01-01,48.86,0.227638190954774
2011-02-01,43.49,0.0780862667327713
2011-03-01,53.29,0.09492500513663438
2011-04-01,49.54,-0.015305108328364181
2011-05-01,49.89,-0.05582891748675256
2011-06-01,50.26,-0.04557538928978344
2011-07-01,47.22,-0.1473456121343446
2011-08-01,48.78,-0.1430077301475755
2011-09-01,54.93,-0.04152852905252147
2011-10-01,52.28,-0.0419644493311343
2011-11-01,49.04,-0.006684221186955552
2011-12-01,51.12,0.006101161188742266
2012-01-01,45.02,-0.07859189521080634
2012-02-01,46.27,0.06392274085996785
2012-03-01,51.75,-0.028898480015012162
2012-04-01,45.78,-0.07589826402906741
2012-05-01,50.45,0.01122469432752049
2012-06-01,52.02,0.035017906884202255
2012-07-01,47.1,-0.0025412960609910717
2012-08-01,48.91,0.0026650266502663555
2012-09-01,53.43,-0.027307482250136572
2012-10-01,55.84,0.06809487375669487
2012-11-01,55.37,0.12907830342577475
2012-12-01,52.01,0.017410015649452326
2013-01-01,48.16,0.0697467792092401
2013-02-01,46.79,0.01123838340177219
2013-03-01,55.12,0.06512077294685992
2013-04-01,51.84,0.13237221494102225
2013-05-01,59.3,0.17542120911793835
