date,kospi_close,kospi_mom%,kospi_vs_ma200%,kospi_dd%,kosdaq_close,kosdaq_mom%,kosdaq_vs_ma200%,kosdaq_dd%,foreign_net,inst_net,vkospi,expiry_flag,mpc_flag
2026-06-12,8123.62,-4.16,62.35,-7.7,1029.05,-4.26,3.56,-16.08,,,,2026-06-11,
2026-06-16,8726.6,2.95,72.53,-0.85,1018.68,-5.22,2.29,-16.92,,,,2026-06-11,
2026-06-29,8301.62,-2.06,56.42,-8.92,906.01,-15.7,-9.61,-26.11,,,,2026-06-11,
2026-06-30,8476.48,0.0,58.9,-7.0,916.18,-14.76,-8.67,-25.28,,,,2026-06-11,
2026-07-31,6595.45,-22.19,15.02,-27.64,719.76,-21.44,-27.81,-41.3,,,,,2026-07-16
