순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,950260,인제니아테라퓨틱스Reg.S,KOSDAQ,49.92,17990,715499657210,53136057,889508479930,,실체급등
2,033340,좋은사람들,KOSDAQ,30.00,429,1258174823,2940334,41591789382,Y,동전주
3,047770,코데즈컴바인,KOSDAQ,30.00,3510,3344515985,953379,132827533020,Y,저유동주의
4,000040,KR모터스,KOSPI,29.98,1587,1662480840,1109955,27415482132,Y,저유동주의
5,069920,엑시온그룹,KOSDAQ,29.98,1045,814863527,816074,15041160475,Y,저유동주의
6,351870,차이커뮤니케이션,KOSDAQ,29.98,2350,481346522,222904,26227508700,Y,저유동주의
7,271830,팸텍,KOSDAQ,29.96,1336,2201197840,1697600,39398909872,Y,저유동주의
8,001770,SHD,KOSPI,29.94,12630,66774810,5287,15343909140,Y,저유동주의
9,079190,케스피온,KOSDAQ,29.94,1966,2562475932,1374539,18851734148,Y,저유동주의
10,006660,삼성공조,KOSPI,29.92,15110,44931158105,3215226,122788604540,Y,실체급등
11,465770,STX그린로지스,KOSPI,29.91,3670,14811110270,4424291,26491454600,Y,실체급등
12,098120,마이크로컨텍솔,KOSDAQ,29.90,37800,41362986350,1095998,314222554800,Y,실체급등
13,019010,베뉴지,KOSDAQ,29.82,5550,26664895336,5315498,267510000000,Y,실체급등
14,014990,인디에프,KOSPI,29.81,2395,515072340,216703,35979124605,Y,저유동주의
15,005320,온타이드,KOSPI,25.14,896,1114373206,1270120,30632309120,,동전주
16,387690,레메디,KOSDAQ,22.76,13590,86020430465,6534184,103634499690,,실체급등
17,007110,일신석재,KOSPI,22.24,698,11155071394,15614972,54064713780,,동전주
18,475560,더본코리아,KOSPI,21.84,19360,14700725310,756089,287069499200,,실체급등
19,255440,야스,KOSDAQ,21.81,8490,8844387440,1095332,110862420000,,실체급등
20,179530,애드바이오텍,KOSDAQ,19.05,2500,1951239209,774071,67375747500,,저유동주의
21,217190,제너셈,KOSDAQ,18.50,7110,15380714510,2063789,93523240710,,실체급등
22,061970,LB세미콘,KOSDAQ,18.15,5500,15790659761,2940336,319456533000,,실체급등
23,377450,리파인,KOSDAQ,17.89,16010,28115956165,1746144,277453300000,,실체급등
24,011390,부산산업,KOSPI,17.52,48300,6313073925,124271,51004800000,,실체급등
25,064290,인텍플러스,KOSDAQ,17.31,36250,28862541150,811307,469712202500,,실체급등
26,312610,에이에프더블류,KOSDAQ,16.81,410,297656521,744722,8305324080,,동전주
27,026040,제이에스티나,KOSDAQ,16.40,2165,9839629781,4325425,35730705350,,실체급등
28,067170,오텍,KOSDAQ,15.79,2640,4598452409,1832996,72493824480,,저유동주의
29,177350,베셀,KOSDAQ,15.32,1603,1743052320,1069648,15895109153,,저유동주의
30,115480,씨유메디칼,KOSDAQ,15.20,2220,579990921,264779,26917302420,,저유동주의
