code,name,현재가,수익률%,이격,PBR,고점대비%,판정
353200,대덕전자,153600,31.1,1.868,8.82,-19.5,★익절(이격≥1.5·주규칙)
247540,에코프로비엠,142500,-34.7,0.8,8.06,-73.8,◆2차 물타기(-15%↓·비중집중)
