code,name,mkt,track,price,score,div,pbr,roe,mcap,stop,R,weight,qty,amount,rule,ma60_ok
175330,JB금융지주,KOSPI,가치,26900,7.1641025641025635,4.6,0.78,11.402734891927658,5362502440000,16140.0,40.0,2.5,4,107600,재난 −40% · 익절 PBR≥1.0/+100%,True
003550,LG,KOSPI,가치,95600,7.036153846153846,3.19,0.52,2.5675044179338573,14771458790800,57360.0,40.0,2.5,1,95600,재난 −40% · 익절 PBR≥1.0/+100%,False
161390,한국타이어앤테크놀로지,KOSPI,가치,64800,6.945806451612904,3.72,0.62,8.999939536852288,8646479816200,38880.0,40.0,2.5,1,64800,재난 −40% · 익절 PBR≥1.0/+100%,False
005850,에스엘,KOSPI,가치,49900,6.85078431372549,4.89,1.02,12.17725493026361,2554668600000,29940.0,40.0,2.5,2,99800,재난 −40% · 익절 PBR≥1.0/+100%,False
011200,HMM,KOSPI,가치,20650,6.79030303030303,3.76,0.66,6.926299346776483,19477864080500,12390.0,40.0,2.5,6,123900,재난 −40% · 익절 PBR≥1.0/+100%,True
000120,CJ대한통운,KOSPI,가치,73800,6.635555555555555,1.08,0.36,5.458962763398442,1710925800000,44280.0,40.0,2.5,1,73800,재난 −40% · 익절 PBR≥1.0/+100%,False
006360,GS건설,KOSPI,가치,22400,6.535454545454546,1.99,0.44,1.9003931847968545,2490421359000,13440.0,40.0,2.5,5,112000,재난 −40% · 익절 PBR≥1.0/+100%,False
081660,미스토홀딩스,KOSPI,가치,45000,6.534385964912281,4.78,1.14,11.159045944163552,2351968512000,27000.0,40.0,2.5,2,90000,재난 −40% · 익절 PBR≥1.0/+100%,True
120110,코오롱인더,KOSPI,가치,45650,6.507826086956522,2.16,0.46,0.17346521829634026,1626069537600,27390.0,40.0,2.5,2,91300,재난 −40% · 익절 PBR≥1.0/+100%,False
086790,하나금융지주,KOSPI,가치,124700,6.437142857142858,3.58,0.7,8.468466281497305,35832427888800,74820.0,40.0,2.5,1,124700,재난 −40% · 익절 PBR≥1.0/+100%,True
026960,동서,KOSPI,가치,26000,6.311481481481481,4.83,1.35,8.411643364657346,2652020000000,15600.0,40.0,2.5,4,104000,재난 −40% · 익절 PBR≥1.0/+100%,True
011210,현대위아,KOSPI,가치,53800,6.13531914893617,1.88,0.47,2.7373848987108653,1522924648000,32280.0,40.0,2.5,2,107600,재난 −40% · 익절 PBR≥1.0/+100%,False
005940,NH투자증권,KOSPI,가치,26550,6.1294017094017095,4.42,1.17,11.442410767459403,10799278571250,15930.0,40.0,2.5,4,106200,재난 −40% · 익절 PBR≥1.0/+100%,False
012750,에스원,KOSPI,가치,71300,5.94985401459854,4.49,1.37,10.166130864149999,2785339747400,42780.0,40.0,2.5,1,71300,재난 −40% · 익절 PBR≥1.0/+100%,False
