순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,487400,케이앤에스아이앤씨,KOSDAQ,39.82,15380,501459599920,24724921,157812365160,,실체급등
2,001210,금호전기,KOSPI,30.00,6890,27450008600,4055713,85270750240,Y,실체급등
3,131400,이브이첨단소재,KOSDAQ,30.00,936,10190930790,11475324,55778001552,Y,동전주
4,214680,디알텍,KOSDAQ,29.98,1045,1142170751,1168296,87233523520,Y,저유동주의
5,035290,골드앤에스,KOSDAQ,29.95,2230,228509055,103844,10631855040,Y,저유동주의
6,332570,PS일렉트로닉스,KOSDAQ,29.92,11160,206301877280,19368504,521301043080,Y,실체급등
7,097800,윈팩,KOSDAQ,29.92,2410,4532331563,1949809,65769008450,Y,저유동주의
8,027360,아주IB투자,KOSDAQ,29.89,4585,30443409639,7158590,555451686510,Y,실체급등
9,388050,지투파워,KOSDAQ,29.89,10430,79101526995,8292346,195139427910,Y,실체급등
10,105550,엣지파운드리,KOSDAQ,29.84,3350,1562859500,470745,52465723500,Y,저유동주의
11,193250,링크드,KOSDAQ,29.75,2290,2847242413,1290657,30614856570,Y,저유동주의
12,134580,탑코미디어,KOSDAQ,23.02,1689,2379305022,1421129,83257817661,,저유동주의
13,125490,한라캐스트,KOSDAQ,21.28,10830,68331616620,6518473,395320472160,,실체급등
14,950160,코오롱티슈진,KOSDAQ,19.91,25600,152081043775,6184785,2175236096000,,실체급등
15,025560,미래산업,KOSPI,19.37,10230,20011392160,2010549,260395852200,,실체급등
16,419050,삼기에너지솔루션즈,KOSDAQ,19.20,1838,40471982578,21757163,105126689120,,실체급등
17,101400,엔시트론,KOSDAQ,17.76,2215,761191259,376729,26008060420,,저유동주의
18,001820,삼화콘덴서,KOSPI,17.39,103300,415485928250,4000067,1073803500000,,실체급등
19,468530,프로티나,KOSDAQ,17.18,34450,5525728050,163094,380162915600,,실체급등
20,009730,이렘,KOSDAQ,16.92,2695,1590036393,639216,21493980585,,저유동주의
