code,name,board,industry,mcap_억,adtv_억,latest_fy,rev_yoy,rev_cagr,cfo_yoy,roa,op_margin,accrual_sloan,debt_ratio,ni_positive,cfo_positive
041190,우리기술투자,우량기업부,기타 금융업,5023.2,62.34,2025,-0.1528,-0.0233,-1.4552,0.1175,,0.1189,0.2119,True,False
041510,에스엠,우량기업부,오디오물 출판 및 원판 녹음업,17926.5,96.75,2025,0.1871,0.1015,0.4362,0.179,0.1558,0.0819,0.4776,True,True
042000,카페24,우량기업부,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",5004.9,38.53,2025,0.0406,0.0637,0.1593,0.094,0.1278,-0.1046,0.5629,True,True
043260,성호전자,우량기업부,전자부품 제조업,33688.3,6660.89,2025,0.117,0.1516,-0.2023,0.1567,0.0326,0.1221,1.2877,True,True
044490,태웅,우량기업부,기타 금속 가공제품 제조업,6632.4,85.52,2025,-0.0949,-0.0112,-0.5829,0.0067,0.0144,-0.0277,0.329,True,True
045100,한양이엔지,우량기업부,"건축기술, 엔지니어링 및 관련 기술 서비스업",5250.0,54.88,2025,-0.0574,0.0637,-0.9758,0.0451,0.048,0.0426,0.4797,True,True
046890,서울반도체,중견기업부,반도체 제조업,8121.9,447.33,2025,-0.0706,-0.018,0.4736,-0.0544,-0.0311,-0.134,0.7614,False,True
048410,현대바이오,중견기업부,기타 화학제품 제조업,10924.4,253.4,2025,-0.7663,-0.3007,-8.5541,-0.1693,-5.1632,-0.0388,0.1807,False,False
050890,쏠리드,우량기업부,통신 및 방송 장비 제조업,8755.0,311.02,2025,-0.1095,0.0428,-0.5987,0.0679,0.1129,0.0254,0.5189,True,True
052400,코나아이,우량기업부,소프트웨어 개발 및 공급업,8082.6,71.86,2025,0.3083,0.1677,3.627,0.1333,0.2875,-0.1392,1.1679,True,True
053610,프로텍,우량기업부,특수 목적용 기계 제조업,6750.0,57.47,2025,0.3538,0.0423,0.5537,0.0799,0.2009,0.013,0.2506,True,True
056080,유진로봇,중견기업부,특수 목적용 기계 제조업,7840.0,144.09,2025,0.0826,-0.1461,-3.8019,-0.1298,-0.1786,-0.0297,0.873,False,False
056190,에스에프에이,우량기업부,특수 목적용 기계 제조업,9551.7,36.96,2025,-0.2026,0.0055,-0.6234,0.023,0.0526,-0.044,0.4977,True,True
058470,리노공업,우량기업부,전자부품 제조업,70724.6,980.08,2025,0.3392,0.1393,0.63,0.1919,0.4751,-0.0347,0.083,True,True
058610,에스피지,우량기업부,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",27433.4,651.66,2025,-0.1205,0.0136,1.5101,0.0213,0.0525,-0.0449,0.6608,True,True
059090,미코,벤처기업부,반도체 제조업,7752.7,274.77,2025,0.8076,0.267,-0.7939,0.0331,0.1034,0.0221,2.2863,True,True
060250,NHN KCP,우량기업부,금융 지원 서비스업,6971.9,102.58,2025,0.1172,0.1747,,0.0694,0.0443,-0.2343,1.1943,True,True
060280,큐렉소,중견기업부,기타 상품 전문 소매업,4720.1,54.11,2025,0.3422,0.1376,-3.9244,0.0274,0.0317,0.1387,0.0508,True,False
060370,LS마린솔루션,우량기업부,전기 및 통신 공사업,17134.3,82.02,2025,0.8745,0.2814,,0.0113,0.0287,-0.0157,0.1767,True,True
064260,다날,중견기업부,소프트웨어 개발 및 공급업,4364.7,77.39,2025,-0.1363,0.0278,,-0.0921,0.0103,-0.1114,1.4122,False,True
064290,인텍플러스,중견기업부,특수 목적용 기계 제조업,5062.0,187.64,2025,0.0702,0.1417,,-0.0279,-0.0416,-0.0763,1.5856,False,True
064760,티씨케이,우량기업부,기타 비금속 광물제품 제조업,28060.3,206.63,2025,0.0929,0.0986,-0.2729,0.1232,0.2784,0.0278,0.093,True,True
065350,신성델타테크,우량기업부,가정용 기기 제조업,11790.6,67.4,2025,0.0392,0.1302,14.5845,0.026,0.0293,0.0105,1.6132,True,True
067160,SOOP,우량기업부,소프트웨어 개발 및 공급업,5718.6,40.64,2025,0.1292,0.186,-0.2289,0.1173,0.2676,-0.02,0.7584,True,True
067310,하나마이크론,중견기업부,반도체 제조업,27516.2,508.33,2025,0.2269,0.2062,3.2693,0.0325,0.0832,-0.0542,2.0916,True,True
068760,셀트리온제약,우량기업부,의약품 제조업,20513.9,73.32,2025,0.1226,0.207,0.5274,0.051,0.1046,-0.0628,0.742,True,True
074600,원익QnC,우량기업부,유리 및 유리제품 제조업,7939.0,86.67,2025,0.0584,0.2373,0.0623,0.0006,0.0632,-0.0543,1.7093,True,True
077360,덕산하이메탈,벤처기업부,반도체 제조업,5248.0,151.67,2025,0.0022,0.2881,-0.649,-0.1756,0.0119,-0.1829,0.9452,False,True
078350,한양디지텍,우량기업부,반도체 제조업,4268.4,144.96,2025,0.0939,0.4573,-0.475,0.0503,0.0367,-0.041,0.75,True,True
