순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
77,028050,삼성EA,KOSPI,12.95,46650,327427580050,7039728,9143400000000,
78,001430,세아베스틸지주,KOSPI,12.94,36650,5977037050,168799,1314346661350,
79,001440,대한전선,KOSPI,12.93,31000,79747747925,2699826,6075770476000,
80,488900,비츠로넥스텍,KOSDAQ,12.89,8760,1279618750,153581,253833640680,
81,031820,아이티센씨티에스,KOSPI,12.87,5700,420190290,77267,68999332200,
82,001520,동양,KOSPI,12.84,1134,5666964617,4863231,121476384288,
83,0009K0,에임드바이오,KOSDAQ,12.66,21800,3472027155,164900,1409831309800,
84,089890,코세스,KOSDAQ,12.66,27150,12688411150,476565,450281718300,
85,112610,씨에스윈드,KOSPI,12.64,44550,50096173800,1158797,1878736003650,
86,179900,유티아이,KOSDAQ,12.64,3120,665495640,220159,61746085440,
87,272210,한화시스템,KOSPI,12.60,69700,48168036300,718115,13167681413300,
88,051380,피씨디렉트,KOSDAQ,12.45,1698,70111896,43217,26047442256,
89,475830,오름테라퓨틱,KOSDAQ,12.37,47700,4726239625,102461,1036024443000,
90,0082N0,카나프테라퓨틱스,KOSDAQ,12.34,13020,1338905245,109830,172711341600,
91,199730,바이오인프라,KOSDAQ,12.31,1870,1093251252,544482,9096366290,
92,304100,솔트룩스,KOSDAQ,12.25,11910,2502422195,211907,149992813050,
93,073490,LIG아큐버,KOSDAQ,12.20,29900,2488691675,86630,227354995400,
94,115180,큐리언트,KOSDAQ,12.19,18500,2852952285,158224,693979418500,
95,102710,이엔에프테크놀로지,KOSDAQ,12.16,45200,5561755600,126030,645810187200,
96,131760,파인텍,KOSDAQ,12.15,1800,418371162,242135,15635368800,
97,044490,태웅,KOSDAQ,12.11,28700,4704273600,171794,574211834700,
98,110020,전진바이오팜,KOSDAQ,11.94,2250,226362017,106604,20382214500,
99,377480,마음AI,KOSDAQ,11.92,9390,8333956565,807142,66765482250,
100,474610,RF시스템즈,KOSDAQ,11.86,6320,942174600,154345,91104190400,
101,453450,그리드위즈,KOSDAQ,11.82,15800,1862685600,121900,125495450000,
102,035420,NAVER,KOSPI,11.73,220000,407972313500,1907827,34527733240000,
103,094480,갤럭시아머니트리,KOSDAQ,11.71,5150,16713355823,3148468,202033665700,
104,239340,이스트에이드,KOSDAQ,11.68,679,360622892,533219,18319171486,
105,096770,SK이노베이션,KOSPI,11.66,132200,215077831600,1686912,22348778573600,
106,214450,파마리서치,KOSDAQ,11.63,360000,64041761000,182266,3740273280000,
107,014790,HLDI,KOSPI,11.46,2625,277409535,108842,99378827625,
108,006400,삼성SDI,KOSPI,11.46,467000,201762808250,450675,37633442510000,
109,014130,한익스프레스,KOSPI,11.44,2630,363231233,143671,31081032290,
110,042000,카페24,KOSDAQ,11.38,17420,1545046545,91724,421183703980,
111,014620,성광벤드,KOSDAQ,11.34,27500,3380506500,126180,730327510000,
112,149950,아바텍,KOSDAQ,11.28,9570,1018739470,110545,130799917710,
113,199800,툴젠,KOSDAQ,11.26,41500,788886450,19441,373401603500,
114,327260,RF머트리얼즈,KOSDAQ,11.23,52500,17041849000,332014,472244587500,
115,078600,대주전자재료,KOSDAQ,11.23,81200,10046283700,128786,1275176005600,
116,018260,삼성에스디에스,KOSPI,11.22,218000,83938335550,402845,16868360400000,
117,312610,에이에프더블류,KOSDAQ,11.22,456,226665064,497581,9237140928,
118,100840,SNT에너지,KOSPI,11.20,27800,4182808300,157056,574925767400,
119,002020,코오롱,KOSPI,11.20,26800,8115369075,310348,345925824000,
120,032580,피델릭스,KOSDAQ,11.19,4820,3838253626,826652,159696548480,
121,011230,삼화전자,KOSPI,11.18,2885,26791394833,8445173,55293289725,
122,078930,GS,KOSPI,11.16,93600,92897616750,1010935,8695018332000,
123,323280,태성,KOSDAQ,11.11,35000,9449935375,281442,1068829300000,
124,020150,롯데에너지머티리얼즈,KOSPI,11.06,33150,5003466025,156893,1735915098450,
125,368770,파이버프로,KOSDAQ,11.02,13100,2246754705,174886,430390347500,
126,016250,SGCEC,KOSDAQ,10.92,12600,182481345,15241,63466023600,
127,005950,이수화학,KOSPI,10.82,14850,21765323380,1467862,390468409650,
128,065440,이루온,KOSDAQ,10.74,1433,493469355,353591,39085103660,
129,099220,SDN,KOSDAQ,10.71,744,331028201,458509,46830596400,
130,189860,서전기전,KOSDAQ,10.68,4300,571632285,137385,41704754000,
131,000210,DL,KOSPI,10.65,50900,8645033900,172517,1066654495600,
132,297090,씨에스베어링,KOSDAQ,10.61,4015,710448713,181465,109489050000,
133,290520,신도기연,KOSDAQ,10.55,1676,30770437,19562,26373810864,
134,009830,한화솔루션,KOSPI,10.50,30000,129944275725,4396708,5156776080000,
135,226950,올릭스,KOSDAQ,10.49,113800,29905365800,269794,2388944565400,
136,408470,한패스,KOSDAQ,10.49,5690,528269500,94489,60154680000,
137,267270,HD건설기계,KOSPI,10.47,140300,55449484050,400873,6723442149100,
138,000720,현대건설,KOSPI,10.45,108900,56773597600,538299,12126642808500,
139,462860,더즌,KOSDAQ,10.41,2015,1994722303,972122,144589393845,
140,411080,샌즈랩,KOSDAQ,10.41,3925,605649775,154971,59925479150,
141,079550,LIG디펜스앤에어로스페이스,KOSPI,10.34,736000,81216251500,112740,16192000000000,
142,101930,인화정공,KOSDAQ,10.32,7480,155345260,21770,341796139080,
