code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
083310,엘오티베큠,특수 목적용 기계 제조업,1997,24.1,,,,-,PASS*,,
138360,앤로보틱스,특수 목적용 기계 제조업,1929,21.0,,,,-,PASS*,,
372170,윤성에프앤씨,특수 목적용 기계 제조업,1923,5.7,,,,-,PASS*,,
083930,아바코,특수 목적용 기계 제조업,1892,23.0,,,,-,PASS*,,
452450,피아이이,특수 목적용 기계 제조업,1809,20.0,,,,-,PASS*,,
267320,나인테크,특수 목적용 기계 제조업,1705,311.8,,,,-,PASS*,,
209640,와이제이링크,특수 목적용 기계 제조업,1701,63.3,,,,-,PASS*,,
259630,엠플러스,특수 목적용 기계 제조업,1644,32.0,,,,-,PASS*,,
083500,에프엔에스테크,특수 목적용 기계 제조업,1563,36.5,,,,-,PASS*,,
282880,코윈테크,특수 목적용 기계 제조업,1506,11.2,,,,-,PASS*,,
469610,이노테크,특수 목적용 기계 제조업,1483,19.7,,,,-,PASS*,,
041440,현대에버다임,특수 목적용 기계 제조업,1436,18.5,,,,-,PASS*,,
264660,씨앤지하이테크,특수 목적용 기계 제조업,1436,26.3,,,,-,PASS*,,
299030,하나기술,특수 목적용 기계 제조업,1421,6.7,,,,-,PASS*,,
008830,대동기어,특수 목적용 기계 제조업,1398,14.4,,,,-,PASS*,,
108230,톱텍,특수 목적용 기계 제조업,1397,5.7,,,,-,PASS*,,
297890,HB솔루션,특수 목적용 기계 제조업,1375,9.1,,,,-,PASS*,,
381620,제닉스로보틱스,특수 목적용 기계 제조업,1345,65.1,,,,-,PASS*,,
452190,한빛레이저,특수 목적용 기계 제조업,1344,50.2,,,,-,PASS*,,
068790,DMS,특수 목적용 기계 제조업,1271,10.0,,,,-,PASS*,,
323350,다원넥스뷰,특수 목적용 기계 제조업,1249,31.1,,,,-,PASS*,,
306620,지아이에스,특수 목적용 기계 제조업,1244,36.3,,,,-,PASS*,,
088130,동아엘텍,특수 목적용 기계 제조업,1227,27.5,,,,-,PASS*,,
382840,원준,특수 목적용 기계 제조업,1196,29.7,,,,-,PASS*,,
412350,레이저쎌,특수 목적용 기계 제조업,1194,54.4,,,,-,PASS*,,
071280,로체시스템즈,특수 목적용 기계 제조업,1163,5.7,,,,-,PASS*,,
129920,대성하이텍,특수 목적용 기계 제조업,1121,13.4,,,,-,PASS*,,
141000,비아트론,특수 목적용 기계 제조업,1096,11.6,,,,-,PASS*,,
049950,미래컴퍼니,특수 목적용 기계 제조업,1090,12.3,,,,-,PASS*,,
396470,워트,특수 목적용 기계 제조업,1090,13.5,,,,-,PASS*,,
217820,원익피앤이,특수 목적용 기계 제조업,1084,6.1,,,,-,PASS*,,
417970,모델솔루션,특수 목적용 기계 제조업,972,8.9,,,,-,PASS*,,
451220,아이엠티,특수 목적용 기계 제조업,957,23.8,,,,-,PASS*,,
090470,제이스로보틱스,특수 목적용 기계 제조업,932,5.1,,,,-,PASS*,,
040910,아이씨디,특수 목적용 기계 제조업,863,5.2,,,,-,PASS*,,
382480,지아이텍,특수 목적용 기계 제조업,862,10.1,,,,-,PASS*,,
432470,케이엔에스,특수 목적용 기계 제조업,837,5.5,,,,-,PASS*,,
317830,에스피시스템스,특수 목적용 기계 제조업,810,10.3,,,,-,PASS*,,
413390,엠오티,특수 목적용 기계 제조업,793,6.1,,,,-,PASS*,,
320000,한울반도체,특수 목적용 기계 제조업,793,63.0,,,,-,PASS*,,
302430,이노메트리,특수 목적용 기계 제조업,777,12.2,,,,-,PASS*,,
217190,제너셈,특수 목적용 기계 제조업,738,8.7,,,,-,PASS*,,
251630,브이원텍,특수 목적용 기계 제조업,717,5.1,,,,-,PASS*,,
217500,러셀,특수 목적용 기계 제조업,662,6.0,,,,-,PASS*,,
065130,탑엔지니어링,특수 목적용 기계 제조업,638,5.3,,,,-,PASS*,,
317850,대모,특수 목적용 기계 제조업,598,5.9,,,,-,PASS*,,
036090,위지트,특수 목적용 기계 제조업,576,38.8,,,,-,PASS*,,
419080,엔젯,특수 목적용 기계 제조업,547,5.0,,,,-,PASS*,,
271830,팸텍,특수 목적용 기계 제조업,536,37.5,,,,-,PASS*,,
