출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총,표준수익,표준봉,표준how,단기수익,단기봉,단기how,창완결126,창완결20
2026-07-29,049070,인탑스,A,C,실행,-37.9,16310.0,-14.2,주60주,6.2,진행중,2,,312827533000,0.08347639484978542,14,2단트레일,0.054976497036582916,2,목표전량,False,False
2026-07-29,053610,프로텍,A,A,실행,-37.9,49850.0,-23.1,일240,15.0,목표,2,,583200000000,0.21577733199598803,14,2단트레일,0.09996656636576406,2,목표전량,False,False
2026-07-29,267270,HD건설기계,A,A,실행,-37.9,118300.0,-12.1,일240,6.9,목표,1,,6450287336200,0.034446322907861315,2,2단트레일,0.04592843054381501,1,목표전량,False,False
2026-07-29,031980,피에스케이홀딩스,A,A,실행,-37.9,82100.0,-26.4,월10,17.9,목표,2,,2404207042500,0.17904993909866018,7,2단트레일,0.11936662606577353,2,목표전량,False,False
2026-07-29,008060,대덕,A,B,실행,-37.9,11730.0,-17.1,주60주,10.3,목표,2,,442712436700,0.21867007672634264,15,2단만기,0.06876953680022724,2,목표전량,False,False
2026-07-29,006260,LS,A,C,실행,-37.9,243500.0,-20.2,주60주,9.7,진행중,2,,9516000000000,0.20371663244353178,7,2단트레일,0.0841889117043122,2,목표전량,False,False
2026-07-29,252990,샘씨엔에스,A,A,실행,-37.9,9930.0,-22.2,월10,-5.7,손절,1,,768380263640,-0.05746223564954689,1,손절,-0.05746223564954689,1,손절,False,False
2026-07-29,067310,하나마이크론,A,C,실행,-37.9,26650.0,-24.3,주60주,11.4,진행중,2,,2340478588800,0.29592870544090055,14,2단트레일,0.10694183864915563,2,목표전량,False,False
2026-07-29,009420,한올바이오파마,A,C,실행,-37.9,41700.0,-12.2,주60주,-8.4,손절,1,,2481430305000,-0.08417266187050365,1,손절,-0.08417266187050365,1,손절,False,False
2026-07-29,181710,NHN,A,B,실행,-37.9,33550.0,-16.3,일240,9.8,목표,2,,1313400873900,0.574381520119225,14,2단트레일,0.06507699950322898,1,목표전량,False,False
2026-07-29,170920,엘티씨,A,A,실행,-37.9,29600.0,-26.6,월10,-5.9,손절,1,,425734277800,-0.059018581081081156,1,손절,-0.059018581081081156,1,손절,False,False
2026-07-29,000150,두산,A,A,실행,-37.9,999000.0,-16.5,주60주,-6.8,손절,1,,19384020495000,-0.06835335335335335,1,손절,-0.06835335335335335,1,손절,False,False
2026-07-29,010170,대한광통신,A,A,실행,-37.9,7450.0,-23.5,월10,-5.3,손절,1,,1514430328400,-0.053200671140939626,1,손절,-0.053200671140939626,1,손절,False,False
2026-07-29,017900,광전자,A,A,실행,-37.9,4500.0,-20.6,일240,13.0,목표,2,,328541136210,0.2973555555555555,6,2단트레일,0.08666666666666667,2,목표전량,False,False
2026-07-29,006360,GS건설,A,C,실행,-37.9,22200.0,-23.7,주60주,5.6,진행중,2,,2490421359000,0.30409909909909916,14,2단트레일,0.10360360360360366,3,목표전량,False,False
2026-07-29,375500,DL이앤씨,A,C,실행,-37.9,52400.0,-18.0,주60주,11.0,목표,2,,2472522509700,0.1972328244274809,14,2단트레일,0.07315521628498733,1,목표전량,False,False
2026-07-29,138930,BNK금융지주,A,C,실행,-37.9,14960.0,-17.4,주60주,1.4,진행중,2,,5623125837960,-0.044117647058823484,15,만기,-0.04617647058823526,14,트레일,False,False
2026-07-29,028260,삼성물산,A,A,실행,-37.9,285500.0,-15.9,일240,9.5,목표,1,,55055893749500,0.09824868651488616,4,2단트레일,0.06304728546409799,1,목표전량,False,False
2026-07-29,000500,가온전선,A,C,실행,-37.9,122400.0,-33.0,주60주,-12.9,손절,1,,5437391038200,-0.12916666666666665,1,손절,-0.12916666666666665,1,손절,False,False
2026-07-29,083450,GST,A,A,실행,-37.9,35950.0,-18.3,월10,11.2,목표,2,,810920000000,0.20955493741307374,13,2단트레일,0.07464070468242934,2,목표전량,False,False
2026-07-29,222800,심텍,A,A,실행,-37.9,68600.0,-25.7,일240,-8.9,손절,1,,3457920831300,-0.08923712342079682,1,손절,-0.08923712342079682,1,손절,False,False
2026-07-29,006400,삼성SDI,A,A,실행,-37.9,364000.0,-15.5,일240,9.2,목표,2,,34732363430000,0.2321428571428571,15,2단만기,0.06135531135531136,1,목표전량,False,False
2026-07-29,033160,엠케이전자,A,C,실행,-37.9,12240.0,-20.1,주60주,12.6,목표,2,,370659219120,0.25849673202614376,12,2단트레일,0.08387799564270138,2,목표전량,False,False
2026-07-29,047040,대우건설,A,A,실행,-37.9,12020.0,-20.8,월10,6.3,진행중,2,,6237577944840,0.2659900166389352,14,2단트레일,0.08763172490293947,2,목표전량,False,False
2026-07-29,045100,한양이엔지,A,A,실행,-37.9,26700.0,-16.7,월10,10.0,목표,2,,560875000000,0.13840823970037452,13,2단트레일,0.06679151061173538,2,목표전량,False,False
2026-07-29,005090,SGC에너지,A,A,실행,-37.9,38050.0,-12.6,월10,7.2,목표,2,,627526452150,0.03613666228646517,3,2단트레일,0.048182216381953635,1,목표전량,False,False
2026-07-29,160980,싸이맥스,A,A,실행,-37.9,22200.0,-31.5,일240,23.0,목표,2,,353945473200,0.2381981981981982,4,2단트레일,0.15315315315315314,2,목표전량,False,False
2026-07-29,084370,유진테크,A,A,실행,-37.9,96800.0,-13.8,주60주,-5.9,손절,1,,2573471516600,-0.05914342286501384,1,손절,-0.05914342286501384,1,손절,False,False
2026-07-29,071050,한국금융지주,A,C,실행,-37.9,183500.0,-13.6,주60주,7.9,목표,2,,11841773300000,0.05384196185286105,7,2단트레일,0.05267938237965475,1,목표전량,False,False
2026-07-28,012630,HDC,A,C,실행,-33.9,20050.0,-12.8,일240,-5.6,손절,1,,1290421173600,-0.05568578553615955,1,손절,-0.05568578553615955,1,손절,False,False
2026-07-28,006360,GS건설,A,C,실행,-33.9,25500.0,-15.7,일240,-11.4,손절,1,,2490421359000,-0.11431437908496733,1,손절,-0.11431437908496733,1,손절,False,False
2026-07-28,267250,HD현대,A,C,실행,-33.9,194600.0,-12.5,주60주,-5.7,손절,1,,16628044392500,-0.05732271325796501,1,손절,-0.05732271325796501,1,손절,False,False
2026-07-28,119850,지엔씨에너지,A,B,실행,-33.9,32000.0,-29.4,월10,-10.5,손절,1,,615189196600,-0.10492187500000005,1,손절,-0.10492187500000005,1,손절,False,False
2026-07-28,096770,SK이노베이션,A,A,실행,-33.9,112700.0,-13.4,주60주,-5.1,손절,1,,19728460359600,-0.05059006211180128,1,손절,-0.05059006211180128,1,손절,False,False
2026-07-27,089890,코세스,A,B,실행,-25.9,23150.0,-14.7,주60주,-9.5,손절,1,,383941870300,-0.09514038876889852,1,손절,-0.09514038876889852,1,손절,False,False
2026-07-27,000270,기아,A,B,실행,-25.9,130400.0,-13.0,주60주,-7.3,손절,2,,50909854939200,-0.07331288343558284,2,손절,-0.07331288343558284,2,손절,False,False
2026-07-27,356860,티엘비,A,A,실행,-25.9,29100.0,-12.3,일240,-6.0,손절,1,,346453833000,-0.059560760513827526,1,손절,-0.059560760513827526,1,손절,False,False
2026-07-27,089030,테크윙,A,C,실행,-25.9,44550.0,-12.3,주60주,-6.0,손절,1,,1650739884750,-0.05959595959595965,1,손절,-0.05959595959595965,1,손절,False,False
2026-07-27,229640,LS에코에너지,A,B,실행,-25.9,44750.0,-15.1,주60주,-6.7,손절,1,,1370463335250,-0.06698324022346369,1,손절,-0.06698324022346369,1,손절,False,False
2026-07-27,004710,한솔테크닉스,A,A,실행,-25.9,7460.0,-14.5,월10,-6.0,손절,1,,303096196820,-0.06018766756032168,1,손절,-0.06018766756032168,1,손절,False,False
2026-07-27,456040,OCI,A,C,실행,-25.9,72200.0,-18.2,주60주,-6.2,손절,1,,646370139000,-0.06184210526315792,1,손절,-0.06184210526315792,1,손절,False,False
2026-07-24,122640,예스티,A,A,실행,-26.6,21750.0,-14.5,주60주,-5.7,손절,2,,469817704500,-0.05693754789272032,2,손절,-0.04193103448275859,2,트레일,False,False
2026-07-22,376900,로킷헬스케어,A,B,실행,-25.4,49050.0,-20.1,주60주,-4.2,트레일,2,,582568056300,-0.04195718654434255,2,트레일,0.08392796466190955,1,목표전량,False,True
2026-07-21,226950,올릭스,A,C,실행,-26.0,109200.0,-20.1,주60주,-4.2,트레일,5,,2591116582500,-0.04183150183150186,5,트레일,-0.06146520146520151,2,트레일,False,True
2026-07-21,336260,두산퓨얼셀,A,B,실행,-26.0,38400.0,-13.8,주60주,8.0,목표,1,,2934118924800,0.08316406249999997,4,2단트레일,0.05338541666666674,1,목표전량,False,True
2026-07-20,043260,성호전자,A,B,실행,-28.5,16590.0,-17.5,주60주,10.6,목표,2,,1355990861700,0.06927667269439419,5,2단트레일,0.07052441229656425,2,목표전량,False,True
2026-07-20,001440,대한전선,A,C,실행,-28.5,25550.0,-14.7,주60주,8.6,목표,2,,5546590466800,0.07863013698630139,6,2단트레일,0.05740378343118069,1,목표전량,False,True
2026-07-20,006260,LS,A,A,실행,-28.5,265500.0,-13.0,일240,7.4,목표,2,,9469200000000,0.07994350282485874,5,2단트레일,0.04959196484620221,2,목표전량,False,True
2026-07-20,356680,엑스게이트,A,A,실행,-28.5,10120.0,-13.8,일240,-6.0,손절,1,,310553192960,-0.06025177042160745,1,손절,-0.06025177042160745,1,손절,False,True
2026-07-20,403870,HPSP,A,A,실행,-28.5,39500.0,-15.4,일240,-5.6,손절,4,,3448370000000,-0.05580722573839669,4,손절,0.06075949367088618,2,목표전량,False,True
2026-07-20,074600,원익QnC,A,B,실행,-28.5,27600.0,-13.6,일240,-6.7,손절,1,,795212000000,-0.06665081521739136,1,손절,-0.06665081521739136,1,손절,False,True
2026-07-20,336260,두산퓨얼셀,A,B,실행,-28.5,39000.0,-15.4,주60주,9.1,목표,2,,2934118924800,0.08028205128205124,5,2단트레일,0.06068376068376069,2,목표전량,False,True
2026-07-20,195870,해성디에스,A,B,실행,-28.5,52800.0,-13.9,일240,8.0,목표,2,,994500000000,0.040246212121212155,3,2단트레일,0.05366161616161613,2,목표전량,False,True
2026-07-20,098460,고영,A,B,실행,-28.5,24650.0,-13.2,주60주,7.6,목표,1,,1763078906050,0.057464503042596315,6,2단트레일,0.05070993914807298,1,목표전량,False,True
2026-07-20,095340,ISC,A,C,실행,-28.5,135600.0,-14.4,일240,8.4,목표,2,,3253748403000,0.04221976401179939,4,2단트레일,0.05629301868239933,2,목표전량,False,True
2026-07-20,039030,이오테크닉스,A,B,실행,-28.5,317000.0,-17.7,주60주,-5.6,트레일,4,,4428878225000,-0.05615141955835967,4,트레일,0.07150368033648791,2,목표전량,False,True
2026-07-20,178320,서진시스템,A,B,실행,-28.5,36600.0,-12.8,일240,-6.4,손절,1,,2498291427250,-0.06427595628415306,1,손절,-0.06427595628415306,1,손절,False,True
2026-07-20,033640,네패스,A,B,실행,-28.5,18380.0,-14.1,주60주,8.2,목표,2,,479631401600,0.041077257889009844,3,2단트레일,0.05476967718534653,2,목표전량,False,True
2026-07-20,347850,디앤디파마텍,A,C,실행,-28.5,64300.0,-15.4,주60주,-6.9,손절,2,,3529495893000,-0.06920684292379475,2,손절,-0.06920684292379475,2,손절,False,True
2026-07-20,007390,네이처셀,A,A,실행,-28.5,22700.0,-13.0,월10,7.5,목표,1,,1507780310400,0.037444933920704804,2,2단트레일,0.04992657856093974,1,목표전량,False,True
2026-07-20,078350,한양디지텍,A,C,실행,-28.5,19040.0,-13.5,주60주,7.8,목표,2,,337663061300,0.03886554621848737,6,2단트레일,0.051820728291316565,1,목표전량,False,True
2026-07-20,319400,현대무벡스,A,B,실행,-28.5,18550.0,-13.5,주60주,7.8,목표,1,,2377878432650,0.06447439353099726,4,2단트레일,0.05211141060197666,1,목표전량,False,True
2026-07-20,032820,우리기술,A,C,실행,-28.5,9070.0,-15.5,주60주,9.2,목표,2,,1834459438340,0.08714443219404633,5,2단트레일,0.06100698272693861,1,목표전량,False,True
2026-07-20,327260,RF머트리얼즈,A,A,실행,-28.5,43850.0,-16.3,월10,9.7,목표,2,,444809425750,0.09360319270239448,3,2단트레일,0.06499429874572415,1,목표전량,False,True
2026-07-20,089890,코세스,A,B,실행,-28.5,22900.0,-13.3,주60주,-10.0,손절,1,,466866680300,-0.09978165938864625,1,손절,-0.09978165938864625,1,손절,False,True
2026-07-20,307950,현대오토에버,A,C,실행,-28.5,371500.0,-12.8,일240,7.3,목표,2,,12011704116000,0.053068640646029674,4,2단트레일,0.048900852400179495,2,목표전량,False,True
2026-07-20,077360,덕산하이메탈,A,A,실행,-28.5,8650.0,-14.7,주60주,8.6,목표,1,,409387388020,0.05326011560693644,3,2단트레일,0.05741811175337186,1,목표전량,False,True
2026-07-15,180640,한진칼,A,B,실행,-20.1,112200.0,-14.7,월10,-7.2,손절,3,,8785915916400,-0.07201426024955437,3,손절,-0.04146167557932268,2,트레일,False,True
2026-07-14,218410,RFHIC,A,C,실행,-24.8,44750.0,-14.1,주60주,8.2,목표,1,,1251994790300,0.0523463687150838,2,2단트레일,0.054748603351955305,1,목표전량,False,True
2026-07-14,005090,SGC에너지,A,A,실행,-24.8,36250.0,-17.1,월10,10.3,목표,1,,536027187600,0.23144827586206895,8,2단트레일,0.06896551724137923,1,목표전량,False,True
2026-07-14,200710,에이디테크놀로지,A,C,실행,-24.8,29550.0,-16.6,주60주,-5.6,트레일,2,,397129206500,-0.05597292724196279,2,트레일,0.06655386350817838,1,목표전량,False,True
2026-07-14,043260,성호전자,A,C,실행,-24.8,18420.0,-16.8,일240,10.1,목표,1,,1355990861700,0.05062432138979367,2,2단트레일,0.06749909518639163,1,목표전량,False,True
2026-07-14,090360,로보스타,A,A,실행,-24.8,63000.0,-12.1,주60주,6.9,목표,1,,648375000000,0.03452380952380951,2,2단트레일,0.04603174603174609,1,목표전량,False,True
2026-07-14,178320,서진시스템,A,A,실행,-24.8,37700.0,-20.4,일240,-1.5,트레일,3,,2498291427250,-0.014960212201591494,3,트레일,0.08532272325375767,1,목표전량,False,True
2026-07-14,368770,파이버프로,A,A,실행,-24.8,11950.0,-12.1,주60주,-6.1,트레일,3,,410677812500,-0.06108786610878658,3,트레일,0.046025104602510414,1,목표전량,False,True
2026-07-14,458870,씨어스,A,C,실행,-24.8,31500.0,-12.5,일240,-8.2,트레일,3,,1254068433000,-0.0822857142857143,3,트레일,-0.04057142857142859,2,트레일,False,True
2026-07-14,098460,고영,A,A,실행,-24.8,25250.0,-12.3,일240,7.0,목표,1,,1763078906050,0.03875247524752479,3,2단트레일,0.04686468646864683,1,목표전량,False,True
2026-07-14,009160,SIMPAC,A,C,실행,-24.8,4680.0,-14.0,월10,-5.8,트레일,3,,328162259360,-0.05794871794871792,3,트레일,0.05413105413105401,1,목표전량,False,True
2026-07-14,950160,코오롱티슈진,A,A,실행,-24.8,72900.0,-19.0,주60주,-2.7,트레일,2,,6508714256000,-0.027050754458161852,2,트레일,0.07818930041152261,1,목표전량,False,True
2026-07-14,347850,디앤디파마텍,A,B,실행,-24.8,71600.0,-15.1,일240,8.9,목표,1,,3529495893000,0.04434357541899436,2,2단트레일,0.05912476722532589,1,목표전량,False,True
2026-07-13,012750,에스원,A,C,실행,-25.3,71700.0,-12.6,주60주,-0.7,진행중,13,,2724541062600,0.05962343096234313,26,2단만기,0.04788470478847051,9,목표전량,False,True
2026-07-13,007390,네이처셀,A,B,실행,-25.3,23400.0,-17.2,주60주,10.4,목표,1,,1507780310400,0.05950854700854702,4,2단트레일,0.06908831908831914,1,목표전량,False,True
2026-07-08,103590,일진전기,A,C,실행,-20.5,62800.0,-12.4,주60주,7.1,목표,2,,3638395257000,0.035429936305732435,3,2단트레일,0.047239915074310135,2,목표전량,False,True
2026-07-08,006910,보성파워텍,A,C,실행,-20.5,6250.0,-14.1,주60주,8.2,목표,1,,358156416960,0.058640000000000025,4,2단트레일,0.05493333333333328,1,목표전량,False,True
2026-07-08,042700,한미반도체,A,C,실행,-20.5,199200.0,-12.1,일240,6.9,목표,1,,24447579300000,0.04892068273092376,4,2단트레일,0.04568273092369468,1,목표전량,False,True
2026-07-08,000720,현대건설,A,B,실행,-20.5,100700.0,-12.4,일240,7.1,목표,2,,12716828363000,0.03550148957298904,3,2단트레일,0.047335319430652056,2,목표전량,False,True
2026-07-08,108490,로보티즈,A,C,실행,-20.5,194400.0,-13.8,주60주,8.0,목표,1,,3811867280000,0.07188786008230452,4,2단트레일,0.05332647462277085,1,목표전량,False,True
2026-07-08,218410,RFHIC,A,C,실행,-20.5,49400.0,-14.7,일240,-5.4,손절,1,,1678177534400,-0.05384615384615388,1,손절,-0.05384615384615388,1,손절,False,True
2026-07-08,229640,LS에코에너지,A,B,실행,-20.5,43600.0,-14.0,주60주,8.1,목표,3,,1607806147500,0.04071100917431192,4,2단트레일,0.05428134556574915,2,목표전량,False,True
2026-07-08,166090,하나머티리얼즈,A,B,실행,-20.5,48100.0,-12.7,주60주,7.3,목표,1,,1249948996800,0.09621621621621623,4,2단트레일,0.048510048510048476,1,목표전량,False,True
2026-07-08,403870,HPSP,A,B,실행,-20.5,38250.0,-14.0,일240,8.2,목표,1,,4444200000000,0.09013071895424829,4,2단트레일,0.05446623093681913,1,목표전량,False,True
2026-07-08,195870,해성디에스,A,B,실행,-20.5,49200.0,-15.6,주60주,9.2,목표,1,,1198500000000,0.129329268292683,4,2단트레일,0.06165311653116512,1,목표전량,False,True
2026-07-08,043260,성호전자,A,B,실행,-20.5,18690.0,-12.0,일240,6.8,목표,1,,2102861701950,0.0698234349919743,3,2단트레일,0.0456572141965399,1,목표전량,False,True
2026-07-08,098460,고영,A,B,실행,-20.5,25000.0,-12.1,일240,6.9,목표,2,,2179124605350,0.05369999999999997,3,2단트레일,0.04600000000000004,1,목표전량,False,True
2026-07-08,032820,우리기술,A,C,실행,-20.5,9810.0,-15.8,일240,9.4,목표,1,,2093583269200,0.1039551478083588,4,2단트레일,0.06252123683316357,1,목표전량,False,True
2026-07-08,336260,두산퓨얼셀,A,C,실행,-20.5,42650.0,-18.5,일240,11.3,목표,2,,3667648656000,0.058980070339976653,4,2단트레일,0.0754200859710823,2,목표전량,False,True
2026-07-08,001720,신영증권,A,B,실행,-20.5,154000.0,-13.3,주60주,-6.0,손절,7,,2659992000000,-0.06048701298701298,7,손절,-0.038181818181818206,4,트레일,False,True
2026-07-08,033640,네패스,A,C,실행,-20.5,18730.0,-12.1,주60주,6.9,목표,1,,592621491400,0.11219967965830224,4,2단트레일,0.045737675743014794,1,목표전량,False,True
2026-07-08,039030,이오테크닉스,A,B,실행,-20.5,345000.0,-13.2,일240,7.6,목표,2,,5864105800000,0.06030434782608696,4,2단트레일,0.050724637681159424,1,목표전량,False,True
2026-07-08,082740,한화엔진,A,C,실행,-20.5,44750.0,-15.4,주60주,-5.8,손절,1,,4255804242000,-0.05849162011173181,1,손절,-0.05849162011173181,1,손절,False,True
2026-07-08,267260,HD현대일렉트릭,A,C,실행,-20.5,814000.0,-12.4,일240,7.1,목표,2,,35037815220000,0.03531941031941033,3,2단트레일,0.04709254709254718,2,목표전량,False,True
2026-07-08,058610,에스피지,A,C,실행,-20.5,66200.0,-12.8,주60주,7.3,목표,1,,1780842008000,0.05971299093655591,3,2단트레일,0.04884189325276922,1,목표전량,False,True
2026-07-08,001440,대한전선,A,B,실행,-20.5,28200.0,-12.6,일240,7.2,목표,2,,6644149004400,0.03590425531914898,3,2단트레일,0.0478723404255319,2,목표전량,False,True
2026-07-08,005290,동진쎄미켐,A,A,실행,-20.5,42650.0,-13.0,주60주,7.5,목표,2,,2971558345800,0.05643610785463071,4,2단트레일,0.05001953888237609,1,목표전량,False,True
2026-07-08,000880,한화,A,C,실행,-20.5,93400.0,-15.5,주60주,-6.3,트레일,4,,7029639524300,-0.06252676659528911,4,트레일,0.06102783725910066,3,목표전량,False,False
2026-07-08,033100,제룡전기,A,B,실행,-20.5,42750.0,-14.1,주60주,8.2,목표,2,,822395340800,0.040935672514619936,3,2단트레일,0.05458089668615984,2,목표전량,False,True
2026-07-07,077360,덕산하이메탈,A,A,실행,-16.0,8500.0,-20.9,주60주,-5.3,손절,1,,492991471700,-0.053343627450980424,1,손절,-0.053343627450980424,1,손절,False,True
2026-07-07,043260,성호전자,A,B,실행,-16.0,19400.0,-12.2,월10,-6.9,손절,1,,2102861701950,-0.06909793814432985,1,손절,-0.06909793814432985,1,손절,False,True
2026-07-07,403870,HPSP,A,B,실행,-16.0,41500.0,-14.4,월10,-6.9,손절,1,,4444200000000,-0.06945783132530126,1,손절,-0.06945783132530126,1,손절,False,True
2026-07-06,033790,피노,A,B,실행,-11.7,6140.0,-13.3,주60주,-9.8,손절,2,,600750805270,-0.09796416938110752,2,손절,-0.06351791530944628,2,트레일,False,True
2026-07-06,007660,이수페타시스,A,C,실행,-11.7,101300.0,-15.4,일240,-5.3,손절,2,,8471423872600,-0.05281342546890422,2,손절,-0.04185587364264565,2,트레일,False,True
2026-07-06,226950,올릭스,A,C,실행,-11.7,135000.0,-13.9,일240,8.1,목표,1,,3162178354800,0.04037037037037039,2,2단트레일,0.053827160493827186,1,목표전량,False,True
2026-07-06,347850,디앤디파마텍,A,C,실행,-11.7,75900.0,-12.5,일240,7.1,목표,1,,3886211612500,0.06832674571805009,2,2단트레일,0.04743083003952564,1,목표전량,False,True
2026-07-03,482630,삼양엔씨켐,A,A,실행,-11.3,15390.0,-13.7,월10,-7.6,손절,2,,381950486000,-0.07550664300664311,2,손절,-0.06923976608187121,2,트레일,False,True
