date,event,theme,memo
2026-07-16,한국 금통위 금리결정,성장주 전반,통방회의(의사록 7/16 공개 직전 근거·추정). 8월 등 정확일 BOK
2026-07-29,美 FOMC 금리결정,성장주 전반,발표 직후 KST 새벽 → 한국 성장주·환율 영향
2026-09-16,美 FOMC 금리결정(점도표),성장주 전반,분기 점도표 동반(변동성↑)
2026-10-28,美 FOMC 금리결정,성장주 전반,
2026-12-09,美 FOMC 금리결정(점도표),성장주 전반,분기 점도표 동반(변동성↑)
