date,code,name,시장,신호,미달,cum2,gap240,top5,mcap,카드,ex_how,ex_bars,이단,fwd40
2006-11-14,007640,007640,KOSDAQ,A,,-0.17717391304347818,-0.11613072305089722,-0.7173246683046683,530015703000.0,-0.050000000000000155,손절,1,-0.050000000000000155,-0.5317040951122853
2019-02-01,007720,소노스퀘어,KOSDAQ,S2,"2일누적,시총",-0.102177554438861,0.004152746120460904,-0.3463414634146341,276193233000.0,0.056902985074626766,목표,1,0.0997947761194029,-0.12686567164179108
2019-03-04,007720,소노스퀘어,KOSDAQ,S2,시총,-0.26507936507936514,-0.1325256057956532,-0.43536585365853653,245953098000.0,-0.050000000000000044,손절,3,-0.050000000000000044,-0.09503239740820724
2021-10-06,011040,경동제약,KOSDAQ,S2,2일누적,-0.11814345991561181,-0.008456584393865763,-0.4289617486338798,356917685600.0,0.06698564593301426,목표,3,0.19033492822966502,0.11004784688995217
2017-03-24,014200,014200,KOSDAQ,S2,시총,-0.13428571428571434,0.005472232851440939,-0.32591768631813123,295355779740.0,-0.055170327970297084,손절,4,-0.055170327970297084,0.019801980198019598
2017-06-08,014200,014200,KOSDAQ,S2,2일누적,-0.11014492753623184,0.054665693305277596,-0.3170189098998888,324454871340.0,0.061889250814332275,목표,1,0.09993485342019548,-0.17426710097719866
2021-10-06,014200,014200,KOSDAQ,S2,"2일누적,시총",-0.10784313725490191,0.00702396139126682,-0.696329254727475,229659041920.0,0.06043956043956045,목표,2,0.0354945054945055,-0.18864468864468875
2022-04-22,014200,014200,KOSDAQ,S2,시총,-0.12066115702479341,-0.10209707590824046,-0.6649874055415617,203526891000.0,-0.07142857142857151,손절,2,-0.07142857142857151,-0.2951127819548872
1999-03-18,024110,기업은행,KOSDAQ,A,,-0.18129770992366412,-0.18473581400642347,-0.8264206775771484,1094810700000.0,-0.05442890442890447,손절,1,-0.05442890442890447,0.42191142191142195
2000-07-07,024110,기업은행,KOSDAQ,A,,-0.18290854572713644,-0.24200278164116829,-0.7794854761760976,1968002373600.0,0.1119266055045871,목표,2,0.061357798165137645,-0.33944954128440363
2002-06-26,024110,기업은행,KOSDAQ,A,,-0.13096695226438193,0.018298294469875298,-0.6297334111694882,2553422967000.0,0.07535211267605635,목표,4,0.05328169014084505,0.07042253521126751
2002-06-27,024110,기업은행,KOSDAQ,S2,2일누적,-0.11139564660691426,-0.006205250596658662,-0.6380774469741195,2553422967000.0,0.06268011527377526,목표,1,0.05883285302593666,0.0835734870317002
2026-03-04,008830,대동기어,KOSDAQ,S2,시총,-0.25458248472505096,0.004124409002368656,-0.3700516351118761,220643616000.0,0.1707650273224044,목표,4,0.12997267759562847,0.12295081967213117
2000-04-17,020180,대신정보통신,KOSDAQ,S2,시총,-0.1813643926788685,0.010237675299389126,-0.5812765957446808,212160000000.0,0.1107723577235773,목표,1,0.05619918699186999,-0.34959349593495936
2000-04-27,020180,대신정보통신,KOSDAQ,S2,"2일누적,시총",-0.10810810810810811,-0.0694084131301197,-0.6068085106382979,212160000000.0,0.06060606060606055,목표,4,0.06173160173160164,-0.32900432900432897
2014-11-04,005710,대원산업,KOSDAQ,S2,"2일누적,5년고점,시총",-0.10434782608695647,-0.008801299143928354,-0.27464788732394363,209484000000.0,0.058252427184465994,목표,3,0.029126213592232997,-0.12427184466019414
2026-03-09,005710,대원산업,KOSDAQ,S2,MA240,-0.13559322033898302,0.08043296762305485,-0.3534072900158478,331221528000.0,0.07843137254901955,목표,4,0.051470588235294046,0.10947712418300659
2018-06-14,007390,네이처셀,KOSDAQ,A,,-0.3857142857142857,-0.11651399708929022,-0.7337461300309598,1561623770500.0,-0.04325581395348832,트레일,3,-0.04325581395348832,-0.6703488372093023
2018-06-15,007390,네이처셀,KOSDAQ,A,,-0.13010204081632648,-0.12643432780060837,-0.7360681114551084,1561623770500.0,-0.06392961876832848,손절,2,-0.06392961876832848,-0.6797653958944281
2021-12-14,007390,네이처셀,KOSDAQ,A,,-0.1237373737373737,0.010515280282090034,-0.7314241486068112,1108500661200.0,-0.05988556676272827,손절,3,-0.05988556676272827,-0.11527377521613835
2022-09-05,007390,네이처셀,KOSDAQ,A,,-0.24517374517374513,0.04271300946708734,-0.6973684210526316,1656752776200.0,-0.0670076726342711,손절,2,-0.0670076726342711,-0.07928388746803072
2022-09-06,007390,네이처셀,KOSDAQ,A,,-0.21383647798742134,0.0008006405124099114,-0.7097523219814241,1656752776200.0,-0.05025333333333337,손절,1,-0.05025333333333337,-0.053333333333333344
2024-04-03,007390,네이처셀,KOSDAQ,A,,-0.12698412698412698,0.0018062870933956976,-0.8323170731707317,607568267320.0,0.07272727272727275,목표,2,0.04143030303030304,0.366060606060606
2025-08-07,007390,네이처셀,KOSDAQ,A,,-0.44702549575070827,-0.06707582995959471,-0.6032520325203252,2435645116800.0,0.06168032786885247,트레일,4,0.06168032786885247,0.052766393442623016
2025-11-24,007390,네이처셀,KOSDAQ,A,,-0.17100371747211895,-0.052334105348150306,-0.5467479674796748,1591545883200.0,-0.05159753363228703,손절,1,-0.05159753363228703,-0.09865470852017932
2026-07-13,007390,네이처셀,KOSDAQ,A,,-0.1716814159292035,0.022988086997704826,-0.524390243902439,1507780310400.0,0.10363247863247871,목표,1,0.05950854700854702,
2026-07-20,007390,네이처셀,KOSDAQ,A,,-0.13026819923371646,-0.005521836352849974,-0.5386178861788617,1507780310400.0,0.07488986784140961,목표,1,0.037444933920704804,
2016-08-16,007390,네이처셀,KOSDAQ,S2,2일누적,-0.10947712418300659,-0.02485937622311929,-0.4522613065326633,304856106000.0,-0.05697247706422015,손절,4,-0.05697247706422015,-0.16330275229357794
2019-05-09,007390,네이처셀,KOSDAQ,S2,2일누적,-0.10424710424710426,-0.1540051051416068,-0.8204334365325078,676724087250.0,0.0581896551724137,목표,2,0.02909482758620685,-0.21465517241379306
2021-10-12,007390,네이처셀,KOSDAQ,S2,MA240,-0.22171945701357465,0.11566964502894583,-0.7337461300309598,1305776202600.0,0.1424418604651163,목표,4,0.12889534883720932,0.08720930232558133
2025-09-17,007390,네이처셀,KOSDAQ,S2,2일누적,-0.11752577319587632,-0.03750110098929749,-0.5650406504065041,1356357928800.0,-0.07663551401869162,손절,7,-0.07663551401869162,0.28037383177570097
2025-10-22,007390,네이처셀,KOSDAQ,S2,2일누적,-0.11985688729874777,0.06070487288249793,-0.5,1317696895200.0,0.06808943089430897,목표,5,0.03404471544715448,-0.07926829268292679
2026-06-23,007390,네이처셀,KOSDAQ,S2,MA240,-0.13597246127366613,0.08677611401767993,-0.48983739837398377,1958825702400.0,-0.06741035856573707,트레일,5,-0.06741035856573707,
2021-10-06,025950,동신건설,KOSDAQ,A,,-0.17425083240843509,-0.06418527622152237,-0.4521354933726067,372960000000.0,0.105510752688172,목표,2,0.06313172043010751,-0.11693548387096775
