code,name,sector
033100,제룡전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
035760,CJ ENM,텔레비전 방송업
213420,덕산네오룩스,전자부품 제조업
052020,에스티큐브,기계장비 및 관련 물품 도매업
456160,지투지바이오,의약품 제조업
083450,GST,특수 목적용 기계 제조업
033790,피노,일차전지 및 이차전지 제조업
050890,쏠리드,통신 및 방송 장비 제조업
293490,카카오게임즈,소프트웨어 개발 및 공급업
376900,로킷헬스케어,의료용품 및 기타 의약 관련제품 제조업
033640,네패스,반도체 제조업
222080,씨아이에스,특수 목적용 기계 제조업
086450,동국제약,의약품 제조업
094170,동운아나텍,반도체 제조업
046890,서울반도체,반도체 제조업
122870,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업
052400,코나아이,소프트웨어 개발 및 공급업
014620,성광벤드,1차 철강 제조업
074600,원익QnC,유리 및 유리제품 제조업
476060,온코닉테라퓨틱스,자연과학 및 공학 연구개발업
056080,유진로봇,특수 목적용 기계 제조업
253450,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업"
059090,미코,반도체 제조업
032190,다우데이타,기계장비 및 관련 물품 도매업
121600,나노신소재,기타 화학제품 제조업
348370,엔켐,기초 화학물질 제조업
023160,태광,1차 철강 제조업
252990,샘씨엔에스,전자부품 제조업
241710,코스메카코리아,기타 화학제품 제조업
486990,노타,소프트웨어 개발 및 공급업
037460,삼지전자,통신 및 방송 장비 제조업
171090,선익시스템,특수 목적용 기계 제조업
365340,성일하이텍,기초 화학물질 제조업
336570,원텍,의료용 기기 제조업
060250,NHN KCP,금융 지원 서비스업
225570,넥슨게임즈,소프트웨어 개발 및 공급업
006730,서부T&D,일반 및 생활 숙박시설 운영업
053800,안랩,소프트웨어 개발 및 공급업
174900,앱클론,의료용품 및 기타 의약 관련제품 제조업
053610,프로텍,특수 목적용 기계 제조업
348340,뉴로메카,특수 목적용 기계 제조업
009520,포스코엠텍,1차 철강 제조업
044490,태웅,기타 금속 가공제품 제조업
112040,위메이드,소프트웨어 개발 및 공급업
102940,코오롱생명과학,기초 의약물질 제조업
389470,인벤티지랩,자연과학 및 공학 연구개발업
348210,넥스틴,특수 목적용 기계 제조업
036810,에프에스티,전자부품 제조업
383310,에코프로에이치엔,기타 화학제품 제조업
327260,RF머트리얼즈,전자부품 제조업
086900,메디톡스,기초 의약물질 제조업
399720,가온칩스,반도체 제조업
089890,코세스,특수 목적용 기계 제조업
082270,젬백스,특수 목적용 기계 제조업
033160,엠케이전자,전자부품 제조업
102710,이엔에프테크놀로지,기타 화학제품 제조업
253590,네오셈,특수 목적용 기계 제조업
033500,동성화인텍,기초 화학물질 제조업
448900,한국피아이엠,자동차 신품 부품 제조업
041830,인바디,의료용 기기 제조업
425420,티에프이,전자부품 제조업
067160,SOOP,소프트웨어 개발 및 공급업
015750,성우하이텍,자동차 신품 부품 제조업
376300,디어유,소프트웨어 개발 및 공급업
089010,켐트로닉스,기타 화학제품 제조업
272290,이녹스첨단소재,전자부품 제조업
093320,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
019210,와이지-원,기타 금속 가공제품 제조업
475960,토모큐브,사진장비 및 광학기기 제조업
356680,엑스게이트,소프트웨어 개발 및 공급업
122640,예스티,특수 목적용 기계 제조업
278280,천보,기초 화학물질 제조업
041960,코미팜,의약품 제조업
045100,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
077360,덕산하이메탈,반도체 제조업
368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
200710,에이디테크놀로지,반도체 제조업
460930,현대힘스,선박 및 보트 건조업
214430,아이쓰리시스템,전자부품 제조업
104830,원익머트리얼즈,기초 화학물질 제조업
092190,서울바이오시스,반도체 제조업
064290,인텍플러스,특수 목적용 기계 제조업
041190,우리기술투자,기타 금융업
042000,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
230360,에코마케팅,광고업
332570,PS일렉트로닉스,전자부품 제조업
393890,더블유씨피,일차전지 및 이차전지 제조업
035890,서희건설,건물 건설업
477850,마키나락스,소프트웨어 개발 및 공급업
099190,아이센스,의료용 기기 제조업
