code,name,variant,months,first,last,total_x,cagr,y2_n,y2_win,y2_med,y2_worst,y2_p10,y3_n,y3_win,y3_med,y3_worst,y3_p10,y5_n,y5_win,y5_med,y5_worst,y5_p10,y7_n,y7_win,y7_med,y7_worst,y7_p10
AAPL,Apple,A_adj_full,549,1980-12-31,2026-08-31,2656.107918944879,0.18846625393989513,525,0.7733333333333333,0.39622479206967953,-0.7579487167782409,-0.33510174279977417,513,0.8011695906432749,0.6866020320423147,-0.7917717378834899,-0.3404997670599309,489,0.8834355828220859,1.6707761218867065,-0.7719204552582324,-0.10344132379026838,465,0.8709677419354839,3.675823679132713,-0.6773189219438049,-0.19666584599336037
AAPL,Apple,B_adj_1996,368,1996-01-31,2026-08-31,1497.601610583703,0.27008533196263906,344,0.8953488372093024,0.5174416831701134,-0.7579487167782409,-0.007354492167824385,332,0.9457831325301205,0.9385102561824057,-0.7917717378834899,0.26604453859351956,308,1.0,2.6243220792103465,0.0283626433303914,0.5203181928375665,284,1.0,5.123826379336343,0.0396388289477112,2.1853699941053892
AAPL,Apple,C_ko_1996,368,1996-01-31,2026-08-31,1916.0015384676012,0.2803588263090775,344,0.9098837209302325,0.547827996196336,-0.668626224819832,0.035314272964311715,332,0.9578313253012049,1.1096108061755054,-0.4776815420811641,0.38475982127447655,308,1.0,2.7075134839100334,0.37851402388557487,1.0417901078058742,284,1.0,5.445913067692222,0.30362514311443833,2.4557230949967725
MSFT,Microsoft,A_adj_full,486,1986-03-31,2026-08-31,8337.401016868262,0.2502873956345615,462,0.854978354978355,0.4372910648513453,-0.4349756211765686,-0.11134010341120344,450,0.8577777777777778,0.8223899147273784,-0.5571733968957984,-0.08082642944469257,426,0.8873239436619719,1.9192757911604748,-0.48534713920454975,-0.03214640893365417,402,0.9203980099502488,3.553114949837511,-0.40766037391865584,0.0959496353717389
MSFT,Microsoft,B_adj_1996,368,1996-01-31,2026-08-31,137.70471337448936,0.17474039426977983,344,0.8081395348837209,0.30375226495772667,-0.4349756211765686,-0.19164858777444124,332,0.8072289156626506,0.5054092880103154,-0.5571733968957984,-0.13304658501201339,308,0.8441558441558441,0.9646002494980813,-0.48534713920454975,-0.11335685230015492,284,0.8873239436619719,1.4603565890746373,-0.40766037391865584,-0.024611185858586553
MSFT,Microsoft,C_ko_1996,368,1996-01-31,2026-08-31,58.94331243829051,0.14259358891868423,344,0.747093023255814,0.26105859873639914,-0.5328047118720585,-0.286840959160473,332,0.7168674698795181,0.39037199500688724,-0.6296359743040687,-0.2812766261688217,308,0.6655844155844156,0.8028783301666497,-0.6194840641711243,-0.32956255757448655,284,0.7077464788732394,1.0438383738624741,-0.572182971851277,-0.26423329960682346
NVDA,NVIDIA,A_adj_full,332,1999-01-31,2026-08-31,5923.826085382771,0.37019415755684504,308,0.762987012987013,0.7163116422890806,-0.79090179940153,-0.46200517684965686,296,0.7567567567567568,1.6448895497586271,-0.7264464951707664,-0.385133686843696,272,0.875,2.309369402220675,-0.6613905495079019,-0.08709600467280884,248,0.8548387096774194,6.603772249953515,-0.6381167048456096,-0.14774440462342422
NVDA,NVIDIA,B_adj_1996,332,1999-01-31,2026-08-31,5923.826085382771,0.37019415755684504,308,0.762987012987013,0.7163116422890806,-0.79090179940153,-0.46200517684965686,296,0.7567567567567568,1.6448895497586271,-0.7264464951707664,-0.385133686843696,272,0.875,2.309369402220675,-0.6613905495079019,-0.08709600467280884,248,0.8548387096774194,6.603772249953515,-0.6381167048456096,-0.14774440462342422
NVDA,NVIDIA,C_ko_1996,332,1999-01-31,2026-08-31,912.8780645244739,0.2803679634520875,308,0.7142857142857143,0.6333662881681276,-0.9235192000623721,-0.48377167205651944,296,0.7567567567567568,1.5964738903347437,-0.8816813032355293,-0.5169181009671684,272,0.8419117647058824,2.7551098687361266,-0.7711037326128777,-0.3476908889160426,248,0.9233870967741935,5.3622498090737984,-0.3005732212931954,0.050686085441539325
GOOGL,Alphabet,A_adj_full,265,2004-08-31,2026-08-31,135.79357880142658,0.2501297459274232,241,0.8755186721991701,0.4265245469868897,-0.3957220370593195,-0.0356365758225321,229,0.9213973799126638,0.6596533112039413,-0.27648121402390446,0.12116208384160272,205,0.9951219512195122,1.4681017283967033,-0.03776518079924551,0.41071423446005223,181,1.0,2.3543099435027273,0.5333178601104045,1.179422621422204
GOOGL,Alphabet,B_adj_1996,265,2004-08-31,2026-08-31,135.79357880142658,0.2501297459274232,241,0.8755186721991701,0.4265245469868897,-0.3957220370593195,-0.0356365758225321,229,0.9213973799126638,0.6596533112039413,-0.27648121402390446,0.12116208384160272,205,0.9951219512195122,1.4681017283967033,-0.03776518079924551,0.41071423446005223,181,1.0,2.3543099435027273,0.5333178601104045,1.179422621422204
GOOGL,Alphabet,C_ko_1996,265,2004-08-31,2026-08-31,112.17461064217204,0.2393181902095305,241,0.8713692946058091,0.42620671724890324,-0.49639957351412023,-0.06601602804728712,229,0.8864628820960698,0.6497591987620326,-0.39702523462576067,-0.04644904572484227,205,0.9707317073170731,1.4540336189672711,-0.19808121578557691,0.17567794781457013,181,1.0,2.343115977567178,0.27785502938721396,0.841359206147142
AMZN,Amazon,A_adj_full,352,1997-05-31,2026-08-31,3448.3998620640054,0.3211107897912777,328,0.8079268292682927,0.6859467829773812,-0.9253166536356529,-0.2834927067239399,316,0.8544303797468354,1.0850488873152333,-0.8339020226320699,-0.17386927812245745,292,0.928082191780822,2.456997999898814,-0.5335194929131172,0.3462867111624135,268,0.9402985074626866,4.406888900086943,-0.5981861078967944,1.4029215302723772
AMZN,Amazon,B_adj_1996,352,1997-05-31,2026-08-31,3448.3998620640054,0.3211107897912777,328,0.8079268292682927,0.6859467829773812,-0.9253166536356529,-0.2834927067239399,316,0.8544303797468354,1.0850488873152333,-0.8339020226320699,-0.17386927812245745,292,0.928082191780822,2.456997999898814,-0.5335194929131172,0.3462867111624135,268,0.9402985074626866,4.406888900086943,-0.5981861078967944,1.4029215302723772
AMZN,Amazon,C_ko_1996,352,1997-05-31,2026-08-31,339.7851482246051,0.2204875642908013,328,0.7926829268292683,0.5758484465946127,-0.967489026363041,-0.3307027409413332,316,0.8259493670886076,0.8734542033488182,-0.9667812179452613,-0.3118136140670533,292,0.8595890410958904,1.444018049453386,-0.8959294292670379,-0.352798089782618,268,0.8880597014925373,2.7606625488559757,-0.915955857169282,-0.2912955884172711
META,Meta,A_adj_full,172,2012-05-31,2026-08-31,18.740843050267546,0.22833073122166536,148,0.8716216216216216,0.6858384186844735,-0.645927595789949,-0.12272629388258184,136,0.9338235294117647,0.8394967687624544,-0.5139055159324326,0.16011538544047177,112,0.9285714285714286,1.6466663537812138,-0.48261685431688883,0.338852007694803,88,0.9886363636363636,2.662846956402353,-0.08639791085168791,0.8732675946606747
META,Meta,B_adj_1996,172,2012-05-31,2026-08-31,18.740843050267546,0.22833073122166536,148,0.8716216216216216,0.6858384186844735,-0.645927595789949,-0.12272629388258184,136,0.9338235294117647,0.8394967687624544,-0.5139055159324326,0.16011538544047177,112,0.9285714285714286,1.6466663537812138,-0.48261685431688883,0.338852007694803,88,0.9886363636363636,2.662846956402353,-0.08639791085168791,0.8732675946606747
META,Meta,C_ko_1996,172,2012-05-31,2026-08-31,16.34548210286782,0.21659954811790483,148,0.9324324324324325,0.6858383011258363,-0.5189880023140242,0.06292081977598277,136,0.9779411764705882,0.9531319213790977,-0.33963439340102863,0.3766167887282712,112,0.9732142857142857,1.8230189038991487,-0.2971283910861007,0.8188473634690501,88,1.0,3.4556086940941038,0.24114015789974208,1.5448581765767608
TSLA,Tesla,A_adj_full,195,2010-06-30,2026-08-31,228.40531716212396,0.39917346951888044,171,0.8011695906432749,0.5954930002162799,-0.5106069456957978,-0.22542114963366178,159,0.9182389937106918,1.3226218732882966,-0.32715438371356587,0.0195496373506662,135,0.9703703703703703,7.723188586956521,-0.16347791991101235,0.6191553461838339,111,1.0,13.60714605979337,5.276608786509928,7.753462603878116
TSLA,Tesla,B_adj_1996,195,2010-06-30,2026-08-31,228.40531716212396,0.39917346951888044,171,0.8011695906432749,0.5954930002162799,-0.5106069456957978,-0.22542114963366178,159,0.9182389937106918,1.3226218732882966,-0.32715438371356587,0.0195496373506662,135,0.9703703703703703,7.723188586956521,-0.16347791991101235,0.6191553461838339,111,1.0,13.60714605979337,5.276608786509928,7.753462603878116
TSLA,Tesla,C_ko_1996,195,2010-06-30,2026-08-31,227.55756983872757,0.398851743758057,171,0.8070175438596491,0.6592349362009391,-0.5106069456957978,-0.2254211496336609,159,0.9182389937106918,1.3226218732882948,-0.3271543837135652,0.019549637350668687,135,0.9703703703703703,7.250899386297137,-0.16347791991101368,0.6191553461838357,111,1.0,12.970694543782388,4.045705160992877,7.208291153911173
AVGO,Broadcom,A_adj_full,205,2009-08-31,2026-08-31,288.4453621322018,0.3954537522952435,181,0.994475138121547,0.9044869652005167,-0.013239247442780155,0.29002418481799275,169,1.0,1.5489655561548394,0.2151738890608923,0.7874999079715693,145,1.0,4.445418373980984,1.1484858677295473,1.9259375485248942,121,1.0,8.13510203666337,3.419089863583255,4.6448933902114335
AVGO,Broadcom,B_adj_1996,205,2009-08-31,2026-08-31,288.4453621322018,0.3954537522952435,181,0.994475138121547,0.9044869652005167,-0.013239247442780155,0.29002418481799275,169,1.0,1.5489655561548394,0.2151738890608923,0.7874999079715693,145,1.0,4.445418373980984,1.1484858677295473,1.9259375485248942,121,1.0,8.13510203666337,3.419089863583255,4.6448933902114335
AVGO,Broadcom,C_ko_1996,205,2009-08-31,2026-08-31,202.44504931620494,0.3666918026320618,181,0.988950276243094,0.8191217103901376,-0.04482961745367542,0.21873633670224768,169,1.0,1.3065311719854464,0.08284613628060211,0.6745723661173229,145,1.0,3.967845818901785,0.7813648296250664,1.4577584477117684,121,1.0,6.7164480955491905,2.5517959363250924,3.603040197461217
^GSPC,S&P500 지수,A_adj_full,680,1970-01-31,2026-08-31,90.26547131023776,0.08283380627671266,656,0.8292682926829268,0.1904554419806932,-0.4774810691830561,-0.12697324880189909,644,0.8307453416149069,0.3129557872247549,-0.43401087029054175,-0.15352261881720097,620,0.817741935483871,0.5680244474206383,-0.3579662740376155,-0.09046886009158059,596,0.9328859060402684,0.9320850664554126,-0.33580003252825896,0.04206846281674259
^GSPC,S&P500 지수,B_adj_1996,368,1996-01-31,2026-08-31,12.066239833142358,0.08484210171873663,344,0.8023255813953488,0.2061121231874563,-0.4774810691830561,-0.20128822027526178,332,0.7921686746987951,0.3125122638940694,-0.43401087029054175,-0.22563756818737102,308,0.7305194805194806,0.5145257290238724,-0.3579662740376155,-0.13921366655068113,284,0.9401408450704225,0.49544585620570347,-0.33580003252825896,0.03371499786880385
^GSPC,S&P500 지수,C_ko_1996,368,1996-01-31,2026-08-31,12.066239833142484,0.08484210171873707,344,0.8023255813953488,0.2061121231874573,-0.477481069183056,-0.2012882202752626,332,0.7921686746987951,0.3125122638940706,-0.4340108702905413,-0.22563756818737216,308,0.7305194805194806,0.5145257290238759,-0.3579662740376144,-0.13921366655068196,284,0.9401408450704225,0.4954458562057018,-0.3358000325282582,0.033714997868803165
^IXIC,나스닥종합 지수,A_adj_full,667,1971-02-28,2026-08-31,258.342816262088,0.10524743119633317,643,0.8102643856920684,0.27601222448707996,-0.6874130852778992,-0.16582603495323686,631,0.8462757527733756,0.4318784843781538,-0.7152207132091051,-0.16219778021978015,607,0.8764415156507414,0.7960888961355883,-0.5631561709024051,-0.1272765325923431,583,0.9485420240137221,1.2492090305224903,-0.4855632474266611,0.1262458150652536
^IXIC,나스닥종합 지수,B_adj_1996,368,1996-01-31,2026-08-31,24.703442191377537,0.11056005139969738,344,0.7994186046511628,0.2684780362913518,-0.6874130852778992,-0.2300561879329338,332,0.8162650602409639,0.42385430195013096,-0.7152207132091051,-0.18576135973817878,308,0.8409090909090909,0.7221742679856266,-0.5631561709024051,-0.17280261066425945,284,0.9014084507042254,0.7943379998779023,-0.4855632474266611,0.009197863072602827
^IXIC,나스닥종합 지수,C_ko_1996,368,1996-01-31,2026-08-31,24.703442191377516,0.11056005139969738,344,0.7994186046511628,0.2684780362913537,-0.6874130852779001,-0.230056187932935,332,0.8162650602409639,0.42385430195013163,-0.715220713209106,-0.18576135973817867,308,0.8409090909090909,0.7221742679856271,-0.5631561709024062,-0.17280261066426295,284,0.9014084507042254,0.7943379998779033,-0.4855632474266629,0.00919786307260125
SPY,SPY ETF,A_adj_full,404,1993-01-31,2026-08-31,31.755133045851192,0.10846966093132115,380,0.85,0.2644459026929361,-0.45287323400069157,-0.16350674013083805,368,0.8369565217391305,0.4061344603487026,-0.41325247418747735,-0.16172622108424928,344,0.8575581395348837,0.7160184652731652,-0.29188048044439097,-0.054098661971924054,320,0.978125,0.9665639861324771,-0.24346964834142049,0.1667374702998722
SPY,SPY ETF,B_adj_1996,368,1996-01-31,2026-08-31,20.352135386199006,0.10354612993408607,344,0.8343023255813954,0.25186424308858435,-0.45287323400069157,-0.17697751911370507,332,0.8192771084337349,0.3845661608813369,-0.41325247418747735,-0.17437863285171867,308,0.8409090909090909,0.6620647976987446,-0.29188048044439097,-0.06618505797638573,284,0.9753521126760564,0.6696354261328951,-0.24346964834142049,0.15103619582643993
SPY,SPY ETF,C_ko_1996,368,1996-01-31,2026-08-31,12.026031430674932,0.08472370235861937,344,0.8023255813953488,0.20466117910230142,-0.4754132885413528,-0.20060966708692368,332,0.7921686746987951,0.3118054131158824,-0.43647549127182095,-0.22619467115142836,308,0.7305194805194806,0.5136397597638503,-0.35724221874456563,-0.13414615490232018,284,0.9366197183098591,0.5024396538184179,-0.33486279802069085,0.03606223643042666
QQQ,QQQ ETF,A_adj_full,330,1999-03-31,2026-08-31,16.136797630072962,0.10674980624786246,306,0.8006535947712419,0.29977436993381745,-0.7688560556166446,-0.2488872340708852,294,0.8299319727891157,0.517275208772757,-0.7694064387428959,-0.21506155866832793,270,0.8666666666666667,1.0240686257513987,-0.6626969892738845,-0.14112487713080119,246,0.8780487804878049,1.9109673517461794,-0.5956283647235381,-0.16816130713044314
QQQ,QQQ ETF,B_adj_1996,330,1999-03-31,2026-08-31,16.136797630072962,0.10674980624786246,306,0.8006535947712419,0.29977436993381745,-0.7688560556166446,-0.2488872340708852,294,0.8299319727891157,0.517275208772757,-0.7694064387428959,-0.21506155866832793,270,0.8666666666666667,1.0240686257513987,-0.6626969892738845,-0.14112487713080119,246,0.8780487804878049,1.9109673517461794,-0.5956283647235381,-0.16816130713044314
