ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,005830,DB손해보험,11645962052200,0.172894,1.19957,0.14413,0.039575,20260814003682
2026-08,078930,GS,10794456519000,0.168467,1.518879,0.110915,0.036627,20260814003779
2026-08,003230,삼양식품,10290098490000,0.042966,0.148764,0.288817,0.003498,20260814003053
2026-08,071050,한국금융지주,10281445524000,0.240939,1.333908,0.180626,0.051241,20260814002697
2026-08,259960,크래프톤,10242598926000,0.067585,0.704151,0.095981,0.009648,20260814003894
2026-08,005940,NH투자증권,9636279340500,0.131215,1.12713,0.116415,0.050625,20260814002484
2026-08,003490,대한항공,9500093053800,-0.009797,1.106573,-0.008853,0.030334,20260814002803
2026-08,006260,LS,9157200000000,0.03921,0.577337,0.067915,0.015606,20260814001888
2026-08,0126Z0,삼성에피스홀딩스,8957897640000,,0.680367,,,20260814002990
2026-08,047050,포스코인터내셔널,8901693072800,0.085678,0.785689,0.109048,0.03698,20260814001968
2026-08,443060,HD현대마린솔루션,8863575042000,0.033799,0.10065,0.33581,0.02099,20260814001752
2026-08,028050,삼성E&A,8849400000000,0.074366,0.566271,0.131326,0.019128,20260814003428
2026-08,016360,삼성증권,8215600000000,0.153465,1.053634,0.145653,0.043478,20260814002836
2026-08,161390,한국타이어앤테크놀로지,8175754554000,0.145124,1.64097,0.088438,-0.029842,20260814003878
2026-08,090430,아모레퍼시픽,8072000742000,0.035708,0.69042,0.051719,0.012888,20260814002449
2026-08,180640,한진칼,7871272694100,-0.00545,0.424845,-0.012828,0.003474,20260814002907
2026-08,007660,이수페타시스,7289535446700,0.025904,0.117851,0.219799,0.002316,20260814002283
2026-08,352820,하이브,7237637764400,-0.021142,0.474196,-0.044585,0.003087,20260814004127
2026-08,009830,한화솔루션,7207805778800,-0.022933,1.347007,-0.017025,0.00664,20260814003076
2026-08,039490,키움증권,7029188688000,0.211111,1.0754,0.196309,0.042859,20260813001767
2026-08,064400,LG씨엔에스,6937033876800,0.065976,0.439211,0.150215,0.025872,20260814002448
2026-08,021240,코웨이,6786596153400,0.094366,0.563051,0.167598,0.027457,20260814002001
2026-08,000100,유한양행,6554997562300,0.03339,0.364197,0.09168,0.006858,20260814002038
2026-08,326030,SK바이오팜,6554819025000,0.048682,0.155879,0.312303,0.0,20260814002274
2026-08,047040,대우건설,6545758673340,-0.107368,0.578491,-0.185601,0.000448,20260814002161
2026-08,032640,LG유플러스,6311240374840,0.083039,1.437243,0.057777,0.044599,20260814001092
2026-08,000880,한화,5908563612200,0.125025,2.273906,0.054983,0.016701,20260814003062
2026-08,377300,카카오페이,5749089112500,0.012623,0.343116,0.03679,0.0,20260814003101
2026-08,241560,두산밥캣,5550066163500,5.9e-05,0.000919,0.064628,2e-05,20260814003597
2026-08,267270,HD건설기계,5534979103500,0.049679,0.884671,0.056155,0.004758,20260814004300
2026-08,029780,삼성카드,5346887819650,0.121365,1.665367,0.072876,0.055881,20260814003715
2026-08,128940,한미약품,5322966760500,0.040233,0.26373,0.152555,0.006049,20260814004181
2026-08,001440,대한전선,5223202683400,0.003821,0.360267,0.010607,0.0,20260814003722
2026-08,353200,대덕전자,5154185277500,0.019571,0.189526,0.103261,0.004999,20260813001620
2026-08,062040,산일전기,5049941680000,0.0328,0.131357,0.249703,0.007521,20260814003544
2026-08,175330,JB금융지주,4961480518400,0.145579,1.212959,0.120019,0.048463,20260814002218
2026-08,271560,오리온,4956910015200,0.080499,0.820179,0.098148,0.029398,20260818000305
2026-08,010060,OCI홀딩스,4947611480000,0.007074,0.827188,0.008551,0.004358,20260813000901
2026-08,036570,NC,4836632939000,0.104767,0.731985,0.143128,0.004611,20260814003764
2026-08,088350,한화생명,4750859100000,0.202862,3.421213,0.059295,0.0,20260813001536
2026-08,034220,LG디스플레이,4750000000000,-0.219819,1.326528,-0.16571,0.0,20260814001005
2026-08,000500,가온전선,4710817427400,0.012724,0.11256,0.113043,0.000351,20260814000919
2026-08,051900,LG생활건강,4687338699000,-0.013099,1.206725,-0.010855,0.009518,20260814002412
2026-08,454910,두산로보틱스,4595736582000,-0.011254,0.071639,-0.157096,0.0,20260814003345
2026-08,138930,BNK금융지주,4440779842230,0.159025,2.454308,0.064794,0.053556,20260814003965
2026-08,066970,엘앤에프,4251547179000,-0.086616,0.182525,-0.474541,0.0,20260814000995
2026-08,001450,현대해상,4241100437500,0.268205,1.543956,0.173713,0.0,20260814003474
2026-08,002380,KCC,4158961664000,0.837801,2.648917,0.316281,0.026524,20260814001150
2026-08,011790,SKC,4136498053200,-0.200271,0.482118,-0.415399,0.002244,20260814003336
2026-08,000990,DB하이텍,3902361543600,0.078036,0.6134,0.127218,0.00876,20260814003091
2026-08,004170,신세계,3782794990500,0.028114,1.428127,0.019686,0.026987,20260814003432
2026-08,082740,한화엔진,3680018962200,,0.176561,,,20260814002747
2026-08,004020,현대제철,3603036195000,-0.00898,5.521249,-0.001626,0.018984,20260814003379
2026-08,001040,CJ,3539169857400,0.011085,1.537126,0.007212,0.031297,20260814002852
2026-08,052690,한전기술,3497130000000,0.025097,0.169485,0.14808,0.014653,20260814001293
2026-08,018880,한온시스템,3489292676800,-0.027424,1.178798,-0.023264,0.0,20260813001074
2026-08,111770,영원무역,3310066659600,0.159971,1.36445,0.117242,0.026998,20260814003968
2026-08,085620,미래에셋생명,3305151000000,0.029667,0.73331,0.040457,0.0,20260814004054
2026-08,036460,한국가스공사,3290958450000,0.117511,3.573529,0.032884,0.030604,20260819000378
2026-08,161890,한국콜마,3226814025900,0.047403,0.310386,0.152722,0.008372,20260814002721
2026-08,103590,일진전기,3128161584000,0.040786,0.209124,0.195031,0.007621,20260811000431
2026-08,028670,팬오션,3127231645200,0.10107,2.021464,0.049999,0.025636,20260812000418
2026-08,251270,넷마블,3081019646250,0.085128,1.937724,0.043932,0.02645,20260814002548
2026-08,192820,코스맥스,3075716939000,0.049039,0.210225,0.233267,0.012173,20260813001436
2026-08,008930,한미사이언스,3074200172500,0.043351,0.34514,0.125605,0.006612,20260814004187
2026-08,035250,강원랜드,3061488555000,0.119304,1.276975,0.093427,0.061501,20260814003905
2026-08,022100,포스코DX,2966197562790,0.016719,0.190164,0.087918,0.006444,20260814000366
2026-08,031210,서울보증보험,2956944675300,0.090966,1.694615,0.053679,0.067651,20260814002650
2026-08,009420,한올바이오파마,2951596047000,-0.008601,0.054759,-0.157069,0.0,20260814003675
2026-08,011780,금호석유화학,2948438490000,0.180985,2.287136,0.079132,0.014854,20260814002302
2026-08,012750,에스원,2918336870400,0.059359,0.588966,0.100785,0.037073,20260814003817
