code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
036930,2023,284745246660.0,134641732223.0,28937462812.0,34000802285.0,805261391385.0,290513573540.0,514747817845.0,239031396471.0,61548330782.0,110639608016.0,886629703.0,228965242758.0,24124606000.0
036930,2024,409393371588.0,160426587805.0,97196211588.0,106814110967.0,986824795276.0,420234495676.0,566590299600.0,398129947454.0,191704927851.0,250695295992.0,224672730163.0,228529567825.0,24124606000.0
036930,2025,310692584812.0,133384151221.0,31257811742.0,35693416702.0,887892914256.0,297436347858.0,590456566398.0,246007880650.0,68048964888.0,164383610031.0,-30678160138.0,229387382970.0,24124606000.0
950160,2019,2619408.0,2400244.0,-38192414.0,-42268273.0,107563251.0,26753496.0,80809755.0,97421237.0,12091770.0,39312835.0,-37624071.0,14661726.0,2399.0
950160,2020,3013298.0,2693885.0,-35215717.0,-35412429.0,66947239.0,22730082.0,44217157.0,57917520.0,13967980.0,17023998.0,-32308157.0,8762102.0,2399.0
950160,2021,3497973.0,3114999.0,-40984035.0,-41391802.0,51792050.0,19191687.0,32600363.0,36650308.0,13616963.0,32739992.0,-34969616.0,5574724.0,2471.0
950160,2022,7319202.0,1366166.0,-12618990.0,-8619693.0,86711825.0,14519975.0,72191850.0,49767208.0,9156213.0,32796306.0,-20724975.0,5363762.0,2554.0
950160,2023,2839000.0,2522466.0,-15707145.0,-13194601.0,104630356.0,15469987.0,89160369.0,24841461.0,11093030.0,21275420.0,-18468576.0,4376957.0,2630.0
950160,2024,3719583.0,3283736.0,-16127329.0,-24779552.0,151216411.0,51962208.0,99254203.0,5044454.0,48374639.0,546173.0,-14994152.0,3587569.0,2768.0
950160,2025,3627220.0,3145406.0,-15695998.0,-135413281.0,295484173.0,250825311.0,44658862.0,60137913.0,247878986.0,47210417.0,-16884915.0,2946325.0,2840.0
000250,2019,186602477367.0,75946715852.0,25210116894.0,19599719713.0,290150966088.0,66954254388.0,223196711700.0,162492554311.0,45205982687.0,60272737097.0,30603122171.0,21748271701.0,11052906500.0
000250,2020,166862333786.0,72862414444.0,5522905191.0,7494985952.0,317078865822.0,59382900115.0,257695965707.0,166527650544.0,23658314093.0,58935489415.0,3249732702.0,35724586022.0,11384020500.0
000250,2021,167274903875.0,84196690194.0,-15293087301.0,-10360886456.0,343947668188.0,93647148966.0,250300519222.0,168919766042.0,54019011086.0,49113287318.0,-7706965272.0,39628137880.0,11384020500.0
000250,2022,177335410013.0,87340758054.0,12224651499.0,8831820464.0,373275926268.0,127634262627.0,245641663641.0,157749140159.0,38159520916.0,22100771530.0,13278998700.0,89474741711.0,11384020500.0
000250,2023,192668515628.0,95702222190.0,9559814333.0,-4187753548.0,408021822012.0,109561750075.0,298460071937.0,163905937639.0,57957199035.0,40427235975.0,23428068368.0,51604551040.0,11728736000.0
000250,2024,210923804522.0,111261375855.0,2641971274.0,-5078046827.0,519772210839.0,170368051944.0,349404158895.0,242532347978.0,93420519276.0,105584562702.0,21770705374.0,76947532668.0,11728736000.0
000250,2025,231805277738.0,122429341329.0,8466512950.0,12029846621.0,561231384431.0,197638158783.0,363593225648.0,241758626803.0,106571860871.0,95943976392.0,9793496690.0,91066297912.0,11728736000.0
058470,2019,170307404665.0,96152845378.0,64141629662.0,52790182377.0,325715904234.0,25537737867.0,300178166367.0,225546548484.0,23006487683.0,31868276461.0,45356654172.0,2531250184.0,7621185000.0
058470,2020,201335459350.0,112557857773.0,77881753690.0,55378772170.0,361533314540.0,24192132028.0,337341182512.0,257710373589.0,21920276366.0,99439220422.0,99804058912.0,2271855662.0,7621185000.0
058470,2021,280166833067.0,148928526171.0,117104353242.0,103805815149.0,466371034236.0,48667847133.0,417703187103.0,335723022270.0,45990326198.0,77211544736.0,130580737722.0,2677520935.0,7621185000.0
058470,2022,322422803089.0,167794521227.0,136634729982.0,114363791327.0,531488129432.0,38304546606.0,493183582826.0,377024805599.0,36383168010.0,30366977656.0,108593008315.0,1921378596.0,7621185000.0
058470,2023,255573034656.0,127238409519.0,114378400291.0,110923015440.0,582869465294.0,25795267228.0,557074198066.0,372372898847.0,23110842940.0,34165877177.0,110391022028.0,2684424288.0,7621185000.0
058470,2024,278186189427.0,140020108110.0,124201343872.0,113279046428.0,657443780756.0,34814668593.0,622629112163.0,449498090730.0,30614692642.0,54759251381.0,110106597065.0,4199975951.0,7621185000.0
058470,2025,372534084608.0,178133839971.0,176997188289.0,151960670406.0,791928165325.0,60709212955.0,731218952370.0,532616632485.0,54792158052.0,85202812409.0,179468846374.0,5917054903.0,7621185000.0
028300,2019,38420748245.0,34484127309.0,-48731090741.0,-59660076049.0,362612148006.0,173369982097.0,189242165909.0,69679047000.0,67698778182.0,40855235426.0,-48656702381.0,105671203915.0,21371125500.0
