출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-07-29,000500,가온전선,A,C,실행,-37.9,122400.0,-33.0,주60주,-12.9,손절,1,,5437391038200
2026-07-29,083450,GST,A,A,실행,-37.9,35950.0,-18.3,월10,11.2,목표,2,,810920000000
2026-07-29,222800,심텍,A,A,실행,-37.9,68600.0,-25.7,일240,-8.9,손절,1,,3457920831300
2026-07-29,006400,삼성SDI,A,A,실행,-37.9,364000.0,-15.5,일240,9.2,목표,2,,34732363430000
2026-07-29,033160,엠케이전자,A,C,실행,-37.9,12240.0,-20.1,주60주,12.6,목표,2,,370659219120
2026-07-29,047040,대우건설,A,A,실행,-37.9,12020.0,-20.8,월10,6.3,진행중,2,,6237577944840
2026-07-29,045100,한양이엔지,A,A,실행,-37.9,26700.0,-16.7,월10,10.0,목표,2,,560875000000
2026-07-29,005090,SGC에너지,A,A,실행,-37.9,38050.0,-12.6,월10,7.2,목표,2,,627526452150
2026-07-29,160980,싸이맥스,A,A,실행,-37.9,22200.0,-31.5,일240,23.0,목표,2,,353945473200
2026-07-29,084370,유진테크,A,A,실행,-37.9,96800.0,-13.8,주60주,-5.9,손절,1,,2573471516600
2026-07-29,071050,한국금융지주,A,C,실행,-37.9,183500.0,-13.6,주60주,7.9,목표,2,,11841773300000
2026-07-28,012630,HDC,A,C,실행,-33.9,20050.0,-12.8,일240,-5.6,손절,1,,1290421173600
2026-07-28,006360,GS건설,A,C,실행,-33.9,25500.0,-15.7,일240,-11.4,손절,1,,2490421359000
2026-07-28,267250,HD현대,A,C,실행,-33.9,194600.0,-12.5,주60주,-5.7,손절,1,,16628044392500
2026-07-28,119850,지엔씨에너지,A,B,실행,-33.9,32000.0,-29.4,월10,-10.5,손절,1,,615189196600
2026-07-28,096770,SK이노베이션,A,A,실행,-33.9,112700.0,-13.4,주60주,-5.1,손절,1,,19728460359600
2026-07-27,006400,삼성SDI,B,A,실행,-25.9,431000.0,-7.7,월10,-4.8,손절,1,,34732363430000
2026-07-27,089890,코세스,A,B,실행,-25.9,23150.0,-14.7,주60주,-9.5,손절,1,,383941870300
2026-07-27,000270,기아,A,B,실행,-25.9,130400.0,-13.0,주60주,-7.3,손절,2,,50909854939200
2026-07-27,356860,티엘비,A,A,실행,-25.9,29100.0,-12.3,일240,-6.0,손절,1,,346453833000
2026-07-27,089030,테크윙,A,C,실행,-25.9,44550.0,-12.3,주60주,-6.0,손절,1,,1650739884750
2026-07-27,229640,LS에코에너지,A,B,실행,-25.9,44750.0,-15.1,주60주,-6.7,손절,1,,1370463335250
2026-07-27,004710,한솔테크닉스,A,A,실행,-25.9,7460.0,-14.5,월10,-6.0,손절,1,,303096196820
2026-07-27,456040,OCI,A,C,실행,-25.9,72200.0,-18.2,주60주,-6.2,손절,1,,646370139000
2026-07-27,012330,현대모비스,B,C,실행,-25.9,463500.0,-11.5,월10,2.7,진행중,4,,42054552220500
2026-07-27,000150,두산,B,C,실행,-25.9,1197000.0,-6.2,월10,-8.0,손절,1,,19384020495000
2026-07-24,122640,예스티,A,A,실행,-26.6,21750.0,-14.5,주60주,-5.7,손절,2,,469817704500
2026-07-22,376900,로킷헬스케어,A,B,실행,-25.4,49050.0,-20.1,주60주,-4.2,트레일,2,,582568056300
2026-07-21,226950,올릭스,A,C,실행,-26.0,109200.0,-20.1,주60주,-4.2,트레일,5,,2591116582500
2026-07-21,042700,한미반도체,B,A,실행,-26.0,224000.0,-7.6,월10,-5.5,손절,2,,19586657100000
2026-07-21,006400,삼성SDI,B,B,실행,-26.0,416500.0,-4.1,월10,-4.7,트레일,5,,35457633200000
2026-07-21,336260,두산퓨얼셀,A,B,실행,-26.0,38400.0,-13.8,주60주,8.0,목표,1,,2934118924800
2026-07-20,043260,성호전자,A,B,실행,-28.5,16590.0,-17.5,주60주,10.6,목표,2,,1355990861700
2026-07-20,001440,대한전선,A,C,실행,-28.5,25550.0,-14.7,주60주,8.6,목표,2,,5546590466800
2026-07-20,006260,LS,A,A,실행,-28.5,265500.0,-13.0,일240,7.4,목표,2,,9469200000000
2026-07-20,356680,엑스게이트,A,A,실행,-28.5,10120.0,-13.8,일240,-6.0,손절,1,,310553192960
2026-07-20,403870,HPSP,A,A,실행,-28.5,39500.0,-15.4,일240,-5.6,손절,4,,3448370000000
2026-07-20,074600,원익QnC,A,B,실행,-28.5,27600.0,-13.6,일240,-6.7,손절,1,,795212000000
2026-07-20,336260,두산퓨얼셀,A,B,실행,-28.5,39000.0,-15.4,주60주,9.1,목표,2,,2934118924800
2026-07-20,195870,해성디에스,A,B,실행,-28.5,52800.0,-13.9,일240,8.0,목표,2,,994500000000
2026-07-20,028260,삼성물산,B,C,실행,-28.5,317500.0,-13.5,월10,-0.1,트레일,6,,58542496741000
2026-07-20,098460,고영,A,B,실행,-28.5,24650.0,-13.2,주60주,7.6,목표,1,,1763078906050
2026-07-20,095340,ISC,A,C,실행,-28.5,135600.0,-14.4,일240,8.4,목표,2,,3253748403000
2026-07-20,039030,이오테크닉스,A,B,실행,-28.5,317000.0,-17.7,주60주,-5.6,트레일,4,,4428878225000
2026-07-20,178320,서진시스템,A,B,실행,-28.5,36600.0,-12.8,일240,-6.4,손절,1,,2498291427250
2026-07-20,033640,네패스,A,B,실행,-28.5,18380.0,-14.1,주60주,8.2,목표,2,,479631401600
2026-07-20,347850,디앤디파마텍,A,C,실행,-28.5,64300.0,-15.4,주60주,-6.9,손절,2,,3529495893000
2026-07-20,007390,네이처셀,A,A,실행,-28.5,22700.0,-13.0,월10,7.5,목표,1,,1507780310400
2026-07-20,078350,한양디지텍,A,C,실행,-28.5,19040.0,-13.5,주60주,7.8,목표,2,,337663061300
2026-07-20,319400,현대무벡스,A,B,실행,-28.5,18550.0,-13.5,주60주,7.8,목표,1,,2377878432650
2026-07-20,032820,우리기술,A,C,실행,-28.5,9070.0,-15.5,주60주,9.2,목표,2,,1834459438340
2026-07-20,042700,한미반도체,B,A,실행,-28.5,222000.0,-17.6,월10,-4.6,손절,3,,19586657100000
2026-07-20,327260,RF머트리얼즈,A,A,실행,-28.5,43850.0,-16.3,월10,9.7,목표,2,,444809425750
2026-07-20,089890,코세스,A,B,실행,-28.5,22900.0,-13.3,주60주,-10.0,손절,1,,466866680300
2026-07-20,307950,현대오토에버,A,C,실행,-28.5,371500.0,-12.8,일240,7.3,목표,2,,12011704116000
2026-07-20,077360,덕산하이메탈,A,A,실행,-28.5,8650.0,-14.7,주60주,8.6,목표,1,,409387388020
2026-07-15,180640,한진칼,A,B,실행,-20.1,112200.0,-14.7,월10,-7.2,손절,3,,8785915916400
2026-07-14,218410,RFHIC,A,C,실행,-24.8,44750.0,-14.1,주60주,8.2,목표,1,,1251994790300
2026-07-14,005090,SGC에너지,A,A,실행,-24.8,36250.0,-17.1,월10,10.3,목표,1,,536027187600
2026-07-14,006260,LS,B,A,실행,-24.8,292500.0,-11.1,월10,-7.5,손절,3,,9469200000000
2026-07-14,200710,에이디테크놀로지,A,C,실행,-24.8,29550.0,-16.6,주60주,-5.6,트레일,2,,397129206500
2026-07-14,043260,성호전자,A,C,실행,-24.8,18420.0,-16.8,일240,10.1,목표,1,,1355990861700
2026-07-14,090360,로보스타,A,A,실행,-24.8,63000.0,-12.1,주60주,6.9,목표,1,,648375000000
2026-07-14,178320,서진시스템,A,A,실행,-24.8,37700.0,-20.4,일240,-1.5,트레일,3,,2498291427250
2026-07-14,368770,파이버프로,A,A,실행,-24.8,11950.0,-12.1,주60주,-6.1,트레일,3,,410677812500
2026-07-14,458870,씨어스,A,C,실행,-24.8,31500.0,-12.5,일240,-8.2,트레일,3,,1254068433000
2026-07-14,000150,두산,B,C,실행,-24.8,1217000.0,-11.9,월10,-3.0,트레일,3,,20047967730000
2026-07-14,098460,고영,A,A,실행,-24.8,25250.0,-12.3,일240,7.0,목표,1,,1763078906050
2026-07-14,009160,SIMPAC,A,C,실행,-24.8,4680.0,-14.0,월10,-5.8,트레일,3,,328162259360
2026-07-14,307950,현대오토에버,B,B,실행,-24.8,407500.0,-9.8,월10,-7.8,트레일,3,,12011704116000
