순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,179900,유티아이,KOSDAQ,30.00,2665,1869663477,769138,52741447980,Y,저유동주의
2,215790,이노인스트루먼트,KOSDAQ,30.00,988,10727698115,11066507,39799751212,Y,동전주
3,348080,큐라티스,KOSDAQ,30.00,2990,262762545,88142,38354981470,Y,저유동주의
4,024840,KBI메탈,KOSDAQ,29.99,4985,51405749241,11036010,215152041680,Y,실체급등
5,372170,윤성에프앤씨,KOSDAQ,29.99,20500,44997500,2195,163570484000,Y,저유동주의
6,148780,비큐AI,KOSDAQ,29.93,3885,5457298919,1459770,24433328325,Y,실체급등
7,069540,빛과전자,KOSDAQ,29.89,2890,81271233383,29316074,325679582330,Y,실체급등
8,226340,본느,KOSDAQ,29.86,3675,1366122450,371734,30835028700,Y,저유동주의
9,477850,마키나락스,KOSDAQ,29.85,29800,132315094825,4590350,529091132800,Y,실체급등
10,138080,오이솔루션,KOSDAQ,29.84,25150,3856124900,153404,311300613700,Y,저유동주의
11,264850,이랜시스,KOSDAQ,29.82,6530,64499046695,10715330,197823816360,Y,실체급등
12,431190,케이쓰리아이,KOSDAQ,27.41,3045,328420045,123287,22796215890,,저유동주의
13,0015N0,아로마티카,KOSDAQ,25.05,6890,18801757010,2858781,86654992580,,실체급등
14,153890,져스텍,KOSDAQ,24.19,8470,31221743150,3736492,102066083350,,실체급등
15,049080,기가레인,KOSDAQ,21.84,10990,34255523520,3201657,93286790660,,실체급등
16,017900,광전자,KOSPI,21.31,7060,99989453520,14341348,409082966780,,실체급등
17,336260,두산퓨얼셀,KOSPI,20.98,34600,94723958525,2799090,2266082919600,,실체급등
18,033250,체시스,KOSPI,20.36,4700,393094117,87472,30080000000,,저유동주의
19,027580,상보,KOSDAQ,20.24,1806,371994111,218828,21376276530,,저유동주의
20,469750,아이비젼웍스,KOSDAQ,19.81,1137,2173532742,2100519,39177018897,,저유동주의
21,002630,오리엔트바이오,KOSPI,18.63,1070,3150166575,2959119,63441907140,,저유동주의
22,010170,대한광통신,KOSDAQ,18.57,12070,483513276195,40183237,1876711916200,,실체급등
23,032580,피델릭스,KOSDAQ,18.52,4480,7016396413,1637471,148431646720,,실체급등
24,038060,루멘스,KOSDAQ,18.51,999,1787718109,1827067,48054965931,,동전주
25,154040,다산솔루에타,KOSDAQ,18.43,983,853137644,884327,21248148562,,동전주
26,050090,비케이홀딩스,KOSDAQ,18.27,479,599066985,1249985,11273138065,,동전주
27,027040,서울전자통신,KOSDAQ,17.93,1967,1498660934,769611,27376251623,,저유동주의
28,950160,코오롱티슈진,KOSDAQ,17.21,18660,186450880625,9936732,1585543185600,,실체급등
29,196450,코아시아씨엠,KOSDAQ,16.82,1049,61424780,62636,47540680000,,저유동주의
30,007610,선도전기,KOSPI,16.60,4670,13707796627,2893217,84060000000,,실체급등
31,335870,윙스풋,KOSDAQ,15.94,1200,94391480,81430,20100567600,,저유동주의
32,088800,에이스테크,KOSDAQ,15.56,2080,2980869241,1394361,157053382720,,저유동주의
33,094170,동운아나텍,KOSDAQ,15.52,32000,6458847000,204968,669117952000,,실체급등
34,017510,세명전기,KOSDAQ,15.42,7410,17753763750,2323872,112972860000,,실체급등
35,043340,에쎈테크,KOSDAQ,15.42,958,227770489,252989,45505000000,,동전주
36,056080,유진로봇,KOSDAQ,15.19,14260,7906269690,588035,545238030360,,실체급등
37,077970,STX엔진,KOSPI,15.16,28100,9970609850,364669,1128160570300,,실체급등
38,014950,삼익제약,KOSDAQ,15.05,5350,10184840080,1894140,53861595800,,실체급등
