code,종목명,시장,구분,등락률_20260731,종가_20260731,거래량_20260731,거래대금_20260731,PER_20260731,PBR_20260731,EPS_20260731,BPS_20260731,배당%_20260731,시총_20260731,종가_20260730,거래량_20260730,거래대금_20260730,PER_20260730,PBR_20260730,EPS_20260730,BPS_20260730,배당%_20260730,시총_20260730,고점52주比,고점5년比,MA60比,거래대금배수,신규상장
402340,SK스퀘어,KOSPI,상한가,29.91,1038000,1039044,1064048457000,15.56,4.95,66713.0,209564.0,0.0,136972804668000,799000,1364135,1099450260960,11.98,3.81,66713.0,209564.0,0.0,105434750414000,-0.4933759707629054,-0.4933759707629054,-0.1506254786826654,0.6938266126518404,
170920,엘티씨,KOSDAQ,상한가,29.89,34550,307322,10332985175,68.96,2.76,501.0,12514.0,0.29,364990553300,26600,430576,11893391275,53.09,2.13,501.0,12514.0,0.38,281005751600,-0.34349258649093906,-0.34349258649093906,-0.15664350463828436,0.5822521070029713,
336260,두산퓨얼셀,KOSPI,상한가,29.89,24550,1755895,41370522875,0.0,5.47,0.0,4491.0,0.0,1607870973300,18900,1248576,23933230255,0.0,4.21,0.0,4491.0,0.0,1237831421400,-0.6069788797061524,-0.6069788797061524,-0.3654166924074874,1.7960015869581154,
45226K,한화갤러리아우,KOSPI,상한가,29.87,4435,54468,223657955,0.0,0.0,0.0,0.0,0.0,12881324450,3415,54670,187102230,0.0,0.0,0.0,0.0,0.0,9918765050,-0.7542372881355932,-0.817906976744186,-0.28930170640203323,12.66045462265142,
093370,후성,KOSPI,상한가,29.87,9000,6497902,54763173770,180.0,2.89,50.0,3118.0,0.0,965297970000,6930,3264421,23015376075,138.6,2.22,50.0,3118.0,0.0,743279436900,-0.5656050955414013,-0.6183832581042266,-0.2652093758230182,0.8576538535340404,
002070,비비안,KOSPI,상한가,29.83,5070,307722,1479723122,0.0,0.18,0.0,27410.0,0.0,12190024080,7800,89426,718604000,0.0,0.14,0.0,54750.0,0.0,18753883200,-0.45448275862068965,-0.45448275862068965,0.04435080152713744,1.0087539440575553,
327260,RF머트리얼즈,KOSDAQ,상한가,29.79,22350,403115,8677696625,52.71,7.24,424.0,3087.0,0.0,201041267250,17220,152963,2704952895,40.61,5.58,424.0,3087.0,0.0,154896224700,-0.6460107221696625,-0.6460107221696625,-0.3754271623805916,1.0600386474140913,
044490,태웅,KOSDAQ,상한가,29.79,27450,254518,6693164825,101.29,0.9,271.0,30459.0,0.0,549202608450,21150,170437,3794063350,78.04,0.69,271.0,30459.0,0.0,423156108150,-0.5562805872756933,-0.5562805872756933,-0.24865337691634815,1.891933976361113,
194480,데브시스터즈,KOSDAQ,상한가,29.54,18460,433051,7723930565,19.37,1.22,953.0,15161.0,0.0,223904109000,14250,368250,5417414390,14.95,0.94,953.0,15161.0,0.0,172840387500,-0.7054982817869415,-0.9140852130325815,0.001041534852481707,6.3768979365111065,
089970,브이엠,KOSDAQ,상한가,29.45,65500,1151210,74430065300,57.71,9.6,1135.0,6824.0,0.0,1724403107500,50600,813009,42730117900,44.58,7.42,1135.0,6824.0,0.0,1332134309000,-0.39967239967239965,-0.39967239967239965,-0.06873332486342265,0.8901362132250731,
160980,싸이맥스,KOSDAQ,상한가,29.27,30250,240991,6888219150,21.23,1.7,1425.0,17779.0,1.32,330458350750,23400,164594,3849013425,16.42,1.32,1425.0,17779.0,1.71,255627286200,-0.31974921630094044,-0.31974921630094044,-0.09677419354838712,0.9676306277197462,
490470,세미파이브,KOSDAQ,+20%↑,28.73,16490,539521,8548283335,0.0,2.53,0.0,6513.0,0.0,561079505600,12810,252585,3309288085,0.0,1.97,0.0,6513.0,0.0,435865886400,-0.6649122807017545,-0.6649122807017545,-0.40709485677495005,1.2769824151019993,
356860,티엘비,KOSDAQ,+20%↑,28.47,26400,433929,11183564800,28.27,4.27,934.0,6185.0,1.7,314308632000,20550,205506,4290589300,22.0,3.32,934.0,6185.0,2.19,244660696500,-0.572535794580523,-0.572535794580523,-0.34491630115716343,0.7639929064163367,
144960,뉴파워프라즈마,KOSDAQ,+20%↑,28.33,10010,1906665,18395889315,47.44,1.42,211.0,7057.0,0.5,437363166240,7800,998234,7735256850,36.97,1.11,211.0,7057.0,0.64,340802467200,-0.207395498392283,-0.207395498392283,0.13086363115036126,1.5586962615974147,
126340,비나텍,KOSDAQ,+20%↑,28.12,56500,164572,8910859500,0.0,4.77,0.0,11841.0,0.0,405693391000,44100,77045,3543396250,0.0,3.72,0.0,11841.0,0.0,316656257400,-0.6958435207823961,-0.6958435207823961,-0.4738771252149886,0.8225290039067199,
042700,한미반도체,KOSPI,+20%↑,27.98,214500,2222655,461764042800,95.08,29.47,2256.0,7278.0,0.37,20444466900000,167600,1398060,234204593250,74.29,23.03,2256.0,7278.0,0.48,15974324720000,-0.5305164319248826,-0.5305164319248826,-0.3184799831891729,1.9848303301402215,
240810,원익IPS,KOSDAQ,+20%↑,27.92,97600,2140366,201035560400,56.51,4.9,1727.0,19936.0,0.2,4790588737600,76300,1335078,105562090850,44.18,3.83,1727.0,19936.0,0.26,3745101646300,-0.46485623003194887,-0.46485623003194887,-0.2291171281736596,0.6510584397411122,
319660,피에스케이,KOSDAQ,+20%↑,27.81,129600,800235,101404083600,47.79,6.97,2712.0,18606.0,0.52,3754086134400,101400,682214,71102629800,37.39,5.45,2712.0,18606.0,0.67,2937224799600,-0.3444191343963553,-0.3444191343963553,0.010841314070292984,0.8586867384021036,
000157,두산2우B,KOSPI,+20%↑,27.65,325500,1727,539964250,0.0,0.0,0.0,0.0,1.23,290683869000,255000,695,188290750,0.0,0.0,0.0,0.0,1.57,227724690000,-0.4649390243902439,-0.4649390243902439,-0.24684845775592312,1.1727759397340045,
298040,효성중공업,KOSPI,+20%↑,27.61,2417000,103972,244490660000,43.29,9.57,55832.0,252555.0,0.31,22537432516000,1894000,116554,225525685500,33.92,7.5,55832.0,252555.0,0.4,17660693912000,-0.43462673977224797,-0.43462673977224797,-0.2372977791264438,1.561776840654015,
077360,덕산하이메탈,KOSDAQ,+20%↑,26.96,8760,1087357,9001134390,0.0,1.93,0.0,4544.0,0.0,398028137520,6900,1036547,7343273835,0.0,1.52,0.0,4544.0,0.0,313515313800,-0.5957345971563981,-0.5957345971563981,-0.3710289906723526,1.4609321018540085,
005930,삼성전자,KOSPI,+20%↑,26.81,262500,58478873,14924241538350,39.74,4.1,6605.0,63997.0,0.64,1534648134600000,207000,46694193,9915591555814,31.34,3.23,6605.0,63997.0,0.81,1210179671856000,-0.33377837116154874,-0.33377837116154874,-0.1555016500719263,1.8102393068727805,
084370,유진테크,KOSDAQ,+20%↑,26.75,112300,335510,36431536600,58.92,5.53,1906.0,20320.0,0.2,2573471516600,88600,247258,22528773400,46.48,4.36,1906.0,20320.0,0.26,2030361321200,-0.5282937365010799,-0.5282937365010799,-0.26396081647325786,0.8053732043679706,
031980,피에스케이홀딩스,KOSDAQ,+20%↑,26.68,97800,336089,32224564450,23.0,4.16,4252.0,23484.0,1.1,2108802231000,77200,151408,11908248800,18.16,3.29,4252.0,23484.0,1.4,1664616894000,-0.3878612716763006,-0.3878612716763006,-0.17111287945001763,0.8357493847599943,
281820,케이씨텍,KOSPI,+20%↑,26.68,69800,333167,22830605500,25.99,2.6,2686.0,26877.0,0.64,1381946537800,55100,247809,14087228150,20.51,2.05,2686.0,26877.0,0.82,1090906221100,-0.3982371794871795,-0.3982371794871795,-0.06136732908386455,0.6970644981971339,
036930,주성엔지니어링,KOSDAQ,+20%↑,26.65,124500,2472009,302009426050,159.41,9.63,781.0,12922.0,0.04,5786899564500,98300,2761232,284405617600,125.86,7.61,781.0,12922.0,0.05,4569094194300,-0.5017667844522968,-0.5017667844522968,-0.23242331037861674,0.6616132338454254,
330860,네패스아크,KOSDAQ,+20%↑,26.54,23600,325302,7332254375,84.29,1.71,280.0,13841.0,0.0,287543462000,18650,218614,4179401560,66.61,1.35,280.0,13841.0,0.0,227232439250,-0.5535433070866143,-0.5535433070866143,-0.2957833943985593,0.7968249235693917,
033640,네패스,KOSDAQ,+20%↑,26.54,15160,227928,3298441005,21.08,2.83,719.0,5360.0,0.0,349577502320,11980,201930,2490171860,16.66,2.24,719.0,5360.0,0.0,276249239960,-0.5739975698663426,-0.6029445073612685,-0.3979841225323817,0.7797202054308374,
005935,삼성전자우,KOSPI,+20%↑,26.49,191000,8667890,1605424327400,0.0,0.0,0.0,0.0,0.87,153252899773000,151000,5680457,873993516550,0.0,0.0,0.0,0.0,1.11,121158051653000,-0.2726899383983573,-0.2726899383983573,-0.09376998848663165,2.041147740448593,
195870,해성디에스,KOSPI,+20%↑,26.34,48200,309474,14433765425,34.4,1.45,1401.0,33198.0,1.87,819400000000,38150,213749,8305642825,27.23,1.15,1401.0,33198.0,2.36,648550000000,-0.543778801843318,-0.543778801843318,-0.3267290821299844,1.1199741958996967,
043260,성호전자,KOSDAQ,+20%↑,26.08,14940,1638819,23876645065,11.12,4.23,1343.0,3536.0,0.0,1071822088620,11850,1210653,14897089625,8.82,3.35,1343.0,3536.0,0.0,850140010050,-0.7072147651006712,-0.7072147651006712,-0.49603373252724403,0.43603255625394066,
452430,사피엔반도체,KOSDAQ,+20%↑,26.0,25200,41083,986051850,0.0,16.09,0.0,1566.0,0.0,208036609200,20000,41645,853074710,0.0,12.77,0.0,1566.0,0.0,165108420000,-0.5375,-0.5625,-0.2950942369190991,0.9248065674395459,
006340,대원전선,KOSPI,+20%↑,25.97,13000,15827629,200894561065,115.04,8.51,113.0,1527.0,0.0,1019387408000,10320,7151056,76576238855,91.33,6.76,113.0,1527.0,0.0,809236773120,-0.3236453201970443,-0.3236453201970443,0.09944080396108324,1.0659550056901177,
007660,이수페타시스,KOSPI,+20%↑,25.84,74500,1231888,88737517550,32.7,7.24,2278.0,10292.0,0.31,5468986815500,59200,1233486,74867757400,25.99,5.75,2278.0,10292.0,0.39,4345825764800,-0.47080291970802923,-0.47080291970802923,-0.17994155905363374,1.1746635244130503,
35320K,대덕전자1우,KOSPI,+20%↑,25.82,21050,24204,496717375,0.0,0.0,0.0,0.0,2.4,44110674950,16730,6010,103301440,0.0,0.0,0.0,0.0,3.02,35058032870,-0.5535535535535536,-0.5535535535535536,-0.30218003546469174,1.6960310003271668,
086390,유니테스트,KOSDAQ,+20%↑,25.72,8310,405999,3164825630,0.0,1.74,0.0,4773.0,0.0,175624587060,6610,323851,2162684555,0.0,1.38,0.0,4773.0,0.0,139696572860,-0.6341772151898735,-0.7396396396396396,-0.39855013816466456,1.1680905973917182,
036540,SFA반도체,KOSDAQ,+20%↑,25.35,4870,4262036,19954157570,0.0,1.69,0.0,2884.0,0.0,800921675610,3885,1848605,7374473352,0.0,1.35,0.0,2884.0,0.0,638928277155,-0.5618556701030928,-0.5618556701030928,-0.2848545754116176,1.3256086188397072,
417840,저스템,KOSDAQ,+20%↑,25.21,9040,1005283,8821912660,55.46,3.61,163.0,2503.0,0.0,206739204240,7220,719908,5305753940,44.29,2.88,163.0,2503.0,0.0,165116930820,-0.5298876404494381,-0.5298876404494381,-0.26210715671404894,0.8117613622150567,
052710,아모텍,KOSDAQ,+20%↑,25.02,14040,395750,5347776955,26.39,1.34,532.0,10486.0,0.0,205160145840,11230,661652,7209346530,21.11,1.07,532.0,10486.0,0.0,164098891580,-0.5849969071585222,-0.5849969071585222,-0.33184552775602405,0.6764393417137454,
122640,예스티,KOSDAQ,+20%↑,25.0,21500,504674,10454318555,0.0,3.37,0.0,6379.0,0.0,464498362500,17200,393920,6798986760,0.0,2.7,0.0,6379.0,0.0,371598690000,-0.5056818181818181,-0.5056818181818181,-0.25392333419089275,0.5172436832885664,
172670,에이엘티,KOSDAQ,+20%↑,24.87,9290,65110,563620610,0.0,0.89,0.0,10470.0,0.0,83240806110,7440,57878,445677060,0.0,0.71,0.0,10470.0,0.0,66664326960,-0.6075471698113207,-0.7459541984732825,-0.37780436733472933,1.1067008250201062,
159010,아스플로,KOSDAQ,+20%↑,24.82,13880,249049,3424337460,0.0,3.87,0.0,3589.0,0.0,185086177320,11120,257648,2953993135,0.0,3.1,0.0,3589.0,0.0,148282297680,-0.42708333333333337,-0.42708333333333337,-0.18362904103624678,1.322372522638565,
000500,가온전선,KOSPI,+20%↑,24.72,134200,436905,56694051050,77.71,8.26,1727.0,16250.0,0.07,3996154859400,107600,268559,30634235850,62.3,6.62,1727.0,16250.0,0.09,3204070513200,-0.46466020518052487,-0.46466020518052487,-0.07626201199653171,0.9204522098789415,
032580,피델릭스,KOSDAQ,+20%↑,24.65,3540,1164396,3944791482,0.0,2.62,0.0,1353.0,0.0,117287506560,2840,716975,2112956309,0.0,2.1,0.0,1353.0,0.0,94095061760,-0.5709908069458631,-0.5709908069458631,-0.10207164898127896,0.6863249607775184,
129920,대성하이텍,KOSDAQ,+20%↑,24.63,5010,331504,1559568366,0.0,1.18,0.0,4260.0,0.0,81405966960,4020,103066,395968470,0.0,0.94,0.0,4260.0,0.0,65319757920,-0.7254071661237784,-0.7453172205438067,-0.37942457517943684,2.5965649168485707,
