code,fiscal_year,revenue,cogs,op_income,net_income,assets,liabilities,equity,current_assets,current_liab,cash,cfo,noncurrent_liab,issued_capital
009150,2020,8208738308011.0,6268998200490.0,829130678277.0,623811177841.0,9225498476076.0,3315102536579.0,5910395939497.0,4150302651523.0,1914879973834.0,1479767416889.0,,1400222562745.0,388003400000.0
009150,2021,9675036127726.0,7127098008982.0,1486872833804.0,915432452695.0,9941374038447.0,3070248395636.0,6871125642811.0,4598268758747.0,2234656820846.0,1185206917554.0,,835591574790.0,388003400000.0
009150,2022,9424551868027.0,7161405783757.0,1182835924271.0,993519182170.0,10997170898641.0,3303686219356.0,7693484679285.0,4888318770849.0,2525123479970.0,1677067099648.0,,778562739386.0,388003400000.0
009150,2023,8909448483915.0,7188574154996.0,639423737120.0,450482125173.0,11657871601848.0,3627546626400.0,8030324975448.0,5208418321146.0,2900459629423.0,1669189597138.0,1180360115518.0,727086996977.0,388003400000.0
009150,2024,10294102976435.0,8334880175421.0,735005856995.0,703215637082.0,12792402920884.0,3776548889114.0,9015854031770.0,5891746488305.0,3056860858021.0,2013326031516.0,1429819006720.0,719688031093.0,388003400000.0
009150,2025,11314459238100.0,9037090943877.0,913331178557.0,730989517218.0,14595895255468.0,4798551372605.0,9797343882863.0,7097622667422.0,3819497359666.0,2701205916236.0,1490090883051.0,979054012939.0,388003400000.0
373220,2020,1461068000000.0,1237020000000.0,-475206000000.0,-451771000000.0,19941795000000.0,12376390000000.0,7565405000000.0,9085706000000.0,6889227000000.0,1493145000000.0,395360000000.0,5487163000000.0,100000000000.0
373220,2021,17851906000000.0,13953123000000.0,768470000000.0,929868000000.0,23764137000000.0,15021764000000.0,8742373000000.0,9535827000000.0,9474017000000.0,1282880000000.0,978585000000.0,5547747000000.0,100000000000.0
373220,2022,25598609000000.0,21308077000000.0,1213719000000.0,779826000000.0,38299445000000.0,17705683000000.0,20593762000000.0,18804269000000.0,11444923000000.0,5937967000000.0,-579807000000.0,6260760000000.0,117000000000.0
373220,2023,33745470000000.0,28802437000000.0,2163234000000.0,1637985000000.0,45437144000000.0,21063635000000.0,24373509000000.0,17208396000000.0,10937185000000.0,5068783000000.0,4444179000000.0,10126450000000.0,117000000000.0
373220,2024,25619585000000.0,22213605000000.0,575387000000.0,338602000000.0,60306791000000.0,29340248000000.0,30966543000000.0,15327395000000.0,12054922000000.0,3898711000000.0,5111700000000.0,17285326000000.0,117000000000.0
373220,2025,23671759000000.0,19439651000000.0,1346120000000.0,80803000000.0,67147953000000.0,37826277000000.0,29321676000000.0,18412127000000.0,16785357000000.0,3779307000000.0,4432277000000.0,21040920000000.0,117000000000.0
032830,2023,,,2398377000000.0,2033709000000.0,314655050000000.0,270317609000000.0,44337441000000.0,,,5494179000000.0,1465023000000.0,,100000000000.0
032830,2024,,,2499751000000.0,2260255000000.0,312218844000000.0,279480913000000.0,32737931000000.0,,,4177972000000.0,4999558000000.0,,100000000000.0
032830,2025,,,2580469000000.0,2451515000000.0,350685701000000.0,285850383000000.0,64835318000000.0,,,4537833000000.0,5256261000000.0,,100000000000.0
028260,2019,30761501059039.0,26958671878417.0,866770072122.0,1047890680687.0,45905516600415.0,19213420293061.0,26692096307354.0,11753694780360.0,10929358012187.0,2704409055099.0,770849628968.0,8284062280874.0,19131748300.0
028260,2020,30216118916989.0,26850632785906.0,857079813534.0,1160650819953.0,54331740265746.0,21386258023034.0,32945482242712.0,12900558536675.0,10888458895923.0,2402466493357.0,1267896575704.0,10496617952664.0,18851450600.0
028260,2021,34455181882704.0,30434242704104.0,1195982736408.0,1829084039967.0,55245423114466.0,22093183631512.0,33152239482954.0,15144027183146.0,11875536780965.0,2254546929858.0,1195731728299.0,10217646850547.0,18851450600.0
028260,2022,43161653399535.0,37122503575502.0,2528524413589.0,2544956968509.0,58981492466950.0,27017371086433.0,31964121380517.0,20312841472941.0,16413402987394.0,4200424490443.0,2618286420045.0,10603968099039.0,18851450600.0
028260,2023,41895681215734.0,35328734489208.0,2870173816853.0,2719106116709.0,66127029212679.0,26229919730957.0,39897109481722.0,18977560736022.0,14759071583172.0,3119516302897.0,2798653381137.0,11470848147785.0,18721909500.0
028260,2024,42103238027336.0,34995636300899.0,2983396694918.0,2772012091811.0,61990426835548.0,24731886937019.0,37258539898529.0,20180976210724.0,14747260718483.0,3622371844804.0,3306879187574.0,9984626218536.0,18517037100.0
