rank,code,name,sector,src,score,pbr,pbr_rank,vol60,vol_rank,close,mcap,adv20,atr14,stop,stop_pct,qty,n_univ,is_jinwoo6
34,000850,화천기공,특수 목적용 기계 제조업,섹터,0.8781674208144796,0.23,1,0.05933660461371518,152,35650.0,72820000000,568951457.5,1382.142857142857,32195,9.7,28,442,False
35,086670,비엠티,일반 목적용 기계 제조업,섹터,0.871210407239819,1.06,65,0.04469998552736657,41,15060.0,163082290550,1279978500.5,748.5714285714286,13189,12.4,53,442,False
36,361610,SK아이이테크놀로지,일차전지 및 이차전지 제조업,섹터,0.8710972850678733,0.51,15,0.057048558964678635,134,13950.0,1225170758000,2365712735.5,854.2857142857143,11814,15.3,46,442,False
37,317770,엑스페릭스,전자부품 제조업,섹터,0.8651018099547512,1.07,67,0.045343597632795864,45,2475.0,96923760880,690323509.0,178.92857142857142,2028,18.1,223,442,False
38,078150,HB테크놀러지,특수 목적용 기계 제조업,섹터,0.8634049773755657,0.7,31,0.05434035935920063,114,1882.0,179034433796,1364096090.95,114.14285714285714,1597,15.1,350,442,False
39,265520,AP시스템,특수 목적용 기계 제조업,섹터,0.860576923076923,0.89,48,0.05042322902821402,86,18880.0,295899140860,1274354771.5,948.5714285714286,16509,12.6,42,442,False
40,259630,엠플러스,특수 목적용 기계 제조업,섹터,0.857975113122172,1.21,81,0.0425523116006162,28,8870.0,118923913080,778923480.5,469.2857142857143,7697,13.2,85,442,False
41,036890,진성티이씨,특수 목적용 기계 제조업,섹터,0.8569570135746606,0.96,51,0.05040465180759649,85,11900.0,317049444970,991770994.0,699.2857142857143,10152,14.7,57,442,False
42,190510,나무가,전자부품 제조업,섹터,0.8488687782805431,1.05,64,0.04899880761609577,72,12720.0,189165807310,643684725.5,577.8571428571429,11275,11.4,69,442,False
43,045390,대아티아이,기타 전기장비 제조업,섹터,0.8404977375565611,1.26,87,0.044100095732035945,38,3240.0,181116578890,6044141231.75,225.35714285714286,2677,17.4,177,442,False
44,065450,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",섹터,0.8394230769230769,1.41,105,0.028608329905875782,5,2925.0,87012618850,896251236.5,103.57142857142857,2666,8.9,386,442,False
45,037460,삼지전자,통신 및 방송 장비 제조업,섹터,0.8368778280542987,1.09,70,0.04956647089213998,76,31850.0,587466792000,3232527882.5,2375.0,25912,18.6,16,442,False
46,267270,HD건설기계,특수 목적용 기계 제조업,섹터,0.8300904977375565,1.2,80,0.04782623357152499,66,115500.0,6618013975700,37550418475.0,7750.0,96125,16.8,5,442,False
47,018880,한온시스템,일반 목적용 기계 제조업,섹터,0.8296380090497737,1.04,61,0.05213672636214254,100,3400.0,3720201751000,17142027737.5,178.92857142857142,2953,13.1,223,442,False
48,382840,원준,특수 목적용 기계 제조업,섹터,0.8277714932126696,0.81,38,0.05836899343922498,146,4700.0,72081862320,562745535.0,395.7142857142857,3760,20.0,106,442,False
49,248070,솔루엠,전자부품 제조업,섹터,0.8237556561085972,1.61,115,0.03403279790250759,9,12720.0,716287215280,1739971060.0,626.4285714285714,11154,12.3,63,442,False
50,100590,머큐리,통신 및 방송 장비 제조업,섹터,0.8197398190045249,0.44,8,0.06458470619614791,210,3550.0,59559918875,697375807.75,307.85714285714283,2840,20.0,140,442,False
51,272290,이녹스첨단소재,전자부품 제조업,섹터,0.819683257918552,1.19,79,0.05009990843246686,81,19930.0,416693938100,2346748942.0,1220.0,16880,15.3,32,442,False
52,054450,텔레칩스,반도체 제조업,섹터,0.818947963800905,1.06,65,0.05357447614638501,107,9250.0,141295693890,754339708.0,575.0,7812,15.5,69,442,False
53,267320,나인테크,특수 목적용 기계 제조업,섹터,0.8172511312217194,1.35,99,0.04546825775620743,46,2070.0,115978895900,542675376.85,112.5,1789,13.6,355,442,False
54,007340,DN오토모티브,일차전지 및 이차전지 제조업,섹터,0.814762443438914,0.99,55,0.05589361881628017,129,44200.0,2785117174000,15579794437.5,5017.857142857143,35360,20.0,11,442,False
55,017800,현대엘리베이터,일반 목적용 기계 제조업,섹터,0.8080316742081448,1.9,130,0.023694193482309354,1,72200.0,2834197912500,11085249365.0,2900.0,64950,10.0,13,442,False
56,046890,서울반도체,반도체 제조업,섹터,0.8,1.01,59,0.05788876024719154,143,9350.0,521833330000,3007362163.5,600.7142857142857,7848,16.1,66,442,False
57,222080,씨아이에스,특수 목적용 기계 제조업,섹터,0.7982466063348417,1.35,99,0.04860977345240135,70,7490.0,588795690080,3993993157.5,462.14285714285717,6335,15.4,86,442,False
58,115440,우리넷,통신 및 방송 장비 제조업,섹터,0.7967194570135747,0.85,44,0.06175507810988841,175,6960.0,79445989120,746261692.0,506.42857142857144,5694,18.2,78,442,False
59,137400,피엔티,특수 목적용 기계 제조업,섹터,0.7963800904977375,1.34,96,0.0497971584304224,77,27900.0,764025978000,3831712425.0,1892.857142857143,23168,17.0,21,442,False
60,090460,비에이치,전자부품 제조업,섹터,0.795814479638009,0.92,50,0.0605490820186225,165,15880.0,484434801060,18394675079.5,1422.5,12704,20.0,31,442,False
61,079370,제우스,특수 목적용 기계 제조업,섹터,0.7938348416289592,0.97,53,0.05982111692850981,161,9820.0,271708832400,2051122343.5,570.0,8395,14.5,70,442,False
62,211270,AP위성,통신 및 방송 장비 제조업,섹터,0.7874434389140271,1.26,87,0.053506493981304845,105,7610.0,120809255040,504722985.5,522.8571428571429,6303,17.2,76,442,False
63,083310,엘오티베큠,특수 목적용 기계 제조업,섹터,0.7865950226244345,0.7,31,0.0647004613133726,211,9560.0,146576571590,822121420.5,600.0,8060,15.7,66,442,False
64,033500,동성화인텍,기초 화학물질 제조업,특성,0.7837669683257918,2.01,132,0.04252287996694503,27,16700.0,509821398000,2007956755.5,841.4285714285714,14596,12.6,47,442,False
65,102120,어보브반도체,반도체 제조업,섹터,0.7830316742081447,1.17,76,0.056059358027168826,131,7080.0,124465271000,1032230263.0,456.42857142857144,5939,16.1,87,442,False
66,071280,로체시스템즈,특수 목적용 기계 제조업,섹터,0.7818438914027149,0.86,45,0.06317915784024856,191,6590.0,90708855790,1278075303.0,456.42857142857144,5449,17.3,87,442,False
67,011690,와이투솔루션,반도체 제조업,섹터,0.7765837104072397,1.34,96,0.05231038013704732,102,3120.0,122592675960,556534828.75,251.42857142857142,2496,20.0,160,442,False
68,014940,오리엔탈정공,일반 목적용 기계 제조업,섹터,0.7763574660633483,1.75,123,0.04638541022218739,54,4590.0,209638840600,2939147808.5,251.78571428571428,3961,13.7,158,442,False
69,101160,월덱스,전자부품 제조업,섹터,0.7744909502262444,1.41,105,0.05044032426816096,87,28200.0,473039949450,2524529897.5,1314.2857142857142,24914,11.7,30,442,False
70,299030,하나기술,특수 목적용 기계 제조업,섹터,0.771606334841629,1.14,74,0.058785250184516254,151,13070.0,111528994500,622244027.5,1057.857142857143,10456,20.0,38,442,False
71,073010,케이에스피,일반 목적용 기계 제조업,섹터,0.7692307692307693,1.48,109,0.05068978304621521,89,2785.0,106305856250,526615289.75,200.35714285714286,2284,18.0,199,442,False
72,053080,케이엔솔,일반 목적용 기계 제조업,섹터,0.7674208144796381,1.12,72,0.05976784152170986,160,9010.0,109328376870,1315275670.5,798.5714285714286,7208,20.0,55,442,False
73,010130,고려아연,1차 비철금속 제조업,특성,0.7663461538461538,2.01,132,0.04611815495096016,49,1237000.0,23085503714000,34468546850.0,98571.42857142857,990571,19.9,0,442,False
74,073490,LIG아큐버,통신 및 방송 장비 제조업,섹터,0.764762443438914,1.22,83,0.05777904055095327,142,30200.0,237620187500,1947881517.5,1882.142857142857,25495,15.6,21,442,False
75,249420,일동제약,의약품 제조업,특성,0.7647058823529412,2.16,145,0.04251483176041361,26,13510.0,484698020640,1613407322.5,825.7142857142857,11446,15.3,48,442,False
76,099440,스맥,특수 목적용 기계 제조업,섹터,0.7635746606334841,1.89,129,0.0468329379757495,59,3870.0,275020877820,2609075546.5,216.42857142857142,3329,14.0,184,442,False
77,033240,자화전자,전자부품 제조업,섹터,0.7619343891402715,1.31,93,0.055467229844805815,127,29250.0,543378375300,3395478224.0,2550.0,23400,20.0,17,442,False
78,100840,SNT에너지,일반 목적용 기계 제조업,섹터,0.7609162895927601,1.53,112,0.050968193111030076,93,25900.0,575959806550,2813230502.5,1607.142857142857,21882,15.5,24,442,False
79,213420,덕산네오룩스,전자부품 제조업,섹터,0.7542986425339366,1.78,124,0.050099421532517716,80,31850.0,831844496500,4587447552.5,2085.714285714286,26636,16.4,19,442,False
80,072950,빛샘전자,전자부품 제조업,섹터,0.7523755656108597,0.77,37,0.06746020626816548,244,8530.0,64823510500,6088110614.5,955.7142857142857,6824,20.0,58,442,False
81,192650,드림텍,전자부품 제조업,섹터,0.7513009049773756,0.89,48,0.0660390705968673,224,4635.0,303079413400,1259178090.0,251.07142857142858,4007,13.5,159,442,False
82,396470,워트,특수 목적용 기계 제조업,섹터,0.7472850678733032,1.4,104,0.05543563693270253,126,6490.0,93979600000,4000503141.5,541.4285714285714,5192,20.0,77,442,False
83,007820,엠엑스로보틱스,일반 목적용 기계 제조업,섹터,0.7467194570135747,1.1,71,0.06305835317161497,188,4340.0,63607778550,10557338509.0,530.5714285714286,3472,20.0,115,442,False
84,101170,우림피티에스,일반 목적용 기계 제조업,섹터,0.7455316742081448,1.21,81,0.06091164376526284,170,7890.0,108405000000,684288180.0,705.0,6312,20.0,63,442,False
85,302430,이노메트리,특수 목적용 기계 제조업,섹터,0.7447398190045249,1.07,67,0.06364754993874458,197,6650.0,50247692880,589592301.75,398.2142857142857,5654,15.0,100,442,False
86,382800,지앤비에스 에코,특수 목적용 기계 제조업,섹터,0.7415158371040723,1.32,95,0.05875600199727731,150,5170.0,144194615730,4688379683.75,422.5,4136,20.0,96,442,False
87,050890,쏠리드,통신 및 방송 장비 제조업,섹터,0.7403846153846154,1.85,127,0.05086812338861307,92,9040.0,597236729220,7856304575.0,615.0,7502,17.0,65,442,False
88,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업",특성,0.7393099547511313,2.32,159,0.04322947237924333,33,22550.0,1193726826600,7239200427.5,1339.2857142857142,19202,14.8,29,442,False
89,079940,가비아,소프트웨어 개발 및 공급업,특성,0.73829185520362,2.19,150,0.04622717351233205,51,44850.0,577089412000,1794067310.0,1982.142857142857,39895,11.0,20,442,False
90,376300,디어유,소프트웨어 개발 및 공급업,특성,0.7368212669683258,2.39,165,0.04209347868398359,25,18170.0,466697061960,2386820486.5,1091.4285714285713,15441,15.0,36,442,False
