출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총,창완결_126,잔여봉,고점6M,P0_카드,P0_how,P0_bars,P0_H40,P0_H63,P0_H126,P2_T10_H40,P2_T12_H40,P2_T15_H40,P2_T20_H40,P2_T25_H40,P2_T10_H63,P2_T12_H63,P2_T15_H63,P2_T20_H63,P2_T25_H63,P2_T10_H126,P2_T12_H126,P2_T15_H126,P2_T20_H126,P2_T25_H126,P1_T10_H40_be,P1_T10_H40_tr,P1_T12_H40_be,P1_T12_H40_tr,P1_T15_H40_be,P1_T15_H40_tr,P1_T20_H40_be,P1_T20_H40_tr,P1_T25_H40_be,P1_T25_H40_tr,P1_T10_H63_be,P1_T10_H63_tr,P1_T12_H63_be,P1_T12_H63_tr,P1_T15_H63_be,P1_T15_H63_tr,P1_T20_H63_be,P1_T20_H63_tr,P1_T25_H63_be,P1_T25_H63_tr,P1_T10_H126_be,P1_T10_H126_tr,P1_T12_H126_be,P1_T12_H126_tr,P1_T15_H126_be,P1_T15_H126_tr,P1_T20_H126_be,P1_T20_H126_tr,P1대표_잔여수익,P1대표_잔여봉,P1대표_how,P1_T25_H126_be,P1_T25_H126_tr
2026-07-30,082920,비츠로셀,A,B,실행,-37.8,24700.0,-16.6,주60주,9.9,목표,1,,1387387996200,False,1,0.1336032388663968,0.09919028340080982,목표,1,0.09919028340080982,0.09919028340080982,0.09919028340080982,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.11336032388663964,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.11336032388663964,0,2단만기,0.10627530364372473,0.10627530364372473
2026-07-30,440110,파두,A,B,실행,-37.8,48400.0,-14.0,월10,8.2,목표,1,,3251582612300,False,1,0.3099173553719008,0.08161157024793386,목표,1,0.08161157024793386,0.08161157024793386,0.08161157024793386,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.3099173553719008,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.3099173553719008,0,2단만기,0.19576446280991733,0.19576446280991733
2026-07-30,252990,샘씨엔에스,A,B,실행,-37.8,9070.0,-19.1,일240,11.8,목표,1,,768380263640,False,1,0.25689084895259096,0.11797133406835725,목표,1,0.11797133406835725,0.11797133406835725,0.11797133406835725,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.21058434399117965,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.21058434399117965,0,2단만기,0.16427783902976845,0.16427783902976845
2026-07-30,332570,PS일렉트로닉스,A,A,실행,-37.8,6460.0,-14.3,일240,8.4,목표,1,,338658831750,False,1,0.15325077399380804,0.08359133126934992,목표,1,0.08359133126934992,0.08359133126934992,0.08359133126934992,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.12538699690402466,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.12538699690402466,0,2단만기,0.10448916408668729,0.10448916408668729
2026-07-30,053610,프로텍,A,A,실행,-37.8,48200.0,-15.7,주60주,9.3,목표,1,,583200000000,False,1,0.2199170124481329,0.0933609958506223,목표,1,0.0933609958506223,0.0933609958506223,0.0933609958506223,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.19709543568464727,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.19709543568464727,0,2단만기,0.14522821576763478,0.14522821576763478
2026-07-30,290550,디케이티,A,A,실행,-37.8,14020.0,-23.3,일240,15.2,목표,1,,420025830000,False,1,0.24821683309557785,0.15192582025677615,목표,1,0.15192582025677615,0.15192582025677615,0.15192582025677615,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.23395149786019975,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.23395149786019975,0,2단만기,0.19293865905848795,0.19293865905848795
2026-07-30,010120,LS ELECTRIC,A,B,실행,-37.8,148500.0,-15.4,일240,9.1,목표,1,,30000000000000,False,1,0.25791245791245787,0.09090909090909083,목표,1,0.09090909090909083,0.09090909090909083,0.09090909090909083,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.24444444444444446,0,2단만기,0.16767676767676765,0.16767676767676765
2026-07-30,006360,GS건설,A,C,실행,-37.8,22400.0,-12.2,주60주,6.9,목표,1,,2490421359000,False,1,0.08258928571428581,0.0691964285714286,목표,1,0.0691964285714286,0.0691964285714286,0.0691964285714286,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.046875,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.046875,0,2단만기,0.0580357142857143,0.0580357142857143
2026-07-30,001820,삼화콘덴서,A,C,실행,-37.8,58300.0,-14.4,일240,8.4,목표,1,,857587500000,False,1,0.26758147512864494,0.08404802744425388,목표,1,0.08404802744425388,0.08404802744425388,0.08404802744425388,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.228130360205832,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.228130360205832,0,2단만기,0.15608919382504294,0.15608919382504294
2026-07-30,069960,현대백화점,A,C,실행,-37.8,111200.0,-12.7,월10,7.3,목표,1,,2956549435200,False,1,0.10611510791366907,0.07284172661870514,목표,1,0.07284172661870514,0.07284172661870514,0.07284172661870514,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.06834532374100721,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.06834532374100721,0,2단만기,0.07059352517985618,0.07059352517985618
