theme,code,name,ret_1m,ret_3m,ret_6m,ret_12m,rev_yoy,op_margin,roe,fy,mcap
전력/전기장비,000500,가온전선,0.30497960096126975,3.309787925210875,4.0995894120730325,5.347523514380473,0.4739694573518598,0.0311080060156419,0.10623773115212949,2025.0,6385642390000.0
전력/전기장비,006340,대원전선,-0.1365159128978225,1.0955284552845526,1.7715053763440864,2.3637846655791193,0.12982653819642787,0.014972952430890392,0.08494963485263311,2025.0,871184161760.0
전력/전기장비,010170,대한광통신,-0.41850220264317184,0.8232044198895023,5.191369606003752,13.347826086956525,-0.08689706669412434,-0.15354043675247192,-0.41968846365807794,2025.0,
전력/전기장비,062040,산일전기,-0.03441295546558709,0.7679762787249813,0.8332052267486545,1.6888387824126267,0.5028485166128327,0.35588310891119546,0.25436251079633765,2025.0,6888566250000.0
전력/전기장비,336260,두산퓨얼셀,-0.38730853391684905,0.6766467065868262,0.9410745233968805,1.4944320712694874,0.10445045570740086,-0.23235405557593927,-0.36139133452208677,2025.0,5422880512800.0
전력/전기장비,010120,LS ELECTRIC,-0.01449275362318836,0.6573816155988861,1.5869565217391304,2.9799331103678948,0.09094378325776953,0.08586879601894261,0.1327496780080869,2025.0,36225000000000.0
금융,402340,SK스퀘어,0.3763179237631793,2.637727759914255,3.6114130434782608,8.273224043715844,-0.259670168691988,6.232582441210581,0.3151428950329882,2025.0,177615987556000.0
금융,034730,SK,0.23372781065088755,1.770764119601329,2.2514619883040945,3.0782396088019555,-0.01593627399130415,0.014820102123057158,0.04148897901987406,2025.0,48431805604000.0
금융,032830,삼성생명,0.03217503217503226,0.9049881235154393,1.544416243654822,2.14756671899529,,,0.03781141321771569,2025.0,96000000000000.0
금융,451700,엔에이치스팩29호,0.0,0.512087912087912,0.32307692307692304,0.36562127828503366,,,,,
금융,006260,LS,-0.18049327354260092,0.427734375,0.8284142071035516,0.8553299492385782,0.1570310734968876,0.03302645046062239,0.0631733108599055,2025.0,13275600000000.0
금융,000810,삼성화재,0.08611599297012296,0.40295119182746864,0.24346076458752508,0.4239631336405527,,,0.09488310543020852,2025.0,28619030193000.0
반도체/전자,009150,삼성전기,0.026798307475317307,4.359509202453988,7.564705882352941,15.213808463251674,0.09912046382290662,0.08072247726002438,0.07461098905557541,2025.0,135419670848000.0
반도체/전자,025560,미래산업,0.6297297297297297,3.8086124401913874,3.3759071117561676,4.202761000862811,,,,,145088598000.0
반도체/전자,032580,피델릭스,-0.16129032258064513,3.4146559428060774,3.47463768115942,3.069192751235585,,,,,
반도체/전자,011070,LG이노텍,-0.3271604938271605,2.342419080068143,2.6199261992619927,5.655359565807326,0.03282184997656934,0.030370327306020937,0.059215478459858265,2025.0,29631217964000.0
반도체/전자,000660,SK하이닉스,0.13587655379339902,2.2837670384138784,3.0706605222734256,8.075342465753424,0.46762850611303675,0.4859283037736495,0.35592159102717535,2025.0,1681977581400000.0
반도체/전자,222800,심텍,0.2591024555461474,2.133825079030559,2.0131712259371835,5.170124481327804,0.14547298035814826,0.008414107586169998,-0.2855482695841927,2025.0,
건설/엔지니어링,002990,금호건설,1.7493857493857492,1.4194594594594592,1.8045112781954886,2.3204747774480707,,,,,138979703020.0
건설/엔지니어링,091590,남화토건,1.0991501416430594,0.9372549019607841,0.8318912237330034,0.6917808219178088,,,,,
건설/엔지니어링,066980,한성크린텍,0.10690423162583529,0.8600299401197604,1.0318887980376124,0.73050139275766,,,,,
건설/엔지니어링,028050,삼성E&A,-0.10018903591682415,0.3333333333333335,0.9792099792099793,1.1538461538461537,-0.09409295436446785,0.0877283314650674,0.14581210154585486,2025.0,9662800000000.0
건설/엔지니어링,443060,HD현대마린솔루션,0.0022321428571427937,0.25,0.16020671834625322,0.0924574209245741,0.13591962795986712,0.17659818546555955,0.32686208780991394,2025.0,10177195420000.0
건설/엔지니어링,270520,앱튼,0.5508595988538683,0.2162921348314608,-0.37608069164265134,-0.8089143865842895,,,,,
유통/소비/식품,002070,비비안,-0.15889029003783106,17.273972602739725,9.637958532695373,7.475222363405338,,,,,18633666000.0
유통/소비/식품,004170,신세계,0.46601941747572817,1.5124792013311144,2.0566801619433193,3.007430997876856,0.05465198372539537,0.06926356071642456,0.009829565550276954,2025.0,5374307989000.0
유통/소비/식품,069960,현대백화점,0.7641165755919854,1.4457070707070705,1.1862302483069973,1.5621693121693117,0.010198204578557801,0.08934253584433932,0.022426597233836675,2025.0,2626606281600.0
유통/소비/식품,276730,한울앤제주,0.5059347181008902,1.296639891390429,0.2723284236916328,-0.21158924965045844,,,,,
유통/소비/식품,001740,SK네트웍스,-0.10904255319148937,1.042682926829268,1.2234513274336276,1.2433035714285712,-0.11912244045895659,0.012793384023755223,0.02467428667906445,2025.0,2575625534760.0
유통/소비/식품,028260,삼성물산,0.08323699421965314,0.8481262327416172,0.9561586638830899,1.9027261462205702,-0.03232523492144135,0.08081900793282297,0.06794538849874998,2025.0,78732360575500.0
기계/장비,009310,참엔지니어링,0.0,4.004694835680751,3.8191681735985537,2.7774627923458546,,,,,23329484620.0
기계/장비,159010,아스플로,0.24300111982082861,3.1807909604519775,3.6589716684155302,4.721649484536081,,,,,
기계/장비,095610,테스,0.746431570109152,2.754512635379061,3.6689113355780023,7.205128205128206,0.4625079607591358,0.164726798683655,0.1452897239120497,2025.0,
기계/장비,036930,주성엔지니어링,0.004999999999999893,2.3113673805601316,6.256317689530685,5.473429951690819,-0.2410903390867042,0.10060688046647169,0.06045053731850733,2025.0,
기계/장비,089970,브이엠,0.8556876061120544,1.8206451612903227,2.6192052980132456,7.6471518987341796,1.0548819931096505,0.1708523116485797,0.1474714785370014,2025.0,
기계/장비,064290,인텍플러스,0.11638954869358664,1.7959547888161809,2.6209553158705705,4.280898876404493,0.07024481648605052,-0.04160446624714042,-0.07222359393790996,2025.0,
통신,006490,인스코비,-0.09883720930232553,0.20155038759689914,-0.5102685624012637,-0.7899728997289972,,,,,47915101584.0
통신,036800,나이스정보통신,0.07421150278293132,0.18404907975460127,0.1420118343195267,0.33718244803695185,,,,,
통신,017670,SK텔레콤,-0.12127236580516898,0.1570680628272254,0.6523364485981307,0.5590828924162257,-0.046898965358422307,0.06276399972326212,0.02895218417307769,2025.0,26891714635600.0
통신,066410,버킷스튜디오,0.0,0.0,0.0,0.0,,,,,
통신,025770,한국정보통신,-0.13100961538461542,-0.05242463958060306,-0.05613577023498728,-0.263747454175153,,,,,
통신,039420,케이엘넷,-0.04251386321626616,-0.05646630236794181,-0.09913043478260875,-0.1452145214521453,,,,,
2차전지,446540,메가터치,-0.21883289124668437,0.4669987546699874,0.6685552407932012,0.46882793017456303,,,,,
2차전지,006400,삼성SDI,-0.29215116279069764,0.19362745098039214,0.8070500927643787,1.8182870370370376,-0.2004260078341792,-0.12982556368778586,-0.024814278767689144,2025.0,48512489060000.0
2차전지,082920,비츠로셀,-0.23003802281368824,0.1376404494382022,1.2985244040862658,1.8407098267517696,0.153255892902584,0.28495588676412165,0.17224359500970463,2025.0,
2차전지,007340,DN오토모티브,-0.14445688689809633,0.001310615989515096,0.5655737704918034,0.7207207207207207,0.07021663097494302,0.14362080634803412,0.1326653678642739,2025.0,2416498724500.0
2차전지,033790,피노,-0.31333333333333335,-0.07326478149100246,0.310909090909091,0.8161209068010074,7.630795321251746,0.03341572684944255,-0.05954996736796897,2025.0,
2차전지,091580,상신이디피,-0.23333333333333328,-0.07524411257897756,0.22807017543859698,1.0175438596491233,,,,,
서비스/기타사업,036710,심텍홀딩스,-0.19316081330868762,0.8225469728601253,0.6047794117647056,1.827072538860104,,,,,
서비스/기타사업,330860,네패스아크,-0.09344660194174759,0.6490066225165565,1.1970588235294128,1.7873134328358216,-0.043363694223249816,0.04168447234579195,0.020256807853478498,2025.0,
