code,name,유형,등급,시장,상태,진입가,목표가,손절가,현재가,경과,현재수익,최고가,최고수익,목표도달일,실현_50%,잔여_트레일선,잔여_평가,카드_구(전량),카드_신(2단·현재평가),잔여상태,손절까지,목표까지
082920,비츠로셀,A,C,KOSDAQ,목표달성,24700.0,27150.0,22996.0,27500.0,1,0.11336032388663964,28000.0,0.1336032388663968,2026-07-31,0.09919028340080982,24700.0,0.11336032388663964,0.09919028340080982,0.10627530364372473,보유중(익일 트레일 개시),,
084370,유진테크,A,C,KOSDAQ,목표달성,87900.0,94000.0,81835.0,112300.0,1,0.27758816837315137,114800.0,0.3060295790671217,2026-07-31,0.0693970420932879,101024.0,0.27758816837315137,0.0693970420932879,0.17349260523321963,보유중(익일 트레일 개시),,
127120,제이에스링크,A,A,KOSDAQ,관찰중,28150.0,30175.0,26208.0,28950.0,1,0.02841918294849033,30000.0,0.06571936056838368,,,,,,,,0.1046245421245422,0.042314335060449126
138930,BNK금융지주,A,C,KOSPI,관찰중,14750.0,16010.0,13732.0,15170.0,1,0.028474576271186436,15390.0,0.04338983050847456,,,,,,,,0.10471890474803369,0.05537244561634802
170920,엘티씨,A,B,KOSDAQ,목표달성,26250.0,29725.0,24420.0,34550.0,1,0.31619047619047613,34550.0,0.31619047619047613,2026-07-31,0.1323809523809525,30404.0,0.31619047619047613,0.1323809523809525,0.2242857142857143,보유중(익일 트레일 개시),,
222800,심텍,A,B,KOSDAQ,목표달성,62400.0,68950.0,57606.0,82900.0,1,0.32852564102564097,82900.0,0.32852564102564097,2026-07-31,0.10496794871794868,72952.0,0.32852564102564097,0.10496794871794868,0.21674679487179482,보유중(익일 트레일 개시),,
240810,원익IPS,A,C,KOSDAQ,목표달성,75400.0,82450.0,70197.0,97600.0,1,0.2944297082228118,98700.0,0.3090185676392574,2026-07-31,0.09350132625994689,86856.0,0.2944297082228118,0.09350132625994689,0.19396551724137934,보유중(익일 트레일 개시),,
252990,샘씨엔에스,A,B,KOSDAQ,목표달성,9070.0,10140.0,8444.0,10980.0,1,0.21058434399117965,11400.0,0.25689084895259096,2026-07-31,0.11797133406835725,10032.0,0.21058434399117965,0.11797133406835725,0.16427783902976845,보유중(익일 트레일 개시),,
290550,디케이티,A,A,KOSDAQ,목표달성,14020.0,16150.0,13244.0,17300.0,1,0.23395149786019975,17500.0,0.24821683309557785,2026-07-31,0.15192582025677615,15400.0,0.23395149786019975,0.15192582025677615,0.19293865905848795,보유중(익일 트레일 개시),,
332570,PS일렉트로닉스,A,A,KOSDAQ,목표달성,6460.0,7000.0,6072.0,7270.0,1,0.12538699690402466,7450.0,0.15325077399380804,2026-07-31,0.08359133126934992,6556.0,0.12538699690402466,0.08359133126934992,0.10448916408668729,보유중(익일 트레일 개시),,
353200,대덕전자,A,B,KOSPI,목표달성,73500.0,82400.0,68666.0,96800.0,1,0.3170068027210884,96800.0,0.3170068027210884,2026-07-31,0.1210884353741497,85184.0,0.3170068027210884,0.1210884353741497,0.21904761904761905,보유중(익일 트레일 개시),,
402340,SK스퀘어,B,C,KOSPI,목표달성,783000.0,939600.0,759510.0,1038000.0,1,0.32567049808429127,1038000.0,0.32567049808429127,2026-07-31,0.19999999999999996,913440.0,0.32567049808429127,0.19999999999999996,0.2628352490421456,보유중(익일 트레일 개시),,
440110,파두,A,B,KOSDAQ,목표달성,48400.0,52350.0,44819.0,63400.0,1,0.3099173553719008,63400.0,0.3099173553719008,2026-07-31,0.08161157024793386,55792.0,0.3099173553719008,0.08161157024793386,0.19576446280991733,보유중(익일 트레일 개시),,
