전략,유니버스,팩터,N,ROE게이트,방어,트레일,IN_CAGR,IN_Sharpe,IN_MDD,OOS_CAGR,OOS_Sharpe,OOS_MDD,IN_순위,OOS_순위,순위변동
대형|저변동성|N30|방어|트레일,대형,저변동성,30,False,True,True,12.763504079670929,0.921062279809298,-22.544175243600307,6.287536259947579,0.5776631068071266,-30.952867100420068,200.0,187.0,13.0
전체|B/P|N5|ROE>0,전체,B/P,5,True,False,False,36.03432191626415,0.9202644214786765,-55.83617799955145,10.793684751096722,0.34921976077117156,-66.75009606607658,201.0,306.0,-105.0
소중형|복합z|N30,소중형,복합z,30,False,False,False,24.541028182320133,0.917561957959258,-54.08167178989953,7.494175198595965,0.4264522890901414,-34.32772434607669,202.0,267.0,-65.0
전체|E/P|N20|ROE>0|방어|트레일,전체,E/P,20,True,True,True,23.480135689421378,0.9163113216286598,-31.27077726442704,2.131647929905789,0.20487245821238081,-37.666571518994076,203.0,403.5,-200.5
소중형|복합z|N5|ROE>0|방어|트레일,소중형,복합z,5,True,True,True,26.93942261015905,0.9158001608354944,-42.474010956313215,-4.01075245123137,-0.06879666782221254,-64.59680577439521,204.0,519.0,-315.0
대형|배당|N30|방어|트레일,대형,배당,30,False,True,True,14.850078101413878,0.9143579519355234,-36.77240608885164,14.079185060583832,0.98654682870644,-32.021994703513066,205.0,20.0,185.0
소중형|B/P|N10|ROE>0|트레일,소중형,B/P,10,True,False,True,26.46360702431696,0.914351956645903,-51.62882369672761,10.25317227192466,0.5081145516922632,-40.98234605107432,206.0,232.0,-26.0
대형|배당|N30|방어,대형,배당,30,False,True,False,14.945070440570962,0.9119962247743204,-36.576111153723836,14.149823451421062,0.9874920883568746,-32.15435330756944,207.0,18.0,189.0
대형|배당|N10|방어|트레일,대형,배당,10,False,True,True,15.53269534918902,0.9110495706377282,-28.647602519507142,17.64782443556676,1.1342514431306214,-35.44372743470385,208.0,1.0,207.0
전체|복합z|N30,전체,복합z,30,False,False,False,23.393094549432615,0.910503804214595,-54.84574410546947,6.057174750184857,0.35467081462894595,-45.99705508916389,209.0,303.0,-94.0
대형|배당|N20|방어,대형,배당,20,False,True,False,14.871233272316985,0.9101005169009215,-33.36636169547086,14.526480195453573,0.9931707041973925,-32.08747132052707,210.0,16.0,194.0
대형|저변동성|N20|트레일,대형,저변동성,20,False,False,True,15.820573949700623,0.9100093736861244,-35.62678910114595,5.818847211500677,0.4703888733342781,-36.866340228768394,211.0,247.0,-36.0
전체|E/P|N30|방어,전체,E/P,30,False,True,False,20.96827188363186,0.9095219903451521,-43.57524790666765,5.47261363222713,0.38870709653280094,-31.538511222691156,212.0,283.0,-71.0
소중형|E/P|N30,소중형,E/P,30,False,False,False,24.46282991249882,0.909153115501762,-55.225206391152156,4.301071001386703,0.2950892458386533,-39.799642302745006,213.0,337.0,-124.0
대형|복합z|N5|ROE>0|트레일,대형,복합z,5,True,False,True,23.85389447452104,0.9085515137283475,-32.58509159735753,10.041723212504872,0.501325211497756,-56.51623440731062,214.0,234.0,-20.0
대형|저변동성|N30|트레일,대형,저변동성,30,False,False,True,14.500153228920464,0.9082587059241037,-32.318726389206034,6.475713288152707,0.5083724479039379,-38.41310038197494,215.0,230.0,-15.0
소중형|E/P|N20|ROE>0|방어,소중형,E/P,20,True,True,False,22.939236231320525,0.9072939607890602,-29.511065056823448,3.812373617802489,0.29447715732234886,-35.8780122182395,216.0,338.5,-122.5
대형|배당|N10|방어,대형,배당,10,False,True,False,15.583964458565935,0.9029719765120466,-32.70298121989098,16.734045188283808,1.0916588850331095,-34.71260186587326,217.0,5.0,212.0
소중형|E/P|N30|ROE>0|방어|트레일,소중형,E/P,30,True,True,True,20.174758347349986,0.9015959405438928,-29.66388398501153,2.9500964558655474,0.2534277424314677,-36.89707291598934,218.0,372.0,-154.0
대형|배당|N10|트레일,대형,배당,10,False,False,True,19.480772136035295,0.9013217815236784,-44.00411126105347,21.289088171094626,1.0912401194447683,-36.92799855891409,219.0,6.0,213.0
전체|E/P|N20|ROE>0|방어,전체,E/P,20,True,True,False,23.259587039910222,0.9006066872939396,-33.15006600171371,5.672887114740077,0.37284591166491693,-35.50683188699212,220.0,295.5,-75.5
대형|복합z|N30|ROE>0|방어|트레일,대형,복합z,30,True,True,True,16.56010162549313,0.9001257891677911,-29.241529618694795,12.706213782698693,0.8394919097359483,-36.615285130081766,221.0,64.0,157.0
대형|저변동성|N30,대형,저변동성,30,False,False,False,14.53130643854359,0.8986115157676231,-34.050396982138324,6.439810329045259,0.5039774307417788,-37.01595976765564,222.0,233.0,-11.0
대형|E/P|N20|ROE>0,대형,E/P,20,True,False,False,22.03594105661535,0.8972314402608842,-39.501938455745986,14.727503770197714,0.7433566122562658,-41.86950526803302,223.0,110.5,112.5
소중형|복합z|N30|방어,소중형,복합z,30,False,True,False,19.43743337977233,0.8955543355498137,-41.35602296622556,6.497611547727233,0.44504263092190816,-26.861172780051533,224.0,259.0,-35.0
소중형|복합z|N30|트레일,소중형,복합z,30,False,False,True,23.039616101152795,0.892452906248486,-53.57453041807098,6.557560904358128,0.3898508225552587,-38.23225165841757,225.0,282.0,-57.0
대형|복합z|N30|ROE>0|방어,대형,복합z,30,True,True,False,16.633635419543925,0.8922700072219945,-31.009299117711198,13.812736090707078,0.8899205379169507,-36.282831595634434,226.0,41.0,185.0
대형|복합z|N10|ROE>0|트레일,대형,복합z,10,True,False,True,20.642394047961265,0.8921780852007022,-35.2605339152329,15.909940567695081,0.7661186362622563,-43.65645438589297,227.0,101.0,126.0
전체|복합z|N30|방어,전체,복합z,30,False,True,False,18.73703524302517,0.8886008364555794,-42.40927791211353,5.103091490225742,0.36647538542598296,-38.809466398877944,228.0,300.0,-72.0
소중형|E/P|N20,소중형,E/P,20,False,False,False,26.254242958138096,0.8876458613941288,-55.04967603548838,4.1470870848046015,0.28551366361791375,-41.449369785585645,229.0,351.0,-122.0
대형|배당|N5|ROE>0,대형,배당,5,True,False,False,18.940822383922317,0.8867945845760964,-29.557049533193226,19.817490325614617,0.9901521167577185,-32.472499279609224,230.0,17.0,213.0
전체|B/P|N10|ROE>0|방어,전체,B/P,10,True,True,False,23.88303184369429,0.8854074058151514,-40.84362310373795,12.257467989997227,0.5903936922188889,-36.16102767480795,231.0,173.0,58.0
소중형|저변동성|N5|ROE>0|방어|트레일,소중형,저변동성,5,True,True,True,12.145251441484305,0.8849732278929768,-28.995879116586178,-1.743363597591896,0.12203102880006007,-79.0432383734245,232.0,458.0,-226.0
대형|배당|N5|ROE>0|방어|트레일,대형,배당,5,True,True,True,15.889338165851829,0.8833598721958069,-19.285463186287355,15.765045219133134,0.9595214060041198,-31.953077105541684,233.0,24.0,209.0
대형|배당|N20|방어|트레일,대형,배당,20,False,True,True,14.290705772044209,0.882214513814785,-35.03895373582966,14.284043206013619,0.9766269997989422,-32.64308113644915,234.0,21.0,213.0
소중형|저변동성|N5|ROE>0|트레일,소중형,저변동성,5,True,False,True,13.700751691852187,0.8813923382976684,-32.938018526144795,-0.8549153221004913,0.19126027665247303,-88.89336160692314,235.0,410.0,-175.0
대형|E/P|N20|ROE>0|방어|트레일,대형,E/P,20,True,True,True,17.857970567128945,0.8795226636801055,-38.43601178520765,11.97700533400765,0.7602843985335139,-37.98303852932173,236.0,103.5,132.5
대형|배당|N30|트레일,대형,배당,30,False,False,True,18.046221354551562,0.8766393396995557,-50.421918497816165,16.56268536867178,0.9557569573936979,-33.959278686798434,237.0,25.0,212.0
대형|B/P|N30|ROE>0|방어,대형,B/P,30,True,True,False,17.26424991823292,0.8744436310767859,-24.306855034813736,13.354622663365067,0.8273237708268601,-40.14578307072825,238.0,73.0,165.0
대형|배당|N10,대형,배당,10,False,False,False,19.00231024595136,0.8744165905382197,-50.08548124252044,20.195913124626387,1.036988798004474,-36.74075261205962,239.0,10.0,229.0
대형|배당|N30,대형,배당,30,False,False,False,18.213705180157746,0.8727649311351224,-49.90663030611058,16.478541345927965,0.9406180525478275,-35.254066109045866,240.0,27.0,213.0
소중형|E/P|N30|트레일,소중형,E/P,30,False,False,True,23.15889104725106,0.8724370622668163,-53.46923929096199,3.231640787690271,0.252198368776475,-46.49423878824429,241.0,374.0,-133.0
대형|E/P|N30|방어|트레일,대형,E/P,30,False,True,True,17.11217475856237,0.8721599856521007,-45.83634705658043,11.642476295663883,0.7700983309274599,-39.715571668405616,242.0,96.5,145.5
대형|배당|N20,대형,배당,20,False,False,False,18.06895605366865,0.8717711053393632,-47.008099329172715,17.036348613835607,0.933759761831176,-35.1229961231176,243.0,28.0,215.0
소중형|저변동성|N30|방어,소중형,저변동성,30,False,True,False,12.145002247222836,0.8690561368906199,-33.31099249716699,-2.4871915488266505,0.025179314152005815,-66.27832607590449,244.0,496.0,-252.0
대형|저변동성|N10|트레일,대형,저변동성,10,False,False,True,12.989093722023192,0.8666671441064282,-32.94690315092752,1.2856116802234308,0.1624592831234984,-39.40646363490361,245.0,435.0,-190.0
소중형|저변동성|N5|ROE>0|방어,소중형,저변동성,5,True,True,False,11.809439804136424,0.8645781392912013,-27.77298925376209,-1.551658000899403,0.12511381661387172,-78.63732342191668,246.0,455.0,-209.0
소중형|E/P|N30|방어,소중형,E/P,30,False,True,False,19.3608405888559,0.864097730064122,-42.5725531716924,4.139269694117864,0.32288219505252364,-31.621543429694466,247.0,316.0,-69.0
소중형|복합z|N30|방어|트레일,소중형,복합z,30,False,True,True,18.108701169569287,0.8635346090006571,-40.678092462615425,5.715272147046568,0.4043275218299002,-28.635063449980734,248.0,275.0,-27.0
대형|E/P|N30|방어,대형,E/P,30,False,True,False,17.208436889458678,0.8632329885594239,-45.20066566896701,12.482497175054474,0.8125756242373988,-38.2437239202973,249.0,84.5,164.5
소중형|저변동성|N5|ROE>0,소중형,저변동성,5,True,False,False,13.3599288544346,0.8630409121754906,-31.636839581723773,-0.46064354327635115,0.19432452851153656,-88.43752345057293,250.0,409.0,-159.0
소중형|복합z|N5,소중형,복합z,5,False,False,False,32.14657089013775,0.8624359357036883,-57.035791355485046,-0.03166919242818533,0.15087711823626082,-64.1013616132813,251.0,441.0,-190.0
소중형|복합z|N20,소중형,복합z,20,False,False,False,23.76068705221266,0.8608274770967594,-55.810735261054624,6.388054745824334,0.3736008646410357,-40.90961341224721,252.0,292.0,-40.0
