1996-12-20,0.688333,600
1996-12-23,0.709821,672
1996-12-24,0.745962,681
1996-12-26,0.809524,693
1996-12-27,0.841954,696
1997-01-03,0.837877,697
1997-01-06,0.873239,710
1997-01-07,0.908964,714
1997-01-08,0.914923,717
1997-01-09,0.901662,722
1997-01-10,0.884615,728
1997-01-13,0.864011,728
1997-01-14,0.848774,734
1997-01-15,0.82544,739
1997-01-16,0.787919,745
1997-01-17,0.802139,748
1997-01-20,0.764314,751
1997-01-21,0.804749,758
1997-01-22,0.8,760
1997-01-23,0.794538,769
1997-01-24,0.778506,763
1997-01-27,0.795306,767
1997-01-28,0.796875,768
1997-01-29,0.803871,775
1997-01-30,0.780519,770
1997-01-31,0.766582,784
1997-02-03,0.769133,784
1997-02-04,0.762087,786
1997-02-05,0.756005,791
1997-02-06,0.747771,785
1997-02-10,0.715006,793
1997-02-11,0.699495,792
1997-02-12,0.698492,796
1997-02-13,0.715006,793
1997-02-14,0.722785,790
1997-02-17,0.721311,793
1997-02-18,0.719298,798
1997-02-19,0.700252,794
1997-02-20,0.699248,798
1997-02-21,0.727612,804
1997-02-24,0.741814,794
1997-02-25,0.738636,792
1997-02-26,0.740373,805
1997-02-27,0.747793,793
1997-02-28,0.716233,807
1997-03-03,0.701754,798
1997-03-04,0.677819,807
1997-03-05,0.669127,813
1997-03-06,0.669554,808
1997-03-07,0.65602,814
1997-03-10,0.683623,806
1997-03-11,0.703704,810
1997-03-12,0.689571,815
1997-03-13,0.699387,815
1997-03-14,0.733087,813
1997-03-17,0.702337,813
1997-03-18,0.700122,817
1997-03-19,0.713759,814
1997-03-20,0.700865,809
1997-03-21,0.721535,808
1997-03-24,0.797753,801
1997-03-25,0.776138,813
1997-03-26,0.763838,813
1997-03-27,0.761847,823
1997-03-28,0.75153,817
1997-03-31,0.706522,828
1997-04-01,0.719128,826
1997-04-02,0.710814,823
1997-04-03,0.720535,823
1997-04-04,0.69878,820
1997-04-07,0.692683,820
1997-04-08,0.692025,815
1997-04-09,0.662211,823
1997-04-10,0.677696,816
1997-04-11,0.651332,826
1997-04-14,0.629405,823
1997-04-15,0.637576,825
1997-04-16,0.617718,824
1997-04-17,0.609697,825
1997-04-18,0.6,820
1997-04-21,0.611922,822
1997-04-22,0.627451,816
1997-04-23,0.615012,826
1997-04-24,0.612121,825
1997-04-25,0.593179,821
1997-04-28,0.601695,826
1997-04-29,0.593366,814
1997-04-30,0.593179,821
1997-05-02,0.572473,821
1997-05-06,0.553659,820
1997-05-07,0.582217,821
1997-05-08,0.572296,823
1997-05-09,0.570732,820
1997-05-12,0.65679,810
1997-05-13,0.628853,811
1997-05-15,0.622549,816
1997-05-16,0.619632,815
1997-05-19,0.567931,817
1997-05-20,0.565217,828
1997-05-21,0.566425,828
1997-05-22,0.596598,823
1997-05-23,0.577396,814
1997-05-26,0.570552,815
1997-05-27,0.570726,813
1997-05-28,0.555961,822
1997-05-29,0.590799,826
1997-05-30,0.599758,827
1997-06-02,0.585956,826
1997-06-03,0.562201,836
1997-06-04,0.581032,833
1997-06-05,0.570048,828
1997-06-09,0.535414,833
1997-06-10,0.545998,837
1997-06-11,0.553398,824
1997-06-12,0.533898,826
1997-06-13,0.516908,828
1997-06-16,0.552439,820
1997-06-17,0.576087,828
1997-06-18,0.624848,821
1997-06-19,0.609547,817
1997-06-20,0.584337,830
1997-06-23,0.627764,814
1997-06-24,0.634146,820
1997-06-25,0.626667,825
1997-06-26,0.615572,822
1997-06-27,0.630488,820
1997-06-30,0.637699,817
1997-07-01,0.622871,822
1997-07-02,0.6,835
1997-07-03,0.596871,831
1997-07-04,0.58303,825
1997-07-07,0.581423,829
1997-07-08,0.58774,832
1997-07-09,0.565901,827
1997-07-10,0.561298,832
1997-07-11,0.5625,832
1997-07-14,0.575904,830
1997-07-15,0.591515,825
