순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,950260,인제니아테라퓨틱스Reg.S,KOSDAQ,30.00,18330,297004191375,18904895,906319646310,Y
2,950200,소마젠,KOSDAQ,29.98,3750,1445595000,385492,72135198750,Y
3,227950,엔투텍,KOSDAQ,29.98,1925,5028415994,2698023,66428302325,Y
4,001210,금호전기,KOSPI,29.97,7460,59437427060,8790315,92325079360,Y
5,001515,SK증권우,KOSPI,29.88,5260,291835500,56057,10289911820,Y
6,950220,네오이뮨텍,KOSDAQ,29.88,2195,870670895,396661,75094988800,Y
7,049470,비트플래닛,KOSDAQ,29.82,2020,536362803,270658,47560695980,Y
8,001510,SK증권,KOSPI,29.79,2810,28917606365,11053625,649939188850,Y
9,0120G0,삼양바이오팜,KOSPI,29.79,56200,12135548400,222641,417895894000,Y
10,462860,더즌,KOSDAQ,26.05,2395,26124896328,11115842,171856872585,
11,002990,금호건설,KOSPI,24.21,15650,390576449565,25677256,583118593100,
12,124500,아이티센글로벌,KOSDAQ,22.70,31350,48279667150,1556873,727461921450,
13,095700,제넥신,KOSDAQ,20.97,3000,10002951815,3216376,136621482000,
14,138610,나이벡,KOSDAQ,19.82,19100,31361138455,1607403,217124846300,
15,226330,신테카바이오,KOSDAQ,19.52,1255,2466708847,1966434,30444386125,
16,475230,엔알비,KOSDAQ,17.74,9490,4570558450,481250,103428501670,
17,011090,에넥스,KOSPI,17.66,2165,3021843873,1456017,25670521910,
18,228850,레이언스,KOSDAQ,17.51,6980,2370849980,351158,115805277720,
19,476830,알지노믹스,KOSDAQ,16.61,36850,65672735650,1794452,1033842816600,
20,079650,서산,KOSDAQ,16.20,5380,64672798763,11880410,107600000000,
21,092190,서울바이오시스,KOSDAQ,16.00,8990,3747262720,440024,412356763170,
22,234340,헥토파이낸셜,KOSDAQ,15.63,21450,30562561920,1419948,299670571200,
23,085620,미래에셋생명,KOSPI,15.40,26600,23461403700,911330,3595788000000,
24,387690,레메디,KOSDAQ,15.33,14820,89971308620,6153299,113014222620,
25,134580,탑코미디어,KOSDAQ,15.20,2160,1081852005,513821,106475361840,
26,002995,금호건설우,KOSPI,14.59,23950,1296809150,52360,6999770700,
27,0088M0,메쥬,KOSDAQ,13.93,13330,3428789720,260227,131723727500,
28,101000,KS인더스트리,KOSDAQ,13.20,789,720692916,911006,7819374243,
29,475580,에이럭스,KOSDAQ,12.90,8400,15131966120,1705604,114449160000,
30,299660,셀리드,KOSDAQ,12.74,1885,6182140684,3214775,55613111645,
31,000660,SK하이닉스,KOSPI,12.73,1691000,9109803915522,5452970,1235262589215000,
32,043590,웰킵스하이텍,KOSDAQ,12.42,1439,211646019,157237,19524900259,
33,121890,에스디시스템,KOSDAQ,12.29,2650,533152740,209070,35222331900,
34,307180,아이엘,KOSDAQ,12.25,5680,3216701655,592715,209681039680,
35,277070,린드먼아시아,KOSDAQ,12.16,3505,170840587,50315,47990460000,
36,483350,딜리셔스,KOSDAQ,11.86,4385,32810985306,7724504,95939239600,
37,196170,알테오젠,KOSDAQ,11.86,339500,341938888250,1019594,18192563448500,
38,402340,SK스퀘어,KOSPI,11.85,1123000,930397287274,853378,148150649754000,
39,163730,핑거,KOSDAQ,11.83,10400,5489455575,505457,124963456800,
40,228340,동양파일,KOSDAQ,11.72,3240,10329835592,3097520,64800000000,
41,237690,에스티팜,KOSDAQ,11.68,110900,156810328850,1411054,2315219154200,
42,041190,우리기술투자,KOSDAQ,11.65,4935,11309742843,2309771,414540000000,
43,185490,아이진,KOSDAQ,11.57,2025,3027783276,1451129,87540312600,
44,065170,비엘팜텍,KOSDAQ,11.53,2080,8816498592,4061572,58060689440,
45,060480,국일신동,KOSDAQ,11.46,1167,206999940,183321,12942030000,
46,091580,상신이디피,KOSDAQ,11.36,18330,6982724280,386538,244306254270,
47,080530,코디,KOSDAQ,11.25,2620,21182345,8696,29007812080,
48,332570,PS일렉트로닉스,KOSDAQ,11.05,9550,76622045495,8346101,446095426650,
49,083790,CG인바이츠,KOSDAQ,11.04,845,438576674,539886,64975583790,
50,241710,코스메카코리아,KOSDAQ,11.00,137200,23568917100,176449,1465296000000,
51,091590,남화토건,KOSDAQ,10.88,6320,28481713210,4194923,74196800000,
52,039830,오로라,KOSDAQ,10.79,18280,3966298555,226028,196745629200,
53,432470,케이엔에스,KOSDAQ,10.65,8520,14261207125,1513588,74733657120,
54,118990,모트렉스,KOSDAQ,10.54,5770,1212257650,215821,141580630670,
55,010780,아이에스동서,KOSPI,10.39,16050,4653637595,299080,484500964800,
56,053260,금강철강,KOSDAQ,10.33,5770,10177811160,1729558,108014400000,
57,089890,코세스,KOSDAQ,10.11,24500,8745360425,370991,406331569000,
58,005935,삼성전자우,KOSPI,10.07,191200,693449276750,3682819,153413374013600,
