순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,084180,수성웹툰,KOSDAQ,29.98,672,247144908,376475,12145918176,Y,동전주
2,459550,알트,KOSDAQ,29.98,2575,56835313270,24126347,64943459575,Y,실체급등
3,179900,유티아이,KOSDAQ,29.98,2775,3303005972,1277905,54918393300,Y,저유동주의
4,001770,SHD,KOSPI,29.95,9720,78848640,8112,11808614160,Y,저유동주의
5,107600,새빗켐,KOSDAQ,29.95,19180,3593588200,197888,108368035720,Y,저유동주의
6,049630,재영솔루텍,KOSDAQ,29.93,9030,25960105315,2961427,210987205170,Y,실체급등
7,445680,큐리옥스바이오시스템즈,KOSDAQ,29.91,50600,8520480825,176254,870484703000,Y,실체급등
8,032685,소프트센우,KOSDAQ,29.90,10860,111803100,10595,774991320,Y,저유동주의
9,011155,CJ씨푸드1우,KOSPI,29.89,8040,128005140,16310,1608000000,Y,저유동주의
10,003010,혜인,KOSPI,29.89,9690,8781715800,978616,123186518430,Y,실체급등
11,008290,원풍물산,KOSDAQ,29.76,436,1729581761,4137469,8871221804,Y,동전주
12,372170,윤성에프앤씨,KOSDAQ,29.73,23300,4558674285,211628,185911818400,Y,저유동주의
13,092200,디아이씨,KOSPI,25.33,6580,43337292865,6544969,255886784020,,실체급등
14,237880,클리오,KOSDAQ,23.74,14230,24653213010,1717610,257155353190,,실체급등
15,296640,이노에이엑스,KOSDAQ,22.76,5880,530196560,97064,30448121760,,저유동주의
16,212560,네오오토,KOSDAQ,20.18,12330,44588658260,3608812,166286670840,,실체급등
17,005180,빙그레,KOSPI,19.94,82400,84244215150,1043098,763768154400,,실체급등
18,007340,DN오토모티브,KOSPI,19.11,58900,50811682925,899436,3446289948500,,실체급등
19,134580,탑코미디어,KOSDAQ,17.76,1989,4866050150,2471461,98046062361,,저유동주의
20,072770,멤레이비티,KOSDAQ,16.84,888,1842509645,2013820,36862743024,,동전주
21,038880,아이에이,KOSDAQ,16.60,4285,1012878453,239680,32199302555,,저유동주의
22,125490,한라캐스트,KOSDAQ,16.25,12590,235891718505,18591439,459564611680,,실체급등
23,199550,레이저옵텍,KOSDAQ,16.01,2790,1205284963,447928,41419756890,,저유동주의
24,396300,세아메카닉스,KOSDAQ,15.85,4825,56207990483,11743716,127811837500,,실체급등
25,018000,유니슨,KOSDAQ,15.47,1000,9922878949,10291460,259498284000,,실체급등
26,448900,한국피아이엠,KOSDAQ,15.24,72600,18783427750,266746,441005578200,,실체급등
