code,market,months,first,last,cagr,y2_n,y2_win,y2_med,y2_worst,y3_n,y3_win,y3_med,y3_worst,y5_n,y5_win,y5_med,y5_worst,y7_n,y7_win,y7_med,y7_worst,name,sector,mcap
000010,KOSPI,103,1996-01-31,2004-07-31,-0.28437516045665145,79,0.3291139240506329,-0.5688622754491013,-0.932455070182343,67,0.29850746268656714,-0.2302377980361504,-0.894933655904371,43,0.046511627906976744,-0.7006457479789765,-0.9528334519986388,19,0.0,-0.8852649208281789,-0.9280089530505538,,,1553295806640
000020,KOSPI,368,1996-01-31,2026-08-31,-0.004185166409320096,344,0.4738372093023256,-0.04519451812555114,-0.8064019607843137,332,0.5481927710843374,0.06300488273433069,-0.8318163751987284,308,0.5584415584415584,0.26763661202185474,-0.8540568627450982,284,0.7183098591549296,0.4731990412219721,-0.8555345786963432,동화약품,의약품 제조업,142171182300
000030,KOSPI,128,1996-01-31,2019-02-28,-0.16379528732532134,104,0.2692307692307692,-0.6241726522635387,-0.9279166666666668,92,0.2608695652173913,-0.8258577113384965,-0.9637745537141433,68,0.1323529411764706,-0.9179786614676229,-0.9875400388049745,44,0.0,-0.9563208032806654,-0.9912776593184804,,,10004800000000
000040,KOSPI,368,1996-01-31,2026-08-31,-0.21617201509159945,344,0.3081395348837209,-0.3807572850294946,-0.9740631891214622,332,0.27710843373493976,-0.43544303797468464,-0.9650557215812018,308,0.19480519480519481,-0.6220774586940372,-0.9830580109162923,284,0.18661971830985916,-0.7431516406209455,-0.9967895046060318,KR모터스,그외 기타 운송장비 제조업,21334669460
000050,KOSPI,368,1996-01-31,2026-08-31,0.026993381956034845,344,0.502906976744186,0.0016556291390730227,-0.7060430180949127,332,0.49096385542168675,-0.005791536050155921,-0.6139240506329122,308,0.5357142857142857,0.08020837865411612,-0.6414545454545459,284,0.6197183098591549,0.21899632218759424,-0.5731958762886603,경방,종합 소매업,240706070600
000060,KOSPI,326,1996-01-31,2023-02-28,0.10253105258282158,302,0.6622516556291391,0.255365397314548,-0.8631578947368425,290,0.7379310344827587,0.3034291234001406,-0.8060502177337161,266,0.849624060150376,0.7337023512165135,-0.8841037419848792,242,0.8760330578512396,1.430709023941059,-0.6883393383557164,,,5732970012000
000070,KOSPI,368,1996-01-31,2026-08-31,0.05270888268945284,344,0.5872093023255814,0.13951202570113574,-0.7687179842170846,332,0.6596385542168675,0.2339205911214044,-0.6668016194331994,308,0.7045454545454546,0.3896510152284275,-0.7553648068669533,284,0.7288732394366197,0.4931758637628916,-0.6939914163090135,삼양홀딩스,기타 금융업,462686183600
000075,KOSPI,356,1996-01-31,2025-08-31,0.050019099717245386,332,0.5572289156626506,0.11596506882322721,-0.8515139751552799,320,0.65,0.28385726760339736,-0.5891691012201421,296,0.777027027027027,0.4314779486028537,-0.5973857191957395,272,0.7536764705882353,0.5140091156414589,-0.33719281663516265,,,12599649000
000080,KOSPI,288,1996-01-31,2026-08-31,-0.08099821719846523,264,0.35984848484848486,-0.1219457067121083,-0.9620411352267308,252,0.34523809523809523,-0.13368794326241012,-0.8848913146162262,228,0.47368421052631576,-0.029594232059024617,-0.9059414379127194,204,0.4068627450980392,-0.06917215710432828,-0.8659466409500776,하이트진로,알코올음료 제조업,1120033767670
000085,KOSPI,85,1996-01-31,2003-01-31,-0.2760510144762214,61,0.47540983606557374,-0.08139710123676736,-0.9605362538695873,49,0.3673469387755102,-0.34576271186440655,-0.883577732311357,25,0.08,-0.8600191290067004,-0.9109013257484874,1,0.0,-0.8958019185897623,-0.8958019185897623,,,851927720
000087,KOSPI,180,2011-09-30,2026-08-31,-0.04388873924407766,156,0.4166666666666667,-0.039282499678540195,-0.3043478260869572,144,0.4166666666666667,-0.040985023397084985,-0.3399585921325051,120,0.425,-0.035277777777775465,-0.4578260869565207,96,0.3645833333333333,-0.07680352935278345,-0.3950617283950618,하이트진로2우B,,13979807060
000100,KOSPI,368,1996-01-31,2026-08-31,0.07735292314120157,344,0.686046511627907,0.1840862652611046,-0.4901960784313728,332,0.7680722891566265,0.27570793221865797,-0.4976744186046521,308,0.8116883116883117,0.4143699424733819,-0.3641025641025647,284,0.9366197183098591,0.6370141817476761,-0.2425497463091455,유한양행,의약품 제조업,6419596640600
000105,KOSPI,368,1996-01-31,2026-08-31,0.08902051522091936,344,0.6918604651162791,0.20938924600547704,-0.5863636363636354,332,0.7349397590361446,0.41632996632996455,-0.45508982035928036,308,0.814935064935065,0.7687215392521061,-0.38805970149253854,284,0.8732394366197183,1.1862764550264466,-0.4511764705882372,유한양행우,,78296322000
000107,KOSPI,61,1999-01-31,2004-01-31,0.3797904675443897,37,0.5675675675675675,0.003086419753088654,-0.8044982698961936,25,0.56,0.003629764065339325,-0.813148788927335,1,1.0,4.000000000000017,4.000000000000017,0,,,,,,767585000
000110,KOSPI,112,1996-01-31,2005-04-30,-0.30806073108401766,88,0.056818181818181816,0.0,-0.9668561542263965,76,0.06578947368421052,0.0,-0.97905677486026,52,0.09615384615384616,-0.7115715744042793,-0.9731518441276829,28,0.0,-0.9422313710726653,-0.9731518441276829,,,846400000000
000120,KOSPI,368,1996-01-31,2026-08-31,-0.03766005676521755,344,0.5232558139534884,0.011384421318196725,-0.9423812356509709,332,0.5060240963855421,0.021088275086269648,-0.9031671700518167,308,0.5454545454545454,0.2091221447928746,-0.9722228970764418,284,0.6830985915492958,0.6493328568678209,-0.9761228946691473,CJ대한통운,도로 화물 운송업,1802175176000
000140,KOSPI,368,1996-01-31,2026-08-31,-0.02555301933782439,344,0.5058139534883721,0.010548460548459704,-0.7142857142857149,332,0.4879518072289157,-0.01069911765216014,-0.7618181818181818,308,0.474025974025974,-0.029310557580091157,-0.8371362129305578,284,0.3908450704225352,-0.17545594374862872,-0.8243111807914526,하이트진로홀딩스,기타 금융업,191687878900
000145,KOSPI,368,1996-01-31,2026-08-31,-0.024712364940485787,344,0.502906976744186,0.005554266264409469,-0.8728971962616824,332,0.536144578313253,0.0907570350167135,-0.7959194732706532,308,0.5714285714285714,0.21424308300395334,-0.8442421815560806,284,0.5669014084507042,0.11924905660377472,-0.870706104995711,하이트진로홀딩스우,,4467986900
000150,KOSPI,368,1996-01-31,2026-08-31,0.14275341395668661,344,0.5377906976744186,0.05767386091127147,-0.7338983050847459,332,0.5150602409638554,0.013020495223964867,-0.7956349206349205,308,0.461038961038961,-0.06196819208514842,-0.8526415094339621,284,0.5140845070422535,0.038879348412738546,-0.8279661016949152,두산,전자부품 제조업,19286857485000
000155,KOSPI,368,1996-01-31,2026-08-31,0.13910609455357692,344,0.6162790697674418,0.14577863392585588,-0.7637500000000003,332,0.7018072289156626,0.24784609208535424,-0.7276190476190484,308,0.6948051948051948,0.43035477316101056,-0.8576913294797693,284,0.7605633802816901,0.9966087801764143,-0.7084544323224924,두산우,,1742457432000
000157,KOSPI,321,1999-12-31,2026-08-31,0.13461761540816952,297,0.6599326599326599,0.14370370370370233,-0.6692607003891056,285,0.7263157894736842,0.22427035330260714,-0.5811320754716998,261,0.8544061302681992,0.7057471264367812,-0.6051020408163277,237,0.9409282700421941,0.9680851063829652,-0.3306122448979635,두산2우B,,298721211000
000180,KOSPI,368,1996-01-31,2026-08-31,-0.04900052378426434,344,0.45348837209302323,-0.10025321374005586,-0.9135802469135805,332,0.5421686746987951,0.05574682976096745,-0.8258135808939135,308,0.4772727272727273,-0.017874382123962584,-0.914705094110129,284,0.5669014084507042,0.1532507679629077,-0.8778744157691529,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,74215702400
000200,KOSPI,65,1996-01-31,2001-05-31,-0.34698015499046353,41,0.04878048780487805,-0.723608445297505,-0.9497056799938842,29,0.0,-0.8687743457181318,-0.943592680151105,5,0.0,-0.8972429490185545,-0.9398321921611787,0,,,,,,12122385840
000205,KOSPI,65,1996-01-31,2001-05-31,-0.3602476770142594,41,0.0,-0.6263157894736844,-0.8736730360934183,29,0.0,-0.8027482485041153,-0.893505270767834,5,0.0,-0.8941691762913424,-0.9113978311423026,0,,,,,,767775120
000210,KOSPI,368,1996-01-31,2026-08-31,0.0360130659512663,344,0.5406976744186046,0.04820476924131489,-0.8662337662337665,332,0.5271084337349398,0.036952795886658785,-0.6951297229932594,308,0.5681818181818182,0.11736604356741542,-0.6917936209060835,284,0.5880281690140845,0.16640231829057262,-0.6373401534526847,DL,기초 화학물질 제조업,1066654495600
000215,KOSPI,368,1996-01-31,2026-08-31,0.025126954719249417,344,0.6017441860465116,0.14110214110214125,-0.9214285714285713,332,0.5481927710843374,0.09025421630055008,-0.7538741208796225,308,0.5941558441558441,0.12622512828702537,-0.7804597701149443,284,0.6443661971830986,0.3329456250753011,-0.6867245657568264,DL우,,38780645000
000220,KOSPI,368,1996-01-31,2026-08-31,0.02953839691778337,344,0.4680232558139535,-0.034280690821687,-0.7367945823927764,332,0.5632530120481928,0.07805352428997925,-0.7305525910115036,308,0.6688311688311688,0.3177485227558482,-0.7539503386004517,284,0.6373239436619719,0.6506025878335773,-0.6776523702031605,유유제약,의약품 제조업,58265609400
000225,KOSPI,368,1996-01-31,2026-08-31,0.06421851322191441,344,0.5552325581395349,0.058740402052707474,-0.7360928289891016,332,0.5662650602409639,0.20620755360155463,-0.7104250455715979,308,0.8051948051948052,0.9638054703527876,-0.7392361111111112,284,0.852112676056338,1.0184293699017066,-0.7458406874801069,유유제약1우,,8512322150
000227,KOSPI,315,2000-06-30,2026-08-31,0.05301778018652503,291,0.5326460481099656,0.025449101796404694,-0.7580645161290329,279,0.5698924731182796,0.1847342310418123,-0.7943548387096778,255,0.7686274509803922,0.5609374999999996,-0.7164750957854403,231,0.7489177489177489,0.7759772876173774,-0.6208728652751435,유유제약2우B,,2502940000
000230,KOSPI,368,1996-01-31,2026-08-31,0.06397840572036029,344,0.6017441860465116,0.18976230787990023,-0.9357515739047404,332,0.6295180722891566,0.18599682528621253,-0.8521306627393225,308,0.7532467532467533,0.5413286040006844,-0.7752745634336211,284,0.7570422535211268,0.8881234294475872,-0.754599823269514,일동홀딩스,의약품 제조업,73512348000
000240,KOSPI,368,1996-01-31,2026-08-31,0.10090657087489463,344,0.6598837209302325,0.18855457861411107,-0.5557586837294334,332,0.6656626506024096,0.23501094681581292,-0.580419580419581,308,0.724025974025974,0.5547053094666454,-0.5947867298578213,284,0.704225352112676,1.5576490105462695,-0.5403225806451626,한국앤컴퍼니,기타 금융업,2454075954000
000270,KOSPI,368,1996-01-31,2026-08-31,0.004708928819342262,344,0.5145348837209303,0.02620570327215177,-0.9416104967018086,332,0.6024096385542169,0.2276545671241742,-0.9562905756573036,308,0.6688311688311688,0.6103323473093094,-0.934939639898374,284,0.7323943661971831,0.8931870945955496,-0.9364485830632568,기아,자동차용 엔진 및 자동차 제조업,52666713430200
000280,KOSPI,66,1996-01-31,2001-06-30,-0.6256424671357679,42,0.0,-0.8758904548790716,-0.9663239264499266,30,0.0,-0.9555886018642371,-0.9901966829215227,6,0.0,-0.9941126736050118,-0.9951515500181503,0,,,,,,3972272715
000300,KOSPI,368,1996-01-31,2026-08-31,-0.13102646943982232,344,0.27906976744186046,-0.208020690356363,-0.8919463087248323,332,0.2921686746987952,-0.31931267795496976,-0.9666339778142891,308,0.2727272727272727,-0.41167871786649224,-0.9870077026591745,284,0.20422535211267606,-0.49164464927156615,-0.9956502634059189,DH오토넥스,자동차 신품 부품 제조업,174035631000
000310,KOSPI,71,1996-01-31,2001-11-30,-0.7318420569287909,47,0.02127659574468085,-0.8305266308425839,-0.9974378881987578,35,0.0,-0.9147095433808854,-0.9977020284010322,11,0.0,-0.9958028490652095,-0.9995749572355059,0,,,,,,4878599760
000315,KOSPI,71,1996-01-31,2001-11-30,-0.5228638421502576,47,0.14893617021276595,-0.7230741996738103,-0.9625225803701317,35,0.08571428571428572,-0.8487878392223164,-0.9459398437640741,11,0.0,-0.942921579288036,-0.984721765575716,0,,,,,,174142300
000320,KOSPI,368,1996-01-31,2026-08-31,0.06409225509678218,344,0.5755813953488372,0.11951462765957432,-0.8535294117647058,332,0.572289156626506,0.11315974858252753,-0.6810650887573975,308,0.6363636363636364,0.305679165678055,-0.7453355155482827,284,0.7112676056338029,1.003223211384054,-0.6590214067278306,노루홀딩스,기타 금융업,213987531100
000325,KOSPI,368,1996-01-31,2026-08-31,0.11665815169794702,344,0.686046511627907,0.27377049180327717,-0.8030434782608696,332,0.7951807228915663,0.43582900080697273,-0.7130434782608699,308,0.9058441558441559,0.9870747716460684,-0.7140000000000014,284,0.9859154929577465,1.4254291919343676,-0.3478260869565222,노루홀딩스우,,5699280600
000327,KOSPI,121,2007-09-30,2017-09-30,0.07727408816220671,97,0.6701030927835051,0.21212121212121127,-0.6424581005586587,85,0.7647058823529411,0.5442764578833694,-0.41620111731843545,61,0.8524590163934426,1.2566371681415922,-0.48324022346368634,37,1.0,1.6244131455399078,0.16666666666666363,,,1813784000
000360,KOSPI,232,1996-01-31,2015-04-30,-0.18470972555462684,208,0.34615384615384615,-0.3406210447540296,-0.8734782608695656,196,0.3673469387755102,-0.4518000804505242,-0.897324397723914,172,0.4127906976744186,-0.4007314897413039,-0.9536468650305471,148,0.5540540540540541,0.40828534118057214,-0.9813814907872698,,,11617125850
000365,KOSPI,232,1996-01-31,2015-04-30,-0.14184972634596027,208,0.44711538461538464,-0.19433707171892955,-0.8693496587715779,196,0.3979591836734694,-0.35774441721132616,-0.89379612036587,172,0.4418604651162791,-0.2500781884376534,-0.9476637784435985,148,0.5472972972972973,0.17174190606475626,-0.9670188679245282,,,1185303060
000370,KOSPI,368,1996-01-31,2026-08-31,-0.09356157071985816,344,0.436046511627907,-0.13090854370994487,-0.872340425531915,332,0.4036144578313253,-0.2603861841007973,-0.8994584951532949,308,0.33766233766233766,-0.35815384615384366,-0.959722855204124,284,0.19014084507042253,-0.3354376877703097,-0.9672994994763875,한화손해보험,보험업,687592209350
000390,KOSPI,368,1996-01-31,2026-08-31,0.04404502882212191,344,0.5348837209302325,0.030616181657849073,-0.5829787234042544,332,0.6686746987951807,0.1409318701538812,-0.6200488997555027,308,0.7045454545454546,0.22168101977282817,-0.7562347188264074,284,0.7183098591549296,0.3099867724867731,-0.6557457212713951,SP삼화,기타 화학제품 제조업,167845403730
