code,fiscal_year,F,accrual,noa_ratio,market,sector,name
000400,2024,2,0.014880236283399071,,KOSPI,보험업,롯데손해보험
000400,2025,3,0.05366890721698419,,KOSPI,보험업,롯데손해보험
000500,2019,1,0.03110380452420495,,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2020,7,-0.0009573871416021283,0.6633724668799494,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2021,5,0.026005793405577366,0.7110345244171504,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2022,7,-0.019938987017635017,0.5725867356853712,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2023,6,-0.0018515181491687732,0.4705842535546824,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2024,5,-0.013340376606602044,0.574717280544325,KOSPI,절연선 및 케이블 제조업,가온전선
000500,2025,6,0.007008349940443038,0.4178971965969314,KOSPI,절연선 및 케이블 제조업,가온전선
000640,2019,3,-0.05653814267395096,,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2020,4,0.0514787732540313,0.7904703844252411,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2021,6,-0.04172639348364536,0.7441382488172426,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2022,5,-0.03929596664140453,0.6327561707838681,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2023,7,-0.05254434426916492,0.697863906575205,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2024,7,-0.012519949435478886,0.6181628686217039,KOSPI,기타 금융업,동아쏘시오홀딩스
000640,2025,8,-0.06537052186299998,0.6317179572327669,KOSPI,기타 금융업,동아쏘시오홀딩스
000660,2019,3,-0.06894323020951514,,KOSPI,반도체 제조업,SK하이닉스
000660,2020,7,-0.10615776273907779,0.9125785733100493,KOSPI,반도체 제조업,SK하이닉스
000660,2021,6,-0.10563162627984503,1.0756637834402474,KOSPI,반도체 제조업,SK하이닉스
000660,2022,5,-0.1207149848747749,0.820144214425771,KOSPI,반도체 제조업,SK하이닉스
000660,2023,4,-0.1337158969089705,0.6906130912968707,KOSPI,반도체 제조업,SK하이닉스
000660,2024,9,-0.08342551886918824,0.8340925981732413,KOSPI,반도체 제조업,SK하이닉스
000660,2025,8,-0.05919801591366336,1.032953803451296,KOSPI,반도체 제조업,SK하이닉스
000670,2019,2,0.00010171524201594976,,KOSPI,1차 비철금속 제조업,영풍
000670,2020,4,-0.033526281966652936,0.8291883750375827,KOSPI,1차 비철금속 제조업,영풍
000670,2021,5,0.02390594455196485,0.8749096575204058,KOSPI,1차 비철금속 제조업,영풍
000670,2022,8,0.01519868738920782,0.8690987804167686,KOSPI,1차 비철금속 제조업,영풍
000670,2023,4,-0.07120392466038367,0.7855830047992372,KOSPI,1차 비철금속 제조업,영풍
000670,2024,2,-0.0569944824627875,0.8194870561603752,KOSPI,1차 비철금속 제조업,영풍
000670,2025,5,-0.0026991592837382573,0.7777113412335479,KOSPI,1차 비철금속 제조업,영풍
000720,2019,2,0.005179960774614675,,KOSPI,토목 건설업,현대건설
000720,2020,5,-0.08372824898042139,0.45453007773315285,KOSPI,토목 건설업,현대건설
000720,2021,6,-0.023171456064347864,0.5071103211869109,KOSPI,토목 건설업,현대건설
000720,2022,4,0.029378279383013572,0.41657605662377406,KOSPI,토목 건설업,현대건설
000720,2023,5,0.05772827968717023,0.43765832040118385,KOSPI,토목 건설업,현대건설
000720,2024,3,-0.023973774119495056,0.30408566574999807,KOSPI,토목 건설업,현대건설
000720,2025,5,0.04704018191325269,0.30127839317973065,KOSPI,토목 건설업,현대건설
000810,2023,1,0.02803731205475535,,KOSPI,보험업,삼성화재
000810,2024,5,-0.01203422201929427,,KOSPI,보험업,삼성화재
000810,2025,4,-0.01444140375346521,,KOSPI,보험업,삼성화재
000880,2019,3,-0.012545476706412704,,KOSPI,기타 화학제품 제조업,한화
000880,2020,8,-0.014135660076718525,0.14649391025138506,KOSPI,기타 화학제품 제조업,한화
000880,2021,7,-0.025034116088104387,0.1561575192687364,KOSPI,기타 화학제품 제조업,한화
000880,2022,5,0.0017530362591038336,0.14299254576854117,KOSPI,기타 화학제품 제조업,한화
000880,2023,5,-0.010288400132681633,0.21927600783508208,KOSPI,기타 화학제품 제조업,한화
000880,2024,6,-0.020594275082286038,0.8792169468416544,KOSPI,기타 화학제품 제조업,한화
000880,2025,8,-0.021873323494029748,0.7727536416927063,KOSPI,기타 화학제품 제조업,한화
000990,2019,3,-0.051833838767612966,,KOSPI,반도체 제조업,DB하이텍
000990,2020,8,-0.12214435377157291,0.7976781745815069,KOSPI,반도체 제조업,DB하이텍
000990,2021,8,-0.04918730162410413,0.8752754570702481,KOSPI,반도체 제조업,DB하이텍
000990,2022,9,-0.08066459372582352,1.011030975600851,KOSPI,반도체 제조업,DB하이텍
000990,2023,4,0.01952212545210334,0.7395760903280518,KOSPI,반도체 제조업,DB하이텍
000990,2024,5,-0.06393742234772092,0.8725403685880972,KOSPI,반도체 제조업,DB하이텍
