순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,226340,본느,KOSDAQ,30.00,8060,105171273690,15443053,67627301040,Y,실체급등
2,002680,한탑,KOSDAQ,29.99,2150,1502649169,735261,13896221850,Y,저유동주의
3,002990,금호건설,KOSPI,29.98,11490,143034808650,13439072,428117101260,Y,실체급등
4,091590,남화토건,KOSDAQ,29.98,5680,10957660516,2127414,66683200000,Y,실체급등
5,001210,금호전기,KOSPI,29.94,4080,8421363938,2152663,50494145280,Y,실체급등
6,228340,동양파일,KOSDAQ,29.94,3190,5313682345,1805688,63800000000,Y,실체급등
7,225190,LK삼양,KOSDAQ,29.93,1055,8840176991,8744998,74344204200,Y,실체급등
8,002995,금호건설우,KOSPI,29.88,21950,670417400,31455,6415238700,Y,저유동주의
9,101730,위메이드맥스,KOSDAQ,29.88,4390,9784358855,2275760,367896425540,Y,실체급등
10,079650,서산,KOSDAQ,29.86,5240,54486442408,11095869,104800000000,Y,실체급등
11,181710,NHN,KOSPI,29.82,54200,64692420000,1282547,1775220133800,Y,실체급등
12,126730,코칩,KOSDAQ,29.70,20000,68025072205,3786027,175402520000,Y,실체급등
13,096690,에이루트,KOSDAQ,24.34,7100,471665740,69937,28562178200,,저유동주의
14,290660,다이나믹솔루션,KOSDAQ,24.07,1892,8294999409,4485430,81049284096,,실체급등
15,119830,아이텍,KOSDAQ,23.91,6530,3150566980,517308,173296640080,,저유동주의
16,331520,밸로프,KOSDAQ,23.56,2780,851968915,327751,27247297080,,저유동주의
17,189330,씨이랩,KOSDAQ,22.23,16880,34831674285,2172006,158372953920,,실체급등
18,095910,에스에너지,KOSDAQ,20.32,829,8324981294,9897883,30919137561,,동전주
19,003010,혜인,KOSPI,19.39,7080,74696101665,10424610,90006248760,,실체급등
20,005360,모나미,KOSPI,19.22,1929,25871172506,13288816,36452905203,,실체급등
21,039310,세중,KOSDAQ,18.68,1493,637797010,452019,27055648831,,저유동주의
22,457600,벡트,KOSDAQ,18.52,3935,1252364920,345132,53939012500,,저유동주의
23,111710,남화산업,KOSDAQ,17.99,3410,7192251986,2088331,70205080000,,실체급등
24,090460,비에이치,KOSPI,16.83,18120,80530140385,4596562,610853068560,,실체급등
25,382800,지앤비에스에코,KOSDAQ,16.56,5560,12041710807,2247660,176980587960,,실체급등
26,203400,에이비온,KOSDAQ,16.53,980,8941989587,8817931,88299277920,,동전주
27,198440,강동씨앤엘,KOSDAQ,16.52,1354,7095464336,5151455,82501787184,,실체급등
28,066980,한성크린텍,KOSDAQ,16.52,1749,5701745095,3261502,93814177248,,실체급등
29,900300,오가닉티코스메틱,KOSDAQ,15.86,2265,2276034716,983130,46613919705,,저유동주의
30,241710,코스메카코리아,KOSDAQ,15.16,109400,87858491300,801610,1168392000000,,실체급등
