순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,092600,앤씨앤,KOSDAQ,30.00,2730,1123185239,455368,13695599190,Y
2,208710,포톤,KOSDAQ,30.00,2340,1853466358,810814,30841508880,Y
3,299660,셀리드,KOSDAQ,29.99,1777,3198422060,1886546,52426790129,Y
4,002787,진흥기업2우B,KOSPI,29.98,3945,155475360,39942,1163017560,Y
5,199730,바이오인프라,KOSDAQ,29.98,2645,185440950,70110,12866250715,Y
6,247660,나노씨엠에스,KOSDAQ,29.97,3925,626045375,165547,17049886000,Y
7,002785,진흥기업우B,KOSPI,29.94,1862,294007996,160081,1596139916,Y
8,463020,뉴엔AI,KOSDAQ,29.93,9550,11450843180,1271298,84796360000,Y
9,291810,핀텔,KOSDAQ,29.93,1042,1504830648,1551089,11846197904,Y
10,032685,소프트센우,KOSDAQ,29.92,15240,105606180,6930,1087556880,Y
11,368600,아이씨에이치,KOSDAQ,29.91,1342,3052790054,2387581,34617446930,Y
12,235980,메드팩토,KOSDAQ,29.85,3480,1870758230,564053,119277421080,Y
13,011155,CJ씨푸드1우,KOSPI,29.83,6920,118197260,17343,1384000000,Y
14,900100,파이온엑스,KOSDAQ,29.83,3525,2796533069,839131,18598076250,Y
15,199430,케이엔알시스템,KOSDAQ,23.34,17600,27054586180,1595193,197067956800,
16,004415,서울식품우,KOSPI,20.58,5800,220607330,37336,1290210000,
17,377480,마음AI,KOSDAQ,19.60,11350,22515455195,2003299,80701621250,
18,331920,셀레믹스,KOSDAQ,15.18,10700,1093367860,109600,119642638500,
19,363250,진시스템,KOSDAQ,13.59,4555,865814857,181551,38755680010,
20,108860,셀바스AI,KOSDAQ,11.91,9020,51778326375,5697448,242771405800,
21,317770,엑스페릭스,KOSDAQ,11.61,2500,2123683105,843132,91610360000,
22,035620,바른손이앤에이,KOSDAQ,11.25,801,1280018845,1518196,14906544318,
23,087010,펩트론,KOSDAQ,10.94,143000,35192097150,271574,3334381050000,
24,079950,인베니아,KOSDAQ,10.56,1288,370868905,311442,17773240800,
25,396300,세아메카닉스,KOSDAQ,9.16,3815,53409612168,13476691,101057442500,
26,073190,듀오백,KOSDAQ,8.59,1075,117486367,117436,12865643000,
27,417860,오브젠,KOSDAQ,8.58,8610,23867971995,2553104,40526460660,
28,065060,지엔코,KOSDAQ,8.04,3360,77090300,24066,20127696960,
29,039980,폴라리스AI,KOSDAQ,7.91,5250,38344076879,7025511,75501373500,
30,208640,썸에이지,KOSDAQ,7.87,1248,9124430397,6631305,17377183200,
31,290660,다이나믹솔루션,KOSDAQ,7.74,1795,2801055016,1587621,76894008960,
32,066700,테라젠이텍스,KOSDAQ,7.21,2155,3856631120,1727495,80063370280,
33,340810,시선AI,KOSDAQ,7.00,2750,2954375473,1048728,37523684000,
34,011300,우성머티리얼스,KOSPI,6.93,2855,741564790,253999,48009888415,
35,142760,모아라이프플러스,KOSDAQ,6.56,390,785581184,1833968,16445122200,
36,032800,판타지오,KOSDAQ,6.29,1554,641167448,391714,19365205188,
37,004060,SG세계물산,KOSPI,5.98,2480,1232207744,492785,50201390080,
38,001525,동양우,KOSPI,5.84,8520,46526110,5459,2237479800,
39,023790,동일스틸럭스,KOSDAQ,5.78,1629,3407847905,2038096,21290717232,
40,424760,벨로크,KOSDAQ,5.63,2250,265416707,118772,22622328000,
41,439960,코스모로보틱스,KOSDAQ,5.59,15120,170202774210,11020545,490653465120,
42,088290,이원컴포텍,KOSDAQ,5.26,2300,34797060,15608,18344965600,
43,123840,뉴온,KOSDAQ,4.92,1963,29974326,15242,30530637150,
44,139670,키네마스터,KOSDAQ,4.89,1586,42432650,27622,22392432660,
45,488280,에스투더블유,KOSDAQ,4.83,10210,2700327245,269998,110303592060,
46,001527,동양2우B,KOSPI,4.49,7680,190027080,22307,1579814400,
47,301300,바이브컴퍼니,KOSDAQ,4.22,1656,200952519,120209,21784203072,
48,332570,PS일렉트로닉스,KOSDAQ,4.00,7540,58866689650,7822783,352205185020,
49,309930,조이웍스앤코,KOSDAQ,3.90,852,51964604,62799,16406017428,
50,050760,에스폴리텍,KOSDAQ,3.88,1098,509146445,490460,17935476444,
51,208860,다산디엠씨,KOSDAQ,3.85,999,162044581,176952,33916023027,
52,451800,한화리츠,KOSPI,3.63,4990,982272944,197919,896204000000,
53,188260,세니젠,KOSDAQ,3.48,1993,59434362,31741,27705326774,
54,192390,윈하이텍,KOSDAQ,3.46,1795,42831736,24356,19802851055,
55,168330,내츄럴엔도텍,KOSDAQ,3.39,1858,35136864,20140,59000604200,
56,413630,씨피시스템,KOSDAQ,3.32,4200,257973573561,56178180,153033741000,
57,402030,코난테크놀로지,KOSDAQ,3.30,13460,5541379955,405794,168485388480,
58,208370,셀바스헬스케어,KOSDAQ,3.28,2680,1172919745,448144,68984711520,
59,900290,GRT,KOSDAQ,3.14,2960,3175244114,1057644,242128000000,
60,018470,조일알미늄,KOSPI,3.13,990,3857651024,3879253,125365403790,
61,279600,미디어젠,KOSDAQ,3.13,3955,15502530,4043,18528308855,
62,351870,차이커뮤니케이션,KOSDAQ,3.09,1800,18729364,10502,20089155600,
63,012160,영흥,KOSPI,3.04,2370,301227115,127547,37021066110,
64,900260,로스웰,KOSDAQ,2.99,1653,61657581,37512,76087104018,
65,011090,에넥스,KOSPI,2.80,1430,501922351,356523,16955587220,
66,366030,나인앤컴퍼니,KOSDAQ,2.73,4885,492308006,102790,110664057250,
67,033050,제이엠아이,KOSDAQ,2.72,868,24828680,29722,27636536704,
68,070590,인티큐브,KOSDAQ,2.64,1670,34288041,21159,23178800070,
69,000950,전방,KOSPI,2.62,27400,32821700,1251,46032000000,
70,439090,마녀공장,KOSDAQ,2.59,15830,5062849220,322290,259505305800,
71,192250,케이사인,KOSDAQ,2.39,7270,221393670,31313,51377998750,
72,276730,한울앤제주,KOSDAQ,2.23,11470,194065020,17925,27204729520,
73,133750,메가엠디,KOSDAQ,2.20,1347,54554842,41437,31529332719,
74,078860,아이오케이이엔엠,KOSDAQ,2.19,2800,24382390,8660,17296126400,
75,008355,남선알미우,KOSPI,2.14,7150,18931230,2532,2201413500,
76,051390,YW,KOSDAQ,2.13,3927,15528198,4013,44592530136,
77,222980,한국맥널티,KOSDAQ,2.09,2195,76864825,35291,24214105185,
78,191410,육일씨엔에쓰,KOSDAQ,2.08,1228,217346395,180199,13758825140,
79,377030,비트맥스,KOSDAQ,2.07,1480,34071695,23877,21151718960,
80,290120,DH오토리드,KOSDAQ,1.94,2360,30708895,13667,37347417720,
81,216080,제테마,KOSDAQ,1.90,4280,661767640,162323,159588783720,
82,457600,벡트,KOSDAQ,1.80,3385,677136959,203146,46399887500,
83,476080,M83,KOSDAQ,1.77,3730,2502699979,649113,30127210000,
84,034940,조아제약,KOSDAQ,1.76,636,2825498015,4105483,19703169972,
85,372800,아이티아이즈,KOSDAQ,1.72,2950,133373610,46420,20759707550,
86,043340,에쎈테크,KOSDAQ,1.70,836,59952538,73076,39710000000,
87,308170,씨티알모빌리티,KOSPI,1.66,3980,60511880,15408,34267800000,
88,489460,바이오비쥬,KOSDAQ,1.66,9170,1350741100,150802,135287641790,
89,206400,베노티앤알,KOSDAQ,1.66,857,93307580,108986,32146205406,
90,114450,그린생명과학,KOSDAQ,1.59,2240,571137430,257940,44800000000,
91,159910,에코글로우,KOSDAQ,1.59,3190,34936800,11206,33390039430,
92,023770,플레이위드,KOSDAQ,1.52,2335,34079170,14810,20890065825,
93,214450,파마리서치,KOSDAQ,1.49,375500,138179289000,369146,3901312824000,
94,314140,알피바이오,KOSDAQ,1.45,5600,243079030,44139,48531621600,
95,270520,앱튼,KOSDAQ,1.43,3200,842010790,272916,62908524800,
96,367000,플래티어,KOSDAQ,1.41,2885,26902100,10016,24199977195,
97,328380,솔트웨어,KOSDAQ,1.37,2970,68939725,23946,20352088350,
98,050960,수산아이앤티,KOSDAQ,1.36,8170,52613760,6543,55155670000,
99,317870,엔바이오니아,KOSDAQ,1.32,3850,65475040,17286,34041295750,
100,038880,아이에이,KOSDAQ,1.30,3500,87229160,26363,26300480500,
101,418620,E8,KOSDAQ,1.28,710,259385211,354244,14093838670,
102,373170,엠아이큐브솔루션,KOSDAQ,1.23,1642,51019467,31152,24816843180,
103,900070,글로벌에스엠,KOSDAQ,1.21,1000,77131938,79299,26871984000,
104,005745,크라운해태홀딩스우,KOSPI,1.18,5160,2032900,398,3099746160,
105,043360,디지아이,KOSDAQ,1.18,2150,34018677,16216,19350000000,
106,331520,밸로프,KOSDAQ,1.17,2160,60455810,29001,21973416480,
107,002420,세기상사,KOSPI,1.16,5230,60196225,11521,31222828040,
108,093190,빅솔론,KOSDAQ,1.16,8700,1081399580,127943,167378473500,
109,335870,윙스풋,KOSDAQ,1.12,994,78046378,79846,16649970162,
