index,expiry,quad,week_%,day_%,post_%
코스피,2025-05-08,False,1.2,0.22,1.12
코스피,2025-06-12,True,5.38,0.45,1.04
코스피,2025-07-10,False,2.15,1.58,1.01
코스피,2025-08-14,False,-0.06,0.04,-2.96
코스피,2025-09-11,True,4.48,0.9,3.15
코스피,2025-10-09,False,2.25,2.7,0.36
코스피,2025-11-13,False,3.58,0.49,-5.2
코스피,2025-12-11,True,2.04,-0.59,-2.71
코스피,2026-01-08,False,8.03,0.03,3.08
코스피,2026-02-12,False,6.95,3.13,5.18
코스피,2026-03-12,True,-0.01,-0.48,1.03
코스피,2026-04-09,False,10.39,-1.61,3.28
코스피,2026-05-14,False,6.56,1.75,-8.89
코스피,2026-06-11,True,-10.13,0.43,12.4
코스닥,2016-07-14,False,1.06,0.1,-0.13
코스닥,2016-08-11,False,0.24,-0.58,-1.37
코스닥,2016-09-08,True,-0.58,-0.76,-1.09
코스닥,2016-10-13,False,-3.1,-1.02,-0.42
코스닥,2016-11-10,False,2.17,3.92,-0.93
코스닥,2016-12-08,True,-1.55,1.05,4.53
코스닥,2017-01-12,False,-1.5,-0.79,-1.4
코스닥,2017-02-09,False,-0.33,0.37,0.08
코스닥,2017-03-09,True,-0.46,0.06,1.32
코스닥,2017-04-13,False,-1.05,0.39,1.74
코스닥,2017-05-11,False,3.08,0.76,-1.31
코스닥,2017-06-08,True,2.75,0.53,-0.11
코스닥,2017-07-13,False,-1.67,0.24,1.74
코스닥,2017-08-10,False,-0.47,-0.44,-0.8
코스닥,2017-09-14,True,1.05,0.96,1.36
코스닥,2017-10-12,False,2.66,0.64,0.6
코스닥,2017-11-09,False,2.16,0.12,6.55
코스닥,2017-12-14,True,2.24,-0.24,-0.54
코스닥,2018-01-11,False,5.51,2.11,5.71
코스닥,2018-02-08,False,-5.09,3.85,-3.78
코스닥,2018-03-08,True,-0.36,1.54,3.78
코스닥,2018-04-12,False,1.44,-0.44,2.24
코스닥,2018-05-10,False,-1.85,0.48,0.94
코스닥,2018-06-14,True,-1.44,-1.2,-5.69
코스닥,2018-07-12,False,3.18,1.8,0.05
