code,market
005990,KOSDAQ
006040,KOSPI
006050,KOSDAQ
006060,KOSPI
006090,KOSPI
006110,KOSPI
006120,KOSPI
006125,KOSPI
006140,KOSDAQ
006200,KOSPI
006220,KOSPI
006260,KOSPI
006280,KOSPI
006340,KOSPI
006345,KOSPI
006360,KOSPI
006370,KOSPI
006380,KOSPI
006400,KOSPI
006405,KOSPI
006490,KOSPI
006570,KOSPI
006620,KOSDAQ
006650,KOSPI
006660,KOSPI
006730,KOSDAQ
006740,KOSPI
006800,KOSPI
006805,KOSPI
00680K,KOSPI
006840,KOSPI
006880,KOSPI
006890,KOSPI
0068Y0,KOSDAQ
006910,KOSDAQ
006920,KOSDAQ
006980,KOSPI
007070,KOSPI
007110,KOSPI
007120,KOSPI
007160,KOSPI
0071M0,KOSDAQ
007210,KOSPI
007280,KOSPI
0072Z0,KOSDAQ
007310,KOSPI
007330,KOSDAQ
007340,KOSPI
007370,KOSDAQ
007390,KOSDAQ
007460,KOSPI
007530,KOSDAQ
007540,KOSPI
007570,KOSPI
007575,KOSPI
007590,KOSPI
007610,KOSPI
007660,KOSPI
007680,KOSDAQ
007690,KOSPI
007700,KOSPI
007720,KOSDAQ
007770,KOSDAQ
007810,KOSPI
007815,KOSPI
00781K,KOSPI
007820,KOSDAQ
007860,KOSPI
007980,KOSPI
008040,KOSPI
008060,KOSPI
00806K,KOSPI
008250,KOSPI
008260,KOSPI
008290,KOSDAQ
0082N0,KOSDAQ
008350,KOSPI
008355,KOSPI
008370,KOSDAQ
008420,KOSPI
008470,KOSDAQ
008490,KOSPI
008500,KOSPI
008600,KOSPI
008700,KOSPI
008730,KOSPI
008770,KOSPI
008775,KOSPI
008830,KOSDAQ
008870,KOSPI
0088D0,KOSDAQ
0088M0,KOSDAQ
008930,KOSPI
008970,KOSPI
009070,KOSPI
009140,KOSPI
009150,KOSPI
009155,KOSPI
009160,KOSPI
009180,KOSPI
009190,KOSPI
0091W0,KOSDAQ
009200,KOSPI
009240,KOSPI
009270,KOSPI
009290,KOSPI
009300,KOSDAQ
009310,KOSPI
009320,KOSPI
0093G0,KOSDAQ
009410,KOSPI
009415,KOSPI
009420,KOSPI
009440,KOSPI
009450,KOSPI
009460,KOSPI
009470,KOSPI
009520,KOSDAQ
009540,KOSPI
009580,KOSPI
009620,KOSDAQ
009680,KOSPI
0096B0,KOSDAQ
0096D0,KOSDAQ
009730,KOSDAQ
009770,KOSPI
009780,KOSDAQ
0097F0,KOSDAQ
009810,KOSPI
009830,KOSPI
009835,KOSPI
0098T0,KOSDAQ
009900,KOSPI
009970,KOSPI
0099W0,KOSDAQ
0099X0,KOSDAQ
010040,KOSPI
010060,KOSPI
010100,KOSPI
010120,KOSPI
010130,KOSPI
010140,KOSPI
010170,KOSDAQ
0101C0,KOSDAQ
010240,KOSDAQ
010280,KOSDAQ
010400,KOSPI
010470,KOSDAQ
010580,KOSPI
0105P0,KOSDAQ
010640,KOSPI
010660,KOSPI
010690,KOSPI
010770,KOSPI
010780,KOSPI
010820,KOSPI
010950,KOSPI
010955,KOSPI
010960,KOSPI
011000,KOSPI
011040,KOSDAQ
011070,KOSPI
011080,KOSDAQ
011090,KOSPI
011150,KOSPI
011155,KOSPI
011170,KOSPI
011200,KOSPI
011210,KOSPI
011230,KOSPI
011280,KOSPI
011300,KOSPI
011320,KOSDAQ
011330,KOSPI
011370,KOSDAQ
011390,KOSPI
011420,KOSPI
