code,name,lot,entry_price,qty,entry_date,credit,note
353200,대덕전자,1,88071,21,,,1차 매수
353200,대덕전자,2,134133,36,,,2차 매수
# 가중평균 진입가 = (21*88071 + 36*134133)/57 = 117,164원 · 총 57주 (my_holdings.csv 반영값)
# entry_date·credit 미입력 — 사용자 제공 시 채움
