출발일,code,name,유형,국면,밸류,밸류여부,봉_1월,봉_4월,B0_카드,B0b_2단126,B0b_how,A2_2단1월,A3_2단4월,A4_2단밸류분기,E1_잔여보유1월,E1_how,E2_잔여보유4월,E3_잔여보유밸류분기,C1_달력1월,C2_달력4월,C3_달력밸류분기,D1_순수4월,D0_순수1월
2019-10-07,002100,경농,A,실행,,False,78,140,-0.06433962264150939,-0.06433962264150939,손절/트레일,-0.06433962264150939,-0.06433962264150939,-0.06433962264150939,-0.06433962264150939,손절/트레일,-0.06433962264150939,-0.06433962264150939,-0.06433962264150939,-0.06433962264150939,-0.06433962264150939,-0.09056603773584904,-0.22264150943396221
1999-10-01,010130,고려아연,A,실행,,False,82,142,-0.05669182389937111,-0.05669182389937111,손절/트레일,-0.05669182389937111,-0.05669182389937111,-0.05669182389937111,-0.05669182389937111,손절/트레일,-0.05669182389937111,-0.05669182389937111,-0.05669182389937111,-0.05669182389937111,-0.05669182389937111,-0.5339622641509434,-0.2924528301886793
1999-09-30,010130,고려아연,A,실행,,False,83,143,-0.062113864942528796,-0.062113864942528796,손절/트레일,-0.062113864942528796,-0.062113864942528796,-0.062113864942528796,-0.062113864942528796,손절/트레일,-0.062113864942528796,-0.062113864942528796,-0.062113864942528796,-0.062113864942528796,-0.062113864942528796,-0.5741379310344827,-0.35344827586206895
2004-10-14,010130,고려아연,A,실행,저PBR·배당2%+,True,76,135,-0.06025917926565871,-0.06025917926565871,손절/트레일,-0.06025917926565871,-0.06025917926565871,-0.06025917926565871,-0.06025917926565871,손절/트레일,-0.06025917926565871,-0.06025917926565871,-0.06025917926565871,-0.06025917926565871,-0.06025917926565871,0.3390928725701945,0.5853131749460043
2001-09-17,005440,현대지에프홀딩스,A,실행,,False,92,150,0.11386138613861374,0.4652475247524752,2단트레일,0.4652475247524752,0.4652475247524752,0.4652475247524752,1.141089108910891,달력보유,1.5717821782178216,1.141089108910891,2.1683168316831685,3.0297029702970297,2.1683168316831685,3.0297029702970297,2.1683168316831685
1999-10-05,005440,현대지에프홀딩스,A,실행,,False,80,140,0.0725190839694656,0.040076335877862634,2단트레일,0.040076335877862634,0.040076335877862634,0.040076335877862634,0.0362595419847328,본전이탈,0.0362595419847328,0.0362595419847328,-0.05362595419847327,-0.05362595419847327,-0.05362595419847327,-0.5198473282442748,-0.22519083969465647
2013-09-30,002990,금호건설,A,관찰만,,False,82,145,-0.0642035891788093,-0.0642035891788093,손절/트레일,-0.0642035891788093,-0.0642035891788093,-0.0642035891788093,-0.0642035891788093,손절/트레일,-0.0642035891788093,-0.0642035891788093,-0.0642035891788093,-0.0642035891788093,-0.0642035891788093,-0.24038461538461542,-0.2948717948717948
2010-10-20,002990,금호건설,A,관찰만,,False,58,118,0.08214285714285707,0.04107142857142854,2단트레일,0.04107142857142854,0.04107142857142854,0.04107142857142854,0.04107142857142854,본전이탈,0.04107142857142854,0.04107142857142854,-0.09297619047619055,-0.09297619047619055,-0.09297619047619055,-0.3878435927216415,-0.1336430507162214
2011-10-05,011780,금호석유화학,A,실행,저PER,True,81,143,0.07608695652173902,0.14201863354037259,2단트레일,0.14201863354037259,0.14201863354037259,0.14201863354037259,0.03804347826086951,본전이탈,0.03804347826086951,0.03804347826086951,-0.05369034679089035,-0.05369034679089035,-0.05369034679089035,-0.33850931677018636,0.04347826086956519
2011-10-04,011780,금호석유화학,A,실행,저PER,True,82,144,0.06891495601173014,0.10478005865102635,2단트레일,0.10478005865102635,0.10478005865102635,0.10478005865102635,0.03445747800586507,본전이탈,0.03445747800586507,0.03445747800586507,-0.11964809384164221,-0.11964809384164221,-0.11964809384164221,-0.375366568914956,-0.014662756598240456
