순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,004870,티웨이홀딩스,KOSPI,30.00,1248,808804216,681311,28245607104,Y,저유동주의
2,315640,딥노이드,KOSDAQ,30.00,1599,3696984275,2805870,46966198968,Y,저유동주의
3,226340,본느,KOSDAQ,29.99,2180,64826660,29737,18291255120,Y,저유동주의
4,200350,아티스트스튜디오,KOSDAQ,29.99,2310,733927458,338653,23090817750,Y,저유동주의
5,002070,비비안,KOSPI,29.98,6590,2141161310,335725,15844626960,Y,저유동주의
6,459550,알트,KOSDAQ,29.97,1492,8959451277,6263896,37629375412,Y,실체급등
7,030530,원익홀딩스,KOSDAQ,29.97,19860,76444495745,4034580,1533946302660,Y,실체급등
8,087010,펩트론,KOSDAQ,29.97,166100,39702142550,265443,3873011835000,Y,실체급등
9,012170,아센디오,KOSPI,29.94,842,737610014,887060,17050663348,Y,동전주
10,208640,썸에이지,KOSDAQ,29.94,1341,802132759,611764,18672117525,Y,저유동주의
11,079190,케스피온,KOSDAQ,29.93,1172,1401229662,1234327,11238165016,Y,저유동주의
12,484810,티엑스알로보틱스,KOSDAQ,29.93,17450,12401799830,745521,269618466750,Y,실체급등
13,050090,비케이홀딩스,KOSDAQ,29.91,430,439290440,1048486,10119936050,Y,동전주
14,078590,휴림에이텍,KOSDAQ,29.83,3025,1351788617,488957,30225252475,Y,저유동주의
15,228670,레이,KOSDAQ,24.75,6250,4991859605,808792,97750131250,,저유동주의
16,357430,마스턴프리미어리츠,KOSPI,24.08,840,162802166,202781,25624457880,,동전주
17,067770,세진티에스,KOSDAQ,23.32,2110,1140136884,541986,17716811230,,저유동주의
18,044340,위닉스,KOSDAQ,21.45,5860,48988435660,8245309,104738270500,,실체급등
19,439960,코스모로보틱스,KOSDAQ,21.30,17880,320180318510,18269013,580217192880,,실체급등
20,323280,태성,KOSDAQ,20.80,37750,31915024725,852532,1152808745000,,실체급등
21,049470,비트플래닛,KOSDAQ,20.10,1464,147954395,103605,34469732136,,저유동주의
22,108860,셀바스AI,KOSDAQ,20.05,9700,42945902935,4547862,261073463000,,실체급등
23,142760,모아라이프플러스,KOSDAQ,19.38,462,736896760,1619723,19481144760,,동전주
24,025870,신라에스지,KOSDAQ,19.32,2810,584453716,208561,11240000000,,저유동주의
25,459510,나우로보틱스,KOSDAQ,19.04,16440,12377502345,784624,213364600080,,실체급등
26,002220,한일철강,KOSPI,18.23,3405,2599641811,782731,90904851300,,저유동주의
27,448900,한국피아이엠,KOSDAQ,17.35,60200,17673094800,298372,365682311400,,실체급등
28,108490,로보티즈,KOSDAQ,17.25,215500,125250976100,589041,3159451534000,,실체급등
29,089230,THEEM,KOSDAQ,17.03,1519,710201169,482242,58362036726,,저유동주의
30,060230,제이케이시냅스,KOSDAQ,16.21,1556,239912780,162130,17520712488,,저유동주의
31,469750,아이비젼웍스,KOSDAQ,15.87,730,169992028,257305,25153231130,,동전주
32,073190,듀오백,KOSDAQ,15.52,1087,213577233,190514,13009259480,,저유동주의
33,254120,자비스,KOSDAQ,15.42,898,1096298284,1235036,27617334460,,동전주
34,176750,듀켐바이오,KOSDAQ,15.14,6540,1169497160,185024,186316228800,,저유동주의
