출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총,창완결_126,기준_카드,S25_T10_be,S25_T12_be,S25_T20_be,S25_구조,S25_구조be,S50_T10_be,S50_T12_be,S50_T20_be,S50_구조,S50_구조be,S75_T10_be,S75_T12_be,S75_T20_be,S75_구조,S75_구조be
2026-07-30,082920,비츠로셀,A,B,실행,-37.8,24700.0,-16.6,주60주,9.9,목표,1,,1387387996200,False,0.09919028340080982,0.10981781376518218,0.10981781376518218,0.10981781376518218,0.10981781376518218,0.10981781376518218,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10627530364372473,0.10273279352226727,0.10273279352226727,0.10273279352226727,0.10273279352226727,0.10273279352226727
2026-07-30,440110,파두,A,B,실행,-37.8,48400.0,-14.0,월10,8.2,목표,1,,3251582612300,False,0.08161157024793386,0.25284090909090906,0.25284090909090906,0.25284090909090906,0.25284090909090906,0.25284090909090906,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.19576446280991733,0.1386880165289256,0.1386880165289256,0.1386880165289256,0.1386880165289256,0.1386880165289256
2026-07-30,252990,샘씨엔에스,A,B,실행,-37.8,9070.0,-19.1,일240,11.8,목표,1,,768380263640,False,0.11797133406835725,0.18743109151047405,0.18743109151047405,0.18743109151047405,0.18743109151047405,0.18743109151047405,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.16427783902976845,0.14112458654906285,0.14112458654906285,0.14112458654906285,0.14112458654906285,0.14112458654906285
2026-07-30,332570,PS일렉트로닉스,A,A,실행,-37.8,6460.0,-14.3,일240,8.4,목표,1,,338658831750,False,0.08359133126934992,0.11493808049535598,0.11493808049535598,0.11493808049535598,0.11493808049535598,0.11493808049535598,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.10448916408668729,0.09404024767801861,0.09404024767801861,0.09404024767801861,0.09404024767801861,0.09404024767801861
2026-07-30,053610,프로텍,A,A,실행,-37.8,48200.0,-15.7,주60주,9.3,목표,1,,583200000000,False,0.0933609958506223,0.17116182572614103,0.17116182572614103,0.17116182572614103,0.17116182572614103,0.17116182572614103,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.14522821576763478,0.11929460580912854,0.11929460580912854,0.11929460580912854,0.11929460580912854,0.11929460580912854
2026-07-30,290550,디케이티,A,A,실행,-37.8,14020.0,-23.3,일240,15.2,목표,1,,420025830000,False,0.15192582025677615,0.21344507845934385,0.21344507845934385,0.21344507845934385,0.21344507845934385,0.21344507845934385,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.19293865905848795,0.17243223965763205,0.17243223965763205,0.17243223965763205,0.17243223965763205,0.17243223965763205
2026-07-30,010120,LS ELECTRIC,A,B,실행,-37.8,148500.0,-15.4,일240,9.1,목표,1,,30000000000000,False,0.09090909090909083,0.20606060606060606,0.20606060606060606,0.20606060606060606,0.20606060606060606,0.20606060606060606,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.16767676767676765,0.12929292929292924,0.12929292929292924,0.12929292929292924,0.12929292929292924,0.12929292929292924
2026-07-30,006360,GS건설,A,C,실행,-37.8,22400.0,-12.2,주60주,6.9,목표,1,,2490421359000,False,0.0691964285714286,0.05245535714285715,0.05245535714285715,0.05245535714285715,0.05245535714285715,0.05245535714285715,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.0580357142857143,0.06361607142857145,0.06361607142857145,0.06361607142857145,0.06361607142857145,0.06361607142857145
2026-07-30,001820,삼화콘덴서,A,C,실행,-37.8,58300.0,-14.4,일240,8.4,목표,1,,857587500000,False,0.08404802744425388,0.19210977701543747,0.19210977701543747,0.19210977701543747,0.19210977701543747,0.19210977701543747,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.15608919382504294,0.12006861063464841,0.12006861063464841,0.12006861063464841,0.12006861063464841,0.12006861063464841
2026-07-30,069960,현대백화점,A,C,실행,-37.8,111200.0,-12.7,월10,7.3,목표,1,,2956549435200,False,0.07284172661870514,0.0694694244604317,0.0694694244604317,0.0694694244604317,0.0694694244604317,0.0694694244604317,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07059352517985618,0.07171762589928066,0.07171762589928066,0.07171762589928066,0.07171762589928066,0.07171762589928066
2026-07-30,170920,엘티씨,A,C,실행,-37.8,26250.0,-20.9,주60주,13.2,목표,1,,425734277800,False,0.1323809523809525,0.2702380952380952,0.2702380952380952,0.2702380952380952,0.2702380952380952,0.2702380952380952,0.2242857142857143,0.2242857142857143,0.2242857142857143,0.2242857142857143,0.2242857142857143,0.1783333333333334,0.1783333333333334,0.1783333333333334,0.1783333333333334,0.1783333333333334
2026-07-30,011070,LG이노텍,A,B,실행,-37.8,420000.0,-18.3,일240,11.2,목표,1,,14531603698000,False,0.11190476190476195,0.19583333333333341,0.19583333333333341,0.19583333333333341,0.19583333333333341,0.19583333333333341,0.16785714285714293,0.16785714285714293,0.16785714285714293,0.16785714285714293,0.16785714285714293,0.13988095238095244,0.13988095238095244,0.13988095238095244,0.13988095238095244,0.13988095238095244
2026-07-30,222800,심텍,A,C,실행,-37.8,62400.0,-17.4,주60주,10.5,목표,1,,3457920831300,False,0.10496794871794868,0.2726362179487179,0.2726362179487179,0.2726362179487179,0.2726362179487179,0.2726362179487179,0.21674679487179482,0.21674679487179482,0.21674679487179482,0.21674679487179482,0.21674679487179482,0.16085737179487175,0.16085737179487175,0.16085737179487175,0.16085737179487175,0.16085737179487175
2026-07-30,281820,케이씨텍,A,C,실행,-37.8,55300.0,-15.2,월10,9.0,목표,1,,1514597566500,False,0.08951175406871603,0.21903254972875225,0.21903254972875225,0.21903254972875225,0.21903254972875225,0.21903254972875225,0.17585895117540684,0.17585895117540684,0.17585895117540684,0.17585895117540684,0.17585895117540684,0.13268535262206144,0.13268535262206144,0.13268535262206144,0.13268535262206144,0.13268535262206144
2026-07-30,064290,인텍플러스,A,B,실행,-37.8,21850.0,-19.4,일240,12.0,목표,1,,401780433600,False,0.12013729977116694,0.22740274599542326,0.22740274599542326,0.22740274599542326,0.22740274599542326,0.22740274599542326,0.1916475972540045,0.1916475972540045,0.1916475972540045,0.1916475972540045,0.1916475972540045,0.1558924485125857,0.1558924485125857,0.1558924485125857,0.1558924485125857,0.1558924485125857
