출발일,code,유형,국면,PER,PBR,EPS,DIV,ex,f40,peak6,PER군,PBR군,DIV군
2002-10-09,005300,A,실행,9.18,2.05,78466.0,0.21,-5.0,7.07236842105263,16.8,중PER(8~15),중고PBR(1.5~3),배당<2%
2002-10-22,006400,A,실행,6.91,1.33,11889.0,2.43,10.01371742112482,7.27023319615911,22.1,저PER(<8),중PBR(0.8~1.5),배당2%+
2002-11-29,003550,A,실행,2.7,0.56,3124.0,2.96,-9.60946745562131,-17.27810650887574,11.2,저PER(<8),저PBR(<0.8),배당2%+
2002-12-16,002380,A,실행,11.71,1.1,10244.0,2.5,-5.26147994467497,-14.10788381742739,12.9,중PER(8~15),중PBR(0.8~1.5),배당2%+
2002-12-23,004010,A,실행,0.0,0.0,0.0,0.0,-5.53370786516853,1.23595505617977,25.8,적자/무실적,,무배당
2002-12-24,003620,A,실행,83.63,0.0,80.0,0.0,-9.08777969018933,-2.58175559380379,30.6,고PER(30+),,무배당
2002-12-27,001230,A,실행,24.29,0.41,212.0,5.83,-5.59748427672955,-9.43396226415094,17.4,중고PER(15~30),저PBR(<0.8),배당2%+
2002-12-30,012990,A,실행,11.38,1.39,1195.0,5.51,7.72058823529411,19.85294117647058,65.4,중PER(8~15),중PBR(0.8~1.5),배당2%+
2003-01-27,025930,A,실행,38.03,3.69,376.0,0.0,8.84615384615383,-10.76923076923076,21.5,고PER(30+),고PBR(3+),무배당
2003-02-26,001800,A,실행,16.93,1.36,3350.0,1.32,-5.91346153846155,2.88461538461537,76.0,중고PER(15~30),중PBR(0.8~1.5),배당<2%
2003-04-25,047040,A,실행,2.78,0.44,1017.0,0.0,6.99115044247786,22.30088495575222,69.6,저PER(<8),저PBR(<0.8),무배당
2003-04-25,000720,A,실행,0.0,0.84,0.0,0.0,12.04545454545453,8.636363636363619,39.5,적자/무실적,중PBR(0.8~1.5),무배당
2003-05-19,009830,A,실행,12.05,0.45,312.0,0.0,7.4370709382151,33.86727688787185,127.0,중PER(8~15),저PBR(<0.8),무배당
2003-06-24,055550,A,실행,5.93,0.87,2066.0,4.9,7.20164609053497,30.04115226337449,62.1,저PER(<8),중PBR(0.8~1.5),배당2%+
2003-06-24,066570,B,실행,22.94,2.16,1768.0,2.47,6.89655172413792,29.31034482758621,47.6,중고PER(15~30),중고PBR(1.5~3),배당2%+
2003-07-21,014900,A,실행,0.0,4.11,0.0,0.0,-7.5626316713482895,-14.74719101123596,4.9,적자/무실적,고PBR(3+),무배당
2003-07-25,014900,A,주의,0.0,4.11,0.0,0.0,7.990506329113931,-15.50632911392404,17.1,적자/무실적,고PBR(3+),무배당
2003-08-07,005380,B,실행,5.54,0.94,6355.0,2.41,10.3030303030303,2.7272727272727297,65.2,저PER(<8),중PBR(0.8~1.5),배당2%+
2003-09-08,038400,A,관찰만,0.0,0.61,0.0,0.0,7.07762557077624,-20.091324200913242,8.0,적자/무실적,저PBR(<0.8),무배당
2003-10-23,003450,A,주의,0.0,0.51,0.0,0.0,6.91573926868045,-2.06677265500795,17.8,적자/무실적,저PBR(<0.8),무배당
2003-11-12,003410,A,주의,4.88,0.0,416.0,0.0,10.975609756097569,-4.87804878048779,23.2,저PER(<8),,무배당
2003-11-13,003410,A,주의,4.88,0.0,416.0,0.0,8.25545171339563,-2.803738317757,25.9,저PER(<8),,무배당
2003-11-24,068870,A,실행,0.0,3.14,0.0,0.0,7.911392405063281,17.72151898734177,32.6,적자/무실적,고PBR(3+),무배당
2003-12-17,003550,A,주의,6.08,0.55,1466.0,2.24,8.63808322824717,32.40857503152585,142.1,저PER(<8),저PBR(<0.8),배당2%+
2004-01-27,042100,A,관찰만,8.19,2.46,387.0,2.68,10.327198364008169,6.54396728016359,26.8,중PER(8~15),중고PBR(1.5~3),배당2%+
2004-02-05,009720,A,관찰만,4.27,0.87,16047.0,2.92,7.61047463175121,-1.80032733224222,13.4,저PER(<8),중PBR(0.8~1.5),배당2%+
2004-03-15,060000,B,실행,11.91,1.61,4123.0,2.04,-6.49999999999999,-10.88888888888889,10.0,중PER(8~15),중고PBR(1.5~3),배당2%+
2004-03-25,009830,A,실행,36.54,1.37,312.0,0.0,14.037433155080208,-23.93048128342245,26.1,고PER(30+),중PBR(0.8~1.5),무배당
2004-03-26,010130,A,주의,6.97,0.88,4187.0,1.71,7.89473684210526,-22.36842105263158,10.5,저PER(<8),중PBR(0.8~1.5),배당<2%
2004-04-29,011170,A,실행,24.88,1.69,1869.0,0.54,-7.27845528455285,-18.403547671840357,13.5,중고PER(15~30),중고PBR(1.5~3),배당<2%
2004-04-30,011170,A,실행,6.61,1.27,6612.0,1.14,-8.47826086956521,-13.50114416475972,17.2,저PER(<8),중PBR(0.8~1.5),배당<2%
2004-05-07,001740,A,실행,14.14,0.0,1167.0,0.0,10.66433566433566,0.0,50.3,중PER(8~15),,무배당
2004-05-07,053000,B,실행,31.53,1.14,262.0,1.21,-9.687959442332069,-7.4778200253485405,12.9,고PER(30+),중PBR(0.8~1.5),배당<2%
2004-05-10,004940,A,실행,0.0,1.33,0.0,0.0,-4.580392156862749,10.3921568627451,56.7,적자/무실적,중PBR(0.8~1.5),무배당
2004-05-11,000700,A,실행,3.71,1.12,4442.0,4.55,-6.30584192439863,11.34020618556701,74.6,저PER(<8),중PBR(0.8~1.5),배당2%+
2004-05-11,055550,B,실행,21.48,1.31,952.0,2.93,-9.60688775510204,-14.540816326530608,17.9,중고PER(15~30),중PBR(0.8~1.5),배당2%+
2004-05-11,042670,A,실행,9.21,1.64,978.0,0.0,-1.6111111111111,9.58333333333334,63.2,중PER(8~15),중고PBR(1.5~3),무배당
2004-05-11,001230,A,실행,4.02,0.46,2273.0,5.48,7.31364275668073,24.47257383966246,125.7,저PER(<8),저PBR(<0.8),배당2%+
2004-05-14,000210,A,실행,7.38,0.99,5905.0,2.98,7.003257328990229,18.56677524429968,80.8,저PER(<8),중PBR(0.8~1.5),배당2%+
2004-05-17,005935,B,실행,0.0,0.0,0.0,1.71,-2.4017857142857197,3.57142857142855,19.8,적자/무실적,,배당<2%
2004-05-17,055550,A,실행,21.48,1.31,952.0,2.93,9.722222222222229,1.85185185185186,46.3,중고PER(15~30),중PBR(0.8~1.5),배당2%+
2004-05-17,000240,A,실행,13.72,1.28,694.0,1.58,10.040431266846351,27.35849056603774,52.3,중PER(8~15),중PBR(0.8~1.5),배당<2%
2004-05-17,066570,A,실행,16.84,3.18,4229.0,1.76,8.736059479553889,0.18587360594795,31.0,중고PER(15~30),고PBR(3+),배당<2%
2004-05-17,004020,A,실행,4.24,0.39,2686.0,2.19,-6.03636363636364,14.90909090909091,79.4,저PER(<8),저PBR(<0.8),배당2%+
2004-05-17,011200,A,실행,0.0,1.2,0.0,0.0,-5.0,43.31210191082801,152.4,적자/무실적,중PBR(0.8~1.5),무배당
2004-05-17,005830,A,실행,4.91,1.12,1262.0,4.03,11.17788461538462,7.69230769230768,82.2,저PER(<8),중PBR(0.8~1.5),배당2%+
2004-05-17,012330,A,실행,7.78,2.36,6482.0,2.48,7.449494949494929,25.88383838383838,64.4,저PER(<8),중고PBR(1.5~3),배당2%+
2004-05-18,011200,A,실행,0.0,1.2,0.0,0.0,8.0188679245283,37.57861635220125,150.0,적자/무실적,중PBR(0.8~1.5),무배당
2004-05-18,004020,A,실행,4.24,0.39,2686.0,2.19,8.181818181818171,13.81818181818181,79.4,저PER(<8),저PBR(<0.8),배당2%+
2004-05-27,042670,A,실행,9.21,1.64,978.0,0.0,-5.3774834437086,8.34437086092714,55.6,중PER(8~15),중고PBR(1.5~3),무배당
2004-06-11,002860,B,실행,8.37,1.38,3167.0,1.89,-6.46428571428571,0.0,29.4,중PER(8~15),중PBR(0.8~1.5),배당<2%
2004-06-14,011200,A,실행,0.0,1.28,0.0,0.0,8.0,26.83870967741935,120.0,적자/무실적,중PBR(0.8~1.5),무배당
2004-06-21,001740,A,실행,17.14,0.0,1167.0,0.0,-7.89333333333333,-7.666666666666661,22.0,중고PER(15~30),,무배당
2004-07-12,001740,A,실행,12.68,0.0,1167.0,0.0,-7.19453924914675,-4.436860068259381,18.8,중PER(8~15),,무배당
2004-07-30,000660,A,실행,0.0,1.47,0.0,0.0,-6.530555555555551,15.55555555555554,68.3,적자/무실적,중PBR(0.8~1.5),무배당
2004-10-14,010130,A,실행,9.5,0.53,2248.0,2.34,-6.02591792656587,23.54211663066954,77.1,중PER(8~15),저PBR(<0.8),배당2%+
2004-11-09,000660,B,실행,0.0,2.08,0.0,0.0,-4.97816593886463,3.4934497816593897,42.8,적자/무실적,중고PBR(1.5~3),무배당
2004-11-16,067250,A,실행,8.47,1.32,1972.0,7.49,7.94701986754966,9.27152317880795,76.2,중PER(8~15),중PBR(0.8~1.5),배당2%+
2004-11-23,000660,B,실행,0.0,2.08,0.0,0.0,-9.17120689655173,13.36206896551723,40.9,적자/무실적,중고PBR(1.5~3),무배당
2005-04-06,002000,A,주의,37.71,1.5,2153.0,0.92,19.04761904761904,1.87074829931972,21.6,고PER(30+),중고PBR(1.5~3),배당<2%
2005-04-07,002000,A,주의,37.71,1.5,2153.0,0.92,7.872696817420439,-2.84757118927972,19.8,고PER(30+),중고PBR(1.5~3),배당<2%
2005-08-29,011160,A,실행,21.89,0.94,334.0,0.0,8.98268398268398,53.67965367965368,159.7,중고PER(15~30),중PBR(0.8~1.5),무배당
