code,entry_date,horizon_days
139670,2019-02-01,60
139670,2019-03-04,60
139670,2019-04-01,60
139670,2019-05-02,60
139670,2019-06-03,60
139670,2019-07-01,60
139670,2019-08-01,60
139670,2019-09-02,60
139670,2019-10-01,60
139670,2019-11-01,60
139670,2019-12-02,60
139670,2020-01-02,60
139670,2020-02-03,60
139670,2020-03-02,60
139670,2020-04-01,60
139670,2020-05-04,60
139670,2020-06-01,60
139670,2020-07-01,60
139670,2020-08-03,60
139670,2020-09-01,60
139670,2020-10-05,60
139670,2020-11-02,60
139670,2020-12-01,60
139670,2021-01-04,60
139670,2021-02-01,60
139670,2021-03-02,60
139670,2021-04-01,60
139670,2021-05-03,60
139670,2021-06-01,60
139670,2021-07-01,60
139670,2021-08-02,60
139670,2021-09-01,60
139670,2021-10-01,60
139670,2021-11-01,60
139670,2021-12-01,60
139670,2022-01-03,60
139670,2022-02-03,60
139670,2022-03-02,60
139670,2022-04-01,60
139670,2022-05-02,60
139670,2022-06-02,60
139670,2022-07-01,60
139670,2022-08-01,60
139670,2022-09-01,60
139670,2022-10-04,60
139670,2022-11-01,60
139670,2022-12-01,60
139670,2023-01-02,60
139670,2023-02-01,60
139670,2023-03-02,60
139670,2023-04-03,60
139670,2023-05-02,60
139670,2023-06-01,60
139670,2023-07-03,60
139670,2023-08-01,60
139670,2023-09-01,60
139670,2023-10-04,60
139670,2023-11-01,60
139670,2023-12-01,60
139670,2024-01-02,60
139670,2024-02-01,60
139670,2024-03-04,60
139670,2024-04-01,60
139670,2024-05-02,60
139670,2024-06-03,60
139670,2024-07-01,60
139670,2024-08-01,60
139670,2024-09-02,60
139670,2024-11-01,60
139670,2024-12-02,60
139670,2025-01-02,60
139670,2025-05-02,60
139670,2026-01-02,60
139670,2026-02-02,60
139670,2026-03-03,60
183300,2019-01-02,60
183300,2019-02-01,60
183300,2019-03-04,60
183300,2019-04-01,60
183300,2019-05-02,60
183300,2019-06-03,60
183300,2019-07-01,60
183300,2019-08-01,60
183300,2019-09-02,60
183300,2019-10-01,60
183300,2019-11-01,60
183300,2019-12-02,60
183300,2020-01-02,60
183300,2020-02-03,60
183300,2020-03-02,60
183300,2020-04-01,60
183300,2020-05-04,60
183300,2020-06-01,60
183300,2020-07-01,60
183300,2020-08-03,60
183300,2020-09-01,60
183300,2020-10-05,60
183300,2020-11-02,60
183300,2020-12-01,60
183300,2021-01-04,60
183300,2021-02-01,60
183300,2021-03-02,60
183300,2021-04-01,60
183300,2021-05-03,60
183300,2021-06-01,60
183300,2021-07-01,60
183300,2021-08-02,60
183300,2021-09-01,60
183300,2021-10-01,60
183300,2021-11-01,60
183300,2021-12-01,60
183300,2022-01-03,60
183300,2022-02-03,60
183300,2022-03-02,60
183300,2022-04-01,60
183300,2022-05-02,60
183300,2022-06-02,60
