strategy,CAGR,Sharpe,MDD,IR,turnover,wt_per_name,edge_vs_mkt
PIT top-18,0.2377307807476876,0.9258861842644027,-0.19968143897949286,0.11134489700578495,0.8777777777777779,0.05555555555555555,0.01202315066767956
PIT top-30,0.24112088058068615,1.0014497767867425,-0.2094311605432705,0.12135969616536596,0.8266666666666665,0.03333333333333333,0.0154132505006781
PIT top-50,0.2035198572653214,0.9415735714661223,-0.21037577889266257,-0.20513883868505509,0.74,0.02,-0.022187772814686646
PIT top-100,0.20860503914772388,0.9630393078744678,-0.22518047883714243,-0.2148246075509928,0.642,0.01,-0.017102590932284167
