date,equity
2026-07-30,10000000.0
2026-07-31,11104000.0
2026-08-01,11104000.0
2026-08-02,11104000.0
2026-08-03,11104000.0
2026-08-04,11104000.0
2026-08-05,11104000.0
2026-08-06,11104000.0
2026-08-07,11104000.0
2026-08-08,11104000.0
2026-08-09,11104000.0
2026-08-10,11104000.0
2026-08-11,11104000.0
2026-08-12,11104000.0
2026-08-13,11104000.0
2026-08-14,11104000.0
2026-08-15,11104000.0
2026-08-16,11104000.0
2026-08-17,11104000.0
2026-08-18,11104000.0
2026-08-19,11104000.0
2026-08-20,11104000.0
2026-08-21,10957427.2
