theme,code,name,industry,mcap_억,adtv_억,rev_yoy,mom_12_1,dist_from_12mhigh,선반영플래그,guardrail,thesis,무효화트리거
로봇,277810,레인보우로보틱스,특수 목적용 기계 제조업,148021,2276.2,0.7638,1.5027,-0.1128,급등,PASS,,
로봇,160980,싸이맥스,특수 목적용 기계 제조업,3288,48.8,-0.004,1.4807,-0.1909,급등,PASS,,
로봇,183300,코미코,특수 목적용 기계 제조업,9509,223.4,0.1912,1.4441,0.0,급등/고점근접,PASS,,
로봇,171090,선익시스템,특수 목적용 기계 제조업,7395,81.2,3.5673,1.2968,-0.4412,급등,PASS,,
로봇,098460,고영,특수 목적용 기계 제조업,22175,485.5,0.1487,1.1371,-0.1975,급등,PASS,,
로봇,323280,태성,특수 목적용 기계 제조업,15849,176.2,-0.3606,1.1183,-0.3472,급등,PASS,,
로봇,056080,유진로봇,특수 목적용 기계 제조업,7840,144.1,0.0826,0.7564,-0.4282,-,PASS,,
로봇,403870,HPSP,특수 목적용 기계 제조업,36335,1268.3,-0.0465,0.7532,-0.1606,-,PASS,,
로봇,222080,씨아이에스,특수 목적용 기계 제조업,8595,180.7,-0.1993,0.7378,-0.3564,-,PASS,,
로봇,110990,디아이티,특수 목적용 기계 제조업,3776,36.3,-0.075,0.7374,-0.1992,-,PASS,,
로봇,144960,뉴파워프라즈마,특수 목적용 기계 제조업,3849,131.0,0.1119,0.6634,0.0,고점근접,PASS,,
로봇,232140,와이씨,특수 목적용 기계 제조업,12545,139.9,0.2906,0.6122,-0.3002,-,PASS,,
로봇,122640,예스티,특수 목적용 기계 제조업,5430,53.4,-0.1303,0.6053,-0.068,-,PASS,,
로봇,253590,네오셈,특수 목적용 기계 제조업,5887,87.3,-0.3925,0.5199,-0.2812,-,PASS,,
로봇,117730,티로보틱스,특수 목적용 기계 제조업,4002,44.4,-0.2783,0.5066,-0.2685,-,PASS,,
로봇,114810,한솔아이원스,특수 목적용 기계 제조업,3487,31.8,0.2653,0.5066,-0.2686,-,PASS,,
로봇,039440,에스티아이,특수 목적용 기계 제조업,4187,39.1,-0.0179,0.5042,-0.2923,-,PASS,,
로봇,137400,피엔티,특수 목적용 기계 제조업,10175,97.0,-0.2804,0.5008,-0.233,-,PASS,,
로봇,089030,테크윙,특수 목적용 기계 제조업,18119,393.5,-0.1422,0.4948,-0.268,-,PASS,,
로봇,265520,AP시스템,특수 목적용 기계 제조업,3522,24.0,-0.1095,0.4647,-0.1069,-,PASS,,
