rank,code,name,theme,score,grade,F,ex12_pct,adtv_ek
398,011000,진원생명과학,바이오/제약,5.0,C,,-0.895,77.0
399,008260,NI스틸,철강/소재,5.0,C,,-0.301,6.0
400,009410,태영건설,건설/엔지니어링,5.0,C,6.0,-0.526,6.0
401,000725,현대건설우,미분류,5.0,C,,-0.286,7.0
402,432320,KB스타리츠,건설/엔지니어링,5.0,C,,-0.762,13.0
403,451800,한화리츠,건설/엔지니어링,5.0,C,6.0,0.083,9.0
404,003350,한국화장품제조,화학/에너지,5.0,C,,-0.377,7.0
405,002780,진흥기업,건설/엔지니어링,5.0,C,,-0.074,19.0
406,306200,세아제강,철강/소재,5.0,C,,-0.299,16.0
407,344820,KCC글라스,철강/소재,5.0,C,,-0.435,11.0
408,487570,HS효성,금융,5.0,C,,-0.425,10.0
409,004410,서울식품,유통/소비/식품,5.0,C,,-0.521,6.0
410,004060,SG세계물산,유통/소비/식품,5.0,C,,-0.38,20.0
411,002380,KCC,화학/에너지,5.0,C,6.0,0.457,194.0
412,026960,동서,유통/소비/식품,5.0,C,6.0,-0.272,29.0
413,123690,한국화장품,유통/소비/식품,5.0,C,,-0.414,8.0
414,037560,LG헬로비전,엔터/미디어,5.0,C,,-0.507,2149.0
415,084690,대상홀딩스,금융,5.0,C,,-0.4,13.0
416,064960,SNT모티브,자동차,5.0,C,6.0,-0.275,21.0
417,084010,대한제강,철강/소재,5.0,C,,-0.34,5.0
418,031820,아이티센씨티에스,반도체/전자,5.0,C,,-0.341,4.0
419,026890,스틱인베스트먼트,금융,5.0,C,,-0.471,7.0
420,068290,삼성출판사,엔터/미디어,5.0,C,,-0.754,12.0
421,000680,LS네트웍스,유통/소비/식품,4.0,C,,-0.403,15.0
422,005440,현대지에프홀딩스,금융,4.0,C,6.0,0.663,32.0
423,377300,카카오페이,금융,4.0,C,6.0,-0.568,116.0
424,025860,남해화학,화학/에너지,4.0,C,,-0.371,39.0
425,051600,한전KPS,원자력/원전,4.0,C,6.0,-0.366,99.0
426,035510,신세계 I&C,반도체/전자,4.0,C,,-0.431,49.0
427,006220,제주은행,금융,4.0,C,,-0.469,19.0
428,004430,송원산업,화학/에너지,4.0,C,,-0.291,16.0
429,001550,조비,기타,4.0,C,,-0.399,4.0
430,001360,삼성제약,바이오/제약,4.0,C,,-0.325,12.0
431,136490,선진,유통/소비/식품,4.0,C,,-0.355,20.0
432,017860,DS단석,화학/에너지,4.0,C,,-0.631,19.0
433,460850,동국씨엠,철강/소재,4.0,C,,-0.341,4.0
434,012320,경동인베스트,금융,4.0,C,,-0.237,5.0
435,192820,코스맥스,화학/에너지,4.0,C,6.0,-0.549,122.0
436,100220,비상교육,엔터/미디어,4.0,C,,-0.296,7.0
437,084680,이월드,철강/소재,4.0,C,,-0.462,7.0
438,009835,한화솔루션우,미분류,4.0,C,,-0.293,5.0
439,010770,평화홀딩스,자동차,4.0,C,,-0.397,6.0
440,011700,한신기계,기계/장비,4.0,C,,-0.497,10.0
441,010660,화천기계,기계/장비,4.0,C,,-0.611,46.0
442,008970,KBI동양철관,철강/소재,4.0,C,,-0.706,14.0
443,007570,일양약품,바이오/제약,4.0,C,,-0.59,13.0
444,024900,디와이덕양,자동차,4.0,C,,-0.393,4.0
445,483650,달바글로벌,화학/에너지,4.0,C,6.0,0.073,560.0
446,084695,대상홀딩스우,미분류,4.0,C,,-0.338,7.0
447,091810,트리니티항공,운송/물류/여행,4.0,C,,-0.719,14.0
448,079430,현대리바트,유통/소비/식품,4.0,C,,-0.369,7.0
449,071090,하이스틸,철강/소재,4.0,C,,-0.394,11.0
450,251270,넷마블,인터넷/SW,3.33,C,7.0,-0.5,203.0
451,003230,삼양식품,유통/소비/식품,3.33,C,7.0,-0.301,679.0
452,037270,YG PLUS,인터넷/SW,3.0,C,,-0.733,19.0
453,014830,유니드,화학/에너지,3.0,C,6.0,-0.414,26.0
454,014990,인디에프,유통/소비/식품,3.0,C,,-0.865,35.0
455,004830,덕성,화학/에너지,3.0,C,,-0.548,8.0
456,007110,일신석재,유통/소비/식품,3.0,C,,-0.704,5.0
457,036420,콘텐트리중앙,엔터/미디어,3.0,C,,-0.687,4.0
458,093240,형지엘리트,유통/소비/식품,3.0,C,,-0.911,25.0
459,024720,콜마홀딩스,금융,3.0,C,,-0.682,7.0
460,214420,토니모리,화학/에너지,3.0,C,,-0.667,10.0
461,036530,SNT홀딩스,금융,3.0,C,6.0,-0.25,13.0
462,180640,한진칼,금융,2.0,D,6.0,-0.104,144.0
