sector,n,deep,oversold,turn,medext,nearlow,cheap,bottom_score
텔레비전 방송업,8,0,62.5,25.0,0.7958694450119963,87.5,75.0,33.75
회사 본부 및 경영,12,2,50.0,58.333333333333336,0.8658648266399676,25.0,33.33333333333333,30.0
자연과학 및 공학 ,46,0,93.47826086956522,15.217391304347828,0.5790991317428911,21.73913043478261,0.0,28.043478260869566
철강,43,2,53.48837209302325,30.23255813953488,0.8436888916924241,51.162790697674424,46.51162790697674,27.67441860465116
선박 및 보트 건조,11,0,90.9090909090909,27.27272727272727,0.7060022621903471,18.181818181818183,0.0,27.27272727272727
"그외 기타 전문, ",10,0,90.0,10.0,0.7187449837742246,50.0,0.0,27.0
금속,54,0,75.92592592592592,7.4074074074074066,0.7695718650353717,48.148148148148145,16.666666666666664,26.111111111111107
이차전지,19,0,84.21052631578947,10.526315789473683,0.66891581716301,21.052631578947366,0.0,25.26315789473684
"영화, 비디오물, ",8,0,75.0,62.5,0.6971014965119154,37.5,12.5,25.0
"시멘트, 석회, 플",12,0,50.0,25.0,0.8557616334423772,50.0,50.0,25.0
자동차,77,4,51.94805194805194,25.97402597402597,0.8265734772216992,50.649350649350644,33.76623376623377,24.935064935064933
기타 금융,79,6,44.303797468354425,43.037974683544306,0.8751345693038116,32.91139240506329,34.177215189873415,23.924050632911392
봉제의복 제조업,13,0,38.46153846153847,53.84615384615385,0.880170626933822,38.46153846153847,61.53846153846154,23.846153846153847
의료,39,1,69.23076923076923,23.076923076923077,0.7653374571269295,51.28205128205128,5.128205128205128,23.076923076923073
기계,174,2,71.83908045977012,13.218390804597702,0.7177682847043119,19.54022988505747,4.597701149425287,23.045977011494255
운송,30,0,56.666666666666664,40.0,0.8175904846700317,56.666666666666664,30.0,23.0
소프트,92,0,70.65217391304348,39.130434782608695,0.751541391240304,28.26086956521739,5.434782608695652,22.282608695652172
화학,122,2,61.47540983606557,29.508196721311474,0.8102339024921378,31.147540983606557,13.934426229508196,22.049180327868854
전자부품,88,0,72.72727272727273,14.772727272727273,0.7128749323052213,14.772727272727273,1.1363636363636365,22.045454545454547
전기,35,0,68.57142857142857,14.285714285714285,0.7588059939791307,20.0,5.714285714285714,21.71428571428571
의약,142,1,66.90140845070422,26.056338028169012,0.7495982908685246,57.04225352112676,6.338028169014084,21.690140845070424
플라스틱제품 제조업,22,1,50.0,31.818181818181817,0.8577545527849322,36.36363636363637,18.181818181818183,20.90909090909091
통신,61,2,55.73770491803278,21.311475409836063,0.8299539139412014,36.0655737704918,9.836065573770492,20.327868852459016
금융 지원,23,0,52.17391304347826,8.695652173913043,0.828271021140688,21.73913043478261,21.73913043478261,20.0
연료용 가스 제조 ,8,0,25.0,62.5,0.9052769685915019,87.5,62.5,20.0
건설,31,0,38.70967741935484,6.451612903225806,0.9056289668088648,38.70967741935484,38.70967741935484,19.35483870967742
반도체,51,0,62.745098039215684,5.88235294117647,0.7588195414410219,5.88235294117647,0.0,18.823529411764703
"측정, 시험, 항해",24,0,62.5,16.666666666666664,0.7339089529528278,16.666666666666664,0.0,18.75
"건축기술, 엔지니어",12,0,58.333333333333336,8.333333333333332,0.8224022567685787,8.333333333333332,0.0,17.5
식품,29,1,41.37931034482759,37.93103448275862,0.8745878446320418,55.172413793103445,13.793103448275861,16.89655172413793
기타 정보 서비스업,12,0,50.0,41.66666666666667,0.8647577679399692,58.333333333333336,8.333333333333332,16.666666666666668
기타 전문 도매업,17,0,47.05882352941176,29.411764705882355,0.8618663323669984,23.52941176470588,11.76470588235294,16.470588235294116
상품 종합,9,0,33.33333333333333,33.33333333333333,0.9038715532035329,55.55555555555556,22.22222222222222,14.444444444444443
영상 및 음향기기 ,12,0,41.66666666666667,41.66666666666667,0.8633387161136629,50.0,8.333333333333332,14.166666666666668
"자료처리, 호스팅,",13,0,46.15384615384615,61.53846153846154,0.8718665437568766,15.384615384615385,0.0,13.846153846153845
광고업,9,0,44.44444444444444,33.33333333333333,0.8521552426344965,44.44444444444444,0.0,13.333333333333332
"컴퓨터 프로그래밍,",24,0,37.5,37.5,0.8822369387442385,29.166666666666668,8.333333333333332,12.916666666666666
종합 소매업,14,0,14.285714285714285,28.57142857142857,1.010101782247573,7.142857142857142,35.714285714285715,11.428571428571429
생활용품 도매업,8,0,37.5,62.5,0.9490280993977049,37.5,0.0,11.25
상품 중개업,8,0,25.0,62.5,0.9240993425784876,12.5,12.5,10.0
보험,14,0,14.285714285714285,57.14285714285714,1.0916882455440795,14.285714285714285,21.428571428571427,8.571428571428571
