code,fiscal_year,book_equity
051910,2025,32845600000000.0
003550,2020,20258251000000.0
003550,2021,21246547000000.0
003550,2022,25452355000000.0
003550,2023,26128917000000.0
003550,2024,27083363000000.0
003550,2025,28708510000000.0
015760,2020,69296680000000.0
015760,2021,63769010000000.0
015760,2022,40545396000000.0
015760,2023,35845043000000.0
015760,2024,39915236000000.0
015760,2025,48169942000000.0
010140,2020,3724217696918.0
010140,2021,4111043956300.0
010140,2022,3594491079409.0
010140,2023,3439345000314.0
010140,2024,3794592947059.0
010140,2025,4148939309647.0
017670,2020,23743894000000.0
017670,2021,11579346000000.0
017670,2022,11318320000000.0
017670,2023,11389046000000.0
017670,2024,11698627000000.0
017670,2025,12863103000000.0
064350,2020,1363471253000.0
064350,2021,1293052208000.0
064350,2022,1520347013000.0
064350,2023,1679854601000.0
064350,2024,2044977823000.0
064350,2025,3079022979000.0
267250,2020,7014923680000.0
267250,2021,6318055083000.0
267250,2022,7485246155000.0
267250,2023,7327570339000.0
267250,2024,8675322438000.0
267250,2025,10116362882000.0
316140,2023,31666881000000.0
316140,2024,34096836000000.0
316140,2025,36017339000000.0
003670,2020,1000669340739.0
003670,2021,2389319494210.0
003670,2022,2471021644051.0
003670,2023,2350209876264.0
003670,2024,2970273518789.0
003670,2025,4067558055710.0
096770,2020,14539976348000.0
096770,2021,17323353290000.0
096770,2022,19651626210000.0
096770,2023,22202714489000.0
096770,2024,24641444950000.0
096770,2025,21792075772000.0
272210,2020,1032682379959.0
272210,2021,2222498066782.0
272210,2022,2000338956882.0
272210,2023,2139817927616.0
272210,2024,2490054967099.0
272210,2025,4849228707428.0
033780,2020,9036851140891.0
033780,2021,9158786200927.0
033780,2022,9315644398676.0
033780,2023,9174405000000.0
033780,2024,9239171000000.0
033780,2025,9279560000000.0
035720,2020,6283700331669.0
035720,2021,9964627991241.0
035720,2022,9983694054133.0
035720,2023,9763719252178.0
035720,2024,10141299899346.0
035720,2025,11276217552488.0
011200,2020,1687351000000.0
011200,2021,10357269000000.0
011200,2022,20686315000000.0
011200,2023,21439198000000.0
011200,2024,27853923000000.0
011200,2025,26569235000000.0
138040,2023,9581907410678.0
138040,2024,10094442922761.0
138040,2025,10322630113710.0
086280,2020,5065446963808.0
086280,2021,5802452172654.0
086280,2022,6866007311914.0
086280,2023,7755368128240.0
086280,2024,8773151741324.0
086280,2025,10351204581947.0
079550,2020,672508651689.0
079550,2021,763304384997.0
079550,2022,935179067809.0
079550,2023,1052359009288.0
079550,2024,1210681900588.0
079550,2025,1430099949880.0
024110,2023,31656585000000.0
024110,2024,33946719000000.0
024110,2025,36454735000000.0
278470,2020,51699915148.0
278470,2021,66001080624.0
278470,2022,100257994716.0
278470,2023,196948868778.0
278470,2024,323524073990.0
278470,2025,445799810314.0
047810,2020,1195431276040.0
047810,2021,1269425155795.0
047810,2022,1427802657469.0
047810,2023,1597412953604.0
047810,2024,1705857243034.0
047810,2025,1830169571361.0
000720,2020,6631752000000.0
000720,2021,7216737000000.0
000720,2022,7686677000000.0
000720,2023,8136651000000.0
000720,2024,8025410000000.0
000720,2025,8264726000000.0
006260,2020,3267254000000.0
006260,2021,3546598000000.0
006260,2022,3980543000000.0
006260,2023,4733668000000.0
006260,2024,4591860000000.0
006260,2025,5003131000000.0
064400,2023,1863305555000.0
064400,2024,2115116477000.0
064400,2025,2932750548000.0
071050,2023,8373653842126.0
071050,2024,9650757011152.0
071050,2025,12010273000000.0
030200,2020,14011444000000.0
030200,2021,14976536000000.0
030200,2022,16612172000000.0
030200,2023,16749176000000.0
030200,2024,16210702000000.0
030200,2025,17655653000000.0
0126Z0,2025,5905769042165.0
010950,2020,5682477000000.0
010950,2021,6988042000000.0
010950,2022,8483469000000.0
010950,2023,9037565000000.0
010950,2024,8695647000000.0
010950,2025,8887401000000.0
259960,2021,4608131938934.0
259960,2022,5111876512870.0
259960,2023,5554423202058.0
259960,2024,6827837668465.0
259960,2025,7041422132872.0
005940,2023,7611779000000.0
005940,2024,8114380000000.0
005940,2025,9433337000000.0
016360,2023,6622709394534.0
016360,2024,7324213114450.0
016360,2025,8068055959870.0
047050,2020,3158096077000.0
047050,2021,3486401390000.0
047050,2022,3982863469000.0
047050,2023,6103258315000.0
047050,2024,6544550750000.0
047050,2025,6708434041000.0
323410,2023,6117694000000.0
323410,2024,6540131000000.0
323410,2025,6749866000000.0
443060,2024,773534561558.0
443060,2025,824724855468.0
007660,2020,65108814354.0
007660,2021,125491909633.0
007660,2022,222328078478.0
007660,2023,266778163292.0
007660,2024,327526708412.0
007660,2025,755497178248.0
039490,2023,4860690544560.0
039490,2024,5587733020894.0
039490,2025,6704409812790.0
047040,2020,2674432697979.0
047040,2021,3211899118849.0
047040,2022,3714459578925.0
047040,2023,4045911390382.0
047040,2024,4291145722596.0
047040,2025,3347692728720.0
028050,2020,1600698434611.0
028050,2021,2002307719510.0
028050,2022,2693176802429.0
028050,2023,3473253746048.0
028050,2024,4231791398254.0
028050,2025,4740713498360.0
003490,2020,3206500534442.0
003490,2021,6753903749429.0
003490,2022,8994190665103.0
003490,2023,9525999087618.0
003490,2024,10472882288647.0
003490,2025,10954036206278.0
001440,2020,344438783000.0
001440,2021,373299947000.0
001440,2022,866423841000.0
001440,2023,936501596000.0
001440,2024,1473203572000.0
001440,2025,1601618322696.0
352820,2020,1195334846000.0
352820,2021,2811931447000.0
352820,2022,2770478714000.0
352820,2023,2919398369000.0
352820,2024,3214652758000.0
352820,2025,3257026727000.0
005830,2023,10236549116065.0
005830,2024,9296655789693.0
005830,2025,10880841000000.0
000880,2020,4509669000000.0
000880,2021,4813572000000.0
000880,2022,5228517000000.0
000880,2023,10791035000000.0
000880,2024,10714143000000.0
000880,2025,11840206000000.0
454910,2023,438808093399.0
454910,2024,402501180228.0
454910,2025,348594990774.0
353200,2020,637780940184.0
353200,2021,681882884052.0
353200,2022,854989142336.0
353200,2023,868336080497.0
353200,2024,875513939249.0
353200,2025,897305160164.0
003230,2020,342524755448.0
003230,2021,390387473953.0
003230,2022,452956411954.0
003230,2023,564821445771.0
003230,2024,816847076602.0
003230,2025,1255376104221.0
161390,2020,7377494903968.0
161390,2021,8167769736032.0
161390,2022,8807110452160.0
161390,2023,9552508438545.0
161390,2024,11100370242882.0
161390,2025,12105483748917.0
034220,2020,11401043000000.0
034220,2021,13118855000000.0
034220,2022,9879589000000.0
034220,2023,7232182000000.0
034220,2024,6542261000000.0
034220,2025,6604124000000.0
000990,2020,794584512577.0
000990,2021,1106049706046.0
000990,2022,1638284078393.0
000990,2023,1740082437747.0
000990,2024,1949982258640.0
000990,2025,2142364349472.0
062040,2024,434241887238.0
062040,2025,585470613825.0
180640,2020,1514035447714.0
180640,2021,1600066126317.0
180640,2022,2465956160110.0
180640,2023,2743664386252.0
180640,2024,3191221630000.0
180640,2025,3342274997000.0
009830,2020,5929092229255.0
009830,2021,8159421064271.0
009830,2022,8920570992404.0
009830,2023,7847475994489.0
009830,2024,9449650114091.0
009830,2025,9101238000000.0
326030,2020,379066572829.0
326030,2021,444187446379.0
326030,2022,316560460441.0
326030,2023,283686371114.0
326030,2024,546273129341.0
326030,2025,813035724864.0
032640,2020,7374862000000.0
032640,2021,7673144000000.0
032640,2022,8165135000000.0
032640,2023,8472202000000.0
032640,2024,8556021000000.0
032640,2025,8866858000000.0
267270,2020,1218314994000.0
267270,2021,1326732495000.0
267270,2022,1463315798000.0
267270,2023,1576470532000.0
267270,2024,1657828153000.0
267270,2025,1805220579000.0
128940,2020,729987420811.0
128940,2021,802913730944.0
128940,2022,871865585833.0
128940,2023,955442389535.0
128940,2024,1084893341851.0
128940,2025,1249756305417.0
078930,2020,8353750000000.0
078930,2021,10288563000000.0
078930,2022,12438586000000.0
078930,2023,13450004000000.0
078930,2024,14076817000000.0
078930,2025,14703329000000.0
000100,2020,1846502193853.0
000100,2021,1935889087603.0
000100,2022,2007806369446.0
000100,2023,2101732643463.0
000100,2024,2150670010559.0
000100,2025,2362284335746.0
010060,2020,2341041573000.0
010060,2021,3071403978000.0
010060,2022,3912391039000.0
010060,2023,3721103717000.0
010060,2024,3979195012000.0
010060,2025,3931910194000.0
090430,2020,4467854044953.0
090430,2021,4761008405615.0
090430,2022,4798613296098.0
090430,2023,4897988125589.0
090430,2024,5252371283408.0
090430,2025,5449271639491.0
377300,2021,1693245745443.0
377300,2022,1806572100028.0
377300,2023,1877124264517.0
377300,2024,1861202678487.0
377300,2025,1900416647054.0
021240,2020,1491301665306.0
021240,2021,1905902246325.0
021240,2022,2313812649389.0
021240,2023,2639888749610.0
021240,2024,3198397576980.0
021240,2025,3613727511069.0
036570,2020,3141584402622.0
036570,2021,3148845035664.0
036570,2022,3196210657750.0
036570,2023,3249696959036.0
036570,2024,3058458965781.0
036570,2025,3364869232962.0
241560,2020,4073804491000.0
241560,2021,4321265808000.0
241560,2022,5024387667000.0
241560,2023,4618281799.0
241560,2024,4690139000.0
241560,2025,5011583000.0
066970,2020,194441115148.0
066970,2021,630792230875.0
066970,2022,1279735719867.0
066970,2023,1097160663012.0
066970,2024,713602484182.0
066970,2025,673078391768.0
000500,2020,263562215682.0
000500,2021,268115290322.0
000500,2022,303070555819.0
000500,2023,331011443000.0
000500,2024,453705043000.0
000500,2025,483788805000.0
011790,2020,1808065785607.0
011790,2021,2001237977175.0
011790,2022,1725496452384.0
011790,2023,1410660511084.0
011790,2024,1172309309435.0
011790,2025,832066725740.0
022100,2020,368664057774.0
022100,2021,357545693491.0
022100,2022,412170218458.0
022100,2023,459425079841.0
022100,2024,523191568131.0
022100,2025,569587084549.0
336260,2020,512544165865.0
336260,2021,518188257488.0
336260,2022,523064425818.0
336260,2023,512651877530.0
336260,2024,498895839831.0
336260,2025,367480446236.0
018880,2020,2117410257014.0
018880,2021,2343235176737.0
018880,2022,2236006660154.0
018880,2023,2371695429062.0
018880,2024,2853472095503.0
018880,2025,3767762778930.0
001040,2020,4643496750000.0
001040,2021,5066018526000.0
001040,2022,5182697470000.0
001040,2023,5513928899000.0
001040,2024,5458985764000.0
001040,2025,5208897884000.0
029780,2023,8135890561802.0
029780,2024,8486180934765.0
029780,2025,8863284000000.0
138930,2023,10225000141303.0
138930,2024,10698820606601.0
138930,2025,10793081382588.0
004020,2020,16345442678336.0
004020,2021,17868585154721.0
004020,2022,18713734432647.0
004020,2023,19100148562968.0
004020,2024,18918297285386.0
004020,2025,19370718758990.0
082740,2020,194127849262.0
082740,2021,209101318087.0
082740,2022,221625827940.0
082740,2023,224148291136.0
082740,2024,393295789886.0
082740,2025,556102899924.0
052690,2020,499074512622.0
052690,2021,513450926881.0
052690,2022,543413813300.0
052690,2023,547308411738.0
052690,2024,577473652879.0
052690,2025,624966182864.0
271560,2020,1829955708497.0
271560,2021,2211044506316.0
271560,2022,2553782840463.0
271560,2023,2862399589845.0
271560,2024,3471235408182.0
271560,2025,3808663397961.0
004170,2020,3442370956474.0
004170,2021,3744097091736.0
004170,2022,4113671293604.0
004170,2023,4208590475016.0
004170,2024,4265138301271.0
004170,2025,4455332903779.0
002380,2020,4870844806260.0
002380,2021,5035301217823.0
002380,2022,5117785072965.0
002380,2023,5177363194577.0
002380,2024,5039315406549.0
002380,2025,7824485732406.0
175330,2023,5002763000000.0
175330,2024,5580578000000.0
175330,2025,5914615000000.0
103590,2020,308884249416.0
103590,2021,323057560316.0
103590,2022,344902375464.0
103590,2023,371142176219.0
103590,2024,500309704000.0
103590,2025,588671403000.0
450080,2022,314300581291.0
450080,2023,799097396195.0
450080,2024,737605448212.0
450080,2025,1144680193740.0
023530,2020,9801587893040.0
023530,2021,10083492212560.0
023530,2022,9567653934244.0
023530,2023,9493521378034.0
023530,2024,15503954524320.0
023530,2025,15185023750402.0
088350,2023,13038171149193.0
088350,2024,11794856554799.0
088350,2025,13875234000000.0
051900,2020,4755979504489.0
051900,2021,5388010154330.0
051900,2022,5339282549902.0
051900,2023,5433451058889.0
051900,2024,5566264371939.0
051900,2025,5449473672307.0
489790,2024,822869661844.0
489790,2025,865880645572.0
251270,2020,5407062627680.0
251270,2021,5791420824520.0
251270,2022,5460881436007.0
251270,2023,4979527938265.0
251270,2024,5416041831044.0
251270,2025,5429700987984.0
012510,2020,393698922045.0
012510,2021,494461358667.0
012510,2022,431164151122.0
012510,2023,427141362506.0
012510,2024,538853650211.0
012510,2025,615190024938.0
005850,2020,1409520352618.0
005850,2021,1501766343972.0
005850,2022,1634589519536.0
005850,2023,1928436312179.0
005850,2024,2299756239403.0
005850,2025,2552540824483.0
111770,2020,1834848959441.0
111770,2021,2218947055642.0
111770,2022,2814524326075.0
111770,2023,3246664286850.0
111770,2024,3686692649307.0
111770,2025,4092315540912.0
020150,2020,611215000000.0
020150,2021,988598686744.0
020150,2022,1459906206782.0
020150,2023,1433495290846.0
020150,2024,1333628025233.0
020150,2025,1655962401438.0
011170,2020,12846515982933.0
011170,2021,14410216405034.0
011170,2022,14445375783024.0
011170,2023,15543126949905.0
011170,2024,14352322139454.0
011170,2025,12584876918618.0
004800,2020,2233268057523.0
004800,2021,2625248985718.0
004800,2022,2555048774364.0
004800,2023,2464662200370.0
004800,2024,2155683371748.0
004800,2025,2443583657679.0
011780,2020,3148227050112.0
011780,2021,5081790567241.0
011780,2022,5652041196515.0
011780,2023,5829496939923.0
011780,2024,6037777043046.0
011780,2025,6245291877385.0
035250,2020,3246993555491.0
035250,2021,3252772163177.0
035250,2022,3415361449051.0
035250,2023,3677902200473.0
035250,2024,3883666448036.0
035250,2025,3964522156208.0
036460,2020,7481039750954.0
036460,2021,8869142117460.0
036460,2022,10187081230444.0
036460,2023,9626977431919.0
036460,2024,10829084000000.0
036460,2025,10802423000000.0
302440,2020,263790244281.0
302440,2021,1601311948494.0
302440,2022,1741701996063.0
302440,2023,1703855316376.0
302440,2024,1802565226090.0
302440,2025,1788799862235.0
017800,2020,1009452726630.0
017800,2021,1121823300121.0
017800,2022,1153374614113.0
017800,2023,1285987974000.0
017800,2024,1254671599022.0
017800,2025,1352124960927.0
097950,2020,5274392419000.0
097950,2021,6113525611000.0
097950,2022,6755710240000.0
097950,2023,7151547426000.0
097950,2024,7863464517000.0
097950,2025,7058604079000.0
009420,2020,181273482965.0
009420,2021,163492143709.0
009420,2022,168256460626.0
009420,2023,186218369830.0
009420,2024,168351403333.0
009420,2025,161681400836.0
031210,2025,5189914819617.0
014680,2020,553201378490.0
014680,2021,689239464709.0
014680,2022,763481914007.0
014680,2023,845517021250.0
014680,2024,974318215904.0
014680,2025,1080490634159.0
001450,2023,6055391876258.0
001450,2024,4743378657629.0
001450,2025,5157512762473.0
204320,2020,1637469781549.0
204320,2021,1954540750003.0
204320,2022,2157431276642.0
204320,2023,2230705600677.0
204320,2024,2518549871228.0
204320,2025,2713805689016.0
007810,2020,342997190427.0
007810,2021,406708639696.0
007810,2022,477240710290.0
007810,2023,431994437620.0
007810,2024,379014576464.0
007810,2025,439819668845.0
457190,2023,94988539136.0
457190,2024,121654548291.0
457190,2025,132855533000.0
001720,2024,1612823517609.0
001720,2025,1756981842004.0
139130,2023,5948770414919.0
139130,2024,5991114817471.0
139130,2025,6220133000000.0
375500,2021,4167944097862.0
375500,2022,4349675334517.0
375500,2023,4768781215299.0
375500,2024,4845710111118.0
375500,2025,5244091831162.0
028670,2020,2806652000000.0
028670,2021,3596837000000.0
028670,2022,4492604000000.0
028670,2023,4713351000000.0
028670,2024,5653383000000.0
028670,2025,5723482000000.0
383220,2021,547422966517.0
383220,2022,921480459215.0
383220,2023,1290515611903.0
383220,2024,1562200168382.0
383220,2025,1878678882040.0
012750,2020,1384159336534.0
012750,2021,1442871269516.0
012750,2022,1522965763397.0
012750,2023,1597883288628.0
012750,2024,1660661064990.0
012750,2025,1756324291678.0
483650,2024,102069072470.0
483650,2025,198554792679.0
004990,2020,6417205811113.0
004990,2021,6978956433488.0
004990,2022,7115179148633.0
004990,2023,6849097344634.0
004990,2024,6245033465111.0
004990,2025,6076323693816.0
009970,2020,1370738033607.0
009970,2021,1628251287062.0
009970,2022,2047851708917.0
009970,2023,2355456748097.0
009970,2024,2714895195388.0
009970,2025,3015191834807.0
006360,2020,4141218904179.0
006360,2021,4625316382869.0
006360,2022,4831632534515.0
006360,2023,4314458788001.0
006360,2024,4414089915140.0
006360,2025,4792962000000.0
007340,2020,626280609314.0
007340,2021,711056202011.0
007340,2022,874799778912.0
007340,2023,1139291698961.0
007340,2024,1741561468000.0
007340,2025,2007332574000.0
011210,2020,3118091000000.0
011210,2021,3249998000000.0
011210,2022,3319072000000.0
011210,2023,3391637000000.0
011210,2024,3597615000000.0
011210,2025,3610648000000.0
139480,2020,9073680160816.0
139480,2021,10259527869710.0
139480,2022,11207533212600.0
139480,2023,11453432517307.0
139480,2024,10390572925028.0
139480,2025,10999057243294.0
069960,2020,117012205000.0
069960,2021,117012205000.0
069960,2022,117012205000.0
069960,2023,4467517020000.0
069960,2024,4395369423000.0
069960,2025,4549528552000.0
001740,2020,2058172000000.0
001740,2021,2198497000000.0
001740,2022,2254394000000.0
001740,2023,2128179000000.0
001740,2024,2054203000000.0
001740,2025,2023759000000.0
071970,2020,173919915912.0
071970,2021,153961262140.0
071970,2022,192136113895.0
071970,2023,225375915294.0
071970,2024,309374582999.0
071970,2025,488912211304.0
439260,2025,1092384070191.0
026960,2020,1381933576076.0
026960,2021,1433790667576.0
026960,2022,1530415155806.0
026960,2023,1607953382608.0
026960,2024,1694360738168.0
026960,2025,1722043323436.0
004370,2020,2033928056554.0
004370,2021,2184549651232.0
004370,2022,2304167408738.0
004370,2023,2430227733796.0
004370,2024,2672015203505.0
