순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,950260,인제니아테라퓨틱스Reg.S,KOSDAQ,30.00,18330,297004191375,18904895,906319646310,Y,실체급등
2,950200,소마젠,KOSDAQ,29.98,3750,1445595000,385492,72135198750,Y,저유동주의
3,227950,엔투텍,KOSDAQ,29.98,1925,5028415994,2698023,66428302325,Y,실체급등
4,001210,금호전기,KOSPI,29.97,7460,59437427060,8790315,92325079360,Y,실체급등
5,001515,SK증권우,KOSPI,29.88,5260,291835500,56057,10289911820,Y,저유동주의
6,950220,네오이뮨텍,KOSDAQ,29.88,2195,870670895,396661,75094988800,Y,저유동주의
7,049470,비트플래닛,KOSDAQ,29.82,2020,536362803,270658,47560695980,Y,저유동주의
8,001510,SK증권,KOSPI,29.79,2810,28917606365,11053625,649939188850,Y,실체급등
9,0120G0,삼양바이오팜,KOSPI,29.79,56200,12135548400,222641,417895894000,Y,실체급등
10,462860,더즌,KOSDAQ,26.05,2395,26124896328,11115842,171856872585,,실체급등
11,002990,금호건설,KOSPI,24.21,15650,390576449565,25677256,583118593100,,실체급등
12,124500,아이티센글로벌,KOSDAQ,22.70,31350,48279667150,1556873,727461921450,,실체급등
13,095700,제넥신,KOSDAQ,20.97,3000,10002951815,3216376,136621482000,,실체급등
14,138610,나이벡,KOSDAQ,19.82,19100,31361138455,1607403,217124846300,,실체급등
15,226330,신테카바이오,KOSDAQ,19.52,1255,2466708847,1966434,30444386125,,저유동주의
16,475230,엔알비,KOSDAQ,17.74,9490,4570558450,481250,103428501670,,저유동주의
17,011090,에넥스,KOSPI,17.66,2165,3021843873,1456017,25670521910,,저유동주의
18,228850,레이언스,KOSDAQ,17.51,6980,2370849980,351158,115805277720,,저유동주의
19,476830,알지노믹스,KOSDAQ,16.61,36850,65672735650,1794452,1033842816600,,실체급등
20,079650,서산,KOSDAQ,16.20,5380,64672798763,11880410,107600000000,,실체급등
21,092190,서울바이오시스,KOSDAQ,16.00,8990,3747262720,440024,412356763170,,저유동주의
22,234340,헥토파이낸셜,KOSDAQ,15.63,21450,30562561920,1419948,299670571200,,실체급등
23,085620,미래에셋생명,KOSPI,15.40,26600,23461403700,911330,3595788000000,,실체급등
24,387690,레메디,KOSDAQ,15.33,14820,89971308620,6153299,113014222620,,실체급등
25,134580,탑코미디어,KOSDAQ,15.20,2160,1081852005,513821,106475361840,,저유동주의
