code,date,foreign_net,inst_net
183300,2021-06-30,12952826000.0,-3415719600.0
183300,2021-07-30,-3548352600.0,-1347484400.0
183300,2021-08-31,23238150800.0,1487921400.0
183300,2021-09-30,1450781700.0,-241507600.0
183300,2021-10-29,2185633100.0,1629210000.0
183300,2021-11-30,-16011875800.0,-360973800.0
183300,2021-12-30,-22434960800.0,4122515400.0
183300,2022-01-28,-4733630100.0,1719544000.0
183300,2022-02-28,-4528568100.0,-351634800.0
183300,2022-03-31,-3757321600.0,2851630650.0
183300,2022-04-29,-5944325200.0,-6490421500.0
183300,2022-05-31,-7475872300.0,21303794400.0
183300,2022-06-30,4108094600.0,-5122819350.0
183300,2022-07-29,2427788050.0,-1800940800.0
183300,2022-08-31,6228561950.0,-8458335200.0
183300,2022-09-30,-933336200.0,4935395050.0
183300,2022-10-31,-2272152150.0,2276655250.0
183300,2022-11-30,3042847950.0,-284578100.0
183300,2022-12-29,-1163912000.0,-2675890150.0
183300,2023-01-31,3413505000.0,401305800.0
183300,2023-02-28,-866953800.0,-283778800.0
183300,2023-03-31,-2905792800.0,4241486900.0
183300,2023-04-28,-5357661700.0,-1573682750.0
183300,2023-05-31,2581748550.0,-1943836000.0
183300,2023-06-30,-13122096000.0,17157134900.0
183300,2023-07-31,497324000.0,-1861316700.0
183300,2023-08-31,-2194651600.0,6532431800.0
183300,2023-09-27,-12531505600.0,7983858300.0
183300,2023-10-31,-2602130200.0,2878168050.0
183300,2023-11-30,-9503520400.0,9297628450.0
183300,2023-12-28,-7044061800.0,10886807000.0
183300,2024-01-31,-771800100.0,12054926600.0
183300,2024-02-29,1300380100.0,-9472235400.0
183300,2024-03-29,6027595600.0,-8671793300.0
183300,2024-04-30,-33157154400.0,10143351800.0
183300,2024-05-31,1857887000.0,20804645500.0
183300,2024-06-28,-12430827300.0,15762283800.0
183300,2024-07-31,3094198500.0,332685200.0
183300,2024-08-30,9826052200.0,-19465491700.0
183300,2024-09-30,8498278400.0,-9901589400.0
183300,2024-10-31,5051763350.0,-9233939800.0
