출발일,code,name,유형,등급,국면,진입월,고점3M,고점6M,고점일수,고점일,고점월,창완결,ex_ret,ex_how,ex_bars,fwd40
1998-07-02,000660,SK하이닉스,A,B,실행,7,41.1,44.6,123,1998-12-28,12,True,-0.057262396694215,손절,1,0.1694214876033057
1998-07-13,011200,HMM,A,B,실행,7,40.4,76.1,120,1999-01-07,1,True,0.1009174311926606,목표,2,0.036697247706422
1998-08-18,011200,HMM,A,C,실행,8,46.3,87.3,95,1999-01-07,1,True,0.0853658536585366,목표,1,0.1512195121951218
1998-09-14,015760,한국전력,A,B,실행,9,68.2,111.0,76,1999-01-07,1,True,0.1040462427745665,목표,8,0.3468208092485549
1998-10-26,000660,SK하이닉스,A,C,실행,10,57.3,57.3,44,1998-12-28,12,True,-0.0564044943820225,손절,1,0.1977528089887639
1998-10-28,003240,태광산업,A,C,실행,10,17.9,52.5,126,1999-05-10,5,True,-0.0213333333333333,트레일,3,0.0252525252525253
1998-11-05,005440,현대지에프홀딩스,A,C,실행,11,17.3,55.6,120,1999-05-07,5,True,-0.0711111111111111,손절,2,-0.1457777777777776
1998-11-11,000810,삼성화재,A,B,실행,11,49.2,143.5,115,1999-05-06,5,True,0.0873015873015874,목표,4,0.2952380952380953
1998-12-14,017670,SK텔레콤,A,C,주의,12,49.3,200.4,117,1999-06-10,6,True,0.0690298507462687,목표,1,0.0820895522388061
1998-12-14,002610,002610,A,C,주의,12,44.4,143.0,125,1999-06-22,6,True,0.0809859154929577,목표,6,-0.1056338028169012
1998-12-14,000110,000110,A,C,주의,12,-3.4,-3.4,1,1998-12-15,12,True,-0.05,손절,1,-0.6680672268907564
1998-12-16,015580,015580,A,A,실행,12,48.6,127.1,125,1999-06-24,6,True,0.1135714285714286,목표,1,0.0071428571428571
1998-12-16,000110,000110,A,C,실행,12,-7.2,-7.2,2,1998-12-18,12,False,-0.05,손절,1,-0.5784883720930232
1998-12-16,002860,002860,A,C,실행,12,-6.6,-6.6,2,1998-12-18,12,True,-0.094303574070694,손절,1,-0.5149532710280373
1998-12-17,000830,000830,A,A,실행,12,43.8,371.2,126,1999-06-28,6,True,0.1240000000000001,목표,3,-0.1024
1998-12-17,003810,003810,A,C,실행,12,18.9,55.9,87,1999-05-03,5,True,0.1184782608695653,목표,2,-0.3195652173913044
1998-12-18,008810,008810,A,A,실행,12,23.0,30.9,91,1999-05-11,5,True,0.012,트레일,2,-0.2604651162790697
1998-12-23,003810,003810,A,B,주의,12,12.6,53.2,83,1999-05-03,5,True,0.0844017094017093,목표,6,-0.3173076923076922
1998-12-23,000830,000830,A,A,주의,12,61.0,378.9,122,1999-06-28,6,True,0.0699186991869917,목표,2,-0.0260162601626016
1998-12-23,008810,008810,A,A,주의,12,25.7,33.7,88,1999-05-11,5,True,-0.0802850356294536,트레일,2,-0.2019002375296912
1999-01-18,000030,000030,A,B,주의,1,55.0,55.0,55,1999-04-12,4,True,-0.0690000000000001,손절,3,0.24
1999-01-21,029890,029890,A,B,실행,1,25.4,100.8,125,1999-07-23,7,True,-0.0616803278688524,손절,1,0.0204918032786884
1999-01-21,008670,008670,A,A,실행,1,112.2,112.2,63,1999-04-27,4,True,-0.0597475888425442,손절,1,0.2319660537482319
1999-01-21,023130,023130,A,B,실행,1,137.8,221.3,105,1999-06-25,6,True,-0.0727902550307612,손절,2,0.5731707317073171
1999-01-21,003480,한진중공업홀딩스,A,C,실행,1,18.2,61.6,115,1999-07-09,7,True,0.1034482758620689,목표,3,0.0098522167487684
1999-01-21,008810,008810,A,B,실행,1,21.9,40.4,72,1999-05-11,5,True,-0.05,손절,1,-0.112219451371571
1999-01-22,018360,018360,A,C,실행,1,29.7,86.5,109,1999-07-02,7,True,0.09009009009009,목표,5,0.0495495495495494
1999-01-22,007360,007360,A,B,실행,1,91.8,111.2,115,1999-07-12,7,True,-0.05,손절,2,0.3928571428571428
1999-01-25,005380,현대차,A,B,실행,1,51.4,88.4,112,1999-07-08,7,True,0.077027027027027,목표,2,0.0270270270270269
1999-02-09,007410,007410,A,B,실행,2,22.6,37.7,104,1999-07-13,7,True,0.0820754716981131,목표,3,-0.0905660377358491
1999-03-18,024110,기업은행,A,C,실행,3,169.2,307.9,79,1999-07-09,7,True,-0.0544289044289044,손절,1,0.4219114219114219
1999-04-19,000030,000030,B,C,주의,4,5.5,5.5,1,1999-04-20,4,True,-0.083046875,손절,7,-0.296875
1999-04-23,029890,029890,A,C,주의,4,73.4,150.0,107,1999-09-22,9,False,-0.0653225806451612,손절,1,-0.3024193548387096
1999-04-26,029890,029890,A,A,주의,4,109.4,165.0,106,1999-09-22,9,False,-0.0823931623931624,트레일,6,-0.2179487179487179
1999-04-29,000030,000030,A,C,실행,4,23.4,23.4,52,1999-07-13,7,True,0.1144278606965174,목표,5,0.0
1999-05-12,007410,007410,A,A,실행,5,52.7,52.7,44,1999-07-13,7,True,0.0721757322175731,목표,1,0.1297071129707112
1999-05-17,004280,004280,A,C,실행,5,14.6,14.6,29,1999-06-25,6,False,-0.0777083333333333,손절,8,
1999-05-17,005440,현대지에프홀딩스,A,B,실행,5,78.5,78.5,46,1999-07-20,7,True,-0.05,손절,1,0.6153846153846154
1999-05-24,008810,008810,A,B,실행,5,32.8,32.8,17,1999-06-16,6,False,-0.0630707465277778,손절,1,0.046875
1999-05-25,008810,008810,A,C,실행,5,43.7,43.7,16,1999-06-16,6,False,0.1359154929577464,목표,3,0.1267605633802817
1999-07-21,000030,000030,A,B,실행,7,-0.5,-0.5,6,1999-07-29,7,True,-0.098010752688172,손절,2,-0.4860215053763441
1999-07-21,007410,007410,A,C,실행,7,8.4,8.4,17,1999-08-13,8,True,-0.0498951781970649,트레일,2,-0.5020964360587002
