순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,025900,동화기업,KOSDAQ,30.00,8060,10515741190,1338415,407491717100,Y,실체급등
2,162300,신스틸,KOSDAQ,29.96,1852,8987239108,5040474,76804999464,Y,실체급등
3,900340,윙입푸드,KOSDAQ,29.93,1554,529844934,346924,19553565528,Y,저유동주의
4,001290,상상인증권,KOSPI,29.91,1203,1660569471,1380357,130329555360,Y,저유동주의
5,011330,유니켐,KOSPI,29.89,5910,380986790,64465,53301007530,Y,저유동주의
6,003010,혜인,KOSPI,29.89,5910,20418190175,3565034,75132334770,Y,실체급등
7,062970,한국첨단소재,KOSDAQ,29.89,3020,11835665029,3992129,86203807140,Y,실체급등
8,042040,케이피엠테크,KOSDAQ,29.85,5590,613836540,113352,48470839690,Y,저유동주의
9,226340,본느,KOSDAQ,29.84,6200,4358620910,709689,52021000800,Y,저유동주의
10,083470,이엠앤아이,KOSDAQ,20.99,980,1097405400,1146274,20913522420,,동전주
11,348370,엔켐,KOSDAQ,18.62,24850,12442908375,532234,544488176050,,실체급등
12,138080,오이솔루션,KOSDAQ,18.53,26550,42840028975,1651103,328629474900,,실체급등
13,318020,포인트모바일,KOSDAQ,16.59,2495,591027121,237611,30691673640,,저유동주의
14,397810,애드포러스,KOSDAQ,16.25,5080,2969201765,580004,26216711600,,저유동주의
15,114190,강원에너지,KOSDAQ,15.52,9380,6189570860,689619,245034096440,,실체급등
16,017900,광전자,KOSPI,15.02,7810,174457778135,21908635,452540789030,,실체급등
