code,date,mcap
139670,2019-01-31,22103269650.0
139670,2019-02-28,48276347680.0
139670,2019-03-29,72975874400.0
139670,2019-04-30,90167306350.0
139670,2019-05-31,65958963400.0
139670,2019-06-28,91219843000.0
139670,2019-07-31,87360541950.0
139670,2019-08-30,88763924150.0
139670,2019-09-30,80343630950.0
139670,2019-10-31,89465615250.0
139670,2019-11-29,74379256600.0
139670,2019-12-30,91219843000.0
139670,2020-01-31,81747013150.0
139670,2020-02-28,89405626200.0
139670,2020-03-31,96043316630.0
139670,2020-04-29,120291206160.0
139670,2020-05-29,114059904940.0
139670,2020-06-30,171360783550.0
139670,2020-07-31,178133937050.0
139670,2020-08-31,157814476550.0
139670,2020-09-29,126387044310.0
139670,2020-10-30,120562132300.0
139670,2020-11-30,170683468200.0
139670,2020-12-30,372523442500.0
139670,2021-01-29,325111368000.0
139670,2021-02-26,745046885000.0
139670,2021-03-31,704407964000.0
139670,2021-04-30,731500578000.0
139670,2021-05-31,270926140000.0
139670,2021-06-30,247220102750.0
139670,2021-07-30,364395658300.0
139670,2021-08-31,310887745650.0
139670,2021-09-30,254670571600.0
139670,2021-10-29,232319165050.0
139670,2021-11-30,264152986500.0
139670,2021-12-30,280408554900.0
139670,2022-01-28,204549235700.0
139670,2022-02-28,190325613350.0
139670,2022-03-31,220127488750.0
139670,2022-04-29,191680244050.0
139670,2022-05-31,177456621700.0
139670,2022-06-30,120562132300.0
139670,2022-07-29,153750584450.0
139670,2022-08-31,131128251760.0
139670,2022-09-30,100242671800.0
139670,2022-10-31,138849646750.0
139670,2022-11-30,123271393700.0
139670,2022-12-29,116091850990.0
139670,2023-01-31,142913538850.0
139670,2023-02-28,123406856770.0
139670,2023-03-31,106225645820.0
139670,2023-04-28,91445224360.0
139670,2023-05-31,90616415680.0
139670,2023-06-30,98289319330.0
139670,2023-07-31,72703337200.0
139670,2023-08-31,73122779530.0
139670,2023-09-27,59281182640.0
139670,2023-10-31,51241871315.0
139670,2023-11-30,49843730215.0
139670,2023-12-28,65572817590.0
139670,2024-01-31,56135365165.0
139670,2024-02-29,86921377400.0
139670,2024-03-29,77795317040.0
139670,2024-04-30,68405634450.0
139670,2024-05-31,65370090300.0
139670,2024-06-28,56192863800.0
139670,2024-07-31,49980587400.0
139670,2024-08-30,44544845550.0
139670,2024-09-30,41862271650.0
139670,2024-10-31,37979598900.0
139670,2024-11-29,37344252450.0
139670,2024-12-30,40591578750.0
139670,2025-01-31,40026826350.0
139670,2025-02-28,37556034600.0
139670,2025-03-31,33532173750.0
139670,2025-04-30,36214747650.0
139670,2025-05-30,36708906000.0
139670,2025-06-30,37556034600.0
139670,2025-07-31,35791183350.0
139670,2025-08-29,33108609450.0
139670,2025-09-30,30779005800.0
139670,2025-10-31,28082313090.0
139670,2025-11-28,28181144760.0
139670,2025-12-30,36708906000.0
139670,2026-01-30,33461579700.0
139670,2026-02-27,30567223650.0
139670,2026-03-31,26472768750.0
139670,2026-04-30,30355441500.0
139670,2026-05-29,24439660110.0
139670,2026-06-12,23296036500.0
183300,2019-01-31,216742500000.0
183300,2019-02-28,239557500000.0
183300,2019-03-29,220691250000.0
183300,2019-04-30,240435000000.0
183300,2019-05-31,245700000000.0
183300,2019-06-28,238680000000.0
183300,2019-07-31,231221250000.0
183300,2019-08-30,222446250000.0
183300,2019-09-30,208845000000.0
183300,2019-10-31,249648750000.0
183300,2019-11-29,217620000000.0
183300,2019-12-30,244822500000.0
183300,2020-01-31,237802500000.0
183300,2020-02-28,247893750000.0
183300,2020-03-31,211038750000.0
183300,2020-04-29,218497500000.0
183300,2020-05-29,284310000000.0
183300,2020-06-30,315461250000.0
183300,2020-07-31,346612500000.0
183300,2020-08-31,348640508450.0
183300,2020-09-29,352823221200.0
183300,2020-10-30,340395084600.0
183300,2020-11-30,417240651000.0
183300,2020-12-30,498886663950.0
183300,2021-01-29,539336934000.0
183300,2021-02-26,580131428000.0
183300,2021-03-31,643312697400.0
183300,2021-04-30,645316786800.0
183300,2021-05-31,681390396000.0
183300,2021-06-30,702433334700.0
183300,2021-07-30,653333144400.0
183300,2021-08-31,827688922200.0
183300,2021-09-30,765562150800.0
183300,2021-10-29,817668475200.0
183300,2021-11-30,665357680800.0
183300,2021-12-30,672371993700.0
183300,2022-01-28,560142987300.0
183300,2022-02-28,540102093300.0
183300,2022-03-31,603230909400.0
183300,2022-04-29,549120495600.0
183300,2022-05-31,608241132900.0
183300,2022-06-30,470459986650.0
183300,2022-07-29,515050975800.0
183300,2022-08-31,468455897250.0
183300,2022-09-30,399314812950.0
183300,2022-10-31,465950785500.0
183300,2022-11-30,473466120750.0
183300,2022-12-29,431881265700.0
183300,2023-01-31,477474299550.0
183300,2023-02-28,457934427900.0
183300,2023-03-31,504028484100.0
183300,2023-04-28,435889444500.0
183300,2023-05-31,522065288700.0
183300,2023-06-30,645424202800.0
183300,2023-07-31,636009587200.0
183300,2023-08-31,565923004400.0
183300,2023-09-27,509435310800.0
183300,2023-10-31,462885267000.0
183300,2023-11-30,631825313600.0
183300,2023-12-28,674714118000.0
183300,2024-01-31,638101724000.0
183300,2024-02-29,647516339600.0
183300,2024-03-29,780367026400.0
183300,2024-04-30,957152586000.0
183300,2024-05-31,901710960800.0
183300,2024-06-28,839992925200.0
183300,2024-07-31,784551300000.0
183300,2024-08-30,708188306800.0
183300,2024-09-30,601489330000.0
183300,2024-10-31,531402747200.0
183300,2024-11-29,381814966000.0
183300,2024-12-30,382861034400.0
183300,2025-01-31,396459923600.0
183300,2025-02-28,458700993400.0
183300,2025-03-31,585798304000.0
183300,2025-04-30,614042150800.0
183300,2025-05-30,603581466800.0
183300,2025-06-30,756307453200.0
183300,2025-07-31,740616427200.0
183300,2025-08-29,863006430000.0
183300,2025-09-30,1018870621600.0
183300,2025-10-31,1157997718800.0
183300,2025-11-28,906941302800.0
183300,2025-12-30,924724465600.0
183300,2026-01-30,1325368662800.0
183300,2026-02-27,1163228060800.0
183300,2026-03-31,1122431393200.0
183300,2026-04-30,1481232854400.0
183300,2026-05-29,941461560000.0
183300,2026-06-12,1306539431600.0
034230,2019-01-31,1659703764000.0
034230,2019-02-28,1673345164800.0
034230,2019-03-29,1627873828800.0
034230,2019-04-30,1686986565600.0
034230,2019-05-31,1400517148800.0
034230,2019-06-28,1482365553600.0
034230,2019-07-31,1486912687200.0
034230,2019-08-30,1473271286400.0
034230,2019-09-30,1682439432000.0
034230,2019-10-31,1696080832800.0
034230,2019-11-29,1709722233600.0
034230,2019-12-30,1796117772000.0
034230,2020-01-31,1546025424000.0
034230,2020-02-28,1491459820800.0
034230,2020-03-31,1177707602400.0
034230,2020-04-29,1432347084000.0
034230,2020-05-29,1318668744000.0
034230,2020-06-30,1214084671200.0
034230,2020-07-31,1191349003200.0
034230,2020-08-31,1209537537600.0
034230,2020-09-29,1250461740000.0
034230,2020-10-30,1154971934400.0
034230,2020-11-30,1345951545600.0
034230,2020-12-30,1391422881600.0
034230,2021-01-29,1436894217600.0
034230,2021-02-26,1564213958400.0
034230,2021-03-31,1514195488800.0
034230,2021-04-30,1636968096000.0
034230,2021-05-31,1805212039200.0
034230,2021-06-30,1646062363200.0
034230,2021-07-30,1527836889600.0
034230,2021-08-31,1546025424000.0
034230,2021-09-30,1605138160800.0
034230,2021-10-29,1582402492800.0
034230,2021-11-30,1245914606400.0
034230,2021-12-30,1359592946400.0
034230,2022-01-28,1359592946400.0
034230,2022-02-28,1509648355200.0
034230,2022-03-31,1505101221600.0
034230,2022-04-29,1514195488800.0
034230,2022-05-31,1491459820800.0
034230,2022-06-30,1227726072000.0
034230,2022-07-29,1232273205600.0
034230,2022-08-31,1455082752000.0
034230,2022-09-30,1400517148800.0
034230,2022-10-31,1291385942400.0
034230,2022-11-30,1564213958400.0
034230,2022-12-29,1601759209600.0
034230,2023-01-31,1637491536800.0
034230,2023-02-28,1534269160980.0
034230,2023-03-31,1539186127310.0
034230,2023-04-28,1407177311150.0
034230,2023-05-31,1316421250040.0
034230,2023-06-30,1295336508570.0
034230,2023-07-31,1316421250040.0
034230,2023-08-31,1544910161550.0
034230,2023-09-27,1492920150250.0
034230,2023-10-31,1345188039500.0
034230,2023-11-30,1224983651250.0
034230,2023-12-28,1222230879000.0
034230,2024-01-31,1160752298750.0
034230,2024-02-29,1161669889500.0
034230,2024-03-29,1304814046500.0
034230,2024-04-30,1381891669500.0
034230,2024-05-31,1314169641360.0
034230,2024-06-28,1293979884300.0
034230,2024-07-31,1082905151400.0
034230,2024-08-30,1026924461370.0
034230,2024-09-30,1107683489610.0
034230,2024-10-31,970943771340.0
034230,2024-11-29,922304811150.0
034230,2024-12-30,881007580800.0
034230,2025-01-31,909456783930.0
034230,2025-02-28,1001228406930.0
034230,2025-03-31,1003063839390.0
034230,2025-04-30,1133379544050.0
034230,2025-05-30,1151733868650.0
034230,2025-06-30,1401352683210.0
034230,2025-07-31,1656364287880.0
034230,2025-08-29,1935669582000.0
034230,2025-09-30,1947346767600.0
034230,2025-10-31,1708578785910.0
034230,2025-11-28,1575514780950.0
034230,2025-12-30,1529312001450.0
034230,2026-01-30,1639274616660.0
034230,2026-02-27,1843490902050.0
034230,2026-03-31,1491333050200.0
034230,2026-04-30,1468175704700.0
034230,2026-05-29,1306074286200.0
034230,2026-06-12,1389440730000.0
060300,2019-01-31,89797060730.0
060300,2019-02-28,65263646260.0
060300,2019-03-29,58594368540.0
060300,2019-04-30,57641614580.0
060300,2019-05-31,54783352700.0
060300,2019-06-28,31440880680.0
060300,2019-07-31,29058995780.0
060300,2019-08-30,29058995780.0
060300,2019-09-30,29058995780.0
060300,2019-10-31,29058995780.0
060300,2019-11-29,29058995780.0
060300,2019-12-30,33938995780.0
060300,2020-01-31,33938995780.0
060300,2020-02-28,33938995780.0
060300,2020-03-31,35158995780.0
060300,2020-04-29,35158995780.0
060300,2020-05-29,35158995780.0
060300,2020-06-30,35158995780.0
060300,2020-07-31,35158995780.0
060300,2020-08-31,45820791110.0
060300,2020-09-29,48765971760.0
060300,2020-10-30,48765971760.0
060300,2020-11-30,48765969930.0
060300,2020-12-30,48765969930.0
060300,2021-01-29,48765969930.0
060300,2021-02-26,48765969930.0
060300,2021-03-31,48765969930.0
060300,2021-04-30,48800741760.0
060300,2021-05-31,48840480210.0
060300,2021-06-30,48840480210.0
060300,2021-07-30,48840480210.0
060300,2021-08-31,48840480210.0
060300,2021-09-30,48840480210.0
060300,2021-10-29,48840480210.0
060300,2021-11-30,48840480210.0
060300,2021-12-30,48840480210.0
060300,2022-01-28,52393877220.0
060300,2022-02-28,53493273510.0
060300,2022-03-31,53493273510.0
060300,2022-04-29,53493273510.0
060300,2022-05-31,53493273510.0
060300,2022-06-30,53493273510.0
060300,2022-07-29,53493273510.0
060300,2022-08-31,53493273510.0
060300,2022-09-30,53493273510.0
060300,2022-10-31,1870803008.0
060300,2022-11-03,876938910.0
060380,2019-01-31,33550000000.0
060380,2019-02-28,32750000000.0
060380,2019-03-29,30850000000.0
060380,2019-04-30,31750000000.0
060380,2019-05-31,31000000000.0
060380,2019-06-28,30800000000.0
060380,2019-07-31,28600000000.0
060380,2019-08-30,28100000000.0
060380,2019-09-30,29200000000.0
060380,2019-10-31,29250000000.0
060380,2019-11-29,29800000000.0
060380,2019-12-30,29500000000.0
060380,2020-01-31,29350000000.0
060380,2020-02-28,27400000000.0
060380,2020-03-31,22650000000.0
060380,2020-04-29,27750000000.0
060380,2020-05-29,27200000000.0
060380,2020-06-30,25450000000.0
060380,2020-07-31,27100000000.0
060380,2020-08-31,27350000000.0
060380,2020-09-29,26800000000.0
060380,2020-10-30,26950000000.0
060380,2020-11-30,28300000000.0
