date,code,name,시장,신호,미달,cum2,gap240,top5,mcap,카드,ex_how,ex_bars,이단,fwd40,date_dt,date_ix,국면,연,G_지수K,G_폭Q,G_폭K
1997-07-08,003540,대신증권,KOSPI,S2,"2일누적,시총",-0.1063348416289592,-0.0175504049495561,-0.4397163120567375,229520000000.0,-0.0620253164556963,손절,7,-0.0620253164556963,-0.1797468354430379,1997-07-08,1997-07-08,주의,1997,실행,?,?
1997-08-06,004280,004280,KOSPI,S2,시총,-0.1522935779816513,-0.1010215664018161,-0.4928649835345774,217237261080.0,0.0898268398268398,목표,4,0.0449134199134199,-0.3398268398268398,1997-08-06,1997-08-06,주의,1997,주의,?,?
1997-08-21,004020,현대제철,KOSPI,S2,2일누적,-0.1052631578947368,0.0155569383945242,-0.442622950819672,304000000000.0,-0.0645526960784316,손절,8,-0.0645526960784316,-0.2058823529411765,1997-08-21,1997-08-21,실행,1997,실행,?,?
1997-09-01,003600,003600,KOSPI,A,,-0.1390134529147982,0.0134600158353128,-0.3513513513513514,1507349656800.0,-0.05,손절,1,-0.05,-0.3229166666666666,1997-09-01,1997-09-01,실행,1997,실행,?,?
1997-09-02,003600,003600,KOSPI,S2,2일누적,-0.1014492753623188,-0.0176056338028167,-0.3716216216216216,1507349656800.0,-0.0530645161290322,손절,2,-0.0530645161290322,-0.2526881720430107,1997-09-02,1997-09-02,실행,1997,실행,?,?
1997-09-08,001680,대상,KOSPI,S2,시총,-0.1282352941176471,-0.0161376876137575,-0.4428571428571428,240388395000.0,0.073549257759784,목표,3,0.0444669365721998,-0.2172739541160594,1997-09-08,1997-09-08,주의,1997,주의,?,?
1997-09-23,011650,011650,KOSPI,A,,-0.1302083333333333,-0.0198140385715893,-0.3625954198473282,1472500000000.0,0.0748502994011977,목표,1,0.0374251497005988,-0.3353293413173652,1997-09-23,1997-09-23,실행,1997,실행,?,?
1997-09-23,005935,삼성전자우,KOSPI,S2,2일누적,-0.104225352112676,0.0729800784490151,-0.5391304347826087,800429804500.0,-0.0757232704402516,트레일,10,-0.0757232704402516,-0.4213836477987421,1997-09-23,1997-09-23,실행,1997,실행,?,?
1997-10-07,011200,HMM,KOSPI,A,,-0.120253164556962,-0.0093158755943064,-0.437246963562753,469040000000.0,-0.0510251798561152,손절,7,-0.0510251798561152,-0.3769784172661871,1997-10-07,1997-10-07,실행,1997,실행,?,?
1997-10-08,005490,POSCO홀딩스,KOSPI,S2,"2일누적,5년고점",-0.108695652173913,-0.0173756740563211,-0.2656716417910447,5277281722000.0,-0.05,손절,1,-0.05,-0.0182926829268292,1997-10-08,1997-10-08,실행,1997,실행,?,?
